date, pm25, pm10, o3, no2, so2, co
2025/8/2, 72, 10, , 5, , 
2025/8/3, 72, 10, , 5, , 
2025/8/4, 76, 20, , 8, , 
2025/8/5, 82, 14, , 6, , 
2025/8/6, 69, 16, , 6, , 
2025/8/7, 73, 11, , 5, , 
2025/8/8, 73, 14, , 7, , 
2025/8/9, 85, 8, , 6, , 256
2025/8/10, 73, 9, , 6, , 
2025/8/11, 77, 13, , 7, , 
2025/8/12, 78, 12, , 6, , 
2025/8/13, 76, 8, , 6, , 
2025/8/14, 79, 10, , 6, , 
2025/8/15, 78, 15, , 8, , 
2025/8/16, 86, 15, , 8, , 
2025/8/17, 93, 13, , 6, , 
2025/8/18, 84, 14, , 5, , 
2025/8/19, 76, 13, , 6, , 
2025/8/20, 74, 18, , 6, , 
2025/8/21, 79, 10, , 6, , 
2025/8/22, 77, 12, , 6, , 
2025/8/23, 75, 17, , 5, , 
2025/8/24, 78, 9, , 5, , 
2025/8/25, 73, 6, , 7, , 
2025/8/26, 80, 13, , 6, , 
2025/8/27, 82, 17, , 5, , 
2025/8/28, 80, 14, , 5, , 
2025/8/29, 75, 10, , 4, , 
2025/8/30, 70, , , , , 
2025/7/2, 63, 18, 15, 7, , 
2025/7/3, 70, 15, 19, 8, , 
2025/7/4, 40, 15, 37, 10, , 
2025/7/5, 9, 13, 34, 9, , 
2025/7/6, 9, 11, 20, 8, , 
2025/7/7, 9, 11, 30, 9, , 
2025/7/8, 9, 14, 24, 9, , 
2025/7/9, 9, 19, 20, 8, , 
2025/7/10, 9, 11, 27, 7, , 
2025/7/11, 42, 9, , 7, , 
2025/7/12, 70, 14, , 6, , 
2025/7/13, 78, 10, , 5, , 
2025/7/14, 76, 11, , 8, , 
2025/7/15, 83, 12, , 8, , 
2025/7/16, 84, 13, , 8, , 
2025/7/17, 83, 13, , 9, , 
2025/7/18, 79, 20, , 10, , 
2025/7/19, 90, 13, , 8, , 
2025/7/20, 82, 7, , 6, , 
2025/7/21, 75, 15, , 8, , 
2025/7/22, 72, 23, , 9, , 
2025/7/23, 93, 19, , 8, , 
2025/7/24, 87, 11, , 7, , 
2025/7/25, 72, 21, , 9, , 
2025/7/26, 76, 14, , 7, , 
2025/7/27, 74, 6, , 4, , 
2025/7/28, 68, 10, , 4, , 
2025/7/29, 71, 12, , 5, , 
2025/7/30, 71, 10, , 6, , 
2025/7/31, 72, 14, , 8, , 
2025/8/1, 72, 13, , 6, , 
2025/4/2, 5, 3, 33, 15, , 30
2025/4/3, 5, 3, 33, 11, , 26
2025/4/4, 5, 21, 29, 10, , 30
2025/4/5, 70, 21, 29, 8, , 22
2025/4/6, 70, 21, 15, 11, , 30
2025/4/7, 70, 21, 37, 9, , 31
2025/4/8, 70, 21, 45, 9, , 25
2025/4/9, 70, 66, 50, 15, , 23
2025/4/10, 91, 67, 39, 15, , 31
2025/4/11, 89, 66, 36, 14, , 24
2025/4/12, 84, 53, 47, 12, , 27
2025/4/13, 85, 53, 51, 16, , 26
2025/4/14, 86, 53, 50, 18, , 23
2025/4/15, 93, 40, 46, 14, , 30
2025/4/16, 89, 40, 48, 18, , 21
2025/4/17, 98, 46, 45, 21, , 20
2025/4/18, 105, 33, 51, 11, , 29
2025/4/19, 93, 26, 47, 13, , 26
2025/4/20, 89, 25, 47, 14, , 27
2025/4/21, 91, 28, 32, 14, , 25
2025/4/22, 97, 35, 30, 15, , 26
2025/4/23, 92, 32, 33, 14, , 27
2025/4/24, 95, 32, 39, 17, , 28
2025/4/25, 90, 39, 32, 21, , 22
2025/4/26, 117, , , , , 
2025/4/29, 104, 33, 42, 13, , 
2025/4/30, 106, 26, 46, 9, , 
2025/5/1, 95, 21, 41, 10, , 
2025/5/2, 80, 23, 37, 11, , 
2025/5/3, 82, 18, 41, 13, , 
2025/5/4, 89, 17, 36, 10, , 
2025/5/5, 83, 24, 29, 10, , 
2025/5/6, 82, 31, 34, 10, , 
2025/5/7, 89, 30, 31, 15, , 
2025/5/8, 102, 34, 36, 14, , 
2025/5/9, 105, 39, 44, 14, , 
2025/5/10, 102, 13, 37, 7, , 
2025/5/11, 76, 9, 43, 8, , 
2025/5/12, 70, 33, 41, 17, , 
2025/5/13, 89, 33, 38, 15, , 
2025/5/14, 100, 38, 43, 16, , 
2025/5/15, 108, 41, 52, 18, , 
2025/5/16, 120, 44, 54, 18, , 
2025/5/17, 127, 41, 51, 13, , 
