date, pm25, pm10, o3, no2, so2, co
2025/8/2, 45, 20, 62, 13, 2, 4
2025/8/3, 39, 16, 70, 11, 4, 4
2025/8/4, 44, 16, 62, 12, 1, 4
2025/8/5, 42, , 51, 10, 4, 3
2025/8/7, 43, 17, 43, 14, 1, 5
2025/8/8, 49, 24, 76, 19, 1, 6
2025/8/9, 65, 23, 87, 11, 4, 5
2025/8/10, 63, 21, 79, 12, 1, 5
2025/8/11, 62, 29, 94, 15, 1, 5
2025/8/12, 84, 17, 67, 11, 3, 4
2025/8/13, 59, 20, 69, 13, 2, 5
2025/8/14, 61, 23, 58, 13, 1, 5
2025/8/15, 66, , 35, 16, 2, 5
2025/8/17, 58, 14, 60, 9, 8, 4
2025/8/18, 35, 10, 59, 12, 1, 4
2025/8/19, 30, , 76, 13, 4, 4
2025/8/22, 66, 26, , 18, 7, 6
2025/8/23, 75, 20, 47, 17, 3, 6
2025/8/24, 69, 16, 41, 10, 1, 5
2025/8/25, 59, 22, 73, 12, 5, 6
2025/8/26, 69, 19, 87, 12, 10, 5
2025/8/27, 56, 19, 25, 14, , 8
2025/8/28, 59, 14, 15, 11, , 4
2025/8/29, 42, , , , , 
2025/7/2, 24, 11, 21, 11, 2, 5
2025/7/3, 33, 11, 41, 13, 2, 5
2025/7/4, 44, , , , , 
2025/7/8, 60, 21, 50, 17, 5, 6
2025/7/9, 50, 20, 20, 7, 4, 3
2025/7/10, 38, 25, 52, 17, 8, 6
2025/7/11, 51, 27, 65, 18, 4, 6
2025/7/12, 75, 23, 58, 12, 2, 5
2025/7/13, 71, 11, 48, 9, 1, 5
2025/7/14, 41, 15, 33, 12, 5, 5
2025/7/15, 47, 18, 60, 12, 4, 5
2025/7/16, 57, 17, 82, 14, 3, 5
2025/7/17, 43, 19, 46, 14, 1, 5
2025/7/18, 55, 23, 47, 15, 1, 5
2025/7/19, 62, 22, 70, 12, 1, 5
2025/7/20, 61, 15, 42, 9, 2, 4
2025/7/21, 47, 26, 77, 14, 4, 5
2025/7/22, 67, 19, 85, 13, 3, 5
2025/7/23, 44, 25, 78, 12, 5, 4
2025/7/24, 59, 14, 75, 10, 1, 4
2025/7/25, 33, 14, 74, 10, 1, 4
2025/7/26, 40, 20, 60, 15, 1, 6
2025/7/27, 56, 13, 46, 10, 1, 4
2025/7/28, 39, 14, 41, 12, 1, 5
2025/7/29, 35, 16, 49, 11, 1, 4
2025/7/30, 30, 13, 41, 8, 1, 4
2025/7/31, 37, 14, 30, 12, 1, 5
2025/8/1, 46, 14, 40, 11, 1, 4
2025/4/2, 67, 30, 78, 10, 3, 4
2025/4/3, 70, 32, 55, 9, 2, 5
2025/4/4, 72, 23, 50, 11, 1, 4
2025/4/5, 51, 21, 56, 9, 1, 4
2025/4/6, 49, 24, 21, 7, 1, 4
2025/4/7, 64, 16, 34, 4, 1, 3
2025/4/8, 31, 38, 75, 23, 13, 7
2025/4/9, 82, 34, 104, 18, 7, 5
2025/4/10, 68, 25, 63, 14, 3, 4
2025/4/11, 42, 18, 57, 12, 1, 4
2025/4/12, 28, 17, 66, 9, 1, 3
2025/4/13, 31, 18, 70, 10, 7, 5
2025/4/14, 42, 26, 63, 13, 2, 5
2025/4/15, 56, 28, 61, 14, 1, 5
2025/4/16, 43, 32, 99, 17, 4, 5
2025/4/17, 66, 37, 108, 14, 1, 6
2025/4/18, 77, 46, 102, 9, 2, 6
2025/4/19, 96, 39, 90, 7, 1, 5
2025/4/20, 82, 38, 69, 7, 1, 5
2025/4/21, 76, 37, 63, 12, 2, 6
2025/4/22, 84, 39, 86, 14, 1, 7
2025/4/23, 89, 35, 101, 9, 1, 6
2025/4/24, 77, 31, 83, 7, 1, 5
2025/4/25, 69, 43, 125, 16, 4, 7
2025/4/26, 91, 37, 104, 13, 1, 6
2025/4/27, 75, 25, 64, 10, 4, 5
2025/4/28, 51, 27, 94, 16, 1, 6
2025/4/29, 56, 35, 107, 14, 2, 6
2025/4/30, 71, 37, 85, 16, 2, 8
2025/5/1, 82, 30, 94, 11, 1, 6
2025/5/2, 71, 31, 80, 10, 1, 6
2025/5/3, 73, 32, 80, 10, 1, 5
2025/5/4, 71, 31, 60, 8, 1, 6
2025/5/5, 73, 22, 60, 7, 1, 4
2025/5/6, 53, 24, 48, 5, 1, 3
2025/5/7, 57, 26, 99, 10, 1, 4
2025/5/8, 60, 34, 72, 12, 1, 5
2025/5/9, 71, 39, 98, 22, 2, 7
2025/5/10, 89, 32, 74, 16, 1, 6
2025/5/11, 84, 20, 50, 12, 1, 4
2025/5/12, 59, 29, 115, 16, 1, 5
2025/5/13, 69, , , , , 
2025/5/17, 77, 37, 98, 12, 2, 5
2025/5/18, 85, 33, 75, 9, 1, 5
2025/5/19, 81, 34, 94, 14, 4, 5
2025/5/20, 83, 38, 107, 13, 2, 4
2025/5/21, 86, 43, 105, 12, 2, 5
2025/5/22, 108, 46, 79, 11, 6, 4
2025/5/23, 122, 52, 101, 16, 6, 5
2025/5/24, 140, , 58, 10, 3, 4
2025/6/20, 33, 7, 11, , , 
2025/6/21, 22, 9, 17, 13, 1, 6
2025/6/22, 24, 7, 22, 11, 1, 6
2025/6/23, 26, 7, 23, 12, 1, 5
2025/6/24, 24, 16, 9, 16, 1, 6
2025/6/25, 48, 20, 45, 15, 4, 6
2025/6/26, 56, 21, 31, 19, 2, 6
2025/6/27, 62, 13, 38, 12, 4, 5
2025/6/28, 47, 11, 54, 10, 1, 4
2025/6/29, 32, 10, 39, 9, , 4
2025/6/30, 33, 5, 16, 7, , 4
2025/7/1, 18, 7, 22, 5, , 3
2025/1/2, 69, 27, 49, 16, 7, 5
2025/1/3, 66, 29, 49, 13, 2, 5
2025/1/4, 66, 20, 49, 13, 2, 4
2025/1/5, 53, 12, 34, 9, 1, 4
2025/1/6, 34, 17, 40, 14, 1, 5
2025/1/7, 48, 21, 39, 17, 2, 6
2025/1/8, 55, 25, 41, 12, 6, 5
2025/1/9, 64, 11, 26, 6, 1, 3
2025/1/10, 24, 8, 21, 6, 1, 3
2025/1/11, 19, 4, 19, 5, 1, 3
2025/1/12, 17, 5, 20, 7, , 4
2025/1/13, 17, 13, 51, 16, 1, 5
2025/1/14, 37, 26, 42, 29, 4, 8
2025/1/15, 65, 28, 58, 19, 5, 8
2025/1/16, 76, 20, 57, 17, 3, 6
2025/1/17, 55, 24, 66, 15, 5, 5
2025/1/18, 65, 20, 52, 10, 1, 3
2025/1/19, 58, 20, 63, 9, 1, 5
2025/1/20, 58, 12, 42, 7, 1, 4
2025/1/21, 34, 12, 48, 10, 1, 4
2025/1/22, 35, 28, 69, 24, 4, 6
2025/1/23, 62, 28, 72, 18, 3, 6
2025/1/24, 67, 36, 76, 27, 8, 7
2025/1/25, 83, 37, 95, 21, 6, 7
2025/1/26, 84, 25, 84, 12, 2, 4
2025/1/27, 58, 22, 75, 16, 5, 5
2025/1/28, 53, 20, 67, 10, 2, 4
2025/1/29, 48, 15, 42, 10, 1, 5
2025/1/30, 37, 11, 36, 7, 1, 4
2025/1/31, 25, 24, 69, 17, 1, 6
2025/2/1, 50, 31, 50, 19, 5, 7
2025/2/2, 76, 24, 59, 15, 2, 6
2025/2/3, 70, 20, 55, 13, 2, 6
2025/2/4, 62, 16, 48, 13, 1, 5
2025/2/5, 49, 27, 84, 17, 1, 6
2025/2/6, 73, 24, 73, 15, 1, 5
2025/2/7, 60, 19, 67, 16, 4, 5
2025/2/8, 45, 21, 78, 13, 3, 5
2025/2/9, 53, 22, 96, 11, 2, 5
2025/2/10, 55, 21, 83, 14, 1, 5
2025/2/11, 51, 26, 68, 13, 1, 6
2025/2/12, 65, 18, 40, 7, 1, 5
2025/2/13, 49, 21, 72, 15, 1, 6
2025/2/14, 45, 33, 76, 13, 1, 5
2025/2/15, 80, 23, 62, 11, 2, 5
2025/2/16, 62, 26, 68, 11, 2, 5
2025/2/17, 58, 23, 68, 14, 2, 6
2025/2/18, 59, 22, 44, 16, 1, 5
2025/2/19, 59, 18, 24, 20, 1, 6
2025/2/20, 55, 40, 48, 26, 1, 10
2025/2/21, 105, 32, 43, 24, 3, 8
2025/2/22, 86, 18, 58, 13, 2, 6
2025/2/23, 59, 14, 56, 7, 1, 4
2025/2/24, 45, 16, 51, 14, 5, 6
