date, pm25, pm10, o3, no2, so2, co
2025/8/2, 36, , 71, 14, 3, 5
2025/8/3, 46, , 67, 10, 3, 3
2025/8/4, 41, , 56, 14, 1, 3
2025/8/5, 30, , 65, 11, 1, 3
2025/8/6, 34, , 26, 13, 1, 3
2025/8/7, 25, , 44, 17, 1, 5
2025/8/8, 42, , 73, 24, 1, 8
2025/8/9, 59, , 82, 16, 5, 5
2025/8/10, 57, , 92, 15, 1, 5
2025/8/11, 61, , 84, 20, 2, 6
2025/8/12, 52, , 70, 15, 4, 4
2025/8/13, 51, , 66, 17, 1, 5
2025/8/14, 46, , 61, 15, 1, 5
2025/8/15, 49, , 36, 17, 1, 5
2025/8/16, 31, , 48, 16, 1, 4
2025/8/17, 39, , 55, 8, 12, 2
2025/8/18, 42, , 53, 14, 1, 3
2025/8/19, 41, , 67, 13, 12, 4
2025/8/20, 50, , 58, 18, 1, 3
2025/8/21, 52, , 44, 20, 4, 5
2025/8/22, 40, , 55, 21, 8, 6
2025/8/23, 54, , 51, 18, 4, 5
2025/8/24, 38, , 45, 13, 1, 5
2025/8/25, 38, , 66, 15, 8, 4
2025/8/26, 53, , 76, 17, 6, 4
2025/8/27, 43, , 9, 22, , 7
2025/8/28, 41, , 3, 14, , 5
2025/8/29, 41, , , , , 
2025/7/2, 16, , 26, 12, 1, 2
2025/7/3, 23, , 44, 17, 2, 4
2025/7/4, 44, , , , , 
2025/7/8, 54, , 46, 18, 5, 5
2025/7/9, 52, , 20, 8, 15, 3
2025/7/10, 62, , 57, 19, 7, 7
2025/7/11, 69, , 66, 21, 3, 7
2025/7/12, 69, , 64, 17, 1, 7
2025/7/13, 58, , 48, 10, 2, 4
2025/7/14, 33, , 31, 12, 4, 4
2025/7/15, 46, , 52, 18, 2, 6
2025/7/16, 48, , 77, 15, 3, 4
2025/7/17, 53, , 52, 17, 1, 5
2025/7/18, 55, , 47, 17, 1, 5
2025/7/19, 65, , 62, 16, 1, 4
2025/7/20, 54, , 42, 11, 3, 3
2025/7/21, 40, , 76, 15, 5, 4
2025/7/22, 61, , 79, 12, 3, 4
2025/7/23, 56, , 70, 12, 8, 4
2025/7/24, 56, , 69, 12, 1, 3
2025/7/25, 38, , 74, 12, 1, 4
2025/7/26, 38, , 54, 17, 1, 5
2025/7/27, 45, , 43, 10, 1, 4
2025/7/28, 29, , 35, 14, 3, 4
2025/7/29, 37, , 29, 12, 2, 3
2025/7/30, 33, , 46, 11, 1, 3
2025/7/31, 32, , 35, 17, 1, 4
2025/8/1, 40, , 38, 17, 1, 5
2025/4/2, 76, , 70, 23, 3, 7
2025/4/3, 70, , 53, 20, 1, 6
2025/4/4, 63, , 50, 19, 1, 6
2025/4/5, 59, , 56, 13, 1, 5
2025/4/6, 55, , 6, 23, 1, 7
2025/4/7, 42, , 38, 11, 1, 5
2025/4/8, 46, , 72, 25, 19, 7
2025/4/9, 81, , 90, 19, 8, 6
