date, pm25, pm10, o3, no2, so2, co
2019/7/7, 58, , , , , 
2019/7/8, 61, , , , , 
2019/7/9, 73, , , , , 
2019/7/10, 85, , , , , 
2019/7/11, 76, , , , , 
2019/7/12, 82, , , , , 
2019/7/13, 81, , , , , 
2019/7/14, 66, , , , , 
2019/7/15, 83, , , , , 
2019/7/16, 75, , , , , 
2019/7/17, 70, , , , , 
2019/4/9, 101, , , , , 
2019/4/10, 65, , , , , 
2019/4/11, 90, , , , , 
2019/4/12, 67, , , , , 
2019/4/13, 75, , , , , 
2019/4/14, 58, , , , , 
2019/4/15, 125, , , , , 
2019/5/3, 63, , , , , 
2019/5/4, 81, , , , , 
2019/5/5, 110, , , , , 
2019/5/6, 96, , , , , 
2019/5/7, 112, , , , , 
2019/5/8, 104, , , , , 
2019/5/9, 89, , , , , 
2019/5/10, 90, , , , , 
2019/5/11, 88, , , , , 
2019/5/12, 135, , , , , 
2019/5/13, 158, , , , , 
2019/5/14, 161, , , , , 
2019/5/15, 154, , , , , 
2019/5/16, 151, , , , , 
2019/5/17, 146, , , , , 
2019/5/18, 117, , , , , 
2019/5/31, 85, , , , , 
2019/6/1, 89, , , , , 
2019/6/2, 45, , , , , 
2019/6/3, 27, , , , , 
2019/6/4, 58, , , , , 
2019/6/5, 43, , , , , 
2019/6/6, 33, , , , , 
2019/6/24, 76, , , , , 
2019/6/25, 40, , , , , 
2019/6/26, 52, , , , , 
2019/6/27, 50, , , , , 
2019/6/28, 46, , , , , 
2019/6/29, 56, , , , , 
2019/1/2, 147, , , , , 
2019/1/3, 104, , , , , 
2019/1/4, 78, , , , , 
2019/1/5, 90, , , , , 
2019/1/6, 106, , , , , 
2019/1/7, 84, , , , , 
2019/1/8, 80, , , , , 
2019/1/9, 73, , , , , 
2019/1/10, 96, , , , , 
2019/1/11, 68, , , , , 
2019/1/12, 78, , , , , 
2019/1/13, 104, , , , , 
2019/1/14, 75, , , , , 
2019/1/15, 78, , , , , 
2019/1/16, 95, , , , , 
2019/1/17, 94, , , , , 
2019/1/21, 76, , , , , 
2019/1/22, 81, , , , , 
2019/1/23, 71, , , , , 
2019/1/24, 50, , , , , 
2019/1/25, 62, , , , , 
2019/1/26, 54, , , , , 
2019/1/27, 64, , , , , 
2019/2/1, 50, , , , , 
2019/2/2, 70, , , , , 
2019/2/3, 88, , , , , 
2019/2/4, 91, , , , , 
2019/2/5, 86, , , , , 
2019/2/6, 93, , , , , 
2019/2/7, 112, , , , , 
2019/2/12, 83, , , , , 
2019/2/13, 86, , , , , 
2019/2/14, 103, , , , , 
2019/2/15, 96, , , , , 
2019/2/16, 74, , , , , 
2019/2/17, 80, , , , , 
2019/2/18, 61, , , , , 
2019/2/19, 62, , , , , 
2019/2/20, 40, , , , , 
2019/2/21, 46, , , , , 
2019/2/22, 42, , , , , 
2019/2/23, 35, , , , , 
2019/2/24, 61, , , , , 
2019/2/25, 63, , , , , 
2018/10/2, 47, , , , , 
2018/10/3, 42, , , , , 
2018/10/4, 26, , , , , 
2018/10/5, 38, , , , , 
2018/10/6, 53, , , , , 
2018/10/7, 92, , , , , 
2018/10/8, 94, , , , , 
2018/10/9, 92, , , , , 
2018/10/10, 64, , , , , 
2018/10/11, 79, , , , , 
2018/10/12, 94, , , , , 
2018/10/13, 65, , , , , 
2018/10/14, 56, , , , , 
2018/10/15, 28, , , , , 
2018/10/16, 44, , , , , 
2018/10/17, 71, , , , , 
2018/10/18, 44, , , , , 
2018/10/19, 36, , , , , 
2018/10/20, 67, , , , , 
2018/11/8, 64, , , , , 
2018/11/9, 70, , , , , 
2018/11/10, 68, , , , , 
2018/11/11, 65, , , , , 
2018/11/12, 92, , , , , 
2018/11/13, 73, , , , , 
2018/11/20, 67, , , , , 
2018/11/21, 88, , , , , 
2018/11/22, 97, , , , , 
2018/11/23, 104, , , , , 
2018/11/24, 107, , , , , 
2018/11/25, 111, , , , , 
2018/11/26, 65, , , , , 
2018/11/27, 89, , , , , 
2018/11/28, 85, , , , , 
2018/11/29, 49, , , , , 
2018/11/30, 27, , , , , 
2018/12/1, 25, , , , , 
2018/12/2, 47, , , , , 
2018/12/3, 36, , , , , 
2018/12/4, 78, , , , , 
2018/12/5, 107, , , , , 
2018/12/6, 85, , , , , 
2018/12/7, 76, , , , , 
2018/12/8, 59, , , , , 
2018/12/9, 62, , , , , 
2018/12/10, 65, , , , , 
2018/12/11, 99, , , , , 
2018/12/12, 130, , , , , 
2018/12/13, 126, , , , , 
2018/12/14, 51, , , , , 
2018/12/15, 65, , , , , 
2018/12/16, 128, , , , , 
2018/12/17, 126, , , , , 
2018/12/18, 121, , , , , 
2018/12/19, 131, , , , , 
2018/12/20, 60, , , , , 
2018/12/21, 55, , , , , 
2018/12/22, 89, , , , , 
2018/12/23, 137, , , , , 
2018/12/24, 131, , , , , 
2018/12/25, 115, , , , , 
2018/12/26, 181, , , , , 
2018/12/28, 51, , , , , 
2018/12/29, 54, , , , , 
2018/12/30, 79, , , , , 
2018/12/31, 79, , , , , 
2018/7/18, 82, , , , , 
2018/7/19, 65, , , , , 
2018/7/20, 69, , , , , 
2018/7/21, 49, , , , , 
2018/7/22, 65, , , , , 
2018/7/23, 71, , , , , 
2018/7/24, 59, , , , , 
2018/7/25, 62, , , , , 
2018/7/26, 55, , , , , 
2018/7/27, 63, , , , , 
2018/7/28, 78, , , , , 
2018/7/29, 62, , , , , 
2018/7/30, 59, , , , , 
2018/7/31, 57, , , , , 
2018/8/1, 70, , , , , 
2018/8/2, 47, , , , , 
2018/8/3, 39, , , , , 
2018/8/16, 84, , , , , 
2018/8/17, 79, , , , , 
2018/8/18, 72, , , , , 
2018/8/19, 70, , , , , 
2018/8/20, 61, , , , , 
2018/8/21, 67, , , , , 
2018/8/25, 67, , , , , 
2018/8/26, 71, , , , , 
2018/8/27, 48, , , , , 
