date, pm25, pm10, o3, no2, so2, co
2023/4/22, 46, , 8, 27, 1, 6
2019/10/8, 25, 11, 31, , 2, 3
2019/10/9, 23, , 18, , 2, 3
2019/11/25, 95, , 38, , 11, 6
2019/11/30, 137, , 34, , 12, 11
2019/12/21, 132, , 22, , 18, 14
2019/12/24, 151, 40, 42, , 8, 13
2019/12/25, 82, , 27, , 5, 10
2019/12/27, 64, , 37, , 8, 10
2019/4/2, 79, 36, 54, 31, 6, 5
2019/4/3, 72, 39, 45, 25, 4, 5
2019/4/4, 76, 34, 71, 27, 2, 4
2019/4/5, 76, 40, 45, 29, 3, 5
2019/4/6, 81, 32, 43, 26, 3, 17
2019/4/7, 68, 26, 51, 19, 3, 
2019/4/8, 63, 34, 61, 23, 5, 
2019/4/9, 77, 28, 51, 22, 4, 
2019/4/10, 62, 35, 78, 32, 4, 4
2019/4/11, 68, 35, 65, 17, 2, 3
2019/4/12, 59, 41, 50, 26, 4, 5
2019/4/13, 64, 28, 59, 21, 3, 4
2019/4/14, 49, 50, 94, 26, 8, 5
2019/4/15, 110, 52, 86, 28, 22, 6
2019/4/16, 102, 49, 86, 27, 5, 6
2019/4/17, 96, 38, 73, 25, 4, 7
2019/4/18, 75, 29, 45, 18, 3, 4
2019/4/19, 56, 34, 65, 9, 3, 3
2019/4/20, 57, 28, 64, 14, 5, 4
2019/4/21, 55, 31, 70, 18, 3, 5
2019/4/22, 62, 41, 72, 30, 6, 8
2019/4/23, 77, 45, 60, 36, 4, 8
2019/4/24, 91, 49, 54, 30, 5, 8
2019/4/25, 96, 50, 76, 29, 4, 9
2019/4/26, 99, 47, 78, 22, 15, 5
2019/4/27, 92, 46, 71, 27, 3, 7
2019/4/28, 99, 51, 87, 34, 4, 9
2019/4/29, 110, 49, 68, 41, 4, 12
2019/4/30, 112, 39, 71, 31, 2, 9
2019/5/1, 88, 26, 6, 40, 4, 13
2019/5/2, 62, 34, 44, 17, 2, 5
2019/5/3, 63, 37, 56, 32, 3, 10
2019/5/4, 76, 45, 62, 33, 3, 9
2019/5/5, 101, 43, 55, 26, 2, 9
2019/5/6, 95, 45, 47, 27, 2, 9
2019/5/7, 99, 37, 47, 27, 3, 9
2019/5/8, 78, 37, 47, 24, 3, 8
2019/5/9, 70, 38, 43, 26, 4, 7
2019/5/10, 76, 41, 28, 20, 3, 8
2019/5/11, 91, 61, 80, 24, 7, 11
2019/5/12, 136, 64, 70, 23, 3, 10
2019/5/13, 155, 69, 74, 34, 5, 14
2019/5/14, 158, 56, 70, 42, 5, 13
2019/5/15, 136, 66, 85, 24, 13, 10
2019/5/16, 149, 59, 60, 31, 4, 10
2019/5/17, 139, 41, 53, 27, 2, 9
2019/5/18, 101, 35, 60, 24, 2, 8
2019/5/19, 80, 35, 69, 16, 3, 7
2019/5/20, 78, 42, 81, 26, 2, 8
2019/5/21, 91, 44, 94, 28, 3, 8
2019/5/22, 92, 35, 85, 29, 3, 9
2019/5/23, 75, 44, 78, 28, 3, 9
