date, pm25, pm10, o3, no2, so2, co
2016/10/29, 48, 25, 44, 15, 2, 4
2016/10/30, 43, 26, 55, 16, 3, 4
2025/8/2, , 14, 69, 15, 2, 10
2025/8/3, , 29, 60, 11, 1, 8
2025/8/4, , 20, 53, 12, 2, 7
2025/8/5, , 19, 54, 10, 3, 6
2025/8/6, , 22, 21, 12, 1, 6
2025/8/7, , 17, 35, 12, 3, 7
2025/8/8, , 19, 56, 14, 2, 9
2025/8/9, , 27, 71, 12, 7, 8
2025/8/10, , 30, 46, 9, 2, 6
2025/8/11, , 24, 40, 10, 2, 7
2025/8/12, , 18, 36, 7, 4, 8
2025/8/13, , 18, 47, 13, 3, 9
2025/8/14, , 26, 28, 12, 2, 10
2025/8/15, , 21, , , , 
2025/7/2, , 12, 22, 7, 4, 7
2025/7/3, , 19, 32, 13, 3, 9
2025/7/4, , 20, , , , 
2025/7/8, , 29, 40, 15, 2, 9
2025/7/9, , 30, 18, 7, 4, 7
2025/7/10, , 30, 46, 14, 4, 10
2025/7/11, , 44, 59, 17, 8, 11
2025/7/12, , 36, 40, 13, 3, 10
2025/7/13, , 28, 36, 6, 2, 4
2025/7/14, , 17, 27, 10, 4, 4
2025/7/15, , 23, 45, 14, 4, 5
2025/7/16, , 29, 36, 10, 2, 4
2025/7/17, , 16, 52, 14, 1, 
2025/7/18, , 33, 39, 15, 2, 5
2025/7/19, , 32, 51, 13, 2, 6
2025/7/20, , 26, 36, 9, 2, 5
2025/7/21, , 15, 69, 11, 2, 6
2025/7/22, , 31, 66, 14, 2, 5
2025/7/23, , 34, 60, 13, 4, 5
2025/7/24, , 33, 57, 10, 1, 6
2025/7/25, , 15, 48, 11, 1, 6
2025/7/26, , 17, 48, 12, 1, 7
2025/7/27, , 19, 42, 11, 1, 6
2025/7/28, , 13, 41, 14, 1, 6
2025/7/29, , 19, 55, 11, 2, 5
2025/7/30, , 21, 41, 10, 2, 4
2025/7/31, , 17, 40, 11, 1, 6
2025/8/1, , 18, 42, 14, 2, 9
2025/4/2, , 57, 58, 13, 2, 5
2025/4/3, , 50, 55, 11, 1, 4
2025/4/4, , 52, 44, 6, 1, 3
2025/4/5, , 43, 46, 9, 2, 4
2025/4/6, , 47, 9, 15, 1, 5
2025/4/7, , 52, 42, 5, 1, 2
2025/4/8, , 41, 64, 18, 6, 4
2025/4/9, , 57, 83, 16, 2, 5
2025/4/10, , 47, 62, 18, 2, 5
2025/4/11, , 46, 51, 16, 1, 6
2025/4/12, , 53, 58, 17, 2, 4
2025/4/13, , 44, 64, 15, 1, 5
2025/4/14, , 45, 57, 16, 1, 6
2025/4/15, , 48, 57, 16, 1, 6
2025/4/16, , 55, 87, 19, 2, 7
2025/4/17, , 54, 79, 13, 1, 8
2025/4/18, , 51, 72, 12, 1, 8
2025/4/19, , 55, 67, 10, 2, 6
