date, pm25, pm10, o3, no2, so2, co
2025/8/2, 53, 31, 35, 26, 1, 4
2025/8/3, 60, 21, 67, 22, 1, 4
2025/8/4, 49, 23, 54, 14, 1, 4
2025/8/5, 43, 26, 61, 19, 1, 2
2025/8/6, 43, 18, 23, 18, 1, 2
2025/8/7, 36, 23, 46, 18, 1, 2
2025/8/8, 47, 32, 55, 27, 1, 4
2025/8/9, 66, 32, 68, 22, 7, 3
2025/8/10, 65, 28, 73, 19, 1, 3
2025/8/11, 67, 29, 68, 27, 1, 4
2025/8/12, 69, 20, 56, 18, 4, 3
2025/8/13, 50, 25, 26, 25, 1, 4
2025/8/14, 53, 24, 59, , 1, 3
2025/8/15, 57, 14, 34, , 1, 4
2025/8/16, 36, 25, 42, , 1, 4
2025/8/17, 56, 22, 46, , 4, 2
2025/8/18, 45, 22, 46, , 1, 3
2025/8/19, 51, 28, 54, , 5, 2
2025/8/20, 56, 22, 48, , 1, 1
2025/8/21, 49, 18, 46, , 3, 3
2025/8/22, 46, 28, 44, , 2, 4
2025/8/23, 67, 15, 43, , 1, 2
2025/8/24, 42, 17, 42, , 1, 3
2025/8/25, 50, 26, 59, , 6, 3
2025/8/26, 67, 21, 61, , 3, 3
2025/8/27, 55, 23, 22, 24, 1, 4
2025/8/28, 49, 25, 6, 25, 2, 4
2025/8/29, 55, , , , , 
2025/7/13, 83, 17, 59, 26, 2, 4
2025/7/14, 49, 23, 56, 16, 1, 1
2025/7/15, 56, 27, 34, 22, 2, 4
2025/7/16, 64, 25, 47, 25, 1, 4
2025/7/17, 60, 32, 59, 20, 2, 4
2025/7/18, 71, 32, 58, 31, 1, 4
2025/7/19, 71, 28, 55, 27, 1, 5
2025/7/20, 66, 19, 55, 24, 3, 4
2025/7/21, 51, 33, 41, 18, 1, 4
2025/7/22, 76, 33, 71, 19, 2, 3
2025/7/23, 63, 31, 63, 20, 2, 3
2025/7/24, 56, 21, 57, 17, 4, 2
2025/7/25, 42, 19, 58, 19, 1, 2
2025/7/26, 45, 24, 63, 19, 2, 2
2025/7/27, 62, 12, 47, 22, 1, 3
2025/7/28, 33, 19, 37, 15, 1, 1
2025/7/29, 37, 24, 34, 22, 1, 3
2025/7/30, 44, 21, 43, 20, 2, 1
2025/7/31, 42, 23, 49, 23, 1, 2
2025/8/1, 62, 18, 44, 20, 1, 2
2025/4/11, 48, 45, 54, 27, 3, 6
2025/4/12, 51, 36, 36, 27, 1, 7
2025/4/13, 48, 32, 56, 22, 2, 5
2025/4/14, 51, 39, 68, 19, 1, 6
2025/4/15, 54, 52, 55, 26, 1, 7
2025/4/16, 68, 48, 51, 23, 1, 6
2025/4/17, 75, 56, 80, 26, 2, 6
2025/4/18, 97, 57, 111, 24, 2, 9
2025/4/19, 106, 53, 101, 18, 1, 8
2025/4/20, 98, 49, 90, 14, 1, 6
2025/4/21, 84, 45, 65, 14, 1, 6
2025/4/22, 84, 46, 77, 18, 1, 7
2025/4/23, 92, 48, 91, 22, 1, 8
2025/4/24, 83, 45, 104, 16, 1, 6
2025/4/25, 77, 49, 97, 15, 1, 6
2025/4/26, 79, 42, 104, 17, 4, 6
2025/4/27, 79, 35, 101, 19, 1, 6
2025/4/28, 46, 42, 60, 12, 5, 4
2025/4/29, 60, 49, 91, 28, 1, 7
2025/4/30, 74, 48, 95, 18, 1, 6
2025/5/1, 78, 41, 86, 23, 5, 7
2025/5/2, 69, 41, 92, 19, 1, 7
2025/5/3, 64, 37, 61, 19, 1, 7
2025/5/4, 59, 35, 97, 16, 1, 4
2025/5/5, 59, 28, 65, 12, 1, 4
2025/5/6, 32, 35, 68, 15, 1, 5
2025/5/7, 49, 39, 61, 16, 1, 5
2025/5/8, 58, 40, 94, 24, 2, 7
2025/5/9, 58, 45, 90, 19, , 5
2025/5/10, 69, 28, 82, 27, 2, 8
2025/5/11, 52, 18, 83, 21, 2, 5
2025/5/12, 41, 37, 45, 25, 1, 7
2025/5/13, 58, , 106, 28, 1, 8
2025/5/17, 58, 39, 81, 12, 1, 5
2025/5/18, 60, 37, 101, 21, 1, 6
2025/5/19, 63, 36, 91, 18, 7, 6
2025/5/20, 59, 39, 95, 23, 4, 6
2025/5/21, 64, 37, 102, 29, 2, 6
2025/5/22, 64, 37, 40, 25, 1, 6
2025/5/23, 74, , , 25, 5, 7
2025/5/27, 41, 16, , 39, 1, 11
2025/5/28, 36, 9, , 23, 1, 7
2025/5/29, 17, 6, , 20, 1, 6
2025/6/4, 55, 26, 81, 31, 1, 10
2025/6/5, 48, 24, 56, 18, 1, 6
2025/6/6, 43, 26, 56, 16, 1, 5
2025/6/7, 45, 24, 60, 16, 1, 4
2025/6/8, 40, 26, 72, 14, 2, 4
2025/6/9, 42, 19, 58, 13, 8, 5
2025/6/10, 33, 31, 76, 12, 4, 4
2025/6/11, 57, 23, 88, 18, 4, 6
2025/6/12, 39, 24, 59, 15, 1, 5
2025/6/13, 60, 15, 47, 25, 5, 8
2025/6/14, 58, 9, 46, 21, 5, 8
2025/6/15, 25, , 17, 8, 2, 4
2025/6/19, 23, 10, 18, 20, 1, 8
2025/6/20, 20, 4, 15, 17, 2, 6
2025/6/21, 17, , 16, 7, 1, 4
2025/6/27, 21, 14, 37, 25, 3, 9
2025/6/28, 36, 14, 40, 24, 3, 9
2025/6/29, 35, 8, 38, 19, 2, 7
2025/6/30, 22, 2, 31, 13, 1, 5
2025/1/2, 134, 47, 52, 32, 6, 9
2025/1/3, 87, 47, 52, 28, 2, 8
2025/1/4, 88, 32, 55, 23, 4, 8
2025/1/5, 54, 21, 39, 22, 1, 8
2025/1/6, 42, 34, 47, 32, 1, 12
2025/1/7, 67, 45, 33, 35, 2, 14
2025/1/8, 77, 38, 40, 26, 8, 9
2025/1/9, 70, 29, 29, 18, 2, 9
2025/1/10, 50, 18, 23, 9, 1, 4
2025/1/11, 22, 9, 23, 7, 1, 4
2025/1/12, 21, 4, 23, 7, 1, 4
2025/1/13, 14, 34, 43, 30, 2, 13
2025/1/14, 58, 40, 52, 34, 4, 13
2025/1/15, 79, 40, 57, 28, 4, 9
2025/1/16, 82, 42, 50, 32, 7, 10
2025/1/17, 75, 37, 71, 26, 1, 10
2025/1/18, 69, 35, 64, 24, 1, 9
2025/1/19, 72, 30, 68, 21, 1, 9
2025/1/20, 63, 24, 43, 14, 1, 6
