date, pm25, pm10, o3, no2, so2, co
2025/8/2, 39, , 66, 21, 2, 6
2025/8/3, 54, , 60, 14, 2, 4
2025/8/4, 44, , 54, 17, 1, 4
2025/8/5, 38, , 64, 13, 1, 2
2025/8/6, 38, , 23, 14, 1, 3
2025/8/7, 30, , 39, 15, 1, 4
2025/8/8, 40, , 64, 22, 1, 6
2025/8/9, 59, , 77, 19, 7, 5
2025/8/10, 63, , 73, 17, 1, 6
2025/8/11, 65, , 66, 20, 1, 6
2025/8/12, 57, , 50, 15, 4, 3
2025/8/13, 49, , 66, 20, 1, 4
2025/8/14, 54, , 43, 16, 1, 5
2025/8/15, 53, , 33, 13, 1, 5
2025/8/16, 27, , 47, 17, 1, 
2025/8/17, 45, , 50, 11, 9, 
2025/8/18, 46, , 52, 18, 1, 
2025/8/19, 41, , 62, 16, 8, 
2025/8/20, 52, , 52, 15, 1, 
2025/8/21, 52, , 38, 13, 3, 
2025/8/22, 39, , 51, 18, 4, 
2025/8/23, 57, , 43, 12, 3, 
2025/8/24, 34, , 40, 11, 1, 
2025/8/25, 34, , 64, 14, 7, 
2025/8/26, 57, , 74, 15, 5, 
2025/8/27, 45, , 22, 18, , 
2025/8/28, 42, , 3, 18, , 
2025/8/29, 46, , , , , 
2025/7/2, 18, , 27, 9, 1, 3
2025/7/3, 23, , 40, 17, 2, 5
2025/7/4, 52, , , , , 
2025/7/8, 56, , 45, 17, 1, 3
2025/7/9, 51, , 19, 10, 6, 2
2025/7/10, 51, , 49, 23, 4, 6
2025/7/11, 76, , 61, 25, 4, 6
2025/7/12, 77, , 53, 20, 1, 7
2025/7/13, 63, , 44, 11, 2, 3
2025/7/14, 35, , 28, 15, 3, 4
2025/7/15, 50, , 53, 21, 1, 5
2025/7/16, 54, , 69, 19, 2, 5
2025/7/17, 56, , 63, 24, 1, 6
2025/7/18, 63, , 46, 19, 2, 5
2025/7/19, 69, , 57, 19, 3, 5
2025/7/20, 61, , 38, 16, 2, 5
2025/7/21, 44, , 75, 17, 4, 5
2025/7/22, 63, , 71, 17, 3, 4
2025/7/23, 58, , 64, 16, 7, 4
2025/7/24, 54, , 63, 16, 1, 4
2025/7/25, 40, , 63, 16, 3, 3
2025/7/26, 43, , 49, 18, 1, 5
2025/7/27, 49, , 40, 14, 1, 3
2025/7/28, 31, , 38, 19, 2, 4
2025/7/29, 39, , 45, 16, 2, 3
2025/7/30, 39, , 43, 14, 1, 3
2025/7/31, 36, , 44, 18, 1, 4
2025/8/1, 45, , 43, 20, 1, 5
2025/4/2, 93, , 81, 17, 3, 6
2025/4/4, 65, , 56, 9, 1, 3
2025/4/5, 59, , 64, 12, 1, 4
2025/4/6, 62, , 11, 22, 1, 7
2025/4/7, 65, , 53, 10, 1, 4
2025/4/8, 73, , 95, 21, 14, 6
2025/4/9, 84, , 106, 20, 3, 6
2025/4/10, 69, , 73, 22, 3, 6
2025/4/11, 57, , 62, 18, 2, 5
2025/4/12, 48, , 71, 17, 2, 5
2025/4/13, 54, , 85, 16, 2, 5
2025/4/14, 61, , 80, 21, 1, 7
2025/4/15, 66, , 69, 20, 1, 7
2025/4/16, 69, , 110, 23, 3, 7
2025/4/17, 92, , 118, 17, 1, 7
2025/4/18, 113, , 117, 11, 1, 7
2025/4/19, 123, , 101, 10, 1, 7
2025/4/20, 112, , 74, 10, 1, 6
2025/4/21, 99, , 88, 15, 1, 7
2025/4/22, 97, , 105, 18, 1, 8
2025/4/23, 95, , 116, 11, 1, 6
2025/4/24, 88, , 101, 10, 1, 6
2025/4/25, 86, , 123, 15, 2, 6
2025/4/26, 97, , 112, 18, 1, 6
2025/4/27, 86, , 69, 16, 2, 5
2025/4/28, 59, , 101, 21, 1, 5
2025/4/29, 67, , 113, 14, 1, 5
2025/4/30, 81, , 97, 17, 3, 6
2025/5/1, 95, , 104, 16, 1, 6
2025/5/2, 84, , 95, 11, 1, 5
2025/5/3, 83, , 94, 9, 1, 5
2025/5/4, 81, , 63, 10, 1, 5
2025/5/5, 78, , 71, 10, 1, 4
2025/5/6, 62, , 52, 14, , 5
2025/5/7, 71, , , , , 
2025/5/17, 80, , 110, 15, 1, 5
2025/5/18, 89, , 83, 14, 9, 6
2025/5/19, 81, , 84, 22, 2, 6
2025/5/20, 83, , , 28, , 7
2025/5/21, 87, , 110, 20, 1, 6
2025/5/22, 72, , 85, 20, 4, 6
2025/5/23, 82, , 109, 20, 6, 6
2025/5/24, 86, , 56, 12, 1, 5
2025/5/25, 66, , 46, 12, 2, 5
2025/5/26, 43, , 51, 23, 1, 7
2025/5/27, 47, , 84, 21, 1, 7
2025/5/28, 55, , 30, 15, 1, 5
2025/5/29, 29, , 36, 14, 1, 6
2025/5/30, 26, , 48, , 1, 6
2025/5/31, 44, , 75, , 2, 6
2025/6/1, 61, , 79, , 1, 7
2025/6/2, 64, , 70, , 1, 7
2025/6/3, 52, , 87, 19, 1, 8
2025/6/4, 53, , 64, 18, 1, 8
2025/6/5, 58, , 69, 12, 1, 4
2025/6/6, 62, , 57, 13, 1, 4
2025/6/7, 68, , 69, 13, 1, 2
2025/6/8, 55, , 49, 10, 3, 2
2025/6/9, 55, , 82, 10, 2, 2
2025/6/10, 50, , 95, 17, 3, 4
2025/6/11, 74, , 52, 14, 1, 3
2025/6/12, 60, , 55, 20, 4, 6
2025/6/13, 64, , 36, 15, 2, 5
2025/6/14, 39, , 17, 8, 2, 3
2025/6/15, 21, , 27, 9, , 3
