date, pm25, pm10, o3, no2, so2, co
2025/8/2, 32, 25, , , , 
2025/8/3, 31, 24, , , , 
2025/8/4, 33, 20, , , , 
2025/8/5, 22, 29, , , , 
2025/8/6, 35, 24, , , , 
2025/8/7, 36, 32, 32, , , 
2025/8/8, 41, 36, 28, , , 
2025/8/9, 43, 32, 29, , , 
2025/8/10, 43, 28, 27, , , 
2025/8/11, 40, 40, 32, , , 
2025/8/12, 48, 31, 21, , , 
2025/8/13, 41, 19, 30, , , 
2025/8/14, 30, 13, 28, , , 
2025/8/15, 21, 15, 22, , , 
2025/8/16, 21, 10, 36, , , 
2025/8/17, 18, 10, 27, , , 
2025/8/18, 20, 17, 24, , , 
2025/8/19, 24, 24, 6, , , 
2025/8/20, 34, 14, 24, , , 
2025/8/21, 20, 21, 23, , , 
2025/8/22, 33, 24, 33, , , 
2025/8/23, 36, 24, 32, , , 
2025/8/24, 36, 16, 33, , , 
2025/8/25, 33, 31, 32, , , 
2025/8/26, 47, 15, 26, , , 
2025/8/27, 28, 17, 22, , , 
2025/8/28, 26, 20, 26, , , 
2025/8/29, 31, 34, 6, , , 
2025/8/30, 45, , , , , 
2025/7/2, 19, 7, 3, , , 
2025/7/3, 12, 13, 1, , , 
2025/7/4, 21, 29, , , , 
2025/7/5, 27, 26, , , , 
2025/7/6, 26, 50, , , , 
2025/7/7, 45, 21, , , , 
2025/7/8, 32, 22, , , , 
2025/7/9, 33, 21, , , , 
2025/7/10, 31, 26, , , , 
2025/7/11, 33, 39, , , , 
2025/7/12, 40, 19, , , , 
2025/7/13, 26, 17, , , , 
2025/7/14, 34, 19, , , , 
2025/7/15, 34, 18, , , , 
2025/7/16, 30, 29, , , , 
2025/7/17, 36, 25, , , , 
2025/7/18, 30, 15, , , , 
2025/7/19, 23, 25, , , , 
2025/7/20, 36, 14, , , , 
2025/7/21, 24, 18, , , , 
2025/7/22, 21, 12, , , , 
2025/7/23, 19, 12, , , , 
2025/7/24, 21, 16, , , , 
2025/7/25, 22, 21, , , , 
2025/7/26, 26, 22, , , , 
2025/7/27, 27, 15, , , , 
2025/7/28, 23, 16, , , , 
2025/7/29, 23, 21, , , , 
2025/7/30, 28, 24, , , , 
2025/7/31, 31, 29, , , , 
2025/8/1, 34, 29, , , , 
2025/4/2, 54, 59, 35, , , 
2025/4/3, 38, 32, 32, , , 
2025/4/4, 22, 37, 40, , , 
2025/4/5, 31, 22, 38, , , 
2025/4/6, 23, 8, 25, , , 
2025/4/7, 15, 24, 39, , , 
2025/4/8, 26, 33, 38, , , 
2025/4/9, 34, 40, 40, , , 
2025/4/10, 38, 43, 40, , , 
2025/4/11, 43, 45, 38, , , 
2025/4/12, 43, 42, 46, , , 
2025/4/13, 42, 42, 46, , , 
2025/4/14, 47, 42, 49, , , 
2025/4/15, 48, 45, 42, , , 
2025/4/16, 49, 39, 30, , , 
2025/4/17, 48, 33, 43, , , 
2025/4/18, 56, 71, 48, , , 
2025/4/19, 72, 29, 42, , , 
2025/4/20, 77, 112, 40, , , 
2025/4/21, 114, 62, 38, , , 
2025/4/22, 57, 38, 43, , , 
2025/4/23, 32, 39, 40, , , 
2025/4/24, 36, 35, 42, , , 
2025/4/25, 33, 49, 45, , , 
2025/4/26, 45, 50, 40, , , 
2025/4/27, 50, 35, 29, , , 
2025/4/28, 56, 43, 31, , , 
2025/4/29, 60, 42, 32, , , 
2025/4/30, 65, 35, 46, , , 
2025/5/1, 39, 32, 43, , , 
2025/5/2, 35, 26, 39, , , 
2025/5/3, 29, 45, 38, , , 
2025/5/4, 45, 32, 37, , , 
2025/5/5, 39, 27, 37, , , 
2025/5/6, 23, 27, 42, , , 
2025/5/7, 29, 43, 42, , , 
2025/5/8, 41, 43, 96, , , 
2025/5/9, 41, 21, 44, , , 
2025/5/10, 23, 19, 51, , , 
2025/5/11, 26, 27, 66, , , 
2025/5/12, 34, 50, 55, , , 
2025/5/13, 58, 35, 37, , , 
2025/5/14, 45, 26, 36, , , 
2025/5/15, 27, 20, 30, , , 
2025/5/16, 23, 28, 32, , , 
2025/5/17, 27, 16, 30, , , 
2025/5/18, 16, 12, 13, , , 
2025/5/19, 13, 23, 29, , , 
2025/5/20, 21, 38, 34, , , 
2025/5/21, 42, 47, 34, , , 
2025/5/22, 51, 55, 29, , , 
2025/5/23, 60, 43, 27, , , 
2025/5/24, 51, 22, 17, , , 
2025/5/25, 23, 23, 17, , , 
2025/5/26, 31, 18, 29, , , 
2025/5/27, 20, 37, 29, , , 
2025/5/28, 46, 36, 22, , , 
2025/5/29, 47, 56, 38, , , 
2025/5/30, 59, 40, 37, , , 
2025/5/31, 49, 18, 22, , , 
2025/6/1, 36, 15, 28, , , 
2025/6/2, 34, 16, 24, , , 
2025/6/3, 23, 27, 41, , , 
2025/6/4, 29, 26, 29, , , 
2025/6/5, 28, 27, 10, , , 
2025/6/6, 31, 26, 42, , , 
2025/6/7, 33, 24, 42, , , 
2025/6/8, 25, 31, 47, , , 
2025/6/9, 30, 30, 49, , , 
2025/6/10, 28, 27, 49, , , 
2025/6/11, 63, 142, 43, , , 
2025/6/12, 91, 54, 23, , , 
2025/6/13, 46, 43, 22, , , 
2025/6/14, 40, 42, 30, , , 
2025/6/15, 36, 31, 28, , , 
2025/6/16, 36, 37, 23, , , 
2025/6/17, 42, 48, 26, , , 
2025/6/18, 48, 47, 26, , , 
2025/6/19, 39, 47, 25, , , 
2025/6/20, 41, 33, 26, , , 
2025/6/21, 28, 26, 25, , , 
2025/6/22, 25, 14, 17, , , 
2025/6/23, 19, 13, 11, , , 
2025/6/24, 18, 13, 12, , , 
2025/6/25, 21, 21, 16, , , 
2025/6/26, 29, 13, 13, , , 
2025/6/27, 21, 13, , , , 
2025/6/28, 18, 16, 9, , , 
2025/6/29, 23, 12, 9, , , 
2025/6/30, 19, 12, 2, , , 
2025/7/1, 19, 11, 1, , , 
2025/1/7, 51, 61, 18, , , 
2025/1/8, 54, 29, 18, , , 
2025/1/9, 21, 38, 18, , , 
2025/1/10, 33, 16, 13, , , 
2025/1/11, 32, 33, 11, , , 
2025/1/12, 62, 57, 21, , , 
2025/1/13, 109, 50, 14, , , 
2025/1/14, 76, 53, 16, , , 
2025/1/15, 73, 41, 13, , , 
2025/1/16, 52, 45, 16, , , 
2025/1/17, 50, 18, 12, , , 
2025/1/18, 10, 33, 19, , , 
2025/1/19, 37, 73, 17, , , 
2025/1/20, 69, 76, 13, , , 
2025/1/21, 76, 57, 13, , , 
2025/1/22, 55, 69, 13, , , 
2025/1/23, 87, 62, 23, , , 
2025/1/24, 64, 53, 12, , , 
2025/1/25, 56, 45, 9, , , 
2025/1/26, 42, 20, 8, , , 
2025/1/27, 26, 26, 8, , , 
2025/1/28, 26, 20, 12, , , 
2025/1/29, 15, 19, 10, , , 
2025/1/30, 17, 32, 5, , , 
2025/1/31, 33, 50, 14, , , 
2025/2/1, 53, 59, 9, , , 
2025/2/2, 61, 67, 22, , , 
2025/2/3, 72, 61, 20, , , 
2025/2/4, 61, 58, 11, , , 
2025/2/5, 54, 63, 6, , , 
2025/2/6, 58, 61, 9, , , 
2025/2/7, 56, 80, 4, , , 
2025/2/8, 74, , , , , 
2025/2/11, 36, 46, 4, , , 
2025/2/12, 28, 48, 11, , , 
2025/2/13, 33, 67, 12, , , 
2025/2/14, 56, 57, 4, , , 
2025/2/15, 46, 78, 16, , , 
2025/2/16, 57, 52, 18, , , 
2025/2/17, 47, 63, 7, , , 
2025/2/18, 56, 26, 6, , , 
2025/2/19, 17, 51, 21, , , 
2025/2/20, 44, 59, 14, , , 
2025/2/21, 52, 57, 14, , , 
2025/2/22, 50, 54, 17, , , 
2025/2/23, 49, 46, 21, , , 
2025/2/24, 42, 53, 14, , , 
2025/2/25, 44, 63, 21, , , 
2025/2/26, 54, 62, 16, , , 
2025/2/27, 54, 52, 31, , , 
2025/2/28, 43, 52, 33, , , 
2025/3/1, 49, 56, 28, , , 
2025/3/2, 51, 63, 30, , , 
2025/3/3, 49, 70, 37, , , 
2025/3/4, 45, 31, 38, , , 
2025/3/5, 26, 53, 31, , , 
2025/3/6, 50, 54, 34, , , 
2025/3/7, 34, 27, 37, , , 
2025/3/8, 21, 40, 35, , , 
2025/3/9, 34, 23, 35, , , 
2025/3/10, 22, 43, 33, , , 
2025/3/11, 38, 41, 38, , , 
2025/3/12, 34, 32, 36, , , 
2025/3/13, 30, 45, 29, , , 
2025/3/14, 32, 58, 34, , , 
2025/3/15, 36, 37, 36, , , 
2025/3/16, 28, 79, 35, , , 
2025/3/17, 68, 65, 30, , , 
2025/3/18, 56, 57, 33, , , 
2025/3/19, 55, 73, 35, , , 
2025/3/20, 59, 65, 34, , , 
2025/3/21, 52, 85, 40, , , 
2025/3/22, 77, 58, 43, , , 
2025/3/23, 57, 39, 46, , , 
2025/3/24, 40, 39, 41, , , 
2025/3/25, 37, 45, 38, , , 
2025/3/26, 48, 68, 31, , , 
2025/3/27, 61, 78, 38, , , 
2025/3/28, 65, 38, 38, , , 
2025/3/29, 39, 32, 37, , , 
2025/3/30, 24, 15, 34, , , 
2025/3/31, 16, 38, 35, , , 
2025/4/1, 35, 61, 40, , , 
2024/10/2, 32, 34, 38, , , 
2024/10/3, 40, 43, 39, , , 
2024/10/4, 47, 40, 45, , , 
2024/10/5, 43, 44, 34, , , 
2024/10/6, 50, , , , , 
2024/10/8, 37, 41, 38, , , 
2024/10/9, 48, 44, 40, , , 
2024/10/10, 49, 50, 42, , , 
2024/10/11, 55, 54, 44, , , 
2024/10/12, 58, 55, 42, , , 
2024/10/13, 59, 46, 43, , , 
2024/10/14, 53, 53, 49, , , 
