date, pm25, pm10, o3, no2, so2, co
2018/8/16, 84, 30, 40, 12, 9, 3
2018/8/17, 79, 28, 41, 16, 2, 6
2018/8/18, 72, 29, 44, 9, 5, 3
2018/8/19, 70, 28, 41, 12, 4, 3
2018/8/20, 61, 29, 53, 10, 18, 2
2018/8/21, 67, 32, 37, 12, 9, 2
2025/8/2, , 21, 55, 16, 7, 3
2025/8/3, , 36, 54, 15, 10, 2
2025/8/4, , 27, 46, 14, 5, 2
2025/8/5, , 30, 43, 14, 4, 2
2025/8/6, , 32, 26, 14, 4, 2
2025/8/7, , 24, 44, 13, 13, 2
2025/8/8, , 28, 50, 15, 6, 2
2025/8/9, , 28, 55, 17, 17, 2
2025/8/10, , 39, 72, 13, 11, 7
2025/8/11, , 33, 59, 23, 5, 9
2025/8/12, , 30, 40, 24, 6, 5
2025/8/13, , 31, 48, 17, 2, 2
2025/8/14, , 29, 57, 15, 1, 2
2025/8/15, , 36, 69, 20, 2, 1
2025/8/16, , 26, 46, 13, 2, 1
2025/8/17, , 26, 42, 9, 6, 
2025/8/18, , 28, 47, 15, 2, 2
2025/8/19, , 34, 51, 14, 10, 2
2025/8/20, , 36, 51, 16, 2, 2
2025/8/21, , 36, 45, 18, 2, 2
2025/8/22, , 38, 49, 14, 3, 2
2025/8/23, , 30, 60, 17, 1, 3
2025/8/24, , 23, 64, 11, 1, 1
2025/8/25, , 15, 61, 11, 4, 3
2025/8/26, , 25, 55, 11, 1, 2
2025/8/27, , 21, 38, 18, 1, 2
2025/8/28, , 24, 14, 14, 6, 
2025/8/29, , 28, , , , 
2025/7/2, , 15, , 20, 9, 3
2025/7/3, , 42, , 12, 3, 3
2025/7/4, , 27, , , , 
2025/7/8, , 36, 46, 13, 1, 31
2025/7/9, , 31, 24, 14, 4, 
2025/7/10, , 43, 47, 20, 6, 
2025/7/11, , 51, 55, 18, 2, 2
2025/7/12, , 35, 60, 23, 3, 4
2025/7/13, , 34, 77, 17, 1, 2
2025/7/14, , 20, 100, 14, 4, 2
2025/7/15, , 29, 42, 24, 3, 6
2025/7/16, , 35, 61, 20, 5, 3
2025/7/17, , 31, 51, 14, 2, 2
2025/7/18, , 29, 51, 18, 1, 2
2025/7/19, , 35, 50, 13, 1, 2
2025/7/20, , 26, 62, 13, 2, 1
2025/7/21, , 26, 48, 19, 1, 2
2025/7/22, , 35, 59, 15, 5, 1
2025/7/23, , 38, 46, 13, 8, 2
2025/7/24, , 34, 54, 18, 3, 2
2025/7/25, , 35, 65, 18, 1, 2
2025/7/26, , 41, 45, 17, 1, 2
2025/7/27, , 32, 35, 10, , 1
2025/7/28, , 15, 30, 15, , 2
2025/7/29, , 34, 36, 12, 1, 2
2025/7/30, , 34, 39, 11, 3, 1
2025/7/31, , 27, 47, 16, 4, 4
2025/8/1, , 23, 31, 17, 4, 4
2025/4/2, , 58, 86, 16, 5, 5
2025/4/3, , 50, 66, 17, 2, 5
2025/4/4, , 48, 49, 14, 2, 4
2025/4/5, , 48, 45, 13, 1, 5
2025/4/6, , 49, 15, 11, 2, 4
2025/4/7, , 36, 41, 15, 16, 5
2025/4/8, , 48, 39, 18, 26, 5
