date, pm25, pm10, o3, no2, so2, co
2019/7/10, 37, 22, 66, 19, 3, 7
2019/7/11, 71, 19, 56, 15, 10, 4
2019/7/12, 90, 32, 25, 34, 3, 10
2019/7/13, 75, 19, 36, 24, 3, 6
2019/7/14, 65, 12, 59, 19, 3, 5
2019/7/15, 79, 24, 58, 13, 3, 5
2019/7/16, 63, 26, 57, 15, 2, 6
2019/7/17, 56, 22, 51, 13, 5, 4
2019/1/2, 120, 46, 23, 36, , 12
2019/1/3, 98, 48, 42, 50, 7, 12
2019/1/4, 99, 50, 66, 39, 11, 9
2019/1/5, 104, 45, 67, 30, 9, 7
2019/1/6, 91, 36, 64, 27, 7, 7
2019/1/7, 67, 42, 48, 31, 6, 13
2019/1/8, 70, 36, 42, 27, 5, 8
2019/1/11, 81, 33, 64, 30, 6, 9
2019/1/12, 77, 35, 40, 27, 14, 8
2019/1/13, 77, 28, 31, 15, 3, 4
2019/1/14, 61, 23, 34, 16, 22, 4
2019/1/15, 59, 37, 45, 26, 15, 9
2019/1/16, 89, 40, 59, 26, 13, 8
2019/1/17, 94, 37, 35, 31, 14, 9
2019/1/30, 84, 35, 39, 23, 6, 9
2019/1/31, 88, 32, 32, 32, 4, 11
2019/2/1, 70, 40, 46, 33, 4, 12
2019/2/2, 82, 38, 67, 34, 6, 10
2019/2/3, 83, 40, 92, 31, 10, 9
2019/2/4, 74, 36, 86, 29, 6, 8
2019/2/5, 89, 43, 53, 30, 9, 11
2019/2/8, 83, 37, 31, 15, 10, 5
2019/2/9, 65, 30, 57, 19, 13, 6
2019/2/10, 91, 32, 72, 27, 8, 8
2019/2/11, 79, 42, 74, 30, 8, 11
2019/2/12, 74, 46, 41, 21, 15, 10
2019/2/13, 64, 37, 26, 32, 26, 10
2019/2/14, 107, 30, 49, 25, 3, 9
2019/2/15, 82, 41, 88, 37, 4, 12
2019/2/16, 83, 39, 74, 30, 4, 8
2019/2/17, 76, 29, 48, 23, 3, 6
2019/2/18, 64, 39, 35, 30, 4, 9
2019/2/19, 61, 25, 26, 19, 3, 7
2019/2/20, 53, 26, 23, 16, 3, 7
2019/2/21, 51, 24, 23, 11, 3, 6
2019/2/22, 40, 29, 23, 16, 3, 7
2019/2/23, 50, 31, 44, 19, 4, 6
2019/2/24, 63, 28, 47, 13, 5, 4
2019/2/25, 57, 29, 38, 24, 3, 10
2019/2/26, 75, 25, 39, 24, 4, 9
2019/2/27, 74, 27, 40, 21, 4, 7
2019/3/9, 67, , 83, , , 
2019/3/10, 80, , 81, , , 
2019/3/11, 78, , 76, , , 
2019/3/12, 77, , 45, , , 
2019/3/13, 85, , 64, , , 
2019/3/14, 85, , 85, , , 
2019/3/15, 93, , 72, , , 
2019/3/16, 93, , 57, , , 
2019/3/17, 83, , 59, , , 
2019/3/18, 66, , 36, , , 
2019/3/23, 75, , 48, , , 
2019/3/24, 73, , 69, , , 
2019/3/25, 68, , 46, , , 
2019/3/26, 53, , 45, , , 
2019/3/27, 48, , 42, , , 
2019/3/28, 56, , 50, , , 
2019/3/29, 80, 54, 50, , , 
2018/10/11, 77, 27, 52, 27, 2, 10
2018/10/16, 59, 23, 35, 22, 3, 11
2018/10/17, 56, 22, 41, 18, 2, 7
2018/11/8, 78, 41, 39, 25, , 7
2018/11/9, 64, 25, 44, 21, , 9
2018/11/10, 69, 28, 44, 20, , 8
2018/12/15, 76, 38, 42, 36, 8, 13
2018/12/16, 119, 49, 37, 36, 32, 10
2018/12/17, 116, 46, 57, 35, 24, 11
2018/12/18, 105, 52, 46, 59, 20, 17
2018/12/19, 129, 52, 74, 44, 15, 14
2018/12/20, 54, 23, 30, 22, 3, 9
2018/12/21, 36, 24, 38, 26, 16, 9
2018/12/23, 98, 44, 47, 46, 19, 12
2018/12/24, 86, 41, 71, 36, 9, 10
2018/12/25, 92, 41, 50, 40, 16, 11
2018/12/26, 145, 68, 102, 36, 23, 13
2018/12/27, 82, 31, 35, 31, , 10
2018/12/28, 56, 21, 29, 24, , 8
2018/12/29, 72, 36, 27, 37, , 12
2018/12/30, 75, 34, 48, 37, , 11
2018/12/31, 75, 29, 33, 22, , 8
2018/7/3, 81, 45, 45, 19, 14, 5
2018/7/4, 78, 36, 55, 21, 6, 6
2018/7/5, 95, 38, 34, 13, 5, 4
2018/7/10, 69, 20, 38, 15, 3, 6
2018/7/11, 57, 25, 43, 20, 5, 6
2018/7/12, 74, 28, 40, 16, 3, 6
2018/7/13, 48, 42, 49, 18, 17, 5
2018/7/14, 64, 19, 39, 22, 5, 6
2018/7/15, 10, 36, 63, 16, 6, 6
2018/7/29, 67, , , , , 
2018/7/31, 57, 32, 65, 22, 5, 
2018/8/1, 62, 22, 40, 16, 3, 
2018/8/2, 48, 27, 34, 13, 5, 
2018/8/3, 40, 16, 35, 18, 2, 
2018/8/4, 41, 21, 32, 15, 14, 
2018/8/5, 76, 12, 43, 12, 2, 
2018/8/6, 43, 23, 32, 20, 3, 
2018/8/7, 43, 17, 57, 16, 4, 
2018/8/8, 67, 37, 54, 27, 4, 
2018/8/9, 73, 27, 51, 18, 5, 
2018/8/10, 73, 35, 46, 31, 4, 
