date, pm25, pm10, o3, no2, so2, co
2025/8/2, 40, , 54, 18, 1, 7
2025/8/3, 57, , 52, 9, 2, 5
2025/8/4, 43, , 42, 11, 1, 4
2025/8/5, 35, , 59, 11, 1, 2
2025/8/6, 35, , 24, 8, 1, 2
2025/8/7, 30, , 38, 15, 1, 3
2025/8/8, 42, , 49, 18, 1, 4
2025/8/9, 53, , 60, 16, 12, 4
2025/8/10, 63, , 54, 18, 1, 5
2025/8/11, 66, , 61, 20, 2, 4
2025/8/12, 55, , 57, 13, 5, 3
2025/8/13, 49, , 53, 17, 1, 3
2025/8/14, 48, , 60, 20, 1, 4
2025/8/15, 53, , 36, 14, 1, 3
2025/8/16, 28, , 38, 13, 1, 3
2025/8/17, 45, , 41, 10, 3, 2
2025/8/18, 46, , 46, 15, 1, 3
2025/8/19, 41, , 49, 13, 3, 3
2025/8/20, 43, , 44, 8, 1, 2
2025/8/21, 43, , 39, 13, 4, 3
2025/8/22, 38, , 43, 16, 1, 4
2025/8/23, 53, , 40, 14, 1, 3
2025/8/24, 37, , 45, 11, 4, 2
2025/8/25, 42, , 55, 13, 4, 3
2025/8/26, 60, , 55, 13, 1, 2
2025/8/27, 45, , 25, 16, 1, 4
2025/8/28, 37, , 4, 20, 4, 3
2025/8/29, 51, , , , , 
2025/7/2, 20, , 28, 12, 1, 2
2025/7/3, 26, , 37, 17, 4, 2
2025/7/4, 61, , , , , 
2025/7/8, 53, , 39, 16, 1, 3
2025/7/9, 50, , 22, 10, 1, 2
2025/7/10, 55, , 58, 20, 3, 3
2025/7/11, 76, , 54, 24, 3, 4
2025/7/12, 69, , 49, 19, 1, 4
2025/7/13, 65, , 61, 13, 1, 2
2025/7/14, 39, , 40, 17, 3, 3
2025/7/15, 59, , 44, 18, 3, 3
2025/7/16, 58, , 48, 11, 1, 2
2025/7/17, 43, , 42, 20, 1, 3
2025/7/18, 64, , 49, 14, 3, 3
2025/7/19, 68, , 49, 20, 2, 5
2025/7/20, 59, , 46, 15, 2, 4
2025/7/21, 48, , 57, 12, 2, 3
2025/7/22, 63, , 60, 14, 3, 3
2025/7/23, 61, , 50, 11, 2, 3
2025/7/24, 53, , 55, 11, 1, 2
2025/7/25, 33, , 60, 14, 1, 3
2025/7/26, 38, , 43, 18, 1, 4
2025/7/27, 45, , 33, 8, 1, 2
2025/7/28, 26, , 33, 12, 1, 3
2025/7/29, 35, , 39, 11, 1, 3
2025/7/30, 37, , 36, 11, 1, 2
2025/7/31, 27, , 46, 13, 1, 3
2025/8/1, 43, , 32, 20, 1, 8
2025/4/2, 88, , 59, 18, 2, 4
2025/4/3, 80, , 53, 18, 1, 4
2025/4/4, 68, , 43, 14, 1, 3
2025/4/5, 59, , 50, 14, 1, 4
2025/4/6, 64, , 1, 33, 1, 5
2025/4/7, 61, , 42, 16, 1, 4
2025/4/8, 71, , 56, 16, 16, 3
2025/4/9, 80, , 63, 12, 5, 2
2025/4/10, 58, , 50, 17, 3, 3
2025/4/11, 50, , 44, 16, 3, 3
2025/4/12, 50, , 49, 14, 1, 3
2025/4/13, 51, , 55, 11, 4, 3
2025/4/14, 47, , 52, 17, 1, 3
2025/4/15, 52, , 50, 15, 6, 4
2025/4/16, 123, , 64, 14, 1, 2
2025/4/25, 91, , 89, 12, 8, 4
2025/4/26, 87, , 71, 17, 2, 4
2025/4/27, 79, , 53, 12, 5, 4
2025/4/28, 61, , 73, 15, 1, 4
2025/4/29, 59, , 81, 14, 1, 4
2025/4/30, 73, , 68, 17, 6, 5
2025/5/1, 87, , 71, 17, 1, 4
2025/5/2, 74, , 83, 19, 1, 5
2025/5/3, 84, , 84, 11, 1, 4
2025/5/4, 78, , 60, 13, 1, 5
2025/5/5, 83, , 64, 17, 1, 4
2025/5/6, 62, , 55, 15, , 4
2025/5/7, 68, , 81, 17, 2, 5
2025/5/8, 73, , 81, 18, , 5
2025/5/9, 75, , 56, 23, 2, 6
2025/5/10, 78, , 63, 13, 1, 4
2025/5/11, 52, , 45, 20, 1, 5
2025/5/12, 58, , 88, 16, 2, 4
2025/5/13, 66, , , , , 
2025/5/17, 85, , 84, 12, 2, 4
2025/5/18, 81, , 82, 14, 4, 4
2025/5/19, 79, , 91, 13, 5, 4
2025/5/20, 83, , 79, 22, 2, 5
2025/5/21, 81, , 81, 14, 2, 4
2025/5/22, 82, , 67, 16, 1, 4
2025/5/23, 78, , 70, 15, 9, 4
2025/5/24, 79, , 59, 11, 2, 4
2025/5/25, 64, , 40, 9, 2, 3
2025/5/26, 37, , 55, 20, 1, 5
2025/5/27, 48, , 62, 18, 1, 4
2025/5/28, 60, , 36, 12, 2, 3
2025/5/29, 29, , 42, 16, 1, 5
2025/5/30, 32, , 57, 19, 1, 5
2025/5/31, 52, , 55, 15, 1, 4
2025/6/1, 53, , 63, 10, 1, 4
2025/6/2, 59, , 60, 18, 1, 5
2025/6/3, 50, , 68, 21, 1, 5
2025/6/4, 46, , 54, 11, 1, 4
2025/6/5, 57, , 51, 9, 1, 3
2025/6/6, 56, , 51, 8, 1, 3
2025/6/7, 54, , 63, 10, 3, 3
2025/6/8, 46, , 61, 10, 12, 3
2025/6/9, 65, , 69, 13, 1, 4
2025/6/10, 51, , 75, 12, 5, 3
2025/6/11, 75, , 59, 12, 1, 3
2025/6/12, 62, , 46, 14, 1, 4
2025/6/13, 57, , 39, 17, 4, 5
2025/6/14, 41, , 19, 9, 1, 3
2025/6/15, 19, , 23, 9, 1, 3
2025/6/16, 22, , 23, 18, 1, 5
2025/6/17, 37, , 27, 19, 1, 6
2025/6/18, 36, , 21, 12, 1, 3
2025/6/19, 31, , 19, 13, 1, 4
2025/6/20, 23, , 18, 7, 1, 2
2025/6/21, 14, , 16, 10, 1, 4
2025/6/22, 22, , 16, 17, 1, 6
2025/6/23, 24, , 29, 18, 1, 6
2025/6/24, 35, , 7, 21, 2, 10
2025/6/25, 47, , 33, 18, 1, 6
2025/6/26, 50, , 35, 18, 2, 4
2025/6/27, 50, , 24, 20, 3, 5
2025/6/28, 43, , 34, 9, 1, 2
2025/6/29, 28, , 26, 8, , 1
2025/6/30, 23, , 20, 9, , 2
2025/7/1, 19, , 24, 8, , 1
2025/1/8, 50, , 38, 21, 6, 5
2025/1/9, 61, , 29, 16, 3, 6
2025/1/10, 54, , 23, 10, 1, 3
2025/1/11, 34, , 20, 9, 1, 3
2025/1/12, 24, , 20, 11, 1, 3
2025/1/13, 25, , 39, 18, 1, 7
