date, pm25, pm10, o3, no2, so2, co
2025/8/2, 49, 38, 57, 18, , 
2025/8/3, 64, 26, 53, 12, , 
2025/8/4, 52, 25, 47, 16, , 
2025/8/5, 41, 25, 50, 15, , 
2025/8/6, 42, 15, 24, 12, , 
2025/8/7, 25, 23, 45, 18, , 
2025/8/8, 48, 31, 51, 22, , 
2025/8/9, 64, 36, 65, 20, , 
2025/8/10, 67, 28, 68, 17, , 
2025/8/11, 64, 28, 72, 23, , 
2025/8/12, 72, 29, 28, 19, , 
2025/8/13, 61, 27, 36, 27, , 
2025/8/14, 65, 28, 63, 20, , 
2025/8/15, 63, 13, 39, 18, , 
2025/8/16, 33, 24, 39, 16, , 
2025/8/17, 50, 22, 44, 13, , 
2025/8/18, 44, 21, 50, 17, , 
2025/8/19, 45, 25, 49, 15, , 
2025/8/20, 48, 22, 45, 11, , 
2025/8/21, 46, 19, 47, 18, , 
2025/8/22, 46, 27, 48, 19, , 
2025/8/23, 63, 15, 45, 17, , 
2025/8/24, 42, 15, 50, 13, , 
2025/8/25, 44, 27, 62, 18, , 
2025/8/26, 66, 21, 59, 17, , 
2025/8/27, 50, 17, 27, 19, , 
2025/8/28, 35, 28, 4, 19, , 
2025/8/29, 51, , , , , 
2025/7/2, 17, 18, 66, 17, , 
2025/7/3, 30, 36, , 20, , 
2025/7/4, 69, , , , , 
2025/7/8, 62, 32, 37, 20, , 
2025/7/9, 57, 33, 16, 12, , 
2025/7/10, 56, 53, 63, 26, , 
2025/7/11, 90, 38, 57, 28, , 
2025/7/12, 88, 35, 55, 23, , 
2025/7/13, 83, 20, 67, 16, , 
2025/7/14, 56, 25, 43, 20, , 
2025/7/15, 61, 31, 45, 23, , 
2025/7/16, 66, 19, 51, 16, , 
2025/7/17, 55, , 42, 24, , 
2025/7/30, 36, 18, 42, 13, , 
2025/7/31, 32, 22, 48, 18, , 
2025/8/1, 56, 17, 29, 20, , 
2025/4/2, 99, 50, 2, 31, , 
2025/4/3, 81, 38, 81, 18, , 
2025/4/4, 67, 37, 65, 25, , 
2025/4/5, 53, 39, 52, 19, , 
2025/4/6, 63, 26, 64, 16, , 
2025/4/7, 53, 43, 5, 26, , 
2025/4/8, 78, 54, 75, 20, , 
2025/4/9, 93, 45, 79, 17, , 
2025/4/10, 68, 43, 53, 23, , 
2025/4/11, 53, 43, 48, 20, , 
2025/4/12, 58, 36, 55, 17, , 
2025/4/13, 54, 35, 67, 13, , 
2025/4/14, 59, 39, 61, 20, , 
2025/4/15, 63, 47, 56, 20, , 
2025/4/16, 70, 43, 71, 18, , 
2025/4/17, 69, 57, 127, 19, , 
2025/4/18, 107, 59, 105, 20, , 
2025/4/19, 121, 56, 95, 21, , 
2025/4/20, 112, 53, 80, 13, , 
2025/4/21, 89, 47, 83, 14, , 
2025/4/22, 101, 52, 109, 22, , 
2025/4/23, 118, 49, 96, 19, , 
2025/4/24, 95, 49, 106, 13, , 
2025/4/25, 91, 51, 102, 13, , 
2025/4/26, 96, 52, 83, 20, , 
2025/4/27, 91, 39, 57, 15, , 
2025/4/28, 63, 44, 79, 21, , 
2025/4/29, 68, 46, 83, 17, , 
2025/4/30, 75, 55, 76, 23, , 
2025/5/1, 102, 46, 84, 21, , 
2025/5/2, 89, 49, 88, 24, , 
2025/5/3, 95, 47, 96, 16, , 
2025/5/4, 90, 49, 70, 15, , 
2025/5/5, 101, 42, 71, 18, , 
2025/5/6, 74, 45, 65, 24, , 
2025/5/7, 73, 47, 100, 23, , 
2025/5/8, 81, 49, 97, 24, , 
2025/5/9, 93, 50, 61, 28, , 
2025/5/10, 98, 34, 66, 16, , 
2025/5/11, 75, 32, 45, 24, , 
2025/5/12, 72, 48, 93, 23, , 
2025/5/13, 83, , , , , 
2025/5/17, 85, 50, 101, 15, , 
2025/5/18, 89, 45, 92, 17, , 
2025/5/19, 88, 50, 108, 19, , 
2025/5/20, 97, 52, 91, 27, , 
2025/5/21, 103, 52, 85, 22, , 
2025/5/22, 102, 43, 75, 22, , 
2025/5/23, 93, 43, 77, 16, , 
2025/5/24, 88, 35, 70, 15, , 
2025/5/25, 78, 18, 46, 12, , 
2025/5/26, 47, 27, 48, 23, , 
2025/5/27, 67, 32, 69, 20, , 
2025/5/28, 78, 18, 33, 15, , 
2025/5/29, 45, 21, 51, 19, , 
2025/5/30, 50, 32, 64, 20, , 
2025/5/31, 76, 30, 61, 19, , 
2025/6/1, 78, 38, 71, 15, , 
2025/6/2, 97, 32, 70, 23, , 
2025/6/3, 77, 30, 69, 25, , 
2025/6/4, 76, 36, 56, 15, , 
2025/6/5, 73, 28, 54, 11, , 
2025/6/6, 63, 29, 53, 9, , 
2025/6/7, 56, 30, 72, 13, , 
2025/6/8, 57, 37, 14, 11, , 
2025/6/9, 72, 26, , 14, , 
2025/6/10, 55, 42, 81, 15, , 
2025/6/11, 83, 33, 63, 16, , 
2025/6/12, 73, 31, 15, 21, , 
2025/6/13, 77, 13, , 22, , 
2025/6/14, 45, 5, 19, 11, , 
2025/6/15, 10, 9, 22, 13, , 
2025/6/16, 25, 17, 18, 21, , 
2025/6/17, 49, 22, 20, 24, , 
2025/6/18, 53, 17, 18, 15, , 
2025/6/19, 38, 13, 19, 15, , 
2025/6/20, 29, 9, 15, 12, , 
2025/6/21, 15, 11, 16, 14, , 
2025/6/22, 20, 8, 12, 18, , 
2025/6/23, 27, 17, 28, 18, , 
2025/6/24, 41, 23, 6, 20, , 
2025/6/25, 56, 31, 34, 17, , 
2025/6/26, 65, 29, 33, 20, , 
2025/6/27, 67, 22, 36, 20, , 
2025/6/28, 54, 19, 38, 11, , 
2025/6/29, 35, 11, 31, 10, , 
2025/6/30, 24, 8, 25, 14, , 
2025/7/1, 17, 9, 36, 11, , 
2025/1/11, 33, 13, 16, 13, , 
2025/1/12, 24, 11, 13, 14, , 
2025/1/13, 27, 34, 14, 16, , 
2025/1/14, 64, 47, 30, 23, , 
2025/1/15, 93, 46, 30, 31, , 
2025/1/16, 97, 46, 49, 28, , 
2025/1/17, 86, 53, 40, 30, , 
2025/1/18, 102, 52, 52, 29, , 
2025/1/19, 102, 44, 47, 34, , 
2025/1/20, 88, 38, 46, 25, , 
2025/1/21, 62, 35, 31, 24, , 
2025/1/22, 60, 48, 35, 29, , 
2025/1/23, 80, 47, 39, 24, , 
2025/1/24, 87, 56, 3, 32, , 
2025/1/25, 98, 51, , 28, , 
2025/1/26, 84, 43, , 25, , 
2025/1/27, 77, 48, , 25, , 
2025/1/28, 79, 57, , 31, , 
2025/1/29, 93, 45, , 35, , 
2025/1/30, 73, 47, , 31, , 
2025/1/31, 77, 48, , 27, , 
2025/2/1, 77, 36, , 25, , 
2025/2/2, 76, 33, , 19, , 
2025/2/3, 81, 32, , 22, , 
2025/2/4, 82, 35, , 22, , 
2025/2/5, 70, 45, , 24, , 
2025/2/6, 89, 46, , 27, , 
2025/2/7, 76, 39, 59, 29, , 
2025/2/8, 63, 42, 49, 26, , 
2025/2/9, 71, 45, 67, 23, , 
2025/2/10, 79, 43, 93, 23, , 
2025/2/11, 67, 56, 76, 28, , 
2025/2/12, 91, 38, 84, 32, , 
2025/2/13, 61, 49, 51, 25, , 
2025/2/14, 76, 44, 60, 28, , 
2025/2/15, 86, 41, 66, 22, , 
2025/2/16, 76, 40, 84, 24, , 
2025/2/17, 65, 35, 52, 15, , 
2025/2/18, 60, 36, 66, 17, , 
2025/2/19, 67, 29, 47, 24, , 
