date, pm25, pm10, o3, no2, so2, co
2025/8/7, 24, 15, 25, 12, 1, 5
2025/8/8, 47, 21, 37, 16, 2, 6
2025/8/9, 76, 36, 56, 26, 1, 8
2025/8/10, 71, 37, 78, 16, 9, 6
2025/8/11, 60, 24, , 20, 1, 8
2025/8/12, 87, 35, , 27, 1, 10
2025/8/13, 53, 17, 47, 19, 5, 7
2025/8/14, 68, 30, 59, 17, 1, 7
2025/8/15, 65, 27, 57, 22, 1, 9
2025/8/16, 28, 12, 33, 16, 1, 6
2025/8/17, 55, 22, 40, 15, 1, 6
2025/8/18, 46, 21, 43, 12, 2, 5
2025/8/19, 50, 23, 52, 15, 1, 6
2025/8/20, 55, 28, 48, 14, 3, 5
2025/8/21, 48, 19, 44, 9, 1, 4
2025/8/22, 47, 13, 42, 14, 4, 6
2025/8/23, 69, 24, 42, 20, 4, 9
2025/8/24, 18, 10, 42, 17, 1, 6
2025/8/25, 26, 10, 44, 12, 2, 5
2025/8/26, 71, 28, 56, 17, 4, 6
2025/8/27, 53, 18, 55, 18, 3, 6
2025/8/28, 52, 23, 23, 18, 3, 7
2025/8/29, 55, 30, 6, 21, 2, 7
2025/7/2, 14, 15, 25, 12, 1, 6
2025/7/3, 18, 39, 43, 21, 8, 7
2025/7/4, 74, , , , , 
2025/7/8, 58, 31, 39, 19, 1, 5
2025/7/9, 58, 44, 20, 13, 1, 4
2025/7/10, 75, 48, 42, 22, 3, 8
2025/7/11, 83, 36, 48, 25, 4, 9
2025/7/12, 97, 45, 52, 22, 2, 9
2025/7/13, 103, 19, 61, 12, 1, 6
2025/7/14, 57, 22, 38, 18, 2, 8
2025/7/15, 55, 23, 46, 20, 2, 8
2025/7/16, 63, 20, 47, 17, 1, 8
2025/7/17, 48, 38, 52, 27, 1, 9
2025/7/18, 78, 36, 48, 20, 3, 7
2025/7/19, 80, 33, 47, 22, 3, 8
2025/7/20, 81, 21, 42, 13, 2, 8
2025/7/21, 52, 30, 61, 17, 3, 7
2025/7/22, 73, 38, 59, 17, 2, 6
2025/7/23, 83, 33, 54, 13, 2, 5
2025/7/24, 63, 23, 56, 12, 1, 4
2025/7/25, 44, 20, 61, 14, 1, 6
2025/7/26, 48, 22, 46, 21, 1, 7
2025/7/27, 59, 9, 36, 9, 1, 4
2025/7/28, 23, 17, 35, 19, 1, 6
2025/7/29, 33, 31, 47, 14, 1, 5
2025/7/30, 50, 23, 51, 14, 1, 6
2025/7/31, 47, 22, 49, 16, 1, 6
2025/8/1, 62, 17, 32, 24, 1, 9
2025/4/2, 108, 54, 61, 20, 2, 10
2025/4/3, 84, 47, 54, 20, 2, 9
2025/4/4, 76, 52, 41, 14, 1, 7
2025/4/5, 65, 48, 45, 12, 1, 8
2025/4/6, 74, 34, 3, 30, 1, 10
2025/4/7, 65, , 41, 9, 1, 7
2025/4/12, 57, 37, 52, 15, 2, 7
2025/4/13, 61, 36, 59, 12, 2, 7
2025/4/14, 65, 40, 56, 21, 1, 9
2025/4/15, 70, 44, 54, 18, 1, 7
2025/4/16, 71, 51, 77, 16, 1, 7
2025/4/17, 90, 57, 105, 21, 2, 10
2025/4/18, 109, 61, 91, 15, 1, 9
2025/4/19, 131, 57, 76, 16, 2, 9
2025/4/20, 120, 50, 53, 10, 1, 7
2025/4/21, 126, 45, 75, 12, 1, 8
2025/4/22, 112, 49, 88, 20, 1, 10
2025/4/23, 110, 47, 94, 15, 1, 8
2025/4/24, 94, 49, 87, 17, 1, 8
2025/4/25, 92, 50, 92, 17, 4, 8
2025/4/26, 110, 47, 82, 19, 2, 9
2025/4/27, 95, 38, 52, 11, 3, 7
2025/4/28, 72, 44, 86, 18, 1, 9
2025/4/29, 75, 48, 97, 15, 1, 8
2025/4/30, 83, 113, , 20, 5, 8
2025/5/1, 160, 44, 72, 19, 1, 6
2025/5/2, 86, 49, 84, 19, 2, 7
2025/5/3, 97, 46, 83, 13, 1, 5
2025/5/7, 74, 48, 77, 18, 2, 9
2025/5/8, 93, 46, 78, 18, 1, 7
2025/5/9, 92, 45, 61, 23, 3, 9
2025/5/10, 98, 26, 71, 14, 2, 6
2025/5/11, 68, 26, 43, 23, 1, 9
2025/5/12, 187, 40, 95, 26, 2, 9
2025/5/13, 57, , , , , 
2025/5/17, 79, 47, 88, 16, 2, 7
2025/5/18, 84, 43, 85, 16, 3, 8
2025/5/19, 96, 45, 88, 19, 4, 7
2025/5/20, 94, 47, 82, 25, 2, 9
2025/5/21, 93, 48, 84, 19, 1, 8
2025/5/22, 94, 44, 70, 17, 3, 6
2025/5/23, 95, 43, 84, 16, 10, 7
2025/5/24, 91, 29, 53, 13, 2, 6
2025/5/25, 72, 15, 40, 12, 3, 5
2025/5/26, 42, 19, 50, 25, 1, 9
2025/5/27, 50, 22, 64, 19, 1, 7
2025/5/28, 63, 13, 31, 12, 2, 6
2025/5/29, 32, 13, 40, 16, 1, 7
2025/5/30, 29, 21, 47, 20, 1, 9
2025/5/31, 52, 21, 59, 15, 2, 7
2025/6/1, 65, 28, 76, 15, 1, 8
2025/6/2, 80, 27, 60, 23, 1, 9
2025/6/3, 70, 24, 72, 25, 1, 11
2025/6/4, 64, 27, 53, 12, 1, 7
2025/6/5, 65, 25, 50, 11, 1, 5
2025/6/6, 68, 30, 58, 10, 1, 5
2025/6/7, 62, 27, 65, 11, 2, 5
2025/6/8, 52, 35, 52, 10, 7, 5
2025/6/9, 66, 25, 68, 13, 3, 6
2025/6/10, 49, 39, 79, 15, 4, 7
2025/6/11, 79, 32, 57, 15, 1, 6
2025/6/12, 66, 26, 50, 24, 5, 8
2025/6/13, 66, 18, 49, 16, 6, 7
2025/6/14, 56, 7, 18, 8, 1, 5
2025/6/15, 14, 8, 20, 14, 1, 7
2025/6/16, 21, 11, 31, 18, 1, 9
2025/6/17, 36, 24, 22, 25, 1, 11
2025/6/18, 58, 230, 21, 13, 1, 7
2025/6/19, 32, , 16, 13, 1, 7
2025/6/20, 16, 8, 17, 9, 1, 4
2025/6/21, 12, 13, 13, 12, 1, 5
2025/6/22, 22, 6, 15, 17, 1, 8
2025/6/23, 22, 12, 26, 16, 1, 10
2025/6/24, 38, 18, 7, 22, 1, 12
2025/6/25, 61, 25, 35, 17, 2, 13
2025/6/26, 63, 27, 32, 19, 2, 7
2025/6/27, 76, 18, 37, 18, 5, 8
2025/6/28, 50, 16, 35, 16, 1, 7
2025/6/29, 30, 10, 29, 10, 1, 6
2025/6/30, 23, 6, 19, 9, , 5
2025/7/1, 10, 7, 21, 9, , 4
2025/1/2, 192, 51, 49, 18, 9, 8
2025/1/3, 115, 45, 55, 20, 3, 7
2025/1/4, 93, 28, 46, 17, 5, 7
2025/1/8, 92, 42, , , , 
2025/1/9, 77, 47, , , , 
2025/1/10, 64, 33, , , , 
2025/1/11, 35, 3, , , , 
2025/1/12, 21, , , , , 
2025/1/13, 21, , , , , 
2025/1/14, 73, 50, , , , 
2025/1/15, 96, 45, , , , 
2025/1/16, 92, 39, , , , 
2025/1/17, 76, 49, , , , 
2025/1/18, 85, 41, , , , 
2025/1/19, 82, 43, , , , 
2025/1/20, 77, 44, , , , 
2025/1/21, 44, 32, , , , 
2025/1/22, 39, 51, , , , 
2025/1/23, 72, 41, , , , 
2025/1/24, 79, 54, , , , 
2025/1/25, 96, 49, , , , 
2025/1/26, 80, 50, , , , 
2025/1/27, 97, 44, , , , 
2025/1/28, 83, 66, , , , 
2025/1/29, 105, 46, , , , 
2025/1/30, 69, 35, , , , 
2025/1/31, 54, 57, , , , 
2025/2/1, 100, 42, 57, , , 
2025/2/2, 80, 29, 49, , , 
2025/2/3, 81, 27, 62, , , 
2025/2/4, 82, 30, 50, 16, 1, 4
2025/2/5, 67, 44, 74, 18, 2, 6
2025/2/6, 90, 40, 54, 24, 2, 6
2025/2/7, 72, 43, 54, 21, 2, 8
2025/2/8, 70, 44, 76, 23, 4, 6
2025/2/9, 79, 43, 80, 23, 2, 6
2025/2/10, 86, 44, 73, 26, 2, 7
2025/2/11, 76, 47, 82, 32, 1, 10
2025/2/12, 85, 47, 50, 22, 1, 8
2025/2/13, 74, 54, 65, 28, 3, 9
2025/2/14, 89, 46, 63, 21, 2, 7
2025/2/15, 91, 40, 67, 24, 4, 8
2025/2/16, 73, 44, 54, 19, 4, 8
2025/2/17, 72, 40, 27, 22, 2, 7
2025/2/18, 70, 53, , 26, 3, 9
2025/2/19, 91, 29, , 23, 2, 7
2025/2/20, 68, 55, 44, 24, 3, 19
2025/2/21, 111, 32, 40, 19, 1, 7
2025/2/22, 60, 31, 45, 20, 1, 8
2025/2/23, 75, 37, 70, 24, 2, 13
2025/2/24, 85, 40, 46, 24, 4, 11
2025/2/25, 64, 35, 64, 24, 4, 7
2025/2/26, 65, 61, 35, 34, 2, 13
2025/2/27, 87, 42, 74, 16, 1, 6
2025/2/28, 81, 46, 87, 22, 2, 7
2025/3/1, 93, 54, 83, 29, 2, 11
2025/3/2, 107, 44, 79, 21, 2, 9
2025/3/3, 79, 60, 41, 33, 2, 10
2025/3/4, 105, 44, 51, 25, 2, 9
2025/3/5, 76, 52, 83, 21, 4, 8
2025/3/6, 95, 65, 44, 21, 9, 8
2025/3/8, 78, 47, 51, 27, 2, 10
2025/3/9, 70, 44, 63, 23, 4, 12
2025/3/10, 83, 52, 62, 18, 15, 8
2025/3/11, 84, 42, 76, 20, 1, 9
2025/3/12, 68, 53, 98, 25, 2, 10
2025/3/13, 105, 50, 64, 23, 1, 11
2025/3/14, 97, 53, 56, 25, 2, 11
2025/3/15, 78, 42, 51, 16, 1, 7
2025/3/16, 60, 43, 97, 19, 3, 9
2025/3/17, 89, 56, 73, 16, 23, 7
2025/3/18, 102, 68, 102, 29, 4, 13
2025/3/19, 116, 60, 85, 24, 2, 9
2025/3/20, 112, 118, 66, 13, 1, 6
2025/3/21, 136, 57, 71, 19, 2, 8
2025/3/22, 89, 42, 56, 21, 1, 9
2025/3/23, 81, 44, 66, 22, 2, 14
2025/3/24, 84, 46, 62, 19, 2, 10
2025/3/25, 82, 47, 74, 15, 3, 7
2025/3/26, 108, 35, 54, 22, 2, 10
2025/3/27, 85, 43, 43, 22, 1, 11
2025/3/28, 101, 33, 46, 22, 1, 10
2025/3/29, 71, 45, 46, 15, 1, 10
2025/3/30, 75, 41, 88, 18, 1, 10
2025/3/31, 77, 57, 87, 33, 2, 14
2025/4/1, 101, 193, 86, 34, 3, 14
2024/10/19, 55, , 31, 8, 1, 5
2024/10/20, 20, , 21, 11, 1, 5
2024/10/21, 24, , 14, 13, 2, 7
2024/10/22, 16, , 37, 12, 2, 6
2024/10/23, 29, , 43, 11, 5, 5
2024/10/24, 43, , 47, 13, 4, 5
2024/10/25, 50, , 45, 16, 5, 6
2024/10/26, 89, , 40, 13, 5, 5
2024/10/27, 58, , 25, 9, 3, 4
2024/10/28, 56, , 33, 17, 14, 6
2024/10/29, 65, , 73, 20, 13, 7
2024/10/30, 107, , 58, 22, 5, 10
2024/10/31, 103, , 33, 23, 5, 7
2024/11/1, 87, , 36, 15, 5, 6
2024/11/2, 90, , 40, 17, 18, 6
2024/11/3, 91, , 49, 16, 8, 8
2024/11/4, 88, , 38, 24, 3, 10
2024/11/5, 96, , 56, 20, 3, 9
2024/11/6, 99, , 69, 20, 2, 10
2024/11/7, 88, , 53, 20, 3, 9
2024/11/8, 75, , 38, 22, 2, 9
2024/11/9, 73, , 33, 21, 2, 8
2024/11/10, 55, , 53, 15, 3, 7
2024/11/11, 77, , 30, 17, 3, 7
2024/11/12, 43, , 62, 28, 3, 10
2024/11/13, 67, , 41, 21, 3, 7
2024/11/14, 78, , 32, 14, 2, 5
2024/11/15, 57, , 53, 25, 3, 9
2024/11/16, 77, , 89, 29, 5, 12
2024/11/17, 93, , 51, 19, 3, 8
2024/11/18, 69, , 47, 19, 3, 7
2024/11/19, 66, , 30, 17, 3, 8
2024/11/20, 65, , 21, 21, 3, 7
2024/11/21, 64, , , , , 
2024/11/30, 81, , 46, 26, 5, 10
2024/12/1, 101, , 44, 21, 5, 9
2024/12/2, 70, , 40, 19, 6, 8
2024/12/3, 73, , 29, 15, 7, 7
