date, pm25, pm10, o3, no2, so2, co
2024/7/2, 19, 25, 26, 9, , 
2024/7/3, 23, 21, 25, 9, , 
2024/7/4, 25, 34, 31, 11, , 
2024/7/5, 38, 38, 49, 15, , 
2024/7/6, 53, 48, 45, 15, , 
2024/7/7, 67, 50, 49, 14, , 
2024/7/8, 85, 48, 63, 17, , 
2024/7/9, 87, , 44, 13, , 
2024/7/24, 40, 32, 35, 17, , 
2024/7/25, 66, 39, 41, 12, , 
2024/7/26, 60, 33, 14, 12, , 
2024/7/27, 64, 57, , 14, , 
2024/4/2, 87, 53, 45, 13, , 
2024/4/3, 92, 41, 28, 10, , 
2024/4/4, 67, , , , , 
2024/4/23, 100, 54, 49, 18, , 
2024/4/24, 106, 55, 64, 20, , 
2024/4/25, 102, 52, 64, 19, , 
2024/4/26, 104, 56, 45, 20, , 
2024/4/27, 127, 52, 30, 16, , 
2024/4/28, 109, 47, 1, 16, , 
2024/4/29, 102, 51, 44, 18, , 
2024/4/30, 98, 61, 65, 18, , 
2024/5/1, 116, 61, 56, 15, , 
2024/5/2, 128, 66, 58, 20, , 
2024/5/3, 134, 73, 68, 22, , 
2024/5/4, 148, 66, 65, 18, , 
2024/5/5, 131, 60, 68, 15, , 
2024/5/6, 120, 61, 69, 19, , 
2024/5/7, 126, 59, 70, 18, , 
2024/5/8, 113, 67, 67, 19, , 
2024/5/9, 125, 71, 84, 26, , 
2024/5/10, 137, 69, 73, 23, , 
2024/5/11, 130, 60, 53, 17, , 
2024/5/12, 107, 65, 72, 12, , 
2024/5/13, 138, 73, 70, 18, , 
2024/5/14, 146, 72, 70, 18, , 
2024/5/15, 148, 71, 76, 17, , 
2024/5/16, 157, 67, 48, 16, , 
2024/5/17, 132, 63, 69, 21, , 
2024/5/18, 124, 54, 69, 18, , 
2024/5/19, 97, 51, 68, 17, , 
2024/5/20, 91, 58, 64, 16, , 
2024/5/21, 104, 49, 66, 16, , 
2024/5/22, 78, 50, 68, 17, , 
2024/5/23, 99, 45, 59, 18, , 
2024/5/24, 78, 55, 63, 18, , 
2024/5/25, 83, 45, 69, 16, , 
