date, pm25, pm10, o3, no2, so2, co
2025/1/2, 207, 83, 38, 22, 7, 6
2025/1/3, 148, 57, 25, 19, 3, 7
2025/1/4, 101, 38, 36, , , 
2025/1/5, 58, 46, 39, , , 
2025/1/6, 73, 48, 38, , , 
2025/1/7, 88, 52, 31, , , 
2025/1/8, 80, 47, 33, , , 
2025/1/9, 77, 51, 23, , , 
2025/1/10, 62, 32, 19, , , 
2025/1/11, 45, 15, 15, , , 
2025/1/12, 30, 14, 15, , , 
2025/1/13, 25, 33, 33, , , 
2025/1/14, 63, 48, 39, , , 
2025/1/15, 91, 42, 34, , , 
2025/1/16, 82, 49, 39, , , 
2025/1/17, 80, 61, 68, , , 
2025/1/18, 106, 57, 63, , , 
2025/1/19, 103, 51, 55, , , 
2025/1/20, 86, 38, 37, , , 
2025/1/21, 62, 39, 41, , , 
2025/1/22, 59, 57, 52, , , 
2025/1/23, 92, 61, 56, , , 
2025/1/24, 86, 58, 49, , , 
2025/1/25, 92, 54, 64, , , 
2025/1/26, 83, 61, 58, , , 
2025/1/27, 84, 57, 63, , , 
2025/1/28, 85, 60, 66, , , 
2025/1/29, 77, 56, 44, , , 
2025/1/30, 81, 64, 32, , , 
2025/1/31, 103, 61, 44, , , 
2025/2/1, 72, 44, 53, , , 
2025/2/2, 77, 37, 45, , , 
2025/2/3, 79, 36, 47, , , 
2025/2/4, 75, 41, 53, , , 
2025/2/5, 64, 47, 56, , , 
2025/2/6, 80, 51, 48, , , 
2025/2/7, 80, 46, 46, , , 
2025/2/8, 71, 45, 56, , , 
2025/2/9, 68, 48, 78, , , 
2025/2/10, 71, 52, 68, , , 
2025/2/11, 70, 59, 77, , , 
2025/2/12, 82, 48, 48, 27, 2, 7
2025/2/13, 70, 56, 48, 24, 2, 7
2025/2/14, 72, 45, 52, 22, 2, 6
2025/2/15, 79, 45, 71, 23, 3, 5
2025/2/16, 70, 52, 43, 17, 3, 6
2025/2/17, 71, 39, 55, 18, 3, 6
2025/2/18, 59, 46, 44, 25, 4, 5
2025/2/19, 66, 34, 16, 26, 3, 7
2025/2/20, 69, 43, 45, 23, 2, 7
2025/2/21, 89, 40, 38, 18, 4, 4
2025/2/22, 66, 31, 39, 17, 1, 4
2025/2/23, 61, 38, 53, 20, 2, 7
2025/2/24, 74, 44, 38, 22, 6, 6
2025/2/25, 56, 50, 44, 30, 4, 7
2025/2/26, 68, 63, 26, 37, 4, 13
