date, pm25, pm10, o3, no2, so2, co
2025/8/2, 43, 43, 24, 25, 3, 4
2025/8/3, 94, 21, 60, 18, 4, 4
2025/8/4, 53, 21, 52, 15, 4, 2
2025/8/5, 47, 20, 42, 18, 2, 4
2025/8/6, 40, 17, 19, 17, 2, 4
2025/8/7, 36, 20, 43, 22, 3, 6
2025/8/8, 49, 25, 48, 25, 4, 7
2025/8/9, 62, 32, 59, 29, 15, 7
2025/8/10, 75, 30, 82, 23, 7, 6
2025/8/11, 76, 33, 69, 33, 3, 8
2025/8/12, 73, 32, 95, 30, 16, 8
2025/8/13, 77, , , , , 
2025/8/16, 49, 30, 41, 21, 2, 6
2025/8/17, 59, 23, 41, 11, 7, 4
2025/8/18, 42, 28, 46, 21, 2, 6
2025/8/19, 51, 37, 58, 19, 31, 6
2025/8/20, 68, 31, 44, 14, 1, 5
2025/8/21, 56, 32, 46, 26, 3, 7
2025/8/22, 67, 27, 39, 21, 7, 7
2025/8/23, 59, 24, 51, 22, 2, 7
2025/8/24, 60, 17, 56, 16, 2, 5
2025/8/25, 51, 27, 59, 18, 10, 6
2025/8/26, 66, 23, 54, 18, 2, 6
2025/8/27, 50, 25, 28, 22, 2, 7
2025/8/28, 51, 28, 7, 17, 18, 5
2025/8/29, 62, , , , , 
2025/7/8, 63, 27, 25, 31, , 7
2025/7/9, 57, 41, 7, 23, , 
2025/7/10, 68, 54, 18, 14, , 
2025/7/11, 87, 38, 36, 30, , 
2025/7/12, 84, 41, 46, 29, 5, 
2025/7/13, 91, 24, 61, 28, 3, 8
2025/7/14, 62, 29, 80, 20, 6, 6
2025/7/15, 63, 31, 50, 22, 4, 7
2025/7/16, 64, 37, 38, 24, 8, 7
2025/7/17, 83, 34, 65, 26, 3, 8
2025/7/18, 73, 39, 44, 23, 4, 7
2025/7/19, 83, 35, 47, 25, 4, 8
2025/7/20, 76, 24, 48, 25, 10, 8
2025/7/21, 64, 28, 48, 17, 3, 6
2025/7/22, 74, 25, 57, 25, 8, 8
2025/7/23, 41, 24, 57, 18, 14, 6
