date, pm25, pm10, o3, no2, so2, co
2025/1/2, 157, 64, 39, 25, 4, 8
2025/1/3, 109, 63, 36, 22, 4, 7
2025/1/4, 101, 50, 24, 17, 4, 6
2025/1/5, 87, 51, 28, 21, 3, 8
2025/1/6, 91, 52, 20, 22, 4, 9
2025/1/7, 83, 50, 25, 19, 3, 7
2025/1/8, 82, 55, 21, 18, 3, 8
2025/1/9, 86, 55, 20, 15, 3, 8
2025/1/10, 78, 40, 14, 15, 3, 7
2025/1/11, 70, 21, 14, 11, 2, 6
2025/1/12, 58, 19, 17, 10, 2, 5
2025/1/13, 57, 37, 22, 16, 3, 9
2025/1/14, 72, 45, 20, 18, 3, 9
2025/1/15, 79, 47, 18, 21, 4, 9
2025/1/16, 87, 53, 16, 26, 5, 10
2025/1/17, 85, 54, 29, 25, 4, 11
2025/1/18, 91, 53, 32, 24, 5, 16
2025/1/19, 92, 47, 32, 19, 6, 13
2025/1/20, 80, 46, 29, 14, 5, 9
2025/1/21, 78, 55, 29, 13, 4, 8
2025/1/22, 84, 59, 34, 24, 4, 9
2025/1/23, 90, 58, 31, 25, 4, 10
2025/1/24, 87, 63, 44, 23, 4, 9
2025/1/25, 101, 55, 39, 21, 4, 8
2025/1/26, 89, 65, 62, 26, 4, 9
2025/1/27, 110, 65, 46, 26, 5, 10
2025/1/28, 100, 73, 44, 26, 5, 10
2025/1/29, 101, 63, 37, 26, 4, 10
2024/10/2, 74, 35, , 12, , 3
2024/10/3, 69, 50, , 18, , 6
2024/10/4, 84, 52, , 19, , 6
2024/10/5, 91, 41, , 13, , 5
2024/10/6, 85, 25, , 7, , 3
2024/10/7, 59, 31, , 18, , 7
2024/10/8, 69, 34, , 17, , 6
2024/10/9, 84, 55, , 17, , 6
2024/10/10, 100, 44, , 16, , 4
2024/10/11, 69, 51, , 17, , 5
2024/10/12, 77, 49, , 16, , 5
2024/10/13, 84, 58, , 13, , 4
2024/10/14, 109, 60, , 19, , 7
2024/10/15, 104, 58, , 19, , 7
2024/10/16, 99, 59, , 18, , 6
2024/10/17, 90, 54, , 14, , 5
2024/10/18, 94, 56, , 19, , 6
2024/10/19, 92, 51, , 13, , 5
2024/10/20, 78, 28, , 9, , 3
2024/10/21, 61, 26, , 12, , 5
2024/10/22, 59, 38, , 14, , 5
2024/10/23, 70, 52, , 14, , 5
2024/10/24, 93, 51, , 15, , 5
2024/10/25, 97, 62, , 21, , 6
2024/10/26, 98, 59, , 18, , 5
2024/10/27, 110, 50, , 12, , 4
2024/10/28, 95, 66, , 18, , 7
2024/10/29, 123, 70, , 24, , 8
2024/10/30, 125, 55, , 23, , 8
2024/10/31, 107, 60, , 22, , 8
2024/11/1, 116, 61, , 21, , 10
2024/11/2, 110, 47, , 13, , 6
2024/11/3, 111, 51, , 13, , 5
2024/11/4, 113, 63, , 20, , 8
2024/11/5, 125, 58, , 20, , 8
2024/11/6, 109, 49, , 17, , 8
2024/11/7, 93, 62, , 21, , 9
2024/11/8, 111, 62, , 24, , 10
2024/11/9, 96, 54, , 19, , 7
2024/11/10, 89, 48, , 17, , 6
2024/11/11, 83, 54, , 21, , 7
2024/11/12, 83, 52, , 21, , 8
2024/11/13, 82, 58, , 20, , 6
2024/11/14, 95, 51, , 17, , 6
2024/11/15, 80, 58, , 23, , 8
2024/11/16, 92, 64, , 24, , 8
2024/11/17, 109, 55, , 17, , 7
2024/12/4, 96, 75, 19, 34, 4, 11
2024/12/5, 103, 64, 45, 27, 3, 9
2024/12/6, 95, 66, 27, 29, 2, 10
2024/12/7, 91, 52, 31, 15, 2, 6
2024/12/8, 73, 39, 31, 16, 1, 6
2024/12/9, 67, 59, 40, 26, 2, 11
2024/12/10, 88, 66, 39, 28, 2, 10
2024/12/11, 101, 63, 29, 26, 3, 9
2024/12/12, 98, 62, 40, 30, 1, 9
2024/12/13, 110, 65, 43, 33, 4, 11
2024/12/14, 110, 60, 31, 34, 1, 11
2024/12/15, 92, 55, 35, 28, 1, 9
2024/12/16, 88, 50, 27, 24, 2, 9
2024/12/17, 79, 59, 26, 29, 3, 10
2024/12/18, 84, 72, 34, 29, 2, 11
2024/12/19, 114, 50, 24, 19, 1, 6
2024/12/20, 84, 66, 31, 23, 2, 8
2024/12/21, 108, 55, 27, 19, 1, 6
2024/12/22, 96, 38, 30, 15, 3, 5
2024/12/23, 82, 46, 19, 24, 2, 10
2024/12/24, 85, 48, 25, 23, 1, 10
2024/12/25, 91, 77, 32, 19, 1, 10
2024/12/26, 147, 45, 28, 18, 1, 7
2024/12/27, 90, 53, 31, 24, 1, 8
2024/12/28, 85, 55, 31, 27, 1, 9
2024/12/29, 85, 54, 40, 28, 1, 9
2024/12/30, 89, , , , , 
2024/7/2, 37, 12, 20, 8, 1, 2
2024/7/3, 39, 13, 21, 9, 1, 2
2024/7/4, 47, 21, 31, 11, 1, 3
2024/7/5, 53, 34, 40, 18, 2, 5
2024/7/6, 70, 43, 41, 18, 1, 5
2024/7/7, 80, 51, 46, 15, 1, 4
2024/7/8, 98, 51, 58, 18, 1, 5
2024/7/9, 100, , 36, 14, 2, 3
2024/7/24, 72, 39, 28, 19, , 6
2024/7/25, 84, 38, 34, 12, , 4
2024/7/26, 75, 35, 28, 11, , 3
2024/7/27, 68, 32, 31, 15, , 4
2024/7/28, 71, 37, 41, 15, , 5
2024/7/29, 82, 40, 38, 16, , 4
2024/7/30, 85, 41, 26, 16, , 5
2024/7/31, 91, 39, 28, 11, , 5
2024/8/1, 77, 43, 45, 14, , 8
2024/8/2, 85, 41, 26, 18, , 8
2024/8/3, 83, 31, 28, 14, , 8
2024/8/4, 72, 26, 42, 10, , 7
2024/8/5, 66, 31, 29, 14, , 9
2024/8/6, 72, 32, 31, 16, , 9
2024/8/7, 72, 33, 36, 13, , 8
2024/8/8, 81, 39, 45, 14, , 8
2024/8/9, 82, 50, 43, 18, , 9
2024/8/10, 94, 29, 23, 9, , 7
2024/8/11, 70, 23, 15, 11, , 8
2024/8/12, 65, 31, 22, 9, , 8
2024/8/13, 69, 35, 34, 13, , 8
2024/8/14, 71, 40, 32, 15, , 9
2024/8/15, 82, 33, 37, 15, , 8
2024/8/16, 78, 23, 20, 12, , 8
2024/8/17, 64, 26, 24, 12, , 8
2024/8/18, 68, 32, 43, 11, , 8
2024/8/19, 77, 36, 39, 14, , 8
2024/8/20, 71, 32, 45, 12, , 8
