date, pm25, pm10, o3, no2, so2, co
2019/4/7, 72, 42, , , , 
2019/4/8, 75, 49, , , , 
2019/4/9, 94, 37, , , , 
2019/4/10, 73, 43, , , , 
2019/4/11, 71, 57, , , , 
2019/4/12, 77, 57, , , , 
2019/4/13, 92, , , , , 
2018/10/2, 41, 20, , , , 
2018/10/3, 39, 18, , , , 
2018/10/4, 35, 19, , , , 
2018/10/5, 42, 24, , , , 
2018/10/6, 51, 34, , , , 
2018/10/7, 71, 27, , , , 
2018/10/8, 52, 32, , , , 
2018/10/9, 80, 45, , , , 
2018/10/10, 79, 33, , , , 
2018/10/11, 77, 21, , , , 
2018/10/16, 59, 28, , , , 
2018/10/17, 56, 23, , , , 
2018/10/18, 40, 22, , , , 
2018/10/19, 35, 21, , , , 
2018/10/20, 47, , , , , 
2018/11/8, 78, 38, , , , 
2018/11/9, 64, 38, , , , 
2018/11/10, 54, 42, , , , 
2018/11/11, 69, 41, , , , 
2018/11/12, 83, 40, , , , 
2018/11/13, 73, 48, , , , 
2018/11/14, 94, 40, , , , 
2018/11/15, 89, 47, , , , 
2018/11/16, 97, 48, , , , 
2018/11/17, 76, 55, , , , 
2018/11/18, 94, 55, , , , 
2018/11/19, 105, 50, , , , 
2018/11/20, 91, 59, , , , 
2018/11/21, 97, 56, , , , 
2018/11/22, 93, 55, , , , 
2018/11/23, 87, 60, , , , 
2018/11/24, 95, 59, , , , 
2018/11/25, 100, 43, , , , 
2018/11/26, 76, 53, , , , 
2018/11/27, 94, 53, , , , 
2018/11/28, 92, 39, , , , 
2018/11/29, 61, 16, , , , 
2018/11/30, 25, 21, , , , 
2018/12/1, 36, 27, , , , 
2018/12/2, 55, 29, , , , 
2018/12/3, 57, 44, , , , 
2018/12/4, 66, 47, , , , 
2018/12/5, 97, 45, , , , 
2018/12/6, 76, 38, , , , 
2018/12/7, 72, 33, , , , 
2018/12/8, 59, 41, , , , 
2018/12/9, 68, 43, , , , 
2018/12/10, 81, 45, , , , 
2018/12/11, 86, 62, , , , 
2018/12/12, 120, 52, , , , 
2018/12/13, 101, 35, , , , 
2018/12/14, 55, 48, , , , 
2018/12/15, 75, 63, , , , 
2018/12/16, 119, 59, , , , 
2018/12/17, 116, 38, , , , 
2018/12/18, 64, , , , , 
2018/7/3, 81, 43, , , , 
2018/7/4, 78, 46, , , , 
2018/7/5, 79, 40, , , , 
2018/7/6, 59, 32, , , , 
2018/7/7, 52, 28, , , , 
2018/7/8, 48, 25, , , , 
2018/7/9, 57, 44, , , , 
2018/7/10, 69, 31, , , , 
2018/7/11, 57, 37, , , , 
2018/7/12, 74, 30, , , , 
2018/7/13, 48, 46, , , , 
2018/7/14, 64, 5, , , , 
2018/7/15, 10, , , , , 
2018/8/4, 41, 29, , , , 
2018/8/5, 76, 16, , , , 
2018/8/6, 43, 18, , , , 
2018/8/7, 43, 31, , , , 
2018/8/8, 67, 35, , , , 
2018/8/9, 73, 37, , , , 
2018/8/10, 73, 31, , , , 
2018/8/11, 73, 36, , , , 
2018/8/12, 92, 28, , , , 
2018/8/13, 79, 37, , , , 
2018/8/14, 85, 42, , , , 
2018/8/15, 84, 32, , , , 
2018/8/16, 84, 28, , , , 
2018/8/17, 79, 24, , , , 
2018/8/18, 72, 17, , , , 
2018/8/19, 70, 20, , , , 
2018/8/20, 61, 22, , , , 
2018/8/21, 67, , , , , 
2018/8/29, 70, 39, 30, 32, 5, 11
2018/8/30, 84, 29, , , , 
2018/8/31, 57, 34, , , , 
2018/9/1, 76, 18, , , , 
2018/9/2, 51, , , , , 
2018/9/4, 90, 37, , , , 
2018/9/5, 74, 31, , , , 
2018/9/6, 59, 28, , , , 
2018/9/7, 61, 26, , , , 
2018/9/8, 65, 42, , , , 
2018/9/9, 90, 27, , , , 
2018/9/10, 64, 44, , , , 
2018/9/11, 92, 44, , , , 
2018/9/12, 93, 42, , , , 
2018/9/13, 100, 28, , , , 
2018/9/14, 69, 39, , , , 
2018/9/15, 78, 35, , , , 
2018/9/16, 79, 39, , , , 
2018/9/17, 98, 30, , , , 
2018/9/18, 75, 41, , , , 
2018/9/19, 89, 37, , , , 
2018/9/20, 81, 33, , , , 
2018/9/21, 67, 40, , , , 
2018/9/22, 73, 28, , , , 
2018/9/23, 67, 2, , , , 
2018/9/24, 9, , , , , 
2018/9/26, 40, 33, , , , 
2018/9/27, 70, 25, , , , 
2018/9/28, 58, 20, , , , 
2018/9/29, 45, 31, , , , 
2018/9/30, 67, 18, , , , 
2018/10/1, 46, 20, , , , 
2018/5/29, 67, 41, , , , 
2018/5/30, 58, 48, , , , 
2018/5/31, 67, 46, , , , 
2018/6/1, 62, 58, , , , 
2018/6/2, 94, 44, , , , 
2018/6/3, 59, 38, , , , 
2018/6/4, 51, 35, , , , 
2018/6/5, 37, 53, , , , 
2018/6/6, 86, 46, , , , 
2018/6/7, 77, 48, , , , 
2018/6/8, 81, 38, , , , 
2018/6/9, 56, 35, , , , 
2018/6/10, 69, 34, , , , 
2018/6/11, 64, 43, , , , 
2018/6/12, 82, 42, , , , 
2018/6/13, 95, 23, , , , 
2018/6/14, 63, 23, , , , 
2018/6/15, 65, 33, , , , 
2018/6/16, 80, 32, , , , 
2018/6/17, 74, 18, , , , 
2018/6/18, 43, 20, , , , 
2018/6/19, 51, 21, , , , 
2018/6/20, 51, 32, , , , 
2018/6/21, 50, 39, , , , 
2018/6/22, 72, 25, , , , 
2018/6/23, 50, , , , , 
2016/10/29, 44, 26, 36, 15, 1, 1
2016/10/30, 42, , 34, 14, 4, 1
2025/8/2, , 20, 49, 15, 7, 5
2025/8/3, , 31, 49, 11, 7, 4
2025/8/4, , 27, 44, 14, 2, 5
2025/8/5, , 36, 40, 12, 1, 4
2025/8/6, , 35, 23, 10, 1, 4
2025/8/7, , 24, 43, 19, 9, 5
2025/8/8, , 33, 45, 20, 2, 5
2025/8/9, , 32, 54, 17, 12, 6
2025/8/10, , 44, 77, 12, 9, 5
2025/8/11, , 39, , , , 
2025/8/17, , 31, 40, 9, 5, 4
2025/8/18, , 27, 42, 13, 1, 4
2025/8/19, , 28, 44, 15, 17, 5
2025/8/20, , 39, 43, 9, 1, 4
2025/8/21, , 32, 40, 15, 1, 5
2025/8/22, , 29, 47, 17, 1, 6
2025/8/23, , 29, 51, 17, , 6
2025/8/24, , 20, 52, 13, 1, 5
2025/8/25, , 19, 53, 16, 5, 5
2025/8/26, , 35, 52, 11, 1, 5
2025/8/27, , 21, 31, 15, , 5
2025/8/28, , 21, 6, 16, 4, 4
2025/8/29, , 31, , , , 
2025/7/2, , 8, 28, 18, 4, 5
2025/7/3, , 38, 14, 20, 3, 5
2025/7/4, , 40, , , , 
2025/7/8, , 28, , , , 
2025/7/15, , 35, 39, 22, 2, 5
2025/7/16, , 29, 61, 21, 2, 5
2025/7/17, , 31, 43, 23, 1, 5
2025/7/18, , 34, 52, 21, 2, 5
2025/7/19, , 35, 46, 20, 1, 5
2025/7/20, , 29, 53, 14, 4, 4
2025/7/21, , 26, 50, 19, 1, 5
2025/7/22, , 36, 57, 15, 4, 5
2025/7/23, , 44, 40, 14, 9, 4
2025/7/24, , 40, 53, 12, 1, 3
2025/7/25, , 26, 63, 16, 1, 4
2025/7/26, , 34, 40, 13, 1, 4
2025/7/27, , 27, 31, 7, 1, 3
2025/7/28, , 15, 30, 10, 1, 3
2025/7/29, , 28, 33, 13, 1, 4
2025/7/30, , 42, 42, 13, 1, 3
2025/7/31, , 31, 46, 18, 1, 5
2025/8/1, , 23, 27, 22, 1, 7
2025/4/2, , 70, 92, 28, , 9
2025/4/3, , 60, 66, 25, , 7
2025/4/4, , 55, 52, 20, , 6
2025/4/5, , 49, 47, 21, , 6
2025/4/6, , 52, 5, 25, , 7
2025/4/7, , 43, 40, 18, , 7
2025/4/8, , 55, 50, 17, , 6
2025/4/9, , 57, 72, 19, 6, 6
2025/4/10, , 53, 49, 22, 9, 5
2025/4/11, , 45, 46, 20, 3, 5
2025/4/12, , 59, 56, 15, 6, 4
2025/4/13, , 47, 63, 15, 4, 4
2025/4/14, , 45, 57, 20, 2, 5
2025/4/15, , 51, 60, 19, 3, 4
2025/4/16, , 67, 70, 15, 2, 4
2025/4/17, , 50, 123, 25, 8, 7
2025/4/18, , 65, 106, 22, 7, 8
2025/4/19, , 67, 88, 20, 3, 6
2025/4/20, , 63, 92, 13, 2, 5
2025/4/21, , 68, 93, 15, 2, 6
2025/4/22, , 49, 102, 29, 1, 9
2025/4/23, , 56, 74, 19, 2, 7
2025/4/24, , 45, 94, 20, 1, 6
2025/4/25, , 54, 87, 20, 5, 6
2025/4/26, , 61, 82, 20, 4, 6
2025/4/27, , 68, 56, 14, 6, 5
2025/4/28, , 41, 52, 26, 1, 6
2025/4/30, , 62, 67, 26, 2, 6
