date, pm25, pm10, o3, no2, so2, co
2025/8/5, 20, 33, 32, 8, 4, 5
2025/8/6, 21, 34, 24, 7, 7, 4
2025/8/7, 28, 27, 27, 7, 8, 5
2025/8/8, 29, 30, 42, 9, 6, 6
2025/8/9, 44, 36, 41, 12, 12, 7
2025/8/10, 59, 32, 46, 9, 11, 5
2025/8/11, 50, 31, 20, 14, 10, 6
2025/8/12, 30, 37, 53, 7, 12, 6
2025/8/13, 57, 34, 54, 8, 12, 6
2025/8/14, 53, 34, 41, 9, 12, 6
2025/8/15, 53, 38, 42, 14, 13, 7
2025/8/16, 58, , , , , 
2025/8/18, 53, 36, 43, 7, 12, 5
2025/8/19, 46, 35, 39, 9, 10, 6
2025/8/20, 27, 32, 47, 10, 10, 5
2025/8/21, 33, 33, 43, 9, 9, 5
2025/8/22, 43, 44, 30, 10, 6, 6
2025/8/23, 65, 26, 38, 8, 7, 4
2025/8/24, 96, 25, 38, 9, 3, 3
2025/8/25, 93, 30, 39, 9, 2, 3
2025/8/27, 43, 33, 32, 8, 5, 4
2025/8/28, 39, 29, 49, 8, 4, 4
2025/8/29, 31, 30, 23, 9, 6, 4
2025/8/30, 43, , , , , 
2025/7/11, 79, 50, 38, 6, 10, 5
2025/7/15, 46, 25, 38, 8, 10, 6
2025/7/16, 58, 32, 42, 9, 11, 6
2025/7/17, 56, 31, 50, 8, 10, 6
2025/7/18, 69, 38, 34, 11, 11, 7
2025/7/19, 61, 33, 35, 12, 11, 7
2025/7/20, 51, 31, 37, 10, 10, 6
2025/7/21, 48, 28, 41, 7, 17, 6
2025/7/22, 54, 29, 47, 10, 9, 6
2025/7/24, 39, 34, 47, 8, 7, 5
2025/7/25, 27, 26, 45, 8, 8, 6
2025/7/26, 30, 27, 49, 9, 8, 5
2025/4/2, 69, 51, 57, 15, 9, 7
2025/4/3, 74, 43, 49, 10, 7, 7
2025/4/4, 66, 42, 46, 10, 10, 6
2025/4/5, 62, 43, 36, 9, 9, 5
2025/4/6, 59, 31, 14, 11, 9, 6
2025/4/7, 57, 39, 52, 10, 10, 6
2025/4/8, 54, 41, 44, 9, 8, 6
2025/4/9, 47, 41, 70, 9, 8, 6
2025/4/10, 52, 38, 49, 13, 7, 6
2025/4/11, 43, 39, 48, 14, 6, 6
2025/4/12, 47, 37, 54, 11, 7, 6
2025/4/13, 46, 37, 48, 11, 7, 6
2025/4/14, 40, 38, 45, 15, 10, 6
2025/4/15, 48, 46, 56, 12, 8, 6
2025/4/16, 50, 44, 72, 10, 9, 7
2025/4/17, 59, 43, 69, 12, 9, 7
2025/4/18, 60, 44, 29, 12, 8, 7
2025/4/19, 69, 53, 61, 8, 8, 7
2025/4/20, 62, 51, 62, 10, 10, 7
2025/4/21, 68, 53, 60, 11, 7, 7
2025/4/22, 89, 52, 56, 10, 9, 6
