date, pm25, pm10, o3, no2, so2, co
2025/8/2, 46, 25, 33, 5, 10, 13
2025/8/3, 48, 24, 43, 5, 12, 11
2025/8/4, 54, 27, 42, 5, 12, 12
2025/8/5, 49, 38, 32, 5, 12, 12
2025/8/6, 49, 31, 27, 4, 8, 11
2025/8/7, 51, 28, 26, 4, 7, 
2025/8/8, 48, 22, 37, 5, 9, 
2025/8/9, 53, 26, 44, 5, 9, 
2025/8/10, 53, 30, 49, 5, 9, 
2025/8/11, 62, 34, 30, 5, 21, 
2025/8/12, 50, 39, 47, 4, 13, 14
2025/8/13, 52, 36, 40, 5, 8, 13
2025/8/14, 59, 27, 36, 4, 9, 13
2025/8/15, 57, 31, 40, 7, 7, 13
2025/8/16, 57, , , , , 
2025/8/18, 60, 31, 32, 4, 7, 13
2025/8/19, 54, 31, 34, 4, 17, 14
2025/8/20, 43, 27, 38, 4, 10, 13
2025/8/21, 49, 30, 38, 4, 8, 13
2025/8/22, 51, 36, 39, 5, 7, 14
2025/8/23, 64, 19, 32, 4, 6, 14
2025/8/24, 50, 19, 33, 4, 7, 14
2025/8/25, 51, 25, 36, 5, 6, 14
2025/8/26, 54, 28, 32, 4, 7, 14
2025/8/27, 56, 30, 34, 4, 8, 14
2025/8/28, 56, 23, 45, 4, 6, 13
2025/8/29, 48, , , , , 
2025/7/2, 33, 31, 34, 4, 6, 16
2025/7/3, 45, 27, 48, 3, 7, 15
2025/7/4, 49, 32, 61, 4, 7, 15
2025/7/5, 64, 32, 108, 4, 10, 15
2025/7/6, 57, 26, 39, 4, 7, 15
2025/7/7, 56, 35, 77, 4, 10, 16
2025/7/8, 62, 29, 56, 3, 7, 15
2025/7/9, 48, , , , , 
2025/7/11, 55, 29, 47, 5, 7, 15
2025/7/12, 60, 23, 57, 5, 11, 16
2025/7/13, 51, 28, 18, 6, 7, 16
2025/7/14, 53, 29, 19, 6, 6, 15
2025/7/15, 48, 25, 25, 5, 9, 15
2025/7/16, 51, 28, 28, 6, 8, 16
2025/7/17, 58, 31, 15, 6, 7, 16
2025/7/18, 58, 31, 23, 6, 7, 17
2025/7/19, 58, , , , , 
2025/7/23, 57, 31, 42, 5, 9, 12
2025/7/24, 53, 25, 43, 5, 10, 10
2025/7/25, 46, 25, 41, 5, 13, 11
2025/7/26, 45, 30, 35, 5, 9, 11
2025/7/27, 54, 31, 29, 4, 12, 11
2025/7/28, 47, 33, 30, 3, 7, 10
2025/7/29, 42, 40, 30, 4, 7, 12
2025/7/30, 49, 28, 36, 4, 7, 11
2025/7/31, 48, 29, 41, 5, 7, 12
2025/8/1, 51, 22, 29, 5, 7, 12
2025/4/2, 67, 60, 28, 5, 5, 13
2025/4/3, 64, 42, 25, 3, 3, 11
2025/4/4, 52, 52, 22, 3, 4, 11
2025/4/5, 55, 48, 16, 1, 4, 11
2025/4/6, 54, 31, 24, 2, 4, 11
2025/4/7, 51, 37, 25, 3, 6, 12
2025/4/8, 53, 45, 27, 2, 3, 12
2025/4/9, 50, 50, 32, 4, 8, 14
2025/4/10, 55, 44, 28, 3, 7, 13
2025/4/11, 51, 43, 27, 3, 12, 14
2025/4/12, 50, 45, 29, 2, 13, 13
2025/4/13, 52, 38, 35, 3, 14, 13
2025/4/14, 52, 49, 30, 6, 8, 14
2025/4/15, 59, 68, 27, 4, 17, 15
2025/4/16, 54, 42, 36, 2, 6, 13
2025/4/17, 58, 50, 32, 3, 4, 15
2025/4/18, 56, 53, 16, 3, 4, 14
2025/4/19, 65, 51, 28, 1, 3, 14
2025/4/20, 61, 47, 29, 2, 3, 14
2025/4/21, 60, 51, 33, 2, 4, 14
2025/4/22, 67, 58, 33, 2, 4, 13
2025/4/23, 67, 49, 30, 2, 3, 13
2025/4/24, 57, 49, 32, 3, 3, 13
2025/4/25, 58, 52, 67, 7, 3, 16
2025/4/26, 59, 59, 38, 3, 7, 14
2025/4/27, 72, 47, 34, 2, 6, 14
2025/4/28, 61, 47, 41, 3, 17, 15
2025/4/29, 59, 51, 32, 2, 5, 14
2025/4/30, 63, 51, 34, 1, 4, 13
2025/5/1, 66, 48, 36, 1, 4, 13
2025/5/2, 65, 52, 32, 2, 3, 13
2025/5/3, 61, 50, 34, 2, 3, 13
2025/5/4, 53, 47, 27, 2, 3, 13
2025/5/5, 59, 52, 28, 1, 3, 13
2025/5/6, 66, 48, 29, 2, 3, 13
2025/5/7, 65, 50, 27, 3, 4, 14
2025/5/8, 63, 56, 31, 4, 5, 14
2025/5/9, 63, 57, 35, 2, 4, 14
2025/5/10, 58, 45, 23, 2, 10, 14
2025/5/11, 48, 36, 28, 2, 10, 14
2025/5/12, 49, 43, 36, 3, 4, 14
2025/5/13, 58, 58, 13, 3, 4, 15
2025/5/14, 94, 64, 41, 3, 5, 11
2025/5/15, 64, 50, 42, 5, 3, 5
2025/5/16, 74, , , , , 
2025/5/28, 65, 32, 36, , 11, 16
2025/5/29, 54, 29, 24, , 9, 15
2025/5/30, 47, 28, 36, , 11, 16
2025/5/31, 48, 27, 33, , 12, 15
2025/6/1, 51, 20, 35, , 9, 14
2025/6/2, 39, 27, 30, , 9, 14
2025/6/3, 52, 20, 30, , 8, 15
2025/6/4, 39, 27, 34, , 9, 16
2025/6/5, 48, , , , , 
2025/6/12, 49, 40, 53, , 1, 15
2025/6/13, 57, , , , , 
2025/6/15, 46, 23, 29, , 1, 16
2025/6/16, 34, 26, 29, , 1, 16
2025/6/17, 45, 30, 39, , 1, 15
2025/6/18, 35, 29, 27, , , 15
2025/6/19, 39, 21, 24, , , 16
2025/6/20, 34, 11, 19, , , 14
2025/6/21, 31, 20, 26, , , 18
2025/6/22, 37, 23, 27, , , 15
2025/6/23, 32, 28, 35, , , 16
2025/6/24, 31, 34, 30, , , 16
2025/6/25, 43, 30, 35, 2, , 15
2025/6/26, 40, 22, 25, 3, , 15
2025/6/27, 39, , , , , 
2025/1/2, 114, 26, 42, 4, 16, 19
2025/1/3, 58, 28, 40, 4, 15, 19
2025/1/4, 55, 21, 43, 4, 12, 19
2025/1/5, 52, 20, 50, 6, 11, 20
2025/1/6, 53, 53, 37, 12, 12, 29
2025/1/7, 69, 51, 35, 8, 13, 20
2025/1/8, 64, 33, 36, 7, 11, 20
2025/1/9, 53, 30, 31, 5, 11, 19
2025/1/10, 49, 19, 28, 3, 11, 19
2025/1/11, 45, 15, 30, 2, 10, 19
2025/1/12, 31, 8, 21, 3, 10, 17
2025/1/13, 34, , , , , 
2025/1/17, 56, 42, 32, 7, 9, 21
2025/1/18, 57, 39, 28, 6, 11, 21
2025/1/19, 54, 35, 27, 5, 11, 20
2025/1/20, 51, 42, 30, 5, 11, 20
2025/1/21, 56, , , , , 
2025/1/24, 51, 47, 27, 5, 14, 8
2025/1/25, 54, 36, 32, 6, 12, 10
2025/1/26, 52, 59, 42, 10, 18, 10
2025/1/27, 75, , , , , 
2025/1/29, 64, 51, 33, 7, 12, 8
