date, pm25, pm10, o3, no2, so2, co
2025/8/2, 39, 27, 22, , 7, 18
2025/8/3, 37, 22, 30, , 7, 19
2025/8/4, 39, 30, 31, , 7, 19
2025/8/5, 34, 26, 22, , 6, 14
2025/8/6, 36, 29, 29, , 5, 9
2025/8/7, 23, 27, , , , 
2025/8/8, 24, 29, , , , 
2025/8/9, 45, 37, , , , 
2025/8/10, 53, 36, , , , 
2025/8/11, 66, 72, , , , 
2025/8/12, 38, , , , , 
2025/8/13, 61, 39, , , , 
2025/8/14, 49, 29, , , , 
2025/8/15, 60, 17, , , , 
2025/8/16, 53, , , , , 
2025/8/18, 37, 36, , , , 
2025/8/19, 37, 33, , , , 
2025/8/20, 38, 41, , , , 
2025/8/21, 34, 35, , , , 
2025/8/22, 49, 40, , , , 
2025/8/23, 54, 17, , , , 
2025/8/24, 43, 26, , , , 
2025/8/25, 31, 36, , , , 
2025/8/26, 50, 32, , , , 
2025/8/27, 49, 37, , , , 
2025/8/28, 44, 25, , , , 
2025/7/2, 24, 25, 22, , 14, 46
2025/7/3, 28, 22, 30, , 14, 45
2025/7/4, 52, 25, 40, , 14, 47
2025/7/5, 53, 32, 22, , 14, 45
2025/7/6, 63, 7, 23, , 5, 
2025/7/7, 36, 13, 44, , 6, 13
2025/7/8, 50, 19, 30, , 7, 12
2025/7/9, 51, , , , , 
2025/7/11, 65, 21, 23, , 7, 12
2025/7/12, 34, 22, 27, , 7, 13
2025/7/13, 41, 19, 25, , 7, 14
2025/7/14, 46, 22, 38, , 7, 13
2025/7/15, 54, 25, 27, , 7, 12
2025/7/16, 43, 24, 34, , 7, 13
2025/7/17, 53, 22, 19, , 7, 14
2025/7/18, 53, 22, 24, , 7, 14
2025/7/19, 50, 27, 28, , 6, 10
2025/7/20, 61, 17, 30, , 4, 
2025/7/21, 37, 33, 50, , 5, 11
2025/7/22, 38, 51, 32, , 7, 12
2025/7/23, 71, 27, 35, , 6, 10
2025/7/24, 40, 26, 34, , 6, 10
2025/7/25, 32, 27, 35, , 7, 11
2025/7/26, 32, 1, 27, , 5, 5
2025/7/27, 47, 1, 22, , 4, 3
2025/7/28, 24, 19, 30, , 5, 15
2025/7/29, 19, 22, 21, , 7, 17
2025/7/30, 29, 24, 30, , 7, 17
2025/7/31, 33, 31, 29, , 7, 18
2025/8/1, 33, 22, 15, , 7, 19
2025/4/2, 78, 56, 42, , 11, 34
2025/4/3, 76, 49, 35, , 11, 33
2025/4/4, 74, 49, 34, , 11, 33
2025/4/5, 69, 52, 27, , 11, 32
2025/4/6, 63, 37, 30, , 11, 33
2025/4/7, 54, 46, 36, , 11, 32
2025/4/8, 51, 47, 38, , 11, 32
2025/4/9, 54, 48, 53, , 11, 33
2025/4/10, 55, 47, 37, , 11, 34
2025/4/11, 53, 46, 35, , 11, 34
2025/4/12, 48, 38, 36, , 11, 34
2025/4/13, 41, 40, 43, , 11, 35
2025/4/14, 49, 49, 35, , 12, 36
2025/4/16, 77, 48, 54, , 11, 35
2025/4/17, 67, 48, 44, , 12, 35
2025/4/18, 67, 66, 11, , 12, 37
2025/4/19, 95, 49, 42, , 12, 35
2025/4/20, 67, 49, 41, , 12, 35
2025/4/21, 68, 51, 41, , 11, 34
2025/4/22, 71, 51, 38, , 11, 34
2025/4/23, 69, 52, 37, , 12, 35
2025/4/24, 67, 54, 42, , 12, 35
2025/4/25, 68, 59, 50, , 12, 38
2025/4/26, 66, 56, 47, , 12, 36
2025/4/27, 83, 44, 37, , 11, 33
2025/4/28, 67, 45, 46, , 11, 33
2025/4/29, 61, 47, 42, , 11, 33
2025/4/30, 65, 57, 45, , 11, 34
2025/5/1, 75, 57, 44, , 11, 35
2025/5/2, 74, 56, 40, , 11, 35
2025/5/3, 67, 49, 44, , 11, 35
2025/5/4, 53, 62, 36, , 12, 36
