date, pm25, pm10, o3, no2, so2, co
2025/8/2, 48, 25, 22, 3, 13, 10
2025/8/3, 44, 33, 36, 3, 13, 8
2025/8/4, 53, 34, 34, 5, 23, 9
2025/8/5, 51, 29, 19, 3, 10, 9
2025/8/6, 44, 31, 16, 2, 13, 10
2025/8/7, 48, 26, 20, 3, 11, 10
2025/8/8, 44, 30, 39, 4, 14, 9
2025/8/9, 51, , , , , 
2025/8/13, 57, 34, 34, 3, 12, 9
2025/8/14, 58, 38, 29, 3, 12, 9
2025/8/15, 58, 33, 32, 4, 12, 9
2025/8/16, 52, , , , , 
2025/8/19, 46, 30, 20, 4, 9, 12
2025/8/20, 43, 34, 28, 4, 8, 10
2025/8/21, 48, 34, 27, 3, 12, 10
2025/8/22, 50, 41, 33, 4, 19, 8
2025/8/23, 62, , , , , 
2025/8/26, 58, 30, 19, 4, 7, 11
2025/8/27, 50, 32, 21, 3, 8, 11
2025/8/28, 50, 29, 32, 3, 13, 9
2025/8/29, 50, 19, 13, 3, 13, 5
2025/8/30, 49, , , , , 
2025/7/2, 43, 28, 17, 4, 17, 10
2025/7/3, 50, 34, 28, 4, 20, 10
2025/7/4, 57, 36, 40, 4, 14, 11
2025/7/5, 62, 36, 57, 5, 13, 10
2025/7/6, 57, , , , , 
2025/7/8, 59, 31, 27, 4, 13, 9
2025/7/9, 53, , , , , 
2025/7/11, 63, 25, 24, 3, 15, 9
2025/7/12, 49, 29, 27, 4, 15, 10
2025/7/13, 54, 34, 34, 5, 9, 9
2025/7/14, 53, 32, 30, 3, 13, 10
2025/7/15, 54, 34, 29, 5, 15, 11
2025/7/16, 60, 38, 31, 5, 16, 13
2025/7/17, 60, 37, 16, 5, 11, 11
2025/7/18, 59, 36, 24, 5, 20, 12
2025/7/19, 57, 41, 23, 4, 13, 10
2025/7/20, 56, 26, 31, 4, 12, 9
2025/7/21, 49, 43, 38, 6, 22, 13
2025/7/22, 62, 53, 27, 7, 10, 12
2025/7/23, 61, 37, 25, 4, 12, 11
2025/7/24, 50, 29, 30, 3, 14, 10
