date, pm10, o3
2025/8/2, 22, 33
2025/8/3, 20, 41
2025/8/4, 31, 34
2025/8/5, 34, 30
2025/8/6, 34, 25
2025/8/7, 34, 28
2025/8/8, 22, 39
2025/8/9, 24, 45
2025/8/10, 18, 42
2025/8/11, 35, 29
2025/8/12, 50, 45
2025/8/13, 41, 41
2025/8/14, 38, 36
2025/8/15, 24, 39
2025/8/16, 19, 
2025/8/24, 26, 36
2025/8/25, 21, 31
2025/8/26, 22, 29
2025/8/27, 17, 
2025/7/2, 14, 26
2025/7/3, 18, 36
2025/7/4, 23, 44
2025/7/5, 27, 62
2025/7/6, 45, 35
2025/7/7, 27, 46
2025/7/8, 22, 38
2025/7/9, 25, 
2025/7/11, 27, 20
2025/7/12, 13, 23
2025/7/13, 14, 36
2025/7/14, 20, 34
2025/7/15, 19, 37
2025/7/16, 17, 38
2025/7/17, 17, 33
2025/7/18, 23, 29
2025/7/19, 22, 34
2025/7/20, 19, 37
2025/7/21, 15, 41
2025/7/22, 22, 41
2025/7/23, 37, 56
2025/7/24, 23, 40
2025/7/25, 24, 41
2025/7/26, 28, 38
2025/7/27, 24, 26
2025/7/28, 22, 27
2025/7/29, 23, 28
2025/7/30, 28, 40
2025/7/31, 23, 39
2025/8/1, 26, 29
2025/4/2, 54, 40
2025/4/3, 48, 34
2025/4/4, 37, 32
2025/4/5, 37, 27
2025/4/6, 44, 35
2025/4/7, 29, 34
2025/4/8, 37, 40
2025/4/9, 41, 38
2025/4/10, 44, 41
2025/4/11, 46, 34
2025/4/12, 38, 38
2025/4/13, 39, 36
2025/4/14, 32, 34
2025/4/15, 42, 35
2025/4/16, 45, 38
2025/4/17, 40, 41
2025/4/18, 49, 20
2025/4/19, 50, 39
2025/4/20, 40, 34
2025/4/21, 42, 37
2025/4/22, 45, 30
2025/4/23, 44, 34
2025/4/24, 37, 38
2025/4/25, 37, 48
2025/4/26, 38, 58
2025/4/27, 53, 35
2025/4/28, 39, 41
2025/4/29, 39, 42
2025/4/30, 50, 36
2025/5/1, 42, 36
2025/5/2, 41, 34
2025/5/3, 39, 36
2025/5/4, 30, 29
2025/5/5, 36, 28
2025/5/6, 36, 34
2025/5/7, 38, 36
2025/5/8, 39, 32
2025/5/9, 40, 38
2025/5/10, 38, 29
2025/5/11, 36, 33
2025/5/12, 30, 45
2025/5/13, 45, 38
2025/5/14, 43, 42
2025/5/15, 47, 46
2025/5/16, 54, 
2025/5/19, 43, 43
2025/5/20, 38, 43
2025/5/21, 44, 42
2025/5/22, 53, 40
2025/5/23, 30, 
2025/5/25, 30, 42
2025/5/26, 21, 47
2025/5/27, 28, 45
2025/5/28, 35, 45
2025/5/29, 29, 29
2025/5/30, 15, 36
2025/5/31, 16, 33
2025/6/1, 23, 34
2025/6/2, 13, 30
2025/6/5, 20, 
2025/6/10, 27, 46
2025/6/11, 21, 
2025/6/15, 25, 18
2025/6/16, 12, 25
2025/6/17, 19, 36
2025/6/18, 15, 18
2025/6/19, 18, 4
2025/6/20, 14, 12
2025/6/21, 11, 13
2025/6/22, 11, 14
2025/6/23, 9, 21
2025/6/24, 17, 17
2025/6/25, 25, 28
2025/6/26, 18, 11
2025/6/27, 9, 
2025/6/29, 37, 26
2025/6/30, 13, 26
2025/7/1, 15, 17
2025/1/2, 57, 39
2025/1/3, 44, 30
2025/1/4, 38, 31
2025/1/5, 33, 42
2025/1/6, 28, 38
2025/1/7, 42, 25
2025/1/8, 47, 24
2025/1/9, 27, 20
2025/1/10, 24, 16
2025/1/11, 22, 18
2025/1/12, 16, 2
2025/1/13, 12, 
2025/1/17, 43, 37
2025/1/18, 34, 25
2025/1/19, 25, 27
2025/1/20, 23, 24
2025/1/21, 33, 
2025/1/24, 26, 30
2025/1/25, 41, 28
2025/1/26, 54, 44
2025/1/27, 40, 
2025/1/29, 49, 32
2025/1/30, 37, 26
2025/1/31, 29, 29
2025/2/1, 35, 29
2025/2/2, 35, 32
2025/2/3, 35, 37
2025/2/4, 40, 26
2025/2/5, 54, 37
2025/2/6, 45, 45
2025/2/7, 47, 37
2025/2/8, 46, 33
2025/2/9, 40, 38
2025/2/10, 41, 38
2025/2/11, 43, 45
2025/2/12, 36, 26
2025/2/13, 34, 29
2025/2/14, 41, 30
2025/2/15, 41, 33
2025/2/16, 37, 27
2025/2/17, 32, 25
2025/2/18, 44, 30
2025/2/19, 32, 25
2025/2/20, 30, 
2025/2/22, 36, 
2025/3/12, 26, 26
2025/3/13, 27, 37
2025/3/14, 35, 22
2025/3/15, 40, 36
2025/3/16, 28, 36
2025/3/17, 21, 39
2025/3/18, 58, 41
2025/3/19, 52, 35
2025/3/20, 35, 39
2025/3/21, 101, 40
2025/3/22, 62, 40
2025/3/23, 46, 25
2025/3/24, 40, 37
2025/3/25, 45, 36
2025/3/26, 46, 35
2025/3/27, 44, 31
2025/3/28, 50, 53
2025/3/29, 32, 43
2025/3/30, 36, 47
2025/3/31, 33, 46
2025/4/1, 43, 46
2024/10/21, 14, 23
2024/10/22, 13, 46
2024/10/23, 22, 24
2024/10/24, 18, 46
2024/10/25, 25, 43
2024/10/26, 28, 34
2024/10/27, 17, 33
2024/10/28, 20, 31
2024/10/29, 29, 39
2024/10/30, 36, 35
2024/10/31, 26, 33
2024/11/1, 22, 39
2024/11/2, 33, 
2024/11/4, 21, 31
2024/11/5, 30, 33
2024/11/6, 24, 32
2024/11/7, 34, 34
2024/11/8, 32, 36
2024/11/9, 32, 45
2024/11/10, 38, 41
2024/11/11, 39, 34
2024/11/12, 34, 35
2024/11/13, 33, 41
2024/11/14, 41, 33
2024/11/15, 33, 37
2024/11/16, 30, 
2024/11/18, 25, 
2024/11/20, 19, 31
2024/11/21, 35, 40
2024/11/22, 34, 43
2024/11/23, 40, 42
2024/11/24, 40, 49
2024/11/25, 41, 62
2024/11/26, 44, 42
2024/11/27, 40, 41
2024/11/28, 44, 55
2024/11/29, 51, 40
2024/11/30, 46, 45
2024/12/1, 52, 42
2024/12/2, 40, 34
2024/12/3, 40, 38
2024/12/4, 38, 37
2024/12/5, 36, 46
2024/12/6, 44, 38
2024/12/7, 40, 35
2024/12/8, 33, 37
2024/12/9, 30, 34
2024/12/10, 31, 32
2024/12/11, 35, 37
2024/12/12, 39, 41
2024/12/13, 36, 49
2024/12/14, 39, 12
2024/12/15, 28, 
2024/12/18, 49, 41
2024/12/19, 41, 22
2024/12/20, 26, 18
2024/12/21, 35, 30
2024/12/22, 33, 30
2024/12/23, 26, 35
2024/12/24, 25, 35
2024/12/25, 30, 18
2024/12/26, 51, 
2024/9/4, 10, 
2024/5/21, 58, 
2024/2/17, 6, 
2024/3/14, 48, 
2023/10/12, 11, 8
2023/10/13, 26, 5
2023/10/14, 26, 5
2023/10/15, 22, 
2023/10/20, 27, 10
2023/10/21, 29, 13
2023/10/22, 24, 
2023/12/1, 9, 
2023/12/8, 5, 25
2023/12/9, 17, 
2023/12/16, 31, 
2023/12/22, 53, 
2023/12/29, 19, 
2023/7/12, 7, 
2023/8/15, 19, 
2023/8/20, 11, 
2023/8/26, 33, 
2023/4/2, 49, 
2023/4/19, 41, 
2023/4/20, 32, 
2023/4/21, 37, 
2023/4/22, 40, 
2023/4/23, 35, 
2023/6/2, 46, 39
2023/6/3, 47, 33
2023/6/4, 43, 24
2023/6/5, 38, 39
2023/6/6, 31, 39
2023/6/7, 55, 38
2023/6/8, 43, 35
2023/6/9, 33, 43
2023/6/10, 38, 39
2023/6/11, 32, 24
2023/6/12, 45, 16
2023/6/13, 47, 17
2023/6/14, 41, 23
2023/6/15, 54, 36
2023/6/16, 58, 46
2023/6/17, 50, 41
2023/6/18, 157, 
2023/1/3, 1, 
2023/1/6, 33, 38
2023/1/7, 35, 37
2023/1/8, 42, 41
2023/1/9, 44, 39
2023/1/10, 41, 44
2023/1/11, 53, 45
2023/1/12, 63, 41
2023/1/13, 55, 42
2023/1/14, 59, 40
2023/1/15, 44, 42
2023/1/16, 39, 33
2023/1/17, 36, 40
2023/1/18, 41, 37
2023/1/19, 51, 38
2023/1/20, 50, 31
2023/1/21, 44, 33
2023/1/22, 34, 31
2023/1/23, 25, 28
2023/1/24, 36, 
2023/1/26, 40, 35
2023/1/27, 45, 33
2023/1/28, 33, 28
2023/1/29, 35, 26
2023/1/30, 22, 35
2023/1/31, 43, 39
2023/2/1, 43, 35
2023/2/2, 39, 31
2023/2/3, 30, 17
2023/2/4, 41, 
2023/2/6, 47, 42
2023/2/7, 34, 63
2023/2/8, 49, 11
2023/2/9, 40, 
2023/2/11, 35, 
2023/2/16, 23, 26
2023/2/17, 5, 
2023/2/21, 65, 
2023/3/28, 36, 54
2023/3/29, 45, 43
2023/3/30, 48, 40
2023/3/31, 48, 42
2023/4/1, 41, 51
2022/11/1, 25, 36
2022/11/2, 34, 41
2022/11/3, 30, 38
2022/11/4, 32, 37
2022/11/5, 30, 34
2022/11/6, 24, 38
2022/11/7, 32, 43
2022/11/8, 38, 38
2022/11/9, 33, 29
2022/11/10, 21, 12
2022/11/11, 37, 41
2022/11/12, 35, 43
2022/11/13, 39, 35
2022/11/14, 28, 32
2022/11/15, 28, 37
2022/11/16, 34, 34
2022/11/17, 36, 34
2022/11/18, 42, 33
2022/11/19, 34, 35
2022/11/20, 36, 28
2022/11/21, 15, 21
2022/11/22, 14, 28
2022/11/23, 19, 32
2022/11/24, 26, 30
2022/11/25, 19, 30
2022/11/26, 21, 23
2022/11/27, 17, 23
2022/11/28, 13, 24
2022/11/29, 11, 18
2022/11/30, 20, 36
2022/12/1, 35, 26
2022/12/2, 26, 34
2022/12/3, 24, 28
2022/12/4, 23, 26
2022/12/5, 25, 45
2022/12/6, 19, 44
2022/12/7, 39, 45
2022/12/8, 58, 36
2022/12/9, 44, 34
2022/12/10, 51, 25
2022/12/11, 54, 
2022/12/15, 31, 37
2022/12/16, 39, 
2022/12/20, 44, 38
2022/12/21, 48, 35
2022/12/22, 41, 30
2022/12/23, 38, 41
2022/12/24, 54, 37
2022/12/25, 48, 26
2022/12/26, 38, 34
2022/12/27, 31, 34
2022/12/28, 33, 33
2022/12/29, 28, 35
2022/12/30, 26, 26
2022/12/31, 27, 26
2023/1/1, 23, 24
2023/1/2, 25, 24
2022/8/9, 18, 6
2022/8/10, 12, 14
2022/8/11, 8, 
2022/9/13, 14, 
2022/9/15, 25, 29
2022/9/16, 19, 21
2022/9/17, 11, 22
2022/9/18, 15, 
2022/4/2, 44, 39
2022/4/3, 40, 
2022/5/18, 47, 
2022/5/26, 37, 41
2022/5/27, 63, 27
2022/5/28, 30, 47
2022/5/29, 38, 43
2022/5/30, 36, 47
2022/5/31, 28, 49
2022/6/1, 30, 49
2022/6/2, 39, 39
2022/6/3, 31, 47
2022/6/4, 36, 46
2022/6/5, 38, 20
2022/6/6, 30, 
2022/6/17, 50, 
2022/6/28, 22, 
2022/1/4, 51, 45
2022/1/5, 59, 96
2022/1/6, 41, 
2022/1/7, 39, 
2022/1/8, 49, 
2022/1/9, 41, 
2022/1/10, 32, 
2022/1/11, 49, 
2022/1/12, 37, 
2022/1/13, 35, 
2022/1/14, 40, 
2022/1/15, 41, 
2022/1/16, 41, 
2022/1/17, 49, 
2022/1/18, 39, 
2022/1/20, 32, 
2022/1/21, 44, 
2022/1/22, 30, 
2022/1/23, 40, 
2022/1/25, 27, 
2022/1/26, 25, 
2022/1/27, 36, 
2022/1/28, 39, 
2022/1/29, 40, 
