date, pm25, pm10, o3, no2, so2, co
2025/8/2, 51, 16, 31, 11, 4, 5
2025/8/3, 52, 16, 40, 11, 5, 5
2025/8/4, 57, 20, 41, 13, 6, 4
2025/8/5, 51, 21, 30, 11, 4, 4
2025/8/6, 48, 22, 23, 10, 4, 4
2025/8/7, 47, 16, 26, 11, 5, 5
2025/8/8, 51, 21, 37, 12, 4, 6
2025/8/9, 61, 24, 37, , 7, 8
2025/8/10, 74, 20, 40, , 5, 6
2025/8/11, 64, 12, 22, , 4, 6
2025/8/12, 49, 25, 42, , 4, 7
2025/8/13, 67, 25, 43, , 5, 7
2025/8/14, 65, 22, 36, , 5, 7
2025/8/15, 68, 23, 35, , 4, 7
2025/8/16, 69, , , , , 
2025/8/18, 59, 22, 35, , 6, 9
2025/8/19, 61, 23, 35, 15, 5, 9
2025/8/20, 53, 21, 40, 14, 4, 8
2025/8/21, 58, 22, 39, 13, 4, 7
2025/8/22, 61, 28, 38, , 6, 11
2025/8/23, 80, 15, 36, , 5, 9
2025/8/24, 59, 12, 34, , 4, 9
2025/8/25, 56, 26, 36, , 5, 6
2025/8/26, 65, 17, 37, 11, 4, 5
2025/8/27, 64, 20, 30, 11, 4, 8
2025/8/28, 57, 10, 36, 11, 4, 12
2025/8/29, 46, , 19, 13, , 12
2025/8/30, 60, , , , , 
2025/7/2, 43, 19, 29, 14, 7, 7
2025/7/3, 61, 20, 35, 13, 6, 7
2025/7/4, 63, 23, 44, 14, 6, 6
2025/7/5, 71, 26, 48, 14, 7, 6
2025/7/6, 72, 22, 32, 11, 6, 7
2025/7/7, 68, 18, 44, 12, 6, 7
2025/7/8, 61, 23, 40, 12, 5, 6
2025/7/9, 64, , , , , 
2025/7/11, 74, 22, 38, 14, 11, 7
2025/7/12, 70, 17, 32, 13, 8, 7
2025/7/13, 57, 23, 35, 12, 6, 6
2025/7/14, 68, 15, 35, 12, 5, 6
2025/7/15, 54, 23, 36, 13, 6, 7
2025/7/16, 65, 20, 44, 12, 4, 5
2025/7/17, 69, 25, 30, 15, 5, 6
2025/7/18, 77, 20, 32, 15, 5, 6
2025/7/19, 68, 20, 33, 12, 5, 5
2025/7/20, 61, 19, 35, 12, 10, 6
2025/7/21, 62, 26, 49, 16, 5, 6
2025/7/22, 71, 29, 39, 14, 5, 5
2025/7/23, 70, 23, 41, 12, 4, 5
2025/7/24, 56, 21, 39, 11, 4, 6
2025/7/25, 50, 20, 39, 12, 4, 6
2025/7/26, 43, , , , , 
2025/7/30, 55, 17, 37, 10, 5, 4
2025/7/31, 48, 22, 38, 12, 5, 4
2025/8/1, 57, 14, 25, 13, 5, 3
2025/4/2, 82, 51, 57, 16, 6, 9
2025/4/3, 82, 51, 51, 17, 6, 10
2025/4/4, 66, 44, 45, 12, 6, 8
2025/4/5, 66, 44, 42, 11, 6, 8
2025/4/6, 69, 47, 34, 10, 8, 7
2025/4/7, 68, 35, 16, 14, 8, 9
2025/4/8, 55, 35, 42, 7, 4, 6
2025/4/9, 43, 37, 61, 10, 6, 7
2025/4/10, 53, 37, 46, 11, 6, 6
2025/4/11, 49, 39, 46, 10, 6, 6
2025/4/12, 45, 31, 51, 8, 6, 5
2025/4/13, 44, 30, 51, 8, 4, 6
2025/4/14, 46, 29, 42, 14, 4, 7
2025/4/15, 50, 36, 53, 10, 5, 5
2025/4/16, 46, 35, 60, 9, 5, 7
2025/4/17, 60, 39, 42, 22, 6, 8
2025/4/18, 61, 39, 7, 39, 5, 9
2025/4/19, 74, 50, 10, 42, 4, 8
2025/4/20, 71, 49, 10, 39, 5, 9
2025/4/21, 83, 47, 9, 39, 4, 8
2025/4/22, 81, 50, 8, 39, 5, 8
2025/4/23, 81, 50, 7, 40, 4, 9
2025/4/24, 74, 50, 7, 40, 5, 10
2025/4/25, 73, 49, , 41, 4, 10
2025/4/26, 71, 48, , 40, 4, 8
2025/4/27, 82, 39, , 37, 4, 6
2025/4/28, 65, 36, , 37, 5, 7
2025/4/29, 58, 44, , 39, 6, 9
2025/4/30, 67, 48, , 40, 5, 9
2025/5/1, 86, 47, , 42, 4, 8
2025/5/2, 75, 52, , 41, 4, 8
2025/5/3, 83, 45, , 39, 4, 9
2025/5/4, 66, 40, , 38, 4, 8
2025/5/5, 82, 44, , 38, 4, 8
2025/5/6, 75, 39, , 38, 4, 7
2025/5/7, 64, 44, , 39, 5, 7
2025/5/8, 78, 49, , 41, 4, 8
2025/5/9, 78, 54, , 39, 4, 8
2025/5/10, 66, 26, , 35, 4, 6
2025/5/11, 32, 20, , 35, 5, 6
2025/5/12, 30, 35, , 39, 4, 7
2025/5/13, 55, 51, , 41, 4, 7
2025/5/14, 77, 54, , 43, 4, 8
2025/5/15, 84, 45, , 39, 4, 8
2025/5/16, 92, , , , , 
2025/5/19, 80, 43, , 39, 5, 5
2025/5/20, 67, 39, , 38, 5, 5
2025/5/21, 83, 23, , 37, 4, 5
2025/5/22, 72, 32, , 38, 4, 6
2025/5/23, 71, 20, , 37, 4, 5
2025/5/24, 60, 33, , 42, 4, 4
2025/5/25, 57, 13, , 36, 4, 4
2025/5/26, 46, 39, , 43, 5, 7
2025/5/27, 68, 30, , 39, 4, 5
2025/5/28, 63, 27, , 39, 4, 5
2025/5/29, 53, 26, , 26, 4, 5
2025/5/30, 41, 17, 40, 12, 4, 5
2025/5/31, 34, 18, 42, 11, 4, 5
2025/6/1, 34, 13, 47, 9, 5, 4
2025/6/2, 29, 25, 39, 15, 4, 5
2025/6/3, 52, 18, 45, 12, 4, 4
2025/6/4, 38, 20, 38, 15, 4, 4
2025/6/5, 44, 27, 32, 13, 4, 3
2025/6/6, 66, , , , , 
2025/6/10, 54, 27, 50, 12, 8, 6
2025/6/11, 57, , , , , 
2025/6/15, 36, 9, 25, 10, 5, 3
2025/6/16, 23, 13, 20, 12, 5, 3
2025/6/17, 27, 14, 29, 9, 5, 4
2025/6/18, 16, 14, 20, 9, 5, 5
2025/6/19, 20, 12, 18, 9, 5, 5
2025/6/20, 39, 6, 6, 11, 5, 6
2025/6/21, 35, 12, 14, 13, 4, 7
2025/6/22, 50, 12, 19, 11, 5, 9
2025/6/23, 44, 12, 25, 10, 4, 8
2025/6/24, 37, 16, 18, 10, 4, 8
2025/6/25, 53, 15, 24, 11, 6, 10
2025/6/26, 45, 9, 11, 11, 5, 8
2025/6/27, 39, , , , , 
2025/6/29, 45, 12, 23, 9, 4, 8
2025/6/30, 46, 14, 23, 10, 5, 8
2025/7/1, 44, 14, 19, 11, 7, 10
2025/2/12, 67, 52, 46, 18, 7, 13
2025/2/13, 56, 44, 36, 14, 6, 12
2025/2/14, 74, 55, 36, 17, 7, 13
2025/2/15, 63, 43, 42, 12, 7, 13
2025/2/16, 69, 48, 37, 15, 6, 12
2025/2/17, 57, 41, 42, 9, 7, 12
2025/2/18, 53, 38, 40, 10, 6, 12
2025/2/19, 67, 44, 37, 14, 8, 13
2025/2/20, 43, 29, 31, 12, 7, 12
2025/2/21, 55, 33, 36, 13, 8, 13
2025/2/22, 56, 22, 30, 13, 5, 12
2025/2/23, 49, 24, 35, 13, 8, 13
2025/2/24, 53, 30, 37, 16, 6, 12
2025/2/25, 40, 29, 40, 13, 5, 12
2025/2/26, 44, 33, 51, 20, 7, 13
2025/2/27, 71, 44, 49, 18, 7, 13
2025/2/28, 69, 51, 40, 16, 7, 13
2025/3/1, 70, 41, 49, 14, 5, 12
2025/3/2, 79, 47, 39, 20, 6, 13
2025/3/3, 58, 36, 42, 13, 8, 13
2025/3/4, 76, 50, 40, 17, 8, 14
2025/3/5, 71, 50, 41, 13, 7, 13
2025/3/6, 78, 51, 50, 18, 8, 13
2025/3/7, 74, 57, 43, 12, 5, 12
2025/3/8, 64, 42, 41, 15, 7, 13
2025/3/9, 79, 48, 42, 17, 8, 13
2025/3/11, 55, 52, 44, 11, 8, 13
2025/3/12, 74, 50, 49, 19, 9, 14
2025/3/14, 67, 50, 41, 14, 6, 13
2025/3/15, 60, 50, 30, 10, 8, 13
2025/3/16, 51, 41, 38, 11, 6, 12
2025/3/17, 67, 43, 44, 13, 8, 13
2025/3/18, 65, 51, 50, 6, 6, 12
2025/3/19, 68, 52, 50, 13, 8, 13
2025/3/20, 76, 55, 48, 16, 7, 13
2025/3/21, 111, 119, 44, 5, 4, 11
2025/3/22, 58, 46, 48, 11, 8, 13
2025/3/23, 72, 44, 47, 14, 7, 13
2025/3/24, 66, 41, 50, 10, 8, 13
2025/3/25, 71, 46, 47, 14, 6, 12
2025/3/26, 82, 47, 49, 10, 6, 12
2025/3/27, 77, 43, 51, 7, 5, 12
2025/3/28, 75, 45, 34, 9, 5, 12
2025/3/29, 69, 45, 42, 15, 10, 14
2025/3/30, 63, 39, 35, 19, 8, 13
2025/3/31, 74, 42, 52, 17, 9, 13
2025/4/1, 79, 50, 51, 20, 7, 14
2024/7/6, 75, , , , , 
2024/9/1, 82, 23, 27, 8, 4, 5
2024/9/2, 67, 23, 22, 9, 5, 5
2024/9/3, 4, 23, 24, 10, 5, 5
