date, pm10, o3, no2, so2, co
2025/8/2, 16, 28, , 12, 16
2025/8/3, 16, 45, , 15, 17
2025/8/4, 21, 39, , 19, 19
2025/8/5, 26, 23, , 5, 17
2025/8/6, 17, 22, , 9, 17
2025/8/7, 30, 28, , 8, 18
2025/8/8, 16, 55, , 8, 19
2025/8/9, 19, , , , 
2025/8/14, 44, 39, , 25, 20
2025/8/15, 29, 42, , 20, 21
2025/8/16, 21, , , , 
2025/8/18, 23, 26, , 23, 21
2025/8/19, 21, 25, , 24, 20
2025/8/20, 16, 37, , , 22
2025/8/21, 25, 36, , , 21
2025/8/22, 23, 41, , , 23
2025/8/23, 20, 36, , , 23
2025/8/24, 16, 38, , , 23
2025/8/25, 11, 36, , , 23
2025/8/26, 21, 28, , , 23
2025/8/27, 18, 28, , , 23
2025/8/28, 24, 38, , , 23
2025/8/29, 20, 21, , , 23
2025/8/30, 12, , , , 
2025/7/2, 14, 18, , 27, 27
2025/7/3, 19, 32, , 23, 27
2025/7/4, 24, 43, , 20, 35
2025/7/5, 29, 89, , 25, 42
2025/7/6, 18, 24, , 2, 43
2025/7/7, 26, 45, , 4, 43
2025/7/8, 24, 34, , 6, 43
2025/7/9, 21, , , , 
2025/7/11, 40, 29, , 14, 16
2025/7/12, 17, 33, , 18, 17
2025/7/13, 17, 33, , 19, 17
2025/7/14, 23, 36, , 14, 16
2025/7/15, 32, 37, , 17, 16
2025/7/16, 18, 44, , 22, 15
2025/7/17, 20, 26, , 26, 16
2025/7/18, 25, 31, , 24, 16
2025/7/19, 14, 34, , 22, 16
2025/7/20, 8, 25, , 22, 16
2025/7/21, 7, 54, , 22, 19
2025/7/22, 30, 37, , 15, 18
2025/7/23, 38, 34, , 26, 16
2025/7/24, 21, 39, , 20, 16
2025/7/25, 13, 39, , 11, 16
2025/7/26, 15, 32, , 13, 16
2025/7/27, 20, 23, , 14, 16
2025/7/28, 13, 23, , 14, 16
2025/7/29, 16, 23, , 14, 16
2025/7/30, 19, 29, , 13, 16
2025/7/31, 19, 33, , 12, 16
2025/8/1, 21, 26, , 15, 17
2025/4/2, 51, 22, , 12, 19
2025/4/3, 48, 19, , 11, 19
2025/4/4, 33, 17, , 14, 20
2025/4/5, 40, 14, , 6, 20
2025/4/6, 45, 8, , 15, 22
2025/4/7, 30, 19, , 17, 21
2025/4/8, 33, 18, , 15, 22
2025/4/9, 31, 26, , 16, 23
2025/4/10, 41, 19, , 15, 22
2025/4/11, 35, 27, , 17, 23
2025/4/12, 42, 21, , 15, 23
2025/4/13, 26, 23, , 16, 24
2025/4/14, 30, 21, , 24, 26
2025/4/15, 31, 22, , 18, 25
2025/4/16, 44, 28, , 15, 26
2025/4/17, 40, 23, , 16, 26
2025/4/18, 42, 7, , 15, 28
2025/4/19, 54, 23, , 12, 25
2025/4/20, 46, 21, , 13, 26
2025/4/21, 43, 29, , 12, 19
2025/4/22, 42, 34, , 13, 16
2025/4/23, 45, 30, , 12, 16
2025/4/24, 37, 20, , 10, 17
2025/4/25, 42, 23, , 7, 21
2025/4/26, 49, 28, , 12, 19
2025/4/27, 49, 26, , 18, 19
2025/4/28, 38, 26, , 16, 19
2025/4/29, 33, 23, , 16, 19
2025/4/30, 45, 21, , 13, 20
2025/5/1, 48, 22, , 13, 20
2025/5/2, 53, 19, , 13, 20
2025/5/3, 42, 22, , 13, 20
2025/5/4, 42, 23, , 13, 21
2025/5/5, 43, 18, , 13, 21
2025/5/6, 45, 18, , 13, 21
2025/5/7, 44, 31, , 14, 21
2025/5/8, 39, 34, , 13, 22
2025/5/9, 47, , , 12, 22
2025/5/10, 45, , , 14, 22
2025/5/11, 24, , , 15, 22
2025/5/12, 18, 32, , 18, 24
2025/5/13, 40, 36, , 14, 23
2025/5/14, 46, 43, , 13, 24
2025/5/15, 54, 42, , 14, 24
2025/5/16, 52, , , , 
2025/6/10, 28, 46, , 13, 19
2025/6/11, 29, , , , 
2025/6/15, 19, 21, , 12, 24
2025/6/16, 6, 21, , 5, 24
2025/6/17, 16, 23, , 11, 22
2025/6/18, 11, 15, , 21, 22
2025/6/19, 15, 13, , 17, 23
2025/6/20, 9, 8, , 14, 25
2025/6/21, 6, 13, , 22, 26
2025/6/22, 12, 14, , 14, 27
2025/6/23, 8, 18, , 6, 26
2025/6/24, 11, 13, , 3, 26
2025/6/25, 18, 17, , 5, 26
2025/6/26, 13, 11, , 2, 25
2025/6/27, 15, , , , 
2025/6/29, 15, 18, , 18, 24
2025/6/30, 12, 17, , 12, 25
2025/7/1, 27, 14, , 21, 26
2025/1/2, 75, 33, , 12, 13
2025/1/3, 35, 33, , 12, 12
2025/1/4, 30, 33, , 12, 13
2025/1/5, 29, 44, , 12, 14
2025/1/6, 42, 34, , 12, 17
2025/1/7, 48, 24, , 12, 14
2025/1/8, 48, 28, , 12, 12
2025/1/9, 25, 20, , 12, 12
2025/1/10, 36, 16, , 12, 12
2025/1/11, 19, 17, , 12, 11
2025/1/12, 12, 7, , 12, 11
2025/1/13, 8, , , , 
2025/1/17, 52, 31, , 11, 12
2025/1/18, 42, 25, , 12, 11
2025/1/19, 34, 26, , 12, 12
2025/1/20, 27, 29, , 12, 15
2025/1/21, 42, , , , 
2025/1/24, 30, 26, , , 13
2025/1/25, 39, 32, , , 18
2025/1/26, 34, 38, , , 16
2025/1/27, 59, , , , 
2025/1/29, 52, 32, , , 17
2025/1/30, 53, 25, , , 15
2025/1/31, 37, 32, , , 16
2025/2/1, 43, 30, , , 15
2025/2/2, 29, 33, , , 16
2025/2/3, 36, 36, , , 18
2025/2/4, 34, 16, , , 17
2025/2/5, 32, 35, , 4, 22
2025/2/6, 45, 42, , 5, 20
2025/2/7, 61, 35, , 4, 18
2025/2/8, 41, 37, , 4, 18
2025/2/9, 37, 36, , 6, 19
2025/2/10, 42, 37, , 10, 22
2025/2/11, 56, 35, , 3, 18
2025/2/12, 50, 26, , 5, 16
2025/2/13, 39, 28, , 8, 20
2025/2/14, 51, 28, , 8, 17
2025/2/15, 35, 27, , 7, 19
2025/2/16, 45, 33, , 8, 18
2025/2/17, 39, 20, , 9, 19
2025/2/18, 37, 26, , 7, 20
2025/2/19, 43, 24, , 10, 20
2025/2/20, 29, 30, , 9, 20
2025/2/21, 31, 26, , 11, 22
2025/2/22, 28, 37, , 10, 24
2025/2/23, 27, 26, , 7, 22
2025/2/24, 32, 30, , 6, 22
2025/2/25, 28, 35, , 7, 30
2025/2/26, 46, 33, , 3, 25
2025/2/27, 44, 33, , 10, 23
2025/2/28, 42, 39, , 14, 13
2025/3/1, 47, 31, , 17, 13
2025/3/2, 44, 30, , 9, 12
2025/3/3, 40, 30, , 11, 14
2025/3/4, 45, 27, , 17, 14
2025/3/5, 45, 36, , 23, 18
2025/3/6, 53, 24, , 19, 14
2025/3/7, 52, 19, , 15, 
2025/3/8, 31, 13, , 14, 9
2025/3/9, 35, , , , 
2025/3/11, 43, 21, , 15, 15
2025/3/12, 39, 15, , , 16
2025/3/13, 45, 18, , , 16
2025/3/14, 42, 13, , , 16
2025/3/15, 41, 16, , , 18
2025/3/16, 34, 20, , , 21
2025/3/17, 47, 18, , , 20
2025/3/18, 55, 22, , , 22
2025/3/19, 54, 20, , , 23
2025/3/20, 42, 19, , , 22
2025/3/21, 100, 31, , , 19
2025/3/22, 55, 34, , , 13
2025/3/23, 50, 34, , , 12
2025/3/24, 43, 32, , , 13
2025/3/25, 48, 21, , 15, 13
2025/3/26, 45, 18, , 15, 12
2025/3/27, 43, 17, , 17, 13
2025/3/28, 51, 18, , 16, 15
2025/3/29, 33, 20, , 17, 18
2025/3/30, 47, 24, , 17, 21
2025/3/31, 53, 23, , 16, 21
2025/4/1, 54, 24, , 16, 19
2024/10/23, 13, 25, , , 3
2024/10/24, 24, 29, , , 6
2024/10/25, 19, 31, , , 8
2024/10/26, 30, 28, , , 7
2024/10/27, 18, 24, , , 7
2024/10/28, 14, 29, , , 8
2024/10/29, 30, 39, , , 9
2024/10/30, 41, 33, , , 10
2024/10/31, 40, 32, , , 10
2024/11/1, 43, 30, , , 10
2024/11/2, 45, 32, , , 9
2024/11/3, 39, 31, , , 10
2024/11/4, 37, 29, , , 11
2024/11/5, 41, 29, , , 12
2024/11/6, 42, 34, , , 13
2024/11/7, 50, 40, , , 12
2024/11/8, 49, 42, , , 12
2024/11/9, 52, 41, , , 13
2024/11/10, 52, 36, , , 10
2024/11/11, 37, 28, , , 10
2024/11/12, 34, 33, , , 14
2024/11/13, 32, 31, , , 11
2024/11/14, 33, 26, , , 9
2024/11/15, 33, 37, , , 12
2024/11/16, 33, , , , 
2024/11/18, 54, 23, , , 11
2024/11/19, 37, 25, , , 12
2024/11/20, 31, 27, , , 11
2024/11/21, 44, 31, , , 9
2024/11/22, 23, 30, , , 12
2024/11/23, 29, 40, , , 17
2024/11/24, 53, 43, , , 18
2024/11/25, 56, 47, , , 17
2024/11/26, 59, 29, , , 14
2024/11/27, 40, 43, , , 17
2024/11/28, 52, 43, , , 15
2024/11/29, 60, 24, , , 16
2024/11/30, 58, 38, , , 20
2024/12/1, 63, 27, , , 16
2024/12/2, 42, 24, , , 13
2024/12/3, 39, 22, , , 12
2024/12/4, 30, 32, , , 14
2024/12/5, 40, 37, , 10, 16
2024/12/6, 62, 30, , 10, 11
2024/12/7, 35, 31, , 10, 11
2024/12/8, 28, 34, , 11, 11
2024/12/9, 28, 33, , 10, 13
2024/12/10, 48, 34, , 11, 16
2024/12/11, 60, 28, , 10, 10
2024/12/12, 41, 39, , 11, 13
2024/12/13, 42, 47, , 12, 18
2024/12/14, 71, 7, , 12, 14
2024/12/15, 66, , , , 
2024/12/18, 29, 30, , 12, 10
2024/12/19, 33, 17, , 9, 6
2024/12/20, 15, 12, , 11, 4
2024/12/21, 25, 19, , 10, 3
2024/12/22, 21, 22, , 11, 2
2024/12/23, 24, 26, , 11, 6
2024/12/24, 31, 29, , 11, 7
2024/12/25, 45, 3, , 11, 18
2024/12/26, 97, , , , 
2024/9/1, 34, 32, , 6, 7
2024/9/2, 20, 12, , 4, 6
2024/9/3, 31, 41, , 9, 6
2024/9/4, 32, , , , 
2024/9/10, 20, 19, , 3, 8
2024/9/11, 16, , , , 
2024/9/13, 18, , , , 
2024/6/20, 7, 66, , 15, 26
2024/6/21, 10, 49, , 13, 24
2024/6/22, 10, , , , 
2024/6/27, 20, 56, , 18, 12
2024/6/28, 18, , , , 
2024/1/2, 68, 24, , 9, 17
2024/1/3, 40, 23, , 7, 18
2024/1/4, 44, 17, , 11, 15
2024/1/5, 31, 16, , 9, 15
2024/1/6, 40, 17, , 9, 16
2024/1/7, 36, 9, , 11, 18
2024/1/8, 40, 12, , 6, 17
2024/1/9, 43, 21, , 13, 15
2024/1/10, 27, 20, , 2, 16
2024/1/11, 41, 21, , 1, 16
2024/1/12, 31, 27, , 1, 18
2024/1/13, 38, , , , 
2024/1/31, 80, 24, , , 11
2024/2/1, 48, 30, , , 11
2024/2/2, 48, 27, , , 8
2024/2/3, 37, 24, , , 7
2024/2/4, 33, 27, , , 9
2024/2/5, 27, 28, , , 12
2024/2/6, 44, 37, , , 15
2024/2/7, 54, 35, , , 13
2024/2/8, 51, 33, , , 13
2024/2/9, 57, 32, , , 13
2024/2/10, 51, 25, , , 11
2024/2/11, 40, 24, , , 9
2024/2/12, 27, 23, , , 10
2024/2/13, 33, 27, , , 10
2024/2/14, 30, 23, , , 10
2024/2/15, 25, 25, , , 11
2024/2/16, 40, 19, , , 8
2024/2/17, 15, 22, , , 8
2024/2/18, 7, 16, , , 8
2024/2/19, 19, 10, , , 19
2024/2/20, 48, 9, , , 10
2024/2/21, 44, , , , 
2024/3/14, 40, , , , 
2023/10/2, 17, 32, , 17, 13
2023/10/3, 26, 46, , 9, 13
2023/10/4, 24, 62, , 13, 13
2023/10/5, 18, 47, , 14, 12
2023/10/6, 28, , , 10, 12
2023/10/7, 17, , , 12, 11
2023/10/8, 11, , , 9, 10
2023/10/9, 7, , , 16, 6
2023/10/10, 9, , , 18, 6
2023/10/11, 2, , , 16, 11
2023/10/13, 14, , , 17, 14
2023/10/14, 33, , , 13, 11
2023/10/15, 24, , , 10, 10
2023/10/16, 12, , , 5, 11
2023/10/17, 16, 22, , 15, 11
2023/10/18, 20, 33, , 12, 15
2023/10/19, 39, 22, , 10, 15
2023/10/20, 41, 31, , 10, 13
2023/10/21, 26, 37, , 12, 13
2023/10/22, 29, 41, , 8, 12
2023/10/23, 15, 23, , 7, 12
2023/10/24, 21, 11, , 6, 12
2023/10/25, 26, 60, , 15, 18
2023/10/26, 33, 87, , 15, 15
2023/10/27, 23, 88, , 13, 12
2023/10/28, 18, 30, , 14, 13
2023/10/29, 18, 13, , 16, 15
2023/10/30, 38, 28, , 14, 13
2023/10/31, 18, 40, , 12, 13
2023/11/1, 24, 25, , 6, 12
2023/11/2, 14, 29, , 13, 13
2023/11/3, 18, 27, , 11, 13
2023/11/4, 22, 21, , 15, 13
2023/11/5, 22, 26, , 8, 14
2023/11/6, 20, 31, , 9, 17
2023/11/7, 40, 43, , 13, 19
2023/11/8, 53, , , , 
2023/11/15, 14, 31, , 13, 13
2023/11/16, 21, 27, , 14, 17
2023/11/17, 38, 35, , 7, 18
2023/11/18, 52, 21, , 5, 15
2023/11/19, 35, 40, , 16, 18
2023/11/20, 47, 36, , 8, 16
2023/11/21, 47, , , , 
2023/11/23, 18, 22, , 10, 17
2023/11/24, 32, 24, , 4, 19
2023/11/25, 33, 26, , 7, 18
2023/11/26, 39, 27, , 3, 19
2023/11/27, 42, 29, , 8, 18
2023/11/28, 43, 25, , 5, 14
2023/11/29, 26, 28, , 14, 14
2023/11/30, 20, 23, , 12, 16
2023/12/1, 18, 21, , 7, 16
2023/12/2, 28, 19, , 12, 17
2023/12/3, 31, 21, , 14, 16
2023/12/4, 26, 16, , 9, 14
2023/12/5, 13, 19, , 10, 14
2023/12/6, 15, 19, , 10, 13
2023/12/7, 11, 15, , 16, 15
2023/12/8, 8, 17, , 12, 25
2023/12/9, 35, 28, , 16, 21
2023/12/10, 44, 22, , 11, 17
2023/12/11, 35, 15, , 15, 15
2023/12/12, 14, 24, , 12, 17
2023/12/13, 23, 21, , 12, 16
2023/12/14, 33, 17, , 19, 14
2023/12/15, 21, 24, , 17, 16
2023/12/16, 28, 21, , 12, 14
2023/12/17, 21, 29, , 14, 14
2023/12/18, 19, 42, , 16, 15
2023/12/19, 32, 31, , 22, 21
2023/12/20, 53, 41, , 17, 21
2023/12/21, 61, 28, , 15, 17
2023/12/22, 38, 22, , 21, 17
2023/12/23, 40, 31, , 17, 17
2023/12/24, 40, 24, , 16, 15
2023/12/25, 18, 21, , 10, 18
2023/12/26, 45, 20, , 13, 16
2023/12/27, 13, 23, , 5, 15
2023/12/28, 20, 25, , 11, 19
2023/12/29, 33, 25, , 9, 18
2023/12/30, 39, 29, , 5, 17
2023/12/31, 29, 29, , 6, 19
2024/1/1, 45, 30, , 11, 23
2023/7/2, 12, 33, , 22, 8
2023/7/3, 18, 38, , 25, 9
2023/7/4, 27, 47, , 25, 10
2023/7/5, 25, 38, , 29, 10
2023/7/6, 26, 39, , 12, 9
2023/7/7, 31, 31, , 16, 9
2023/7/8, 29, 27, , 17, 9
2023/7/9, 26, 32, , 18, 9
2023/7/10, 22, 35, , 21, 9
2023/7/11, 19, 32, , 14, 9
2023/7/12, 14, 44, , 20, 10
2023/7/13, 21, 47, , 20, 10
2023/7/14, 31, 41, , 21, 9
2023/7/15, 33, 32, , 16, 9
2023/7/16, 25, 31, , 13, 8
2023/7/17, 28, 27, , 11, 8
2023/7/18, 25, 37, , 19, 9
2023/7/19, 31, 27, , 16, 9
2023/7/20, 32, 26, , 15, 8
2023/7/21, 35, 34, , 18, 9
2023/7/22, 26, 31, , 19, 8
2023/7/23, 18, 23, , 19, 7
2023/7/24, 33, 22, , 16, 7
2023/7/25, 35, 29, , 9, 8
2023/7/26, 16, 31, , 9, 8
2023/7/27, 23, 32, , 6, 8
2023/7/28, 26, 39, , 10, 8
2023/7/29, 27, 35, , 18, 5
2023/7/30, 16, 16, , 12, 1
2023/7/31, 18, 8, , 3, 
2023/8/1, 11, , , , 
2023/8/4, 24, 39, , 18, 7
2023/8/5, 26, , , , 
2023/8/10, 29, 53, , 18, 8
2023/8/11, 24, 60, , 17, 9
2023/8/12, 19, 70, , 17, 10
2023/8/13, 23, 45, , 18, 9
2023/8/14, 21, 39, , 18, 10
2023/8/15, 18, 26, , 18, 10
2023/8/16, 26, 25, , 18, 9
2023/8/17, 19, 33, , 18, 10
2023/8/18, 19, 45, , 19, 10
2023/8/19, 18, 46, , 19, 10
2023/8/20, 14, 34, , 18, 10
2023/8/21, 19, 25, , 19, 15
2023/8/22, 16, 35, , 19, 11
2023/8/23, 18, 32, , 18, 11
2023/8/24, 20, 28, , 18, 11
2023/8/25, 16, 29, , 19, 12
2023/8/26, 27, 31, , 18, 11
2023/8/27, 16, 29, , 18, 11
2023/8/28, 12, 33, , 18, 12
2023/8/29, 21, 37, , 18, 13
2023/8/30, 29, 43, , 22, 13
2023/8/31, 27, 47, , 22, 15
2023/9/1, 24, 44, , 20, 14
2023/9/2, 20, 39, , 19, 12
2023/9/3, 24, 38, , 18, 12
2023/9/4, 23, , , , 
2023/9/9, 25, 28, , 17, 12
2023/9/10, 23, 28, , 17, 12
2023/9/11, 12, 32, , 18, 13
2023/9/12, 24, 35, , 17, 13
2023/9/13, 23, 37, , 19, 14
2023/9/14, 29, 38, , 21, 15
2023/9/15, 39, 30, , 21, 13
2023/9/16, 28, 30, , 18, 12
2023/9/17, 25, 44, , 18, 12
2023/9/18, 22, 31, , 16, 13
2023/9/19, 20, 38, , 19, 13
2023/9/20, 24, 38, , 22, 13
2023/9/21, 27, 34, , 21, 14
2023/9/22, 34, 33, , 20, 14
2023/9/23, 29, 40, , 21, 13
2023/9/24, 34, 35, , 21, 13
2023/9/25, 26, 26, , 21, 13
2023/9/26, 31, 30, , 19, 12
2023/9/27, 23, 31, , 19, 13
2023/9/28, 24, 33, , 19, 13
2023/9/29, 28, 32, , 19, 14
2023/9/30, 30, 32, , 18, 12
2023/10/1, 29, 29, , 18, 12
2023/4/2, 67, 33, 7, 4, 2
2023/4/3, 51, 34, 9, 4, 4
2023/4/4, 62, 27, 6, 5, 1
2023/4/5, 53, 28, 8, 5, 2
2023/4/6, 54, 30, 7, 11, 2
2023/4/7, 52, 24, 4, 9, 1
2023/4/8, 42, 31, 6, 13, 1
2023/4/9, 38, 28, 8, 15, 2
2023/4/10, 43, 28, 6, 18, 1
2023/4/11, 35, 24, 4, 11, 
2023/4/12, 27, 30, 7, 22, 
2023/4/13, 34, 23, 8, 24, 
2023/4/14, 39, 29, 7, 20, 
2023/4/15, 37, 19, 4, 18, 
2023/4/16, 34, 27, 6, 18, 
2023/4/17, 46, 31, 4, 17, 
2023/4/18, 44, 24, 3, 16, 
2023/4/19, 40, 29, 4, 16, 
2023/4/20, 50, 25, 3, 13, 
2023/4/21, 42, 25, 3, 9, 
2023/4/22, 44, 28, 3, 12, 
2023/4/23, 48, 29, 4, 12, 
2023/4/24, 54, 27, 3, 13, 
2023/4/25, 47, 34, 4, 8, 
2023/4/26, 52, 30, 5, 15, 
2023/4/27, 46, 28, 4, 12, 
2023/4/28, 49, 29, 4, 16, 
2023/4/29, 46, 34, 6, 17, 
2023/4/30, 51, 35, 5, 18, 
2023/5/1, 39, 27, 5, 17, 
2023/5/2, 48, , , , 
2023/5/6, 56, 40, 6, 20, 15
2023/5/7, 57, 35, 7, 21, 15
2023/5/8, 42, 31, 6, 18, 14
2023/5/9, 36, 32, 4, 17, 13
2023/5/10, 37, 22, 4, 13, 13
2023/5/11, 36, 31, 6, 14, 14
2023/5/12, 43, 35, 6, 17, 15
2023/5/13, 54, 30, 5, 16, 15
2023/5/14, 56, 27, 3, 18, 14
2023/5/15, 35, 26, 4, 15, 13
2023/5/16, 27, 25, 5, 20, 13
2023/5/17, 33, 26, 5, 16, 14
2023/5/18, 38, 29, 5, 15, 14
2023/5/19, 48, 30, 4, 16, 13
2023/5/20, 47, 33, 5, 13, 12
2023/5/21, 23, 26, 3, 15, 11
2023/5/22, 25, 39, 3, 16, 12
2023/5/23, 30, 30, 4, 20, 12
2023/5/24, 34, 30, 5, 14, 12
2023/5/25, 36, 32, 5, 15, 12
2023/5/26, 44, 37, 3, 13, 11
2023/5/27, 43, 41, 4, 15, 11
2023/5/28, 33, 35, 5, 17, 11
2023/5/29, 30, 27, 3, 13, 11
2023/5/30, 36, 33, 3, 16, 11
2023/5/31, 42, 35, 6, 14, 12
2023/6/1, 47, 32, 6, 17, 11
2023/6/2, 46, 36, 3, 15, 11
2023/6/3, 43, 28, 6, 11, 10
2023/6/4, 41, 25, 1, 16, 10
2023/6/5, 37, 39, 7, 16, 11
2023/6/6, 34, 39, 10, 10, 11
2023/6/7, 34, 35, 5, 13, 12
2023/6/8, 42, 26, 2, 14, 11
2023/6/9, 52, 33, 6, 17, 14
2023/6/10, 53, 30, 11, 23, 14
2023/6/11, 58, 14, 4, 16, 14
2023/6/12, 55, 33, 5, 16, 12
2023/6/13, 46, 30, 8, 14, 11
2023/6/14, 49, 43, 4, 12, 12
2023/6/15, 35, 36, , 13, 13
2023/6/16, 50, 37, , 16, 13
2023/6/17, 59, 42, , 16, 12
2023/6/18, 54, 35, , 16, 13
2023/6/19, 48, 43, , 14, 12
2023/6/20, 49, 40, , 11, 12
2023/6/21, 38, 41, , 15, 12
2023/6/22, 42, 35, , 12, 12
2023/6/23, 54, 29, , 10, 12
2023/6/24, 45, 27, , 8, 12
2023/6/25, 48, 27, , 9, 11
2023/6/26, 40, 22, , 2, 11
2023/6/27, 18, 30, , 19, 9
2023/6/28, 34, 30, , 21, 9
2023/6/29, 40, 33, , 17, 8
2023/6/30, 40, 30, , 18, 10
2023/7/1, 26, 27, , 14, 9
2023/1/3, 27, 19, 15, 12, 10
2023/1/4, 28, 18, 17, 14, 12
2023/1/5, 47, , , , 
2023/1/7, 44, 29, 21, 23, 17
2023/1/8, 60, 21, 21, 16, 15
2023/1/9, 57, 26, 17, 17, 14
2023/1/10, 49, 26, 21, 17, 16
2023/1/11, 65, 30, 18, 20, 15
2023/1/12, 55, 31, 18, 16, 14
2023/1/13, 52, 25, 11, 13, 12
2023/1/14, 40, 30, 21, 20, 18
2023/1/15, 51, 31, 20, 17, 16
2023/1/16, 57, 22, 18, 14, 15
2023/1/17, 48, 29, 21, 20, 19
2023/1/18, 63, 24, 21, 14, 19
2023/1/19, 62, 29, 24, 26, 21
2023/1/20, 79, 22, 19, 18, 17
2023/1/21, 51, 22, 15, 14, 18
2023/1/22, 58, 22, 14, 14, 17
2023/1/23, 44, 21, 13, 15, 17
2023/1/24, 49, 18, 12, 13, 17
2023/1/25, 42, 21, 15, 14, 19
2023/1/26, 47, 26, 16, 16, 19
2023/1/27, 61, 25, 15, 17, 18
2023/1/28, 41, 19, 14, 13, 18
2023/1/29, 41, 24, 15, 15, 19
2023/1/30, 43, 25, 19, 15, 24
2023/1/31, 70, 29, 19, 18, 22
2023/2/1, 65, 27, 17, 21, 19
2023/2/2, 55, 24, 17, 15, 20
2023/2/3, 54, 15, 12, 14, 17
2023/2/4, 47, , , , 
2023/2/8, 95, 26, 20, 10, 19
2023/2/9, 66, 27, 16, 14, 17
2023/2/10, 54, 19, 16, 14, 16
2023/2/11, 60, 26, 11, 12, 14
2023/2/12, 33, 28, 15, 16, 16
2023/2/13, 44, 23, 17, 14, 17
2023/2/14, 59, 20, 15, 9, 16
2023/2/15, 50, 20, 14, , 16
2023/2/16, 43, 37, 10, 4, 9
2023/2/17, 52, 50, 12, 7, 5
2023/2/18, 63, 73, 12, 9, 5
2023/2/19, 47, 59, 13, 12, 5
2023/2/20, 51, 69, 17, 15, 7
