date, pm25, pm10, o3, no2, so2, co
2025/8/2, 64, 21, , , 4, 43
2025/8/3, 62, 26, , , 5, 44
2025/8/4, 67, 30, , , 4, 46
2025/8/5, 63, 21, , , 4, 43
2025/8/6, 56, 23, , , 4, 43
2025/8/7, 59, 18, , , 4, 43
2025/8/8, 59, 27, , , 4, 46
2025/8/9, 69, 25, , , 4, 47
2025/8/10, 66, 27, , , 5, 46
2025/8/11, 77, 20, , , 7, 45
2025/8/12, 67, 31, , , 3, 44
2025/8/13, 64, 27, , , 4, 46
2025/8/14, 67, 25, , , 3, 44
2025/8/15, 70, 22, , , 4, 45
2025/8/16, 66, , , , , 
2025/8/18, 65, 27, , , 4, 46
2025/8/19, 66, 19, , , 4, 45
2025/8/20, 51, 30, , , 4, 47
2025/8/21, 68, 20, , , 4, 47
2025/8/22, 66, , , , , 
2025/8/24, 71, 11, , , 4, 47
2025/8/25, 57, 22, , , 5, 49
2025/8/26, 70, 26, , , 4, 48
2025/8/27, 67, 31, , , 4, 49
2025/8/28, 77, 27, , , 4, 49
2025/8/29, 68, 17, , , 4, 47
2025/8/30, 64, , , , , 
2025/7/2, 52, 15, , , 6, 41
2025/7/3, 59, 21, , , 7, 41
2025/7/4, 75, 31, , , 5, 39
2025/7/5, 71, 20, , , 5, 39
2025/7/6, 72, 29, , , , 
2025/7/8, 91, 23, , , 5, 42
2025/7/9, 67, , , , , 
2025/7/11, 74, 16, , , 4, 41
2025/7/12, 59, 18, , , 4, 41
2025/7/13, 60, 21, , , 4, 42
2025/7/14, 66, 19, , , 4, 41
2025/7/15, 69, 24, , , 4, 42
2025/7/16, 66, 24, , , 4, 44
2025/7/17, 70, 26, , , 4, 43
2025/7/18, 72, 27, , , 4, 44
2025/7/19, 74, 28, , , 4, 44
2025/7/20, 69, 18, , , 4, 42
2025/7/21, 61, 24, , , 4, 42
2025/7/22, 73, 40, , , 5, 46
2025/7/23, 87, 29, , , 4, 44
2025/7/24, 64, 30, , , 4, 44
2025/7/25, 66, 26, , , 4, 43
2025/7/26, 63, 23, , , 5, 42
2025/7/27, 61, 13, , , 5, 41
2025/7/28, 53, 16, , , 5, 42
2025/7/29, 56, 21, , , 4, 42
2025/7/30, 58, 21, , , 4, 43
2025/7/31, 60, 29, , , 4, 44
2025/8/1, 66, 24, , , 5, 45
2025/6/5, 78, 17, , , , 
2025/6/10, 75, 28, , , 6, 42
2025/6/11, 66, 19, , , , 
2025/6/15, 57, 19, , , 7, 41
2025/6/16, 54, 6, , , 7, 42
2025/6/17, 66, 9, , , , 
2025/6/19, 42, 17, , , 7, 41
2025/6/20, 45, 11, , , 7, 40
2025/6/21, 52, 9, , , 7, 46
2025/6/22, 57, 10, , , 7, 43
2025/6/23, 51, 6, , , 7, 42
2025/6/24, 51, 12, , , 9, 41
2025/6/25, 55, 16, , , 47, 42
