date, pm10, o3, no2
2025/8/2, 16, 26, 
2025/8/3, 21, 37, 
2025/8/4, 23, 37, 
2025/8/5, 25, 27, 
2025/8/6, 30, 20, 
2025/8/7, 30, 24, 
2025/8/8, 21, 33, 
2025/8/9, 21, 31, 
2025/8/10, 29, 36, 
2025/8/11, 25, 16, 
2025/8/12, 25, 39, 
2025/8/20, 34, 39, 
2025/8/21, 29, 37, 
2025/8/22, 28, 33, 
2025/8/23, 29, 39, 
2025/8/24, 19, 23, 
2025/8/25, 17, 34, 
2025/8/26, 25, 35, 
2025/8/27, 20, 28, 
2025/8/28, 24, 38, 
2025/8/29, 18, 20, 
2025/8/30, 19, , 
2025/7/2, 18, 25, 
2025/7/3, 22, 34, 
2025/7/4, 23, 43, 
2025/7/5, 24, 44, 
2025/7/6, 32, 25, 
2025/7/7, 26, 39, 
2025/7/8, 20, 36, 
2025/7/9, 25, , 
2025/7/11, 45, 33, 
2025/7/12, 24, 27, 
2025/7/13, 25, 31, 
2025/7/14, 30, 32, 
2025/7/15, 19, 32, 
2025/7/16, 24, 36, 
2025/7/17, 21, 27, 
2025/7/18, 27, 28, 
2025/7/19, 23, 29, 
2025/7/20, 24, 33, 
2025/7/21, 23, 46, 
2025/7/22, 27, 36, 
2025/7/23, 34, 37, 
2025/7/24, 29, 37, 
2025/7/25, 24, 38, 
2025/7/26, 22, , 
2025/7/30, 42, 34, 
2025/7/31, 22, 35, 
2025/8/1, 24, 22, 
2025/4/2, 54, 47, 
2025/4/3, 62, 43, 
2025/4/4, 46, 40, 
2025/4/5, 46, 31, 
2025/4/6, 56, 7, 
2025/4/7, 58, 44, 
2025/4/8, 42, 38, 
2025/4/9, 47, 56, 
2025/4/10, 43, 42, 
2025/4/11, 50, 42, 
2025/4/12, 52, 45, 
2025/4/13, 46, 48, 
2025/4/14, 40, 43, 
2025/4/15, 43, 47, 
2025/4/16, 53, 55, 
2025/4/17, 42, 57, 
2025/4/18, 46, 18, 
2025/4/19, 45, 50, 
2025/4/20, 55, 49, 
2025/4/21, 58, 50, 
2025/4/22, 50, 47, 
2025/4/23, 53, 43, 
2025/4/24, 65, 45, 
2025/4/25, 52, 50, 
2025/4/26, 54, 56, 
2025/4/27, 59, 47, 
2025/4/28, 54, 59, 
2025/4/29, 52, 53, 
2025/4/30, 50, 52, 
2025/5/1, 65, 52, 
2025/5/2, 52, 46, 
2025/5/3, 59, 46, 
2025/5/4, 61, 41, 
2025/5/5, 52, 44, 
2025/5/6, 54, 43, 
2025/5/7, 64, 43, 
2025/5/8, 50, 48, 
2025/5/9, 54, 49, 
2025/5/10, 71, 40, 
2025/5/11, 33, 43, 
2025/5/12, 28, 58, 
2025/5/13, 41, 50, 
2025/5/14, 53, 60, 
2025/5/15, 63, 56, 
2025/5/16, 50, , 
2025/5/19, 78, 47, 
2025/5/20, 45, 18, 
2025/5/21, 43, 17, 
2025/5/22, 31, 41, 
2025/5/23, 36, 6, 
2025/5/24, 28, 51, 
2025/5/25, 38, 47, 
2025/5/26, 31, 55, 
2025/5/27, 25, 52, 
2025/5/28, 31, 42, 
2025/5/29, 32, 29, 
2025/5/30, 32, 39, 
2025/5/31, 19, 39, 
2025/6/1, 21, 44, 
2025/6/2, 15, 36, 
2025/6/3, 28, 41, 
2025/6/4, 20, 33, 
2025/6/5, 26, 28, 
2025/6/6, 30, , 
2025/6/10, 33, 45, 
2025/6/11, 35, , 
2025/6/19, 23, 14, 
2025/6/20, 16, 4, 
2025/6/21, 9, 11, 
2025/6/22, 14, 16, 
2025/6/23, 11, 21, 
2025/6/24, 14, 16, 
2025/6/25, 22, 22, 
2025/6/26, 20, 8, 
2025/6/27, 16, , 
2025/6/29, 18, 20, 
2025/6/30, 16, 21, 
2025/7/1, 17, 16, 
2025/1/2, 64, 38, 
2025/1/3, 65, 31, 
2025/1/4, 65, 36, 
2025/1/5, 65, 44, 
2025/1/6, 65, 33, 
2025/1/7, 67, 24, 
2025/1/8, 47, 26, 
2025/1/9, 40, 20, 
2025/1/10, 44, 4, 
2025/1/11, 30, 8, 
2025/1/12, 21, 3, 
2025/1/13, 15, , 
2025/1/17, 52, 9, 
2025/1/18, 104, 8, 
2025/1/19, 30, 6, 
2025/1/20, 9, 10, 
2025/1/21, 9, , 
2025/1/24, 54, 30, 
2025/1/25, 62, 37, 
2025/1/26, 65, 51, 
2025/1/27, 56, , 
2025/1/29, 62, 41, 
2025/1/30, 67, 31, 
2025/1/31, 53, 33, 
2025/2/1, 65, 34, 
2025/2/2, 39, 35, 
2025/2/3, 38, 40, 
2025/2/4, 32, 20, 
2025/2/5, 36, 41, 
2025/2/6, 57, 59, 
2025/2/7, 55, 42, 
2025/2/8, 42, 37, 
2025/2/9, 49, 44, 
2025/2/10, 49, 48, 
2025/2/11, 57, 44, 
2025/2/12, 67, 33, 
2025/2/13, 60, 30, 
2025/2/14, 59, 40, 
2025/2/15, 47, 33, 
2025/2/16, 58, 38, 
2025/2/17, 68, 38, 
2025/2/18, 47, 34, 
2025/2/19, 57, 26, 
2025/2/20, 35, 34, 
2025/2/21, 43, 27, 
2025/2/22, 26, 31, 
2025/2/23, 26, 33, 
2025/2/24, 36, 35, 
2025/2/25, 35, 44, 
2025/2/26, 41, 45, 
2025/2/27, 52, 38, 
2025/2/28, 59, 46, 
2025/3/1, 43, 36, 
2025/3/2, 64, 31, 
2025/3/3, 45, 3, 
2025/3/4, 77, 15, 
2025/3/5, 43, 6, 
2025/3/6, 62, 46, 
2025/3/7, 75, 11, 
2025/3/9, 77, , 
2025/3/12, 52, 37, 
2025/3/13, 67, 39, 
2025/3/14, 55, 26, 
2025/3/15, 66, 34, 
2025/3/16, 49, 40, 
2025/3/17, 46, 44, 
2025/3/18, 60, 47, 
2025/3/19, 55, 45, 
2025/3/20, 60, 39, 
2025/3/21, 128, 44, 
2025/3/22, 50, 44, 
2025/3/23, 57, 45, 
2025/3/24, 31, 5, 
2025/3/25, 29, 44, 
2025/3/26, 46, 45, 
2025/3/27, 28, 29, 
2025/3/28, 55, 38, 
2025/3/29, 29, 43, 
2025/3/30, 36, 6, 
2025/3/31, 51, 3, 
2025/4/1, 70, 39, 
2024/10/2, 25, 35, 
2024/10/3, 27, 48, 
2024/10/4, 36, 39, 
2024/10/5, 32, 55, 
2024/10/6, 25, 23, 
2024/10/7, 18, 25, 
2024/10/8, 22, 33, 
2024/10/9, 22, 41, 
2024/10/10, 29, 39, 
2024/10/11, 35, 41, 
2024/10/12, 36, 43, 
2024/10/13, 35, 44, 
2024/10/14, 25, 44, 
2024/10/15, 29, 47, 
2024/10/16, 40, 47, 
2024/10/17, 45, 39, 
2024/10/18, 35, 42, 
2024/10/19, 33, 27, 
2024/10/20, 27, 28, 
2024/10/21, 22, 16, 
2024/10/22, 17, 29, 
2024/10/23, 24, 33, 
2024/10/24, 28, 38, 
2024/10/25, 26, 34, 
2024/10/26, 35, 33, 
2024/10/27, 34, 29, 
2024/10/28, 21, 36, 
2024/10/29, 36, 42, 
2024/10/30, 37, 46, 
2024/10/31, 56, 47, 
2024/11/1, 58, 28, 
2024/11/2, 42, 38, 
2024/11/3, 48, 31, 
2024/11/4, 40, 27, 
2024/11/5, 51, 32, 
2024/11/6, 53, 32, 
2024/11/7, 53, 37, 
2024/11/8, 51, 39, 
2024/11/9, 49, 39, 
2024/11/10, 52, 32, 
2024/11/11, 31, 28, 
2024/11/12, 43, 37, 
2024/11/13, 44, 46, 
2024/11/14, 56, 28, 
2024/11/15, 51, 42, 
2024/11/16, 43, , 
2024/11/18, 37, 27, 
2024/11/19, 40, 26, 
2024/11/20, 37, 27, 
2024/11/21, 59, 37, 
2024/11/22, 33, 35, 
2024/11/23, 33, 35, 
2024/11/24, 55, 58, 
2024/11/25, 58, 59, 
2024/11/26, 55, 39, 
2024/11/27, 58, 59, 
2024/11/28, 49, 44, 
2024/11/29, 69, 30, 
2024/11/30, 43, 34, 
2024/12/1, 66, 28, 
2024/12/2, 38, 27, 
2024/12/3, 52, 33, 
2024/12/4, 44, 42, 
2024/12/5, 46, 38, 
2024/12/6, 58, 35, 
2024/12/7, 42, 34, 
2024/12/8, 31, 40, 
2024/12/9, 34, 39, 
2024/12/10, 64, 49, 
2024/12/11, 71, 28, 
2024/12/12, 65, 41, 
2024/12/13, 42, 59, 
2024/12/14, 71, 6, 
2024/12/15, 48, , 
2024/12/18, 57, 33, 
2024/12/19, 48, 22, 
2024/12/20, 39, 11, 
2024/12/21, 36, 28, 
2024/12/22, 47, , 
2024/12/24, 58, 35, 
2024/12/25, 50, 8, 
2024/12/26, 86, , 
2024/7/6, 27, , 
2024/9/1, 26, 40, 
2024/9/2, 22, 30, 
2024/9/3, 23, 36, 
2024/9/4, 21, 52, 
2024/9/5, 21, 29, 
2024/9/6, 30, 15, 
2024/9/7, 20, 23, 
2024/9/8, 14, 38, 
2024/9/9, 20, 38, 
2024/9/10, 29, 34, 
2024/9/11, 26, 25, 
2024/9/12, 23, 18, 
2024/9/13, 20, 31, 
2024/9/14, 36, 39, 
2024/9/15, 31, 30, 
2024/9/16, 13, 26, 
2024/9/17, 20, 35, 
2024/9/18, 23, 34, 
2024/9/19, 14, 38, 
2024/9/20, 23, 32, 
2024/9/21, 30, 29, 
2024/9/22, 27, 25, 
2024/9/23, 23, 23, 
2024/9/24, 28, 24, 
2024/9/25, 25, 25, 
2024/9/26, 30, 16, 
2024/9/27, 16, 21, 
2024/9/28, 10, 32, 
2024/9/29, 16, 25, 
2024/9/30, 15, 37, 
2024/10/1, 23, 34, 
2024/4/2, 58, , 
2024/4/3, 49, , 
2024/4/4, 58, , 
2024/4/5, 47, , 
2024/4/6, 59, , 
2024/4/7, 57, , 
2024/4/8, 44, , 
2024/4/9, 68, , 
2024/4/10, 92, , 
2024/4/11, 56, , 
2024/4/12, 75, , 
2024/4/13, 69, , 
2024/4/14, 51, , 
2024/4/15, 40, , 
2024/4/16, 58, , 
2024/4/17, 58, , 
2024/4/18, 52, , 
2024/4/19, 60, , 
2024/4/24, 50, , 
2024/4/25, 54, , 
2024/4/26, 54, , 
2024/4/27, 52, , 
2024/4/28, 52, , 
2024/4/29, 67, , 
2024/4/30, 62, , 
2024/5/1, 53, , 
2024/5/2, 60, , 
2024/5/3, 48, , 
2024/5/4, 57, , 
2024/5/5, 65, , 
2024/5/6, 53, , 
2024/5/7, 50, , 
2024/5/8, 53, , 
2024/5/9, 56, , 
2024/5/10, 63, , 
2024/5/11, 66, , 
2024/5/12, 60, , 
2024/5/13, 59, , 
2024/5/14, 53, , 
2024/5/15, 62, , 
2024/5/16, 55, , 
2024/5/17, 50, , 
2024/5/18, 46, , 
2024/5/19, 57, , 
2024/5/20, 48, , 
2024/5/21, 53, , 
2024/5/22, 57, , 
2024/5/23, 56, , 
2024/5/24, 55, , 
2024/5/25, 51, , 
2024/5/26, 73, , 
2024/5/27, 47, , 
2024/5/28, 48, , 
2024/5/29, 49, , 
2024/6/8, 56, 54, 
2024/6/9, 33, 70, 
2024/6/10, 34, 65, 
2024/6/11, 23, 46, 
2024/6/12, 35, 44, 
2024/6/13, 38, 48, 
2024/6/14, 28, 38, 
2024/6/15, 35, 38, 
2024/6/16, 29, 42, 
2024/6/17, 27, 44, 
2024/6/18, 34, 46, 
2024/6/19, 62, 40, 
2024/6/20, 68, 21, 
2024/6/21, 10, 28, 
2024/6/22, 19, 36, 
2024/6/23, 13, 37, 
2024/6/24, 18, 30, 
2024/6/25, 12, 30, 
2024/6/26, 16, 38, 
2024/6/27, 15, 48, 
2024/6/28, 15, , 
2024/1/2, 65, , 8
2024/1/3, 45, , 8
2024/1/4, 55, , 5
2024/1/5, 54, , 4
2024/1/6, 49, , 6
2024/1/7, 44, , 6
2024/1/8, 41, , 5
2024/1/9, 52, , 7
2024/1/10, 46, , 7
2024/1/11, 61, , 8
2024/1/12, 55, , 8
2024/1/13, 64, , 8
2024/1/14, 71, , 8
2024/1/15, 73, , 9
2024/1/16, 75, , 11
2024/1/17, 87, , 
2024/2/15, 39, , 5
2024/2/16, 62, , 4
2024/2/17, 40, , 3
2024/2/18, 19, , 4
2024/2/19, 33, , 6
2024/2/20, 56, , 7
2024/2/21, 48, , 7
2024/2/22, 51, , 8
2024/2/23, 74, , 8
2024/2/24, 80, , 6
2024/2/25, 59, , 4
2024/2/26, 49, , 6
2024/2/27, 56, , 7
2024/2/28, 69, , 7
2024/2/29, 79, , 3
2024/3/1, 62, , 
2024/3/5, 53, , 4
2024/3/6, 45, , 6
2024/3/7, 59, , 5
2024/3/8, 56, , 4
2024/3/9, 48, , 5
2024/3/10, 61, , 2
2024/3/11, 43, , 3
2024/3/12, 37, , 4
2024/3/13, 49, , 4
2024/3/14, 49, , 4
2024/3/15, 49, , 4
2024/3/16, 48, , 4
2024/3/17, 60, , 3
2024/3/18, 47, , 3
2024/3/19, 46, , 3
2024/3/20, 35, , 4
2024/3/21, 46, , 4
2024/3/22, 64, , 3
2024/3/23, 45, , 
2024/3/24, 55, , 
2024/3/25, 83, , 
2024/3/26, 57, , 
2024/3/27, 47, , 
2024/3/28, 54, , 
2024/3/29, 51, , 
2024/3/30, 34, , 
2024/3/31, 54, , 
2024/4/1, 53, , 
2023/10/2, 29, , 5
2023/10/3, 40, , 4
2023/10/4, 31, , 5
2023/10/5, 24, , 7
2023/10/6, 33, , 4
2023/10/7, 28, , 
2023/11/10, 59, , 8
2023/11/11, 34, , 5
2023/11/12, 28, , 3
2023/11/13, 15, , 5
2023/11/14, 22, , 4
2023/11/15, 24, , 5
2023/11/16, 28, , 8
2023/11/17, 38, , 9
2023/11/18, 47, , 8
2023/11/19, 47, , 9
2023/11/20, 62, , 10
2023/11/21, 64, , 8
2023/11/22, 61, , 4
2023/11/23, 28, , 5
2023/11/24, 33, , 8
2023/11/25, 46, , 8
2023/11/26, 69, , 6
2023/11/27, 42, , 6
2023/11/28, 41, , 4
2023/11/29, 35, , 5
2023/11/30, 27, , 6
2023/12/1, 22, , 7
2023/12/2, 24, , 9
2023/12/3, 46, , 6
2023/12/4, 31, , 5
2023/12/5, 16, , 4
2023/12/6, 20, , 4
2023/12/7, 24, , 7
2023/12/8, 11, , 8
2023/12/9, 35, , 9
2023/12/10, 58, , 6
2023/12/11, 35, , 7
2023/12/12, 14, , 6
2023/12/13, 20, , 5
2023/12/14, 29, , 5
2023/12/15, 32, , 5
2023/12/16, 30, , 5
2023/12/17, 32, , 5
2023/12/18, 26, , 8
2023/12/19, 43, , 7
2023/12/20, 47, , 10
2023/12/21, 54, , 7
2023/12/22, 46, , 6
2023/12/23, 40, , 6
