date, pm25, pm10, o3, no2, so2, co
2025/8/2, 28, 21, 28, , 12, 8
2025/8/3, 25, 30, 38, , 14, 8
2025/8/4, 33, 33, 37, , 15, 8
2025/8/5, 35, 24, 25, , 13, 7
2025/8/6, 29, 28, 21, , 13, 8
2025/8/7, 24, 21, 25, , 13, 8
2025/8/8, 25, 21, 34, , 12, 9
2025/8/9, 33, 29, 41, , 14, 9
2025/8/10, 37, 37, 34, , 15, 10
2025/8/11, 39, , , , , 
2025/8/13, 40, 32, 38, , 14, 8
2025/8/14, 42, 30, 35, , 14, 8
2025/8/15, 39, 28, 35, , 13, 9
2025/8/16, 33, , , , , 
2025/8/18, 32, 27, 26, , 12, 9
2025/8/19, 28, 26, 27, , 13, 8
2025/8/20, 25, 32, 32, , 15, 9
2025/8/21, 31, 28, 34, , 13, 8
2025/8/22, 31, 30, 38, , 14, 9
2025/8/23, 46, 21, 34, , 14, 9
2025/8/24, 31, 12, 23, , 13, 9
2025/8/25, 27, 30, 41, , 15, 10
2025/8/26, 44, 31, 29, , 13, 10
2025/8/27, 33, 29, 31, , 13, 11
2025/8/28, 31, 23, 38, , 14, 10
2025/8/29, 31, 15, 14, , 13, 10
2025/8/30, 32, , , , , 
2025/7/2, 22, 26, 23, , 14, 7
2025/7/3, 27, 25, 35, , 13, 7
2025/7/4, 35, 32, 49, , 13, 8
2025/7/5, 44, 28, 57, , 12, 8
2025/7/6, 36, 27, 24, , 12, 8
2025/7/7, 39, 33, 47, , 12, 8
2025/7/8, 40, 28, 36, , 11, 8
2025/7/9, 33, , , , , 
2025/7/11, 42, 21, 28, , 11, 8
2025/7/12, 29, 22, 34, , 13, 9
2025/7/13, 34, 27, 32, , 12, 10
2025/7/14, 37, 26, 34, , 14, 8
2025/7/15, 34, 28, 33, , 13, 9
2025/7/16, 40, 26, 37, , 13, 8
2025/7/17, 39, 31, 24, , 14, 9
2025/7/18, 42, 27, 32, , 13, 9
2025/7/19, 38, 37, 28, , 13, 10
2025/7/20, 38, 20, 34, , 12, 9
2025/7/21, 31, 38, 41, , 15, 10
2025/7/22, 46, 44, 32, , 14, 10
2025/7/23, 44, 26, 31, , 12, 8
2025/7/24, 29, 18, 23, , 12, 8
2025/7/25, 23, , , , , 
2025/7/29, 25, 26, 22, , 12, 8
2025/7/30, 27, 24, 29, , 12, 8
2025/7/31, 23, 33, 33, , 13, 8
2025/8/1, 32, 20, 24, , 13, 9
2025/4/2, 87, 59, 38, , 14, 11
2025/4/3, 86, 52, 31, , 11, 10
2025/4/4, 76, 50, 30, , 9, 10
2025/4/5, 73, 51, 22, , 9, 9
2025/4/6, 67, 40, 9, , 11, 11
2025/4/7, 68, 40, 36, , 11, 10
2025/4/8, 57, 44, 34, , 12, 10
2025/4/9, 59, 50, 46, , 11, 10
2025/4/10, 66, 46, 37, , 9, 10
2025/4/11, 56, 48, 37, , 12, 10
2025/4/12, 59, 40, 40, , 10, 10
2025/4/13, 55, 40, 46, , 9, 10
2025/4/14, 61, 47, 41, , 13, 11
2025/4/15, 65, 49, 40, , 13, 10
2025/4/16, 67, 49, 50, , 10, 11
