date, pm25, pm10, o3, no2, so2, co
2025/8/2, 40, 26, 25, 5, 2, 7
2025/8/3, 46, 23, 36, 6, 2, 7
2025/8/4, 56, 25, 30, 6, 2, 6
2025/8/5, 43, 25, 34, 5, 1, 6
2025/8/6, 36, 26, 21, 3, 1, 6
2025/8/7, 51, 25, 31, 6, 2, 7
2025/8/8, 41, 23, 35, 8, 2, 8
2025/8/9, 55, 32, 31, 9, 1, 8
2025/8/10, 59, 31, 49, 8, 4, 7
2025/8/11, 75, 22, 41, 8, 2, 7
2025/8/12, 64, 19, 40, 7, 3, 6
2025/8/13, 52, 24, 33, 6, 2, 6
2025/8/14, 45, 33, 43, 8, 2, 6
2025/8/15, 57, 21, 44, 9, 2, 7
2025/8/16, 44, 21, 34, 8, 2, 7
2025/8/17, 43, 23, 32, 3, 2, 5
2025/8/18, 43, 24, 33, 4, 2, 6
2025/8/19, 40, 21, 39, 6, 2, 6
2025/8/20, 38, 28, 34, 5, 2, 7
2025/8/21, 63, 23, 25, 9, 2, 7
2025/8/22, 47, 26, 33, 10, 2, 6
2025/8/23, 49, 16, 36, 11, 5, 6
2025/8/24, 44, 14, 37, 9, 2, 6
2025/8/25, 38, 26, 34, 12, 2, 7
2025/8/26, 61, 23, 34, 8, 2, 5
2025/8/27, 40, 21, 31, 9, 2, 6
2025/8/28, 41, 27, 36, 11, 2, 6
2025/8/29, 48, 22, 5, 13, 2, 5
2025/8/30, 47, , , , , 
2025/7/2, 41, 23, 25, 11, 2, 
2025/7/3, 43, 31, 34, 10, 2, 
2025/7/4, 55, 43, 48, 13, 8, 
2025/7/5, 78, 46, 47, 15, 5, 
2025/7/6, 84, 45, 20, 20, 2, 
2025/7/7, 79, 21, 37, 16, 2, 9
2025/7/8, 54, 25, 32, 11, 1, 4
2025/7/9, 47, 49, 20, 13, 3, 7
2025/7/10, 88, 46, 29, 13, 3, 7
2025/7/11, 77, 22, 35, 14, 3, 7
2025/7/12, 61, 32, 35, 15, 2, 8
2025/7/13, 79, 14, 37, 9, 2, 6
2025/7/14, 48, 27, 40, 11, 2, 7
2025/7/15, 75, 30, 28, 16, 5, 8
2025/7/16, 71, 28, 39, 13, 2, 6
2025/7/17, 58, 38, 35, 13, 2, 7
2025/7/18, 80, 28, 36, 11, 2, 7
2025/7/19, 65, 32, 32, 12, 2, 7
2025/7/20, 62, 31, 43, 11, 3, 6
2025/7/21, 75, 36, 36, 12, 5, 7
2025/7/22, 79, 32, 40, 10, 2, 6
2025/7/23, 62, 25, 32, 7, 2, 5
2025/7/24, 37, 23, 38, 9, 1, 5
2025/7/25, 33, 27, 42, 13, 2, 7
2025/7/26, 49, 20, 32, 10, 2, 7
2025/7/27, 45, 13, 23, 6, 1, 5
2025/7/28, 25, 23, 27, 6, 1, 5
2025/7/29, 34, 29, 28, 7, 1, 5
2025/7/30, 43, 21, 32, 8, 1, 5
2025/7/31, 32, 21, 28, 11, 1, 7
2025/8/1, 36, 15, 18, 5, 1, 7
2025/4/2, 80, 72, 94, 22, 4, 11
2025/4/3, 112, 68, 70, 18, 3, 9
2025/4/4, 90, 67, 68, 18, 2, 6
2025/4/5, 81, 62, 63, 17, 2, 10
2025/4/6, 80, 45, 19, 14, 2, 17
2025/4/7, 76, 55, 40, 13, 5, 12
2025/4/8, 77, 43, 35, 10, 2, 
2025/4/9, 79, 47, 53, 13, 3, 2
2025/4/10, 75, 49, 44, 18, 3, 1
2025/4/11, 73, 45, 42, 15, 2, 2
2025/4/12, 67, 37, 47, 13, 2, 4
2025/4/13, 67, 39, 50, 12, 2, 2
2025/4/14, 66, 33, 49, 14, 2, 1
