date, pm25, pm10, o3, no2, so2, co
2025/4/2, 89, 81, 83, 14, , 9
2025/4/3, 83, 83, 109, 16, , 10
2025/4/4, 86, 76, 53, 16, , 10
2025/4/5, 72, 67, 37, 14, , 9
2025/4/6, 59, 74, 3, 19, , 11
2025/4/7, 70, , , , , 
2025/4/17, 11, 81, 104, 12, , 12
2025/4/22, 119, 81, 95, 17, 15, 12
2025/4/23, 104, 67, 71, 13, 7, 12
2025/4/24, 84, 97, 81, 15, 10, 12
2025/4/25, 96, 86, 73, 14, 5, 12
2025/4/26, 92, 76, 73, 14, 7, 13
2025/4/27, 98, 61, 62, 12, 8, 12
2025/4/28, 64, 57, 63, 14, 18, 12
2025/4/29, 64, 71, 69, 13, 11, 12
2025/4/30, 76, 72, 67, 14, 7, 13
2025/5/1, 85, 62, 67, 16, 15, 12
2025/5/2, 78, 61, 69, 16, 7, 12
2025/5/3, 75, 82, 74, 14, 11, 13
2025/5/4, 103, 66, 80, 13, 14, 14
2025/5/5, 95, 62, 82, 16, 18, 13
2025/5/6, 70, 68, 46, 14, 14, 13
2025/5/7, 70, 77, 78, 14, 20, 13
2025/5/8, 82, 73, 86, 16, 12, 14
2025/5/9, 90, 58, 46, 14, 8, 13
2025/5/10, 63, 17, 43, 7, 2, 12
2025/5/11, 24, 30, 56, 10, 7, 12
2025/5/12, 42, 49, 72, 14, 6, 14
2025/5/13, 52, 66, 70, 19, 11, 14
2025/5/14, 72, 70, 82, 19, 11, 14
2025/5/15, 79, 59, 47, 16, 17, 13
2025/5/16, 61, 68, 51, 15, 18, 13
2025/5/17, 73, 95, 65, 15, 13, 15
2025/5/18, 96, 69, 65, 14, 12, 15
2025/5/19, 84, 62, 69, 18, 15, 15
2025/5/20, 80, 65, 75, 17, 16, 15
2025/5/21, 78, 69, 59, 15, 5, 15
2025/5/22, 93, 67, 57, 14, 4, 14
2025/5/23, 92, 53, 46, 15, 4, 14
2025/5/24, 75, 54, 87, 15, 13, 15
2025/5/25, 79, 42, 49, 11, 5, 14
2025/5/26, 58, 32, 59, 14, 9, 15
2025/5/27, 46, 39, 69, 15, 11, 15
2025/5/28, 61, 36, 51, 14, 4, 14
2025/5/29, 51, 42, 43, 10, 6, 14
2025/5/30, 39, 38, 52, 13, 6, 15
2025/5/31, 64, 50, 50, 12, 4, 15
2025/6/1, 47, 33, 54, 9, 9, 14
2025/6/2, 52, 34, 49, 13, 5, 15
2025/6/3, 51, 42, 47, 12, 10, 15
2025/6/4, 56, 58, 41, 14, 3, 15
2025/6/5, 66, 60, 40, , 3, 15
2025/6/6, 80, 38, 39, , 3, 14
2025/6/7, 60, 32, 41, , 4, 14
2025/6/8, 46, 54, 78, , 5, 15
2025/6/9, 69, 51, 51, , 7, 15
2025/6/10, 66, 54, 50, , 5, 14
2025/6/11, 76, 53, 48, , 6, 15
2025/6/12, 81, 38, 39, , 3, 14
2025/6/13, 53, 24, 27, , 3, 15
2025/6/14, 50, 39, 32, , 3, 16
2025/6/15, 51, , , , , 
2025/1/2, 106, 63, 46, , 13, 7
2025/1/3, 90, 54, 34, , 1, 5
2025/1/4, 66, 59, 45, , 7, 6
2025/1/5, 69, 54, 39, 1, 12, 7
2025/1/6, 67, 51, 43, , 14, 6
