date, pm25, pm10, o3, no2, so2, co
2025/8/2, 15, 1, , 13, 17, 44
2025/8/3, 16, 1, , 16, 11, 34
2025/8/4, 15, 7, 15, 11, 17, 48
2025/8/5, 23, 17, 20, 3, 5, 3
2025/8/6, 29, , 13, , 4, 3
2025/8/7, 25, , 18, 2, 4, 4
2025/8/8, 23, 28, 18, 3, 3, 5
2025/8/9, 39, 34, 21, 5, 2, 6
2025/8/10, 53, 22, 23, 3, 2, 4
2025/8/11, 44, 27, 22, 3, 2, 5
2025/8/12, 45, 17, 20, 3, 2, 4
2025/8/13, 43, 19, 17, 4, 2, 4
2025/8/14, 34, 23, 19, 5, 2, 5
2025/8/15, 50, , , , , 
2025/8/19, 20, 21, , 1, 1, 5
2025/8/20, 32, 23, 17, 3, 3, 4
2025/8/21, 44, 13, 17, 2, 7, 4
2025/8/22, 35, 15, 17, 2, 7, 4
2025/8/23, 25, 13, 22, 2, 7, 4
2025/8/24, 24, 11, 24, 1, 7, 3
2025/8/25, 21, 22, 20, 1, 6, 3
2025/8/26, 41, 17, 7, 1, 6, 4
2025/8/27, 35, 13, 11, 23, 9, 4
2025/8/28, 22, 21, 13, 14, 7, 5
2025/8/29, 30, 23, 7, 11, 7, 6
2025/8/30, 37, , , , , 
2025/7/2, 4, 1, , 18, 8, 33
2025/7/3, 4, 1, , 17, 14, 54
2025/7/4, 5, 1, , 24, 22, 113
2025/7/5, 6, 1, , 24, 25, 144
2025/7/6, 7, 1, , 6, 38, 225
2025/7/7, 7, 1, , 28, 19, 114
2025/7/8, 7, 1, , 25, 7, 36
2025/7/9, 4, 1, , 14, 12, 64
2025/7/10, 8, 1, , 13, 14, 53
2025/7/11, 15, 1, , 14, 16, 73
2025/7/12, 17, 1, , 15, 16, 69
2025/7/13, 16, 1, , 18, 9, 38
2025/7/14, 15, 1, , 18, 10, 40
2025/7/15, 15, 1, , 16, 14, 62
2025/7/16, 15, 1, , 18, 17, 70
2025/7/17, 16, 1, , 20, 9, 35
2025/7/18, 16, 1, , 17, 11, 40
2025/7/19, 15, 1, , 18, 15, 57
2025/7/20, 15, 1, , 18, 7, 23
2025/7/21, 14, 1, , 16, 18, 63
2025/7/22, 16, 1, , 20, 14, 57
2025/7/23, 16, 1, , 18, 9, 29
2025/7/24, 14, 1, , 19, 9, 35
2025/7/25, 15, 1, , 19, 14, 63
2025/7/26, 15, 1, , 19, 12, 40
2025/7/27, 15, 1, , 18, 4, 6
2025/7/28, 14, 1, , 18, 6, 16
2025/7/29, 14, 1, , 19, 6, 13
2025/7/30, 14, 1, , 20, 7, 21
2025/7/31, 14, 1, , 16, 9, 25
2025/8/1, 14, 1, , 12, 12, 35
2025/4/2, 86, 55, 38, 13, 6, 4
2025/4/3, 84, 56, 35, 14, 6, 4
2025/4/4, 84, 52, 29, 12, 5, 4
2025/4/5, 84, 47, 28, 11, 3, 3
2025/4/6, 70, 68, 29, 10, 1, 5
2025/4/7, 68, 45, 12, 11, 1, 5
2025/4/8, 61, 45, 28, 6, 1, 4
2025/4/9, 62, 42, 37, 5, , 4
2025/4/10, 57, 43, 42, 9, 1, 5
2025/4/11, 46, 46, 38, 7, 1, 6
2025/4/12, 52, 34, 39, 7, , 5
2025/4/13, 54, , , , , 
2025/4/15, 38, 58, 41, 8, 1, 6
2025/4/16, 63, 35, 40, 4, 1, 5
2025/4/17, 51, 52, 39, 7, 1, 6
2025/4/18, 69, 51, 35, 6, 2, 6
2025/4/19, 81, 56, 33, 6, 4, 6
2025/4/20, 86, 62, 29, 4, 3, 6
2025/4/21, 87, 48, 29, 4, 1, 6
2025/4/22, 92, 42, 34, 6, 1, 7
2025/4/23, 85, 46, 35, 5, 2, 6
2025/4/24, 82, 51, 39, 6, 2, 6
2025/4/25, 87, 52, 35, 6, 2, 6
2025/4/26, 89, 45, 40, 5, 1, 6
2025/4/27, 81, 32, 40, 2, 1, 4
2025/4/28, 55, 41, 39, 6, 2, 6
2025/4/29, 58, 47, 32, 4, 2, 6
2025/4/30, 73, 48, 31, 8, 3, 7
2025/5/1, 80, 40, 32, 7, 2, 6
2025/5/2, 92, 45, 40, 7, 3, 6
2025/5/3, 72, 51, 38, 3, 3, 6
2025/5/4, 89, 39, 34, 4, 2, 6
2025/5/5, 74, 38, 37, 5, 2, 6
2025/5/6, 66, 49, 30, 7, 2, 6
2025/5/7, 67, 56, 28, 8, 4, 7
2025/5/8, 78, 39, 29, 5, 3, 6
2025/5/9, 72, 37, 19, 5, 3, 7
2025/5/10, 59, 17, 20, 1, 2, 6
2025/5/11, 33, 19, 24, 2, 2, 5
2025/5/12, 44, 34, 39, 5, 3, 6
2025/5/13, 51, 50, 32, 8, 4, 7
2025/5/14, 68, 47, 32, 7, 3, 6
2025/5/15, 64, 40, 27, 8, 4, 7
2025/5/16, 54, 44, 31, 6, 4, 7
2025/5/17, 60, 45, 26, 6, 5, 8
2025/5/18, 76, 46, 25, 6, 4, 8
2025/5/19, 77, 44, 28, 6, 5, 7
2025/5/20, 73, 48, 31, 8, 7, 8
2025/5/21, 81, 59, 26, 3, 5, 7
2025/5/22, 91, 44, 23, , 5, 6
2025/5/23, 82, 41, 23, 4, 5, 7
2025/5/24, 71, 29, 22, 2, , 6
2025/5/25, 61, 12, 18, 1, , 6
2025/5/26, 35, 18, 27, 5, , 7
2025/5/27, 44, 19, 26, 5, , 7
2025/5/28, 48, 14, 20, 4, , 5
2025/5/29, 33, 5, 18, 2, , 1
2025/5/30, 20, 17, 9, 5, , 1
2025/5/31, 42, , , , , 
2025/6/5, 27, 1, , 24, 11, 17
2025/6/6, 32, 1, , 24, 8, 27
2025/6/7, 29, 1, , 20, 14, 50
2025/6/8, 31, 1, , 20, 11, 49
2025/6/9, 31, 1, , 23, 15, 78
2025/6/10, 34, 1, , 23, 18, 100
2025/6/11, 32, 1, , 20, 13, 58
2025/6/12, 22, 1, , 21, 9, 30
2025/6/13, 1, 1, , 17, 10, 28
2025/6/14, 1, 1, , 17, 6, 18
2025/6/15, 1, 1, , 15, 4, 22
2025/6/16, 1, 1, , 16, 10, 32
2025/6/17, 4, 1, , 13, 10, 26
2025/6/18, 1, 1, , 15, 9, 43
2025/6/19, 1, 1, , 12, 9, 18
2025/6/20, 1, 1, , 12, 5, 11
2025/6/21, 1, 1, , 9, 12, 76
2025/6/22, 1, 1, , 10, 9, 25
2025/6/23, 1, 1, , 14, 7, 7
2025/6/24, 1, 1, , 15, 9, 18
2025/6/25, 1, 1, , 18, 10, 28
2025/6/26, 1, 1, , 17, 10, 25
2025/6/27, 1, 1, , 14, 14, 38
2025/6/28, 1, 1, , 17, 7, 10
2025/6/29, 1, 1, , 12, 3, 3
2025/6/30, 1, 1, , 13, 9, 48
2025/7/1, 5, 1, , 14, 11, 45
2025/2/5, 61, 27, 24, 9, , 5
2025/2/6, 66, 33, 8, 11, 2, 7
2025/2/13, 65, 45, 36, 18, 1, 7
2025/2/14, 82, 64, 40, 16, 2, 7
2025/2/15, 54, 31, 37, 9, 2, 6
2025/2/16, 66, 41, 43, 15, 5, 6
2025/2/17, 63, 49, 34, 12, 3, 6
2025/2/18, 39, 26, 40, 6, 2, 4
2025/2/19, 71, 42, 34, 14, 5, 6
2025/2/20, 54, 22, 24, 12, 3, 5
2025/2/21, 49, 19, 37, 8, 2, 5
2025/2/22, 40, 15, 29, 7, 2, 5
2025/2/23, 65, 74, 30, 10, 2, 5
2025/2/24, 49, 23, 37, 12, 3, 7
2025/2/25, 53, 48, 33, 14, 3, 8
2025/2/26, 48, 42, 45, 15, 3, 6
2025/2/27, 62, 47, 64, 16, 4, 7
2025/2/28, 79, 58, 46, 13, 4, 7
2025/3/1, 66, 39, 48, 8, 3, 7
2025/3/2, 69, 47, 44, 12, 4, 7
2025/3/3, 60, 39, 53, 9, 3, 6
2025/3/4, 68, 47, 51, 13, 3, 7
2025/3/5, 77, 63, 52, 18, 6, 8
2025/3/6, 96, 71, 45, 11, 5, 6
2025/3/7, 81, 64, 51, 9, 5, 6
2025/3/8, 83, 61, 49, 16, 7, 8
