date, pm25, pm10, o3, no2, so2, co
2025/8/2, 13, 16, 27, 2, , 1
2025/8/3, 26, 14, 34, 3, 1, 1
2025/8/4, 24, 13, 35, 4, 1, 1
2025/8/5, 39, 14, 34, 2, , 
2025/8/6, 19, 12, 24, 2, , 
2025/8/7, 21, 10, 33, 2, , 
2025/8/8, 14, 17, 36, 5, 1, 1
2025/8/9, 35, 16, 37, 4, , 
2025/8/10, 36, 20, 35, 5, , 1
2025/8/11, 36, 24, 46, 7, 8, 1
2025/8/12, 56, 16, 34, 5, 1, 1
2025/8/13, 43, 16, , , , 
2025/8/14, 51, 23, 32, 6, 4, 4
2025/8/15, 50, 18, 37, 6, 1, 4
2025/8/16, 50, 16, 33, 6, 1, 4
2025/8/17, 42, 22, 27, 4, , 3
2025/8/18, 52, 17, 28, 4, , 3
2025/8/19, 42, 15, 27, 5, , 3
2025/8/20, 36, 17, 28, 5, , 3
2025/8/21, 36, 20, 29, 6, 1, 3
2025/8/22, 42, 15, 26, 5, , 3
2025/8/23, 41, 13, 31, 6, , 2
2025/8/24, 33, 11, 33, 6, , 3
2025/8/25, 28, 12, 23, 6, , 1
2025/8/26, 37, 19, 29, 5, , 
2025/8/27, 35, 12, 26, 3, , 
2025/8/28, 28, 16, 28, 4, 1, 1
2025/8/29, 31, 20, 15, 5, , 1
2025/8/30, 44, , , , , 
2025/7/2, 35, 25, 28, 2, 1, 2
2025/7/3, 41, 15, 8, 2, 1, 1
2025/7/4, 37, 23, 31, 2, , 2
2025/7/5, 34, 26, 35, 3, , 1
2025/7/6, 43, 25, 30, 3, , 
2025/7/7, 52, 24, 35, 4, , 
2025/7/8, 50, 18, 31, 1, , 
2025/7/9, 33, 26, 21, 3, , 
2025/7/10, 64, 38, 35, 5, , 
2025/7/11, 60, , , , , 
2025/7/13, 64, 21, 45, 8, 3, 26
2025/7/14, 52, 18, 29, 9, 1, 19
2025/7/15, 35, 19, 32, 8, , 17
2025/7/16, 42, 24, 33, 10, 1, 19
2025/7/17, 55, 26, 25, 7, , 13
2025/7/18, 54, 21, 31, 6, , 9
2025/7/19, 50, 14, 31, 5, 26, 25
2025/7/20, 35, 16, 35, 7, 1, 19
2025/7/21, 30, 21, 15, 9, , 7
2025/7/22, 43, 22, , , , 
2025/7/23, 39, 15, 28, 3, , 2
2025/7/24, 27, 12, 35, 3, 1, 2
2025/7/25, 14, 13, 39, 4, 1, 2
2025/7/26, 30, 16, 34, 3, , 2
2025/7/27, 31, 6, 28, 2, , 1
2025/7/28, 12, 14, 27, 2, , 1
2025/7/29, 19, 16, 29, 2, , 1
2025/7/30, 26, 12, 36, 3, , 1
2025/7/31, 18, 14, 31, 4, , 2
2025/8/1, 28, 9, 25, 2, , 2
2025/4/2, 71, , 50, 7, 3, 3
2025/4/3, 51, 45, 42, 5, 2, 3
2025/4/4, 45, 42, 39, 5, 1, 3
2025/4/5, 49, 40, 28, 3, 1, 3
2025/4/6, 37, 23, 24, 4, 2, 3
2025/4/7, 42, 22, 28, 2, 1, 4
2025/4/8, 50, 22, 33, 2, 1, 4
2025/4/9, 35, 35, 49, 5, 2, 4
2025/4/10, 49, 28, 39, 7, 1, 4
2025/4/11, 36, 27, 42, 7, 1, 4
2025/4/12, 30, 22, 47, 4, 1, 4
2025/4/13, 25, 25, 48, 5, 1, 4
2025/4/30, 64, 50, 48, 8, 13, 9
2025/5/1, 73, 42, 49, 6, , 13
2025/5/2, 68, 51, 46, 10, , 13
2025/5/3, 89, , , , , 
2025/5/6, 59, 41, 32, 4, 27, 
2025/5/7, 43, 37, 44, 4, 28, 
2025/5/8, 52, 52, 59, 9, 25, 
2025/5/9, 88, , , , , 
2025/5/12, 40, 28, 54, 6, 16, 
2025/5/13, 49, 42, 59, 6, 17, 
2025/5/14, 60, 42, 61, 5, 17, 
2025/5/30, 21, 11, 33, 3, 4, 
2025/5/31, 13, 12, 38, 3, 4, 
2025/6/6, 13, 22, 38, 1, , 3
2025/6/7, 13, 17, 38, 1, , 2
2025/6/10, 13, 33, 34, 5, , 3
2025/6/11, 13, 29, 36, , , 3
2025/6/20, 19, 9, 16, 3, , 3
2025/6/21, 32, 8, 15, 2, , 2
2025/6/22, 26, 6, 19, 1, , 3
2025/6/23, 27, 7, 23, , , 2
2025/6/24, 21, 13, 18, , , 2
2025/6/25, 35, 10, 22, 1, , 2
2025/6/26, 38, 13, 20, 2, , 2
2025/7/1, 54, 12, 26, 3, 1, 2
2025/1/2, 42, , , , , 
2025/1/3, 63, , 31, 5, 24, 13
2025/1/4, 52, , , , , 
2025/1/5, 41, , , , , 
2025/1/6, 49, , , , , 
2025/1/7, 43, , 18, , , 
2025/1/8, 47, , 36, , , 
2025/1/9, 40, 38, 28, 8, 9, 
2025/1/10, 33, 18, 21, 8, 12, 1
2025/1/11, 28, 9, 22, 8, 12, 2
2025/1/12, 18, 9, 24, 6, 11, 1
2025/1/13, 15, 16, 29, 16, 12, 2
2025/1/14, 28, 25, 31, 19, 12, 4
2025/1/15, 44, 24, 37, 13, 12, 2
2025/1/16, 49, 26, 34, 22, 12, 4
2025/1/17, 51, 35, 42, 23, 12, 4
2025/1/18, 52, 26, 32, 13, 12, 1
2025/1/19, 39, 26, 36, 11, 12, 2
2025/1/20, 41, 27, 30, 15, 12, 3
2025/1/21, 43, 21, 34, 10, 12, 2
2025/1/22, 34, 26, 35, 16, 12, 3
2025/1/23, 41, 27, 36, 18, 12, 3
2025/1/24, 47, 23, 31, 8, 12, 3
2025/1/25, 42, 26, 43, 22, 12, 4
2025/1/26, 46, 33, 47, 25, 13, 4
2025/1/27, 51, 32, 50, 19, 14, 4
2025/1/28, 51, 41, 58, 27, 13, 5
2025/1/29, 61, 39, 40, 19, 13, 12
2025/1/30, 28, 35, 30, 8, 1, 4
2025/1/31, 44, 31, 32, 8, 1, 5
2025/2/1, 45, 27, 35, 5, , 5
2025/2/2, 41, 25, 34, 10, 1, 5
2025/2/3, 44, , , , , 
2025/2/9, 26, 25, , , , 
2025/2/10, 43, 33, 33, 5, 1, 9
2025/2/11, 48, 41, 53, 6, 1, 9
2025/2/12, 56, 45, 40, 8, 1, 9
2025/2/13, 49, 33, 43, 6, 1, 9
2025/2/14, 58, 25, 41, 4, 2, 9
2025/2/15, 67, 43, 35, 8, 1, 9
2025/2/16, 57, 33, 35, 3, 1, 9
2025/2/17, 50, 38, 41, 7, 2, 10
2025/2/18, 59, 23, 37, 7, 1, 10
2025/2/19, 59, 16, 25, 7, 2, 10
2025/2/20, 39, 21, 36, 5, 1, 10
2025/2/21, 49, 23, 36, 6, 1, 11
2025/2/22, 45, 13, 35, 6, , 10
2025/2/23, 45, 23, 34, 10, 1, 10
2025/2/24, 37, 21, 38, 8, 1, 10
2025/2/25, 27, 24, 45, 12, 1, 11
2025/2/26, 30, 32, 52, 9, 1, 10
2025/2/27, 75, , 42, 10, 1, 8
2025/2/28, 57, , 43, 8, 1, 4
2025/3/1, 63, , 41, 9, 1, 4
2025/3/2, 52, , 36, 9, 1, 3
2025/3/3, 43, , 43, 9, 2, 3
2025/3/4, 52, , 30, 7, 2, 3
2025/3/8, 43, 51, 38, 8, 3, 4
2025/3/9, 68, 41, 39, 5, 2, 4
2025/3/10, 48, 41, 38, 6, 1, 3
2025/3/11, 38, 36, 46, 9, 2, 3
2025/3/12, 39, 36, 36, 9, 2, 2
2025/3/13, 33, 37, 40, 7, 2, 3
2025/3/14, 33, 70, 29, 7, 2, 4
2025/3/15, 61, 42, 25, 5, 2, 3
2025/3/16, 40, 43, , 4, 2, 3
2025/3/17, 52, 51, , 4, 1, 3
2025/3/18, 54, 55, , 9, 2, 6
2025/3/19, 59, 41, 47, 5, 2, 3
2025/3/20, 48, 121, 38, , 1, 3
2025/3/21, 101, 46, 49, 7, 1, 4
2025/3/22, 53, 39, 50, 8, 3, 4
2025/3/23, 64, , 48, 4, 2, 3
2025/3/24, 53, 45, 42, 9, 2, 4
2025/3/25, 72, 40, 39, 3, 1, 4
2025/3/26, 73, 40, 41, 3, 2, 4
2025/3/27, 89, 46, 35, 4, 1, 3
2025/3/28, 58, 37, 40, 6, 1, 3
2025/3/29, 43, 36, 51, 6, 2, 3
2025/3/30, 47, 31, 54, 6, 2, 3
2025/3/31, 44, 36, 58, 5, 2, 4
2025/4/1, 48, 50, 65, 6, 2, 4
2024/10/2, 51, 15, 34, , 2, 7
2024/10/3, 21, , 32, , 2, 6
2024/10/4, 31, , 36, , 2, 7
2024/10/5, 38, , 34, , 2, 7
2024/10/6, 35, , 29, , 2, 7
2024/10/7, 27, 10, 17, 4, 2, 7
2024/10/8, 14, 14, 28, 4, 2, 7
2024/10/9, 26, 17, 37, 5, 2, 7
2024/10/10, 34, 19, 37, 6, 2, 8
2024/10/11, 36, 19, 40, 5, 2, 7
2024/10/12, 41, 18, 38, 4, 1, 7
2024/10/13, 42, 22, 38, 5, 1, 7
2024/10/14, 46, 18, 33, 5, 1, 7
2024/10/15, 53, 21, 40, 9, 2, 7
2024/10/16, 46, 33, 36, 9, 2, 8
2024/10/17, 58, 15, 33, 4, 2, 7
2024/10/18, 35, 15, 32, 5, 1, 7
2024/10/19, 56, 10, 29, 3, 1, 7
2024/10/20, 32, 7, 27, 3, 1, 7
2024/10/21, 17, 5, 20, 2, 2, 7
2024/10/22, 13, 7, 28, 3, 2, 7
2024/10/23, 24, , 30, 4, 1, 6
2024/10/27, 22, , 26, 3, 1, 7
2024/10/28, 20, , 28, 2, 4, 7
2024/10/29, 43, , 32, 8, 4, 8
2024/10/30, 69, , 42, 6, 2, 5
2024/10/31, 65, , 37, 8, 3, 3
2024/11/1, 63, , 25, 2, 4, 3
2024/11/2, 65, , 27, 2, 3, 3
2024/11/3, 56, , 32, 5, 3, 4
2024/11/4, 84, , 30, 5, 2, 3
2024/11/5, 72, , 34, 5, 2, 4
2024/11/6, 78, 39, 34, 7, 2, 4
2024/11/7, 56, 31, 37, 5, 2, 4
2024/11/8, 59, 42, 9, 7, 2, 6
2024/11/9, 74, , , , , 
2024/12/21, 15, 10, 25, 3, 2, 1
2024/12/22, 16, 15, 27, 10, 2, 2
2024/12/23, 31, 22, 27, 30, 2, 19
2024/12/24, 45, 31, 33, 27, 2, 24
2024/12/25, 59, 21, 37, 12, 2, 20
2024/12/26, 55, 16, 34, 16, 1, 22
2024/12/27, 39, 28, 49, 26, 2, 23
2024/12/28, 40, 36, 45, 30, 2, 24
2024/12/29, 46, 27, 47, 28, 3, 24
2024/12/30, 42, , , , , 
2024/7/16, 43, 19, 19, 9, , 5
2024/7/17, 45, 22, 36, 7, 2, 4
2024/7/18, 43, 19, 40, 6, 1, 3
2024/7/19, 80, 13, 36, 10, 3, 4
2024/7/20, 69, 9, 34, 4, 2, 3
2024/7/21, 40, 16, 25, 4, 2, 4
2024/7/22, 26, 12, 26, 3, 1, 4
2024/7/23, 14, 7, 25, 3, 2, 4
2024/7/24, 46, 15, 19, 8, 1, 4
2024/7/25, 34, 13, 30, 5, 1, 4
2024/7/26, 38, 15, 29, 6, 2, 4
2024/7/27, 122, 18, 36, 6, 3, 5
2024/7/28, 36, 12, 28, , 2, 5
2024/7/29, 33, 13, 29, , 2, 5
2024/7/30, 34, 10, 25, , 1, 5
2024/7/31, 20, 9, 22, , 1, 5
2024/8/1, 49, 25, 27, , 1, 5
2024/8/2, 79, 19, 26, , 1, 5
2024/8/3, 36, 17, 25, , 1, 5
2024/8/4, 19, 12, 26, , 1, 5
2024/8/5, 71, 15, 30, , 1, 5
2024/8/6, 91, 18, 30, , 1, 5
2024/8/7, 80, 17, 30, , 2, 5
2024/8/8, 506, 15, 30, , 2, 5
2024/9/13, 34, 9, 19, 9, 2, 33
2024/9/14, 31, 8, 23, 8, 1, 36
2024/9/15, 44, 15, , 9, 1, 41
2024/9/16, 39, 9, , 6, 1, 39
2024/9/17, 40, 12, , 9, 1, 35
2024/9/18, 40, 11, , 7, 1, 42
2024/9/19, 44, 17, 24, 6, 2, 18
2024/9/21, 33, 17, 27, 3, 2, 8
2024/9/22, 55, 14, 25, 4, 2, 7
2024/9/23, 29, 12, 19, 4, 2, 7
2024/9/24, 22, 11, 14, , 2, 7
2024/9/25, 27, 10, 20, , 2, 7
2024/9/26, 22, 11, 24, , 2, 7
2024/9/27, 30, 7, 19, , 2, 7
2024/9/28, 18, 5, 22, , 2, 8
2024/9/29, 38, 13, 25, , 5, 8
2024/9/30, 50, 16, 26, , 2, 7
2024/10/1, 74, 12, 33, , 2, 7
2024/5/23, 66, 65, 54, 8, 2, 7
2024/5/24, 47, 29, 60, 9, 2, 6
2024/5/25, 58, 37, 65, 10, 3, 6
2024/5/26, 82, 39, 62, 5, 2, 6
2024/5/27, 56, 36, 61, 6, 2, 6
2024/5/28, 52, 34, 51, 6, 2, 6
2024/5/29, 100, 49, 52, 8, 2, 8
2024/5/30, 88, 46, 43, 9, 2, 7
2024/5/31, 70, 31, 52, 11, 4, 6
2024/6/1, 68, 36, 53, 8, 3, 7
2024/6/2, 95, 41, 52, 5, 6, 7
2024/6/3, 106, 40, 49, 6, 3, 6
2024/6/4, 62, 31, 46, 5, 2, 6
2024/6/5, 54, 33, 63, 8, 2, 5
2024/6/6, 75, 31, 56, 8, 3, 6
2024/2/16, 33, 33, 33, 1, 1, 7
2023/10/6, 22, 17, 24, , , 7
2023/10/7, 34, 5, 25, , , 6
2023/10/8, 24, 11, 32, , , 6
2023/10/9, 29, 16, 36, 1, , 6
2023/10/10, 35, 15, 15, 3, , 6
2023/10/11, 50, 14, 15, 2, , 5
2023/10/12, 36, 19, 29, 6, , 6
2023/10/13, 45, 20, 38, 4, , 7
2023/10/14, 51, 20, 30, , , 6
2023/10/15, 60, 12, 28, , , 6
2023/10/16, 41, 14, 30, , , 6
2023/10/17, 36, 22, 36, 4, , 6
2023/10/18, 44, 28, 36, 6, , 7
2023/10/19, 48, 28, 34, 6, , 6
2023/10/20, 31, 23, 31, 2, , 6
2023/10/21, 39, 34, 42, 6, 1, 8
2023/10/22, 56, 38, 45, 7, , 7
2023/10/23, 72, 44, 39, 7, , 7
2023/10/24, 90, 35, 30, 6, , 8
2023/10/25, 100, 37, 23, 5, , 8
2023/10/26, 114, 20, 18, 4, 1, 8
2023/10/27, 71, 17, 22, 2, , 6
2023/10/28, 52, 15, 27, 2, , 6
2023/10/29, 51, 21, 29, 4, , 7
2023/10/30, 51, 24, 36, 4, , 7
2023/10/31, 58, 24, 29, 3, 1, 7
2023/11/1, 58, 17, 23, 1, , 7
2023/11/2, 36, 22, 29, 2, , 7
2023/11/3, 52, 22, 27, 4, , 7
2023/11/4, 53, 25, 30, 5, , 7
2023/11/5, 50, 29, 31, 3, , 7
2023/11/6, 56, 34, 37, 5, 1, 7
2023/11/7, 66, 44, 36, 8, 1, 8
2023/11/8, 69, 44, 35, 9, 1, 6
2023/11/9, 52, 38, 42, 7, 1, 4
2023/11/10, 54, 36, 32, 6, 3, 5
2023/11/11, 69, 21, 24, 2, 2, 4
2023/11/12, 43, 13, 17, 1, , 4
2023/11/13, 8, 12, 15, 1, , 4
2023/11/14, 10, 11, 18, 1, , 4
2023/11/15, 9, 17, 27, 5, 1, 4
2023/11/16, 19, 24, 32, 9, 1, 3
2023/11/17, 19, 26, 33, 8, , 3
2023/11/18, 16, 27, 34, 7, 1, 3
2023/11/19, 15, 26, 34, 8, 1, 3
2023/11/20, 27, 44, 37, 9, 1, 4
2023/11/21, 63, 40, 28, 5, 1, 3
2023/11/22, 46, 12, 19, 4, , 2
2023/11/23, 17, 13, 12, 6, , 4
2023/11/24, 21, 23, 28, 12, 1, 4
2023/11/25, 19, 25, 31, 7, 1, 4
2023/11/26, 34, 16, 27, 4, 1, 3
2023/11/27, 27, 21, 26, 2, , 3
2023/11/28, 33, 13, 22, 1, , 2
2023/11/29, 12, 15, 26, 3, 1, 3
2023/11/30, 28, 20, 19, 7, , 4
2023/12/1, 30, 25, 18, 8, 1, 4
2023/12/2, 31, 21, 18, 8, , 4
2023/12/3, 40, 18, 17, 3, , 5
2023/12/4, 42, 12, 20, 2, , 5
2023/12/5, 17, 13, 19, , , 3
2023/12/6, 25, 8, 21, , , 5
2023/12/7, 8, 9, 16, 4, , 4
2023/12/8, 15, 15, 21, 7, 1, 5
2023/12/9, 20, 18, 28, 7, 1, 5
2023/12/10, 33, 13, 21, 2, , 5
2023/12/11, 24, 13, 13, 6, , 5
2023/12/12, 31, 20, 24, 5, 2, 4
2023/12/13, 52, 19, 18, 2, 1, 3
2023/12/14, 28, 13, 19, 1, , 5
2023/12/15, 22, 13, 21, 2, , 4
2023/12/16, 19, 12, 22, 1, , 4
2023/12/17, 19, 15, 27, 4, , 4
2023/12/18, 19, 17, 33, 5, 1, 5
2023/12/19, 20, 22, 31, 7, 1, 4
2023/12/20, 44, 29, 38, 10, 1, 6
2023/12/21, 42, 22, 31, 6, , 5
2023/7/2, 65, 26, 29, 7, 1, 5
2023/7/3, 63, 21, 30, 3, , 5
2023/7/4, 69, 27, 32, 4, , 4
2023/7/5, 72, 33, 32, 2, , 5
2023/7/6, 91, 26, 25, 1, , 4
2023/7/7, 84, 21, 31, 5, , 5
2023/7/8, 66, 27, 35, 5, , 5
2023/7/9, 87, 17, 32, 1, , 5
2023/7/10, 53, 136, 32, 4, , 5
2023/7/11, 62, 14, 39, 4, 1, 6
2023/7/12, 54, 59, 38, 4, 3, 7
2023/7/13, 72, 25, 39, 4, 1, 7
