date, pm25, pm10, o3, no2, so2, co
2025/8/2, 48, 26, 33, 10, 16, 4
2025/8/3, 71, 21, 43, 9, 6, 4
2025/8/4, 63, 25, 39, 9, 8, 3
2025/8/5, 51, 27, 40, 8, 15, 4
2025/8/6, 56, 17, 27, 7, 14, 3
2025/8/7, 41, 23, 37, 11, 21, 4
2025/8/8, 53, 24, 46, 13, 7, 4
2025/8/9, 57, 31, 53, 10, 17, 3
2025/8/10, 73, 26, 50, 9, 11, 2
2025/8/11, 81, 22, 44, 11, 3, 2
2025/8/12, 52, 22, 45, 10, 5, 3
2025/8/13, 47, 25, 46, 10, 10, 3
2025/8/14, 58, 26, 41, 9, 4, 3
2025/8/15, 57, 27, 44, 13, 2, 3
2025/8/16, 47, 24, 45, 13, 12, 4
2025/8/17, 63, 25, 38, 9, 18, 3
2025/8/18, 58, 25, 38, 9, 19, 3
2025/8/19, 66, 24, 40, 10, 19, 3
2025/8/20, 66, 22, 40, 7, 11, 2
2025/8/21, 61, 23, 35, 7, 5, 2
2025/8/22, 62, 24, 41, 9, 13, 3
2025/8/23, 58, 20, 47, 8, 1, 3
2025/8/24, 54, 18, 44, 11, 3, 3
2025/8/25, 59, 20, 41, 8, 9, 3
2025/8/26, 62, 21, 37, 10, 5, 3
2025/8/27, 49, 22, 31, 6, 12, 3
2025/8/28, 58, 21, 40, 7, 6, 3
2025/8/29, 52, 16, 17, 6, 1, 2
2025/8/30, 42, , , , , 
2025/7/2, 54, 23, 40, 11, 2, 5
2025/7/3, 71, 21, 42, 10, 4, 5
2025/7/4, 60, 26, 49, 11, 7, 6
2025/7/5, 71, 35, 64, 14, 13, 6
2025/7/6, 87, 17, 24, 18, 1, 5
2025/7/7, 68, 26, 52, 17, 7, 5
2025/7/8, 68, 25, 42, 12, 11, 5
2025/7/9, 79, 30, 28, 13, 2, 5
2025/7/10, 64, 38, 47, 13, 8, 5
2025/7/11, 85, 28, 47, 15, 13, 6
2025/7/12, 88, 27, 41, 16, 3, 6
2025/7/13, 65, 19, 41, 11, 2, 4
2025/7/14, 51, 22, 43, 17, 2, 5
2025/7/15, 87, 20, 39, 13, 5, 5
2025/7/16, 69, 25, 42, 14, 7, 5
2025/7/17, 73, 27, 39, 15, 4, 5
2025/7/18, 80, 24, 39, 12, 2, 5
2025/7/19, 62, 30, 38, 15, 8, 5
2025/7/20, 77, 24, 43, 9, 3, 3
2025/7/21, 45, 30, 45, 15, 5, 5
2025/7/22, 68, 26, 44, 11, 12, 5
2025/7/23, 76, 20, 41, 6, 7, 3
2025/7/24, 53, 19, 49, 7, 9, 3
2025/7/25, 44, 23, 44, 12, 11, 5
2025/7/26, 52, 22, 37, 9, 9, 4
2025/7/27, 57, 17, 29, 6, 16, 4
2025/7/28, 38, 21, 30, 7, 8, 3
2025/7/29, 50, 24, 33, 8, 13, 3
2025/7/30, 51, 22, 36, 7, 10, 3
2025/7/31, 41, 24, 39, 11, 13, 4
2025/8/1, 51, 19, 25, 14, 6, 5
2025/4/3, 65, 36, 81, 17, 1, 11
2025/4/4, 67, 25, 47, 17, , 9
2025/4/5, 53, 29, 35, 14, , 10
2025/4/6, 59, 13, 26, 15, , 10
2025/4/7, 45, 29, 42, 13, 44, 12
2025/4/8, 62, 29, 37, 10, 25, 12
2025/4/9, 60, 37, 60, 16, 17, 12
2025/4/10, 70, 34, 48, 21, 19, 12
2025/4/11, 51, 34, 51, 17, 20, 12
2025/4/12, 69, 26, 69, 23, 16, 13
2025/4/13, 75, , , , , 
2025/4/15, 61, 32, 57, 16, 22, 12
2025/4/16, 63, 29, 63, 18, 18, 11
2025/4/17, 69, 39, 91, 21, 16, 13
2025/4/18, 85, 33, 21, 23, 6, 13
2025/4/19, 75, 48, 67, 9, 3, 13
2025/4/20, 82, 42, 65, 12, 5, 13
2025/4/21, 93, 38, 69, 10, 15, 14
2025/4/22, 99, 30, 57, 20, , 14
2025/4/23, 90, , , , , 
2025/4/29, 75, 37, 58, 17, 8, 14
2025/4/30, 71, 39, 56, 18, 1, 15
2025/5/1, 84, 34, 57, 16, , 15
2025/5/2, 80, 37, 56, 17, 6, 16
2025/5/3, 87, 44, 57, 20, 4, 16
2025/5/4, 93, 38, 59, 16, 1, 16
2025/5/5, 100, 30, 53, 17, , 14
2025/5/6, 62, 29, 43, 17, , 14
2025/5/7, 62, 32, 56, 19, 9, 15
2025/5/8, 67, 34, 72, 18, 1, 15
2025/5/9, 85, 34, 45, 18, 6, 16
2025/5/10, 74, 22, 42, 10, 19, 16
2025/5/11, 55, 22, 47, 10, 9, 15
2025/5/12, 49, 28, 60, 18, 2, 15
2025/5/13, 55, 36, 53, 23, 1, 16
2025/5/14, 68, 41, 70, 22, 2, 16
2025/5/15, 80, 30, 44, 17, 3, 15
2025/5/16, 63, 33, 56, 16, 7, 15
2025/5/17, 69, 42, 61, 20, 6, 17
2025/5/18, 90, 53, 46, 16, 1, 16
2025/5/19, 92, 33, 53, 15, 2, 16
2025/5/20, 73, 36, 63, 16, 4, 16
2025/5/21, 82, 37, 66, 15, 11, 17
2025/5/22, 96, 35, 56, 13, 5, 16
2025/5/23, 93, 32, 59, 12, 11, 16
2025/5/24, 79, 32, 62, 12, 5, 16
2025/5/25, 78, 20, 48, 12, 1, 15
2025/5/26, 65, 14, 52, 14, , 15
2025/5/27, 41, 17, 61, 14, 7, 16
2025/5/28, 59, 21, 53, 17, 8, 16
2025/5/29, 65, 18, 48, 12, 6, 16
2025/5/30, 96, 18, 53, 14, 3, 16
2025/5/31, 74, 20, 59, 13, 11, 16
2025/6/1, 71, 17, 53, 11, 6, 15
2025/6/2, 61, 16, 45, 12, , 16
2025/6/3, 55, 18, 51, 13, 11, 16
2025/6/4, 61, 24, 40, 12, 4, 13
2025/6/5, 74, 32, 48, 13, 8, 8
2025/6/6, 90, 27, 49, 9, 20, 8
2025/6/7, 79, 21, 53, 8, 18, 7
2025/6/8, 62, 29, 70, 11, 12, 8
2025/6/9, 82, 30, 51, 13, 7, 8
2025/6/10, 72, 33, 58, 11, 16, 8
2025/6/11, 85, 29, 48, 9, 10, 7
2025/6/12, 83, 72, 51, 14, 15, 8
2025/6/13, 72, 19, 35, 15, 5, 8
2025/6/14, 54, 12, 27, 17, 1, 8
2025/6/15, 58, 10, 30, 14, 3, 8
2025/6/16, 38, 10, 22, 10, 2, 8
2025/6/17, 56, 14, 27, 8, 12, 8
2025/6/18, 57, 11, 24, 7, 20, 8
2025/6/19, 45, 9, 24, 6, 16, 7
2025/6/20, 41, , , , , 
2025/6/22, 49, 10, 21, 18, , 10
2025/6/23, 45, 14, 24, 9, 9, 8
2025/6/24, 50, 17, 20, 8, 4, 7
2025/6/25, 52, 20, 30, 8, 12, 6
2025/6/26, 50, 16, 29, 12, 4, 6
2025/6/27, 58, 19, 29, 11, 3, 6
2025/6/28, 65, 18, 33, 8, 10, 5
2025/6/29, 46, 15, 27, 6, 11, 5
2025/6/30, 51, 11, 16, 11, 1, 5
2025/7/1, 36, 18, 22, 10, 2, 5
2025/1/2, 99, 37, 40, 18, 14, 10
2025/1/3, 83, 37, 31, 16, 13, 10
2025/1/4, 67, 25, 38, 18, 5, 10
2025/1/5, 66, 21, 31, 18, , 10
2025/1/6, 57, 30, 32, 24, 20, 12
2025/1/7, 83, 26, 28, 19, 7, 11
2025/1/8, 61, 30, 39, 21, 12, 12
2025/1/9, 67, 24, 27, 16, 1, 11
2025/1/10, 47, 19, 23, 15, , 10
2025/1/11, 43, 11, 20, 15, , 11
2025/1/12, 36, 13, 22, 16, , 11
2025/1/13, 33, 24, 37, 18, 6, 12
2025/1/14, 45, 28, 40, 22, 15, 13
2025/1/15, 75, 34, 40, 17, 25, 13
2025/1/16, 66, 34, 47, 21, 19, 13
2025/1/17, 73, 30, 39, 25, 2, 13
2025/1/18, 67, 28, 34, 21, , 12
2025/1/19, 65, 30, 40, 13, 6, 11
2025/1/20, 55, 24, 31, 15, 2, 11
2025/1/21, 52, 29, 36, 14, 5, 10
2025/1/22, 63, 35, 47, 21, 12, 11
2025/1/23, 73, 33, 52, 18, 4, 9
2025/1/24, 69, 33, 38, 11, 21, 9
2025/1/25, 74, 33, 62, 18, 11, 10
2025/1/26, 76, 36, 61, 19, 14, 9
2025/1/27, 76, 38, 62, 23, 13, 10
2025/1/28, 67, 39, 77, 23, 7, 10
2025/1/29, 68, 32, 52, 21, 1, 9
2025/1/30, 77, 25, 40, 16, , 8
2025/1/31, 54, 35, 43, 14, 16, 9
2025/2/1, 56, 28, 44, 13, 8, 10
2025/2/2, 63, 25, 45, 14, 9, 9
2025/2/3, 63, 24, 52, 14, 7, 9
2025/2/4, 63, 28, 50, 16, 10, 9
2025/2/5, 65, 27, 53, 19, 5, 10
2025/2/6, 69, 35, 54, 19, 10, 10
2025/2/7, 74, 30, 48, 16, 14, 9
2025/2/8, 64, 28, 45, 17, 9, 9
2025/2/9, 61, 30, 51, 17, 12, 10
2025/2/10, 61, 38, 61, 23, 10, 11
2025/2/11, 64, 33, 49, 20, 1, 11
2025/2/12, 77, 27, 41, 18, , 9
