date, pm25, pm10, o3, no2, so2, co
2025/8/2, 44, 5, 29, 8, 2, 8
2025/8/3, 66, 27, 42, 8, 9, 8
2025/8/4, 78, 4, 36, 8, 2, 8
2025/8/5, 54, 16, 35, 7, 1, 8
2025/8/6, 63, 6, 24, 5, 1, 9
2025/8/7, 50, 5, 34, 7, 1, 8
2025/8/8, 57, 8, 37, 7, 1, 9
2025/8/9, 62, 18, 39, 8, 3, 7
2025/8/10, 64, 13, 55, 9, 25, 10
2025/8/11, 101, 15, 42, 9, 2, 9
2025/8/12, 60, 17, 24, 8, 2, 9
2025/8/13, 48, 64, 17, 14, 1, 17
2025/8/14, 1, 4, 36, 11, 2, 16
2025/8/15, 61, 17, 41, 10, 1, 15
2025/8/16, 46, 5, 38, 11, 3, 16
2025/8/19, 58, 6, 35, 6, 2, 16
2025/8/20, 77, 6, 34, 6, 1, 15
2025/8/21, 62, 4, 30, 6, 1, 16
2025/8/22, 54, 3, 35, 5, 1, 15
2025/8/23, 50, 2, 44, 9, 1, 15
2025/8/24, 57, 4, 41, 7, 1, 15
2025/8/25, 51, 5, 35, 7, 1, 16
2025/8/26, 60, 3, 35, 6, 1, 16
2025/8/27, 57, , 30, 5, 1, 16
2025/8/28, 53, , 34, 8, 1, 15
2025/8/29, 55, , 14, 8, 1, 14
2025/8/30, 64, , , , , 
2025/7/2, 40, 44, 31, 7, 1, 7
2025/7/3, 59, 37, 41, 7, 1, 8
2025/7/4, 64, 55, 40, 7, 3, 9
2025/7/5, 82, 57, 43, 9, 9, 11
2025/7/6, 103, 31, 17, 11, 2, 10
2025/7/7, 85, 45, 46, 9, 2, 9
2025/7/8, 62, 36, 36, 9, 3, 10
2025/7/9, 68, 42, 27, 9, 2, 9
2025/7/10, 77, 48, 35, 10, 2, 8
2025/7/11, 108, 30, 38, 10, 1, 6
2025/7/12, 65, 47, 36, 12, 1, 7
2025/7/13, 87, 54, 40, 10, 2, 6
2025/7/14, 62, 42, 45, 9, 1, 5
2025/7/15, 77, 77, 35, 11, 1, 6
2025/7/16, 78, 38, 39, 9, 1, 7
2025/7/17, 77, 36, 32, 9, 2, 7
2025/7/18, 84, , 40, 9, 1, 5
2025/7/19, 77, , 30, 10, 2, 7
2025/7/20, 77, , 40, 7, 1, 6
2025/7/21, 58, , 40, 10, 1, 6
2025/7/22, 68, 178, 41, 8, 2, 8
2025/7/23, 85, , , , , 
2025/7/25, 43, 7, 42, 11, 2, 9
2025/7/26, 50, 11, 35, 11, 1, 11
2025/7/27, 71, 4, 27, 6, 1, 9
2025/7/28, 52, 4, 29, 6, 1, 8
2025/7/29, 45, 6, 29, 5, 1, 7
2025/7/30, 48, 5, 34, 5, 1, 7
2025/7/31, 42, 5, 33, 7, 1, 6
2025/8/1, 42, 4, 23, 10, 1, 7
2025/4/2, 84, 69, 97, 15, 18, 7
2025/4/3, 70, 59, 82, 10, 6, 6
2025/4/4, 77, 53, 108, 12, 8, 7
2025/4/5, 57, 71, 59, 10, 2, 6
2025/4/6, 55, 61, 38, 10, 3, 6
2025/4/7, 69, 51, 25, 14, 4, 7
2025/4/8, 58, 38, 38, 6, 1, 7
2025/4/9, 57, 61, 63, 11, 4, 7
2025/4/10, 66, 57, 51, 15, 6, 8
2025/4/11, 59, 61, 50, 12, 3, 8
2025/4/12, 68, 110, 58, 12, 3, 8
2025/4/13, 72, 58, 67, 9, 2, 8
2025/4/14, 61, 46, 63, 9, 2, 8
2025/4/15, 59, 75, 59, 11, 3, 10
2025/4/16, 75, 63, 60, 12, 2, 8
2025/4/17, 75, 73, 108, 14, 12, 9
2025/4/18, 94, 117, 100, 12, 10, 10
2025/4/19, 86, 63, 93, 12, 13, 10
2025/4/20, 95, 63, 81, 10, 4, 10
2025/4/21, 106, 54, 86, 9, 3, 9
2025/4/22, 109, 75, 75, 9, 6, 7
2025/4/23, 97, 60, 75, 12, 9, 6
2025/4/24, 97, 54, 88, 13, 13, 7
2025/4/25, 111, 53, 73, 12, 6, 6
2025/4/26, 91, 78, 65, 11, 2, 7
2025/4/27, 111, 68, 60, 10, 1, 5
2025/4/28, 72, 57, 63, 12, 9, 5
2025/4/29, 70, 58, 67, 11, 6, 6
2025/4/30, 85, 57, 66, 13, 6, 6
2025/5/1, 102, 51, 68, 12, 7, 6
2025/5/2, 82, 48, 73, 11, 7, 6
2025/5/3, 84, 61, 75, 11, 8, 7
2025/5/4, 115, 52, 68, 11, 4, 6
2025/5/5, 95, 47, 70, 10, 2, 5
2025/5/6, 62, 59, 50, 9, 1, 5
2025/5/7, 64, 72, 76, 11, 14, 6
2025/5/8, 85, 50, 89, 14, 5, 6
2025/5/9, 90, 60, 48, 10, 2, 7
2025/5/10, 80, 26, 45, 5, 1, 7
2025/5/11, 45, 54, 53, 8, 2, 7
2025/5/12, 58, 51, 73, 9, 2, 9
2025/5/13, 58, 59, 74, 10, 4, 12
2025/5/14, 65, 45, 81, 14, 7, 14
2025/5/15, 78, 52, 48, 11, 7, 15
2025/5/16, 61, 51, 62, 12, 10, 15
2025/5/17, 72, 65, 70, 14, 7, 17
2025/5/18, 92, 48, 64, 11, 7, 17
2025/5/19, 90, 44, 76, 13, 6, 18
2025/5/20, 84, 42, 78, 13, 5, 20
2025/5/21, 83, 50, 63, 10, 1, 23
2025/5/22, 114, 61, 57, 12, 2, 23
2025/5/23, 104, 54, 52, 9, 1, 22
2025/5/24, 91, 66, 75, 13, 5, 24
2025/5/25, 68, 37, 48, 16, 10, 29
2025/5/26, 57, 25, 60, 9, 2, 27
2025/5/27, 66, 37, 63, 15, 5, 29
2025/5/28, 72, 36, 42, 14, 3, 30
2025/5/29, 63, 37, 37, 12, 4, 21
2025/5/30, 60, 37, 46, , 1, 4
