date, pm25, pm10, o3, no2, so2, co
2025/8/21, 45, 17, 67, 13, 1, 5
2025/8/22, 33, 68, 56, 15, 3, 8
2025/8/23, 35, 13, 39, 12, 1, 5
2025/8/24, 29, 10, 41, 11, 2, 5
2025/8/25, 26, 11, 27, 17, 2, 8
2025/8/26, 25, 20, 47, 16, 2, 8
2025/8/27, 45, 19, 38, 10, 2, 5
2025/8/28, 33, 14, 42, 10, 2, 5
2025/8/29, 27, 9, 31, 7, 3, 3
2025/8/30, 16, , , , , 
2025/7/16, 48, 19, 15, 29, 2, 5
2025/7/17, 44, 14, 22, 29, 3, 5
2025/7/18, 33, 11, 12, 31, 2, 6
2025/7/19, 29, 20, 28, 24, 2, 4
2025/7/20, 48, 57, 24, 31, 2, 9
2025/7/21, 43, 17, 32, 32, 1, 6
2025/7/22, 37, 28, 29, 33, , 6
2025/7/23, 51, 28, 44, 23, 2, 6
2025/7/24, 56, 24, 48, 12, 2, 4
2025/7/25, 42, 18, 57, 9, 3, 4
2025/7/26, 36, 20, 49, 10, 2, 4
2025/7/27, 33, 19, 39, 8, 3, 4
2025/7/28, 35, 17, 36, 11, 1, 5
2025/7/29, 34, 20, 48, 14, 3, 5
2025/7/30, 39, 21, 46, 11, 1, 4
2025/7/31, 33, 18, 28, 15, 5, 5
2025/8/1, 44, , , , , 
2025/4/2, 46, 45, 46, 21, 4, 9
2025/4/3, 64, 32, 41, 17, 2, 6
2025/4/4, 49, 25, 16, 17, 2, 6
2025/4/5, 47, 29, 33, 9, 1, 4
2025/4/6, 44, 29, 53, 14, 1, 5
2025/4/7, 45, 46, 68, 10, , 3
2025/4/8, 47, 49, 76, 14, 1, 5
2025/4/9, 53, 47, 81, 20, 1, 6
2025/4/10, 57, 53, 76, 22, 2, 7
2025/4/11, 62, 52, 60, 22, 1, 7
2025/4/12, 49, 50, 65, 18, 1, 6
2025/4/13, 54, 52, 78, 25, 1, 9
2025/4/14, 65, 50, 95, 18, 1, 6
2025/4/15, 65, 59, 93, 20, 2, 6
2025/4/16, 72, 57, 94, 12, 1, 5
2025/4/17, 64, 45, 90, 12, , 5
2025/4/18, 60, 45, 76, 11, 1, 4
2025/4/19, 61, 42, 73, 16, 2, 6
2025/4/20, 62, 37, 84, 10, 1, 4
2025/4/21, 58, 30, 61, 10, 1, 3
2025/4/22, 40, 38, 58, 18, 1, 6
2025/4/23, 46, 36, 53, 16, 1, 5
2025/4/24, 51, 44, 60, 15, 2, 5
2025/4/25, 68, 41, 65, 29, 3, 9
2025/4/26, 63, 54, 106, 23, 2, 8
2025/4/27, 74, 47, 87, 10, 3, 5
2025/4/28, 71, 44, 65, 13, 3, 5
2025/4/29, 64, 45, 51, 12, 2, 5
2025/4/30, 67, 37, 55, 11, , 4
2025/5/1, 56, 32, 49, 10, 2, 3
2025/5/2, 51, 33, 44, 10, 1, 4
2025/5/3, 39, 33, 45, 13, , 4
2025/5/4, 47, 27, 50, 15, 1, 5
2025/5/5, 48, 27, 44, 8, 1, 3
2025/5/6, 47, 30, 44, 11, 1, 4
2025/5/7, 44, 35, 53, 15, 2, 6
2025/5/8, 57, 35, 55, 12, 1, 4
2025/5/9, 51, 25, 48, 14, , 4
2025/5/10, 31, 43, 60, 7, , 4
2025/5/11, 47, 34, 62, 6, 1, 3
2025/5/12, 48, 39, 68, 12, 4, 4
2025/5/13, 59, 191, 56, 10, 2, 3
2025/5/14, 50, 42, 76, 16, 1, 4
2025/5/15, 62, 38, 74, 19, 2, 6
2025/5/16, 60, 44, 55, 15, 1, 6
2025/5/17, 67, 49, 69, 13, , 6
2025/5/18, 83, 38, 51, 9, , 4
2025/5/19, 65, 33, 48, 13, , 4
2025/5/20, 51, 37, 69, 15, , 5
2025/5/21, 54, 60, 85, 15, , 5
2025/5/22, 64, 51, 91, 17, , 6
2025/5/23, 70, 48, 97, 19, 4, 6
2025/5/24, 84, 45, 89, 17, 3, 5
2025/5/25, 80, , , , , 
2025/5/28, 39, 47, 34, 35, , 6
2025/5/29, 66, 26, 8, 32, 1, 6
2025/5/30, 44, 28, 6, 43, 1, 5
2025/5/31, 40, 23, 17, 29, , 4
2025/6/1, 40, 22, 26, 25, 2, 3
2025/6/2, 49, 21, 24, 26, 1, 3
2025/6/3, 36, 19, 22, 26, 1, 3
2025/6/4, 36, 34, 38, 33, 4, 6
2025/6/5, 58, 31, 27, 31, 2, 5
2025/6/6, 59, 39, 30, 29, 3, 5
2025/6/7, 76, 35, 34, 25, 3, 4
2025/6/8, 69, 39, 34, 25, 2, 4
2025/6/9, 67, 34, 21, 26, 3, 4
2025/6/10, 57, 20, 16, 21, 3, 2
2025/6/11, 42, 97, 30, 32, 1, 7
2025/6/12, 53, 18, 31, 32, 4, 5
2025/6/13, 35, 25, 26, 35, 2, 6
2025/6/14, 58, 17, 11, 30, , 5
2025/6/15, 33, 8, 8, 26, , 4
2025/6/16, 16, 13, 20, 30, 3, 5
2025/6/17, 27, 21, 21, 34, 1, 5
2025/6/18, 39, 21, 17, 34, 2, 5
2025/6/19, 42, 12, 8, 27, 4, 5
2025/6/20, 21, 7, 5, 29, 3, 6
2025/6/21, 15, 18, 8, 31, 2, 6
2025/6/22, 35, 9, 5, 23, 3, 3
2025/6/23, 14, 14, 5, 31, 3, 6
2025/6/24, 26, 12, 6, 30, 2, 6
2025/6/25, 29, 21, 12, 31, 3, 8
2025/6/26, 45, 22, 17, 30, 3, 5
2025/6/27, 41, 20, 22, 32, 3, 6
2025/6/28, 43, 16, 17, 29, 3, 5
2025/6/29, 39, , , , , 
2025/1/2, 216, 64, 34, , 3, 17
2025/1/3, 104, 53, 30, , 4, 19
2025/1/4, 89, 48, 38, , 4, 9
2025/1/5, 74, 39, 38, , 4, 12
2025/1/6, 77, 52, 25, , 4, 15
2025/1/7, 86, 49, 14, , 4, 15
2025/1/8, 75, 20, 15, , 2, 5
2025/1/9, 47, 27, 12, , 1, 5
2025/1/10, 51, 20, 11, , 2, 9
2025/1/11, 48, 21, 10, , 2, 8
2025/1/12, 43, 18, 16, , 1, 8
2025/1/13, 35, 26, 20, , 2, 8
2025/1/14, 42, 36, 16, , 3, 17
2025/1/15, 55, 50, 35, , 4, 24
2025/1/16, 77, 43, 38, , 4, 9
2025/1/17, 64, 34, 1, , 5, 11
2025/1/18, 48, 30, , , 4, 9
2025/1/19, 47, 36, , , 4, 14
2025/1/20, 56, 31, 5, , 4, 9
2025/1/21, 45, 33, 20, , 4, 10
2025/1/22, 48, 41, 32, , 2, 7
2025/1/23, 49, 42, 25, , 4, 11
2025/1/24, 74, 38, 27, , 3, 11
2025/1/25, 49, 65, 36, , 4, 20
2025/1/26, 97, 34, 38, , 3, 11
2025/1/27, 57, 36, 36, , 3, 9
2025/1/28, 53, 48, 36, , 5, 12
2025/1/29, 70, 43, 21, , 5, 13
2025/1/30, 60, 42, 17, , 4, 10
2025/1/31, 54, 48, 28, , 4, 13
2025/2/1, 67, 48, 39, , 5, 11
2025/2/2, 65, 45, 37, , 3, 7
2025/2/3, 49, 37, 44, , 2, 7
2025/2/4, 57, 27, 9, 11, 3, 6
2025/2/5, 42, , , 18, , 9
2025/2/9, 60, 34, 14, 13, 3, 6
2025/2/10, 55, 48, 36, 16, 3, 8
2025/2/11, 66, 39, 6, 13, 5, 7
2025/2/12, 63, , , , , 
2025/2/19, 28, 35, 28, 16, , 8
2025/2/20, 49, 45, 20, 20, , 11
2025/2/21, 62, 42, 25, 18, 10, 10
2025/2/22, 63, 307, 38, , , 12
2025/2/23, 94, 880, 26, , , 9
2025/2/24, 48, 46, 30, 22, , 11
2025/2/25, 42, 73, 59, 31, , 20
2025/2/26, 104, 42, 39, 19, 2, 7
2025/2/27, 59, 44, 52, 19, 5, 7
2025/2/28, 88, 47, 45, 21, 4, 8
2025/3/1, 76, 36, 32, 18, 2, 6
2025/3/2, 63, 29, 39, 17, 3, 5
2025/3/3, 54, 39, 31, 18, 3, 9
2025/3/4, 61, 37, 28, 17, 4, 7
2025/3/5, 51, 47, 60, 23, 4, 10
2025/3/6, 68, 43, 31, 21, 2, 8
2025/3/7, 51, 44, 32, 21, 3, 8
2025/3/8, 61, 37, 34, 19, 4, 7
2025/3/9, 58, 33, 39, 18, 2, 8
2025/3/10, 49, 60, 46, 18, 3, 9
2025/3/11, 88, 40, 38, 26, 5, 9
2025/3/12, 56, 28, 25, 15, 3, 6
2025/3/13, 31, 33, 29, 16, 3, 7
2025/3/14, 36, 45, 22, 20, 3, 9
2025/3/15, 55, 32, 32, 18, 3, 7
2025/3/16, 46, 42, 49, 28, 3, 13
2025/3/17, 71, 94, 46, 22, 4, 9
2025/3/18, 71, 51, 43, 18, 4, 7
2025/3/19, 70, 35, 38, 16, 3, 7
2025/3/20, 48, 53, 47, 17, 3, 6
2025/3/21, 69, 47, 44, 19, 5, 8
2025/3/22, 71, 43, 44, 21, 5, 8
2025/3/23, 67, 37, 40, 20, 4, 9
2025/3/24, 65, 42, 56, 20, 3, 7
2025/3/25, 64, 45, 48, 20, 4, 7
2025/3/26, 69, 47, 53, 18, 2, 7
2025/3/27, 77, 44, 42, 16, 3, 6
2025/3/28, 58, 35, 61, 19, 4, 7
2025/3/29, 55, 35, 71, 25, 2, 7
2025/3/30, 53, 41, 83, 24, 2, 8
2025/3/31, 63, 38, 74, 26, 2, 8
2025/4/1, 55, 33, 47, 19, 1, 7
2024/10/2, 33, 20, 37, , 1, 5
2024/10/3, 28, 29, 40, , 1, 6
2024/10/4, 53, 41, 74, , 3, 9
2024/10/5, 66, 43, 17, , 2, 8
2024/10/6, 65, 21, 31, , 1, 4
2024/10/7, 40, 16, 131, , 2, 5
2024/10/8, 23, 15, 82, , 1, 6
2024/10/9, 29, 15, 500, , 1, 7
2024/10/10, 38, 27, 97, , 2, 8
2024/10/11, 42, 30, 40, , 2, 7
2024/10/12, 49, 32, 92, , 3, 6
2024/10/13, 53, 30, 44, , 3, 6
2024/10/14, 57, 40, 47, , 3, 9
2024/10/15, 65, 28, 101, , 2, 5
2024/10/16, 54, 22, 39, , 2, 6
2024/10/17, 37, 31, 110, , 1, 6
2024/10/18, 52, 29, 81, , 2, 6
2024/10/19, 46, 29, 39, , , 5
2024/10/20, 42, 19, 33, , 1, 3
2024/10/21, 22, 16, 79, , 2, 4
2024/10/22, 20, 20, 30, , 2, 5
2024/10/23, 33, 29, 168, , 3, 7
2024/10/24, 42, 36, 21, , 4, 10
2024/10/25, 46, 52, 31, , 4, 14
2024/10/26, 75, 29, 257, , 1, 5
2024/10/27, 41, 26, 86, , 1, 6
