date, pm25, pm10, o3, no2, so2, co
2025/8/2, 52, 19, 32, 8, , 8
2025/8/3, 35, 36, 41, 12, , 10
2025/8/4, 59, 40, 55, 11, , 9
2025/8/5, 58, 29, 34, 11, , 10
2025/8/6, 45, 36, 36, 10, , 8
2025/8/7, 47, 28, 23, 6, , 7
2025/8/8, 24, 36, 20, 8, , 8
2025/8/9, 37, 21, 42, 8, , 9
2025/8/10, 37, 35, 49, 9, , 10
2025/8/11, 58, 38, 42, 11, , 10
2025/8/12, 56, 52, 85, 16, , 11
2025/8/13, 71, 32, 42, 11, , 9
2025/8/14, 52, 23, 43, 7, , 8
2025/8/15, 37, 19, 34, 9, , 8
2025/8/16, 33, 29, 34, 12, , 11
2025/8/17, 49, 39, 36, 12, , 11
2025/8/18, 60, 31, 34, 12, , 10
2025/8/19, 51, 44, 39, 14, , 9
2025/8/20, 61, 37, 43, 15, , 11
2025/8/21, 53, 40, 57, 13, , 10
2025/8/22, 55, 22, 48, 11, , 10
2025/8/23, 37, 22, 34, 12, , 9
2025/8/24, 44, 18, 26, 8, , 9
2025/8/25, 34, 22, 20, 13, , 11
2025/8/26, 36, 44, 33, 11, , 13
2025/8/27, 66, 32, 32, 9, , 8
2025/8/28, 45, 27, 35, 15, , 11
2025/8/29, 46, 25, 16, 11, , 8
2025/8/30, 42, , , , , 
2025/7/2, 23, 26, 18, 6, 9, 8
2025/7/3, 20, 35, 26, 8, , 8
2025/7/4, 39, 22, 38, 5, , 8
2025/7/5, 29, 35, 45, 6, , 9
2025/7/6, 45, 23, 19, 7, , 8
2025/7/7, 34, 39, 52, 13, , 8
2025/7/8, 53, 26, 35, 10, , 8
2025/7/9, 46, 32, 31, 12, , 9
2025/7/10, 43, 46, 23, 8, , 8
2025/7/11, 61, 37, 26, 11, , 9
2025/7/12, 49, 46, 34, 15, , 11
2025/7/13, 73, 33, 41, , , 12
2025/7/14, 73, 32, 29, , , 12
2025/7/15, 55, 27, 42, 12, , 9
2025/7/16, 57, 25, 34, 15, , 10
2025/7/17, 54, 16, 40, 11, , 9
2025/7/18, 34, 16, 22, 14, , 9
2025/7/19, 32, 37, 44, 12, , 11
2025/7/20, 61, 23, 37, , , 10
2025/7/21, 49, 25, 49, , , 10
2025/7/22, 40, 57, 44, , 4, 13
2025/7/23, 77, 54, 46, , 8, 9
2025/7/24, 78, 45, 42, , , 8
2025/7/25, 62, 38, 51, 9, , 9
2025/7/26, 51, 36, 43, 6, , 8
2025/7/27, 40, 32, 33, 6, , 9
2025/7/28, 46, 22, 28, 8, , 8
2025/7/29, 44, 33, 38, 13, , 10
2025/7/30, 51, 31, 38, 10, , 7
2025/7/31, 44, 29, 41, 10, , 10
2025/8/1, 52, 27, 30, 13, , 10
2025/4/2, 87, 127, 35, 18, 16, 15
2025/4/3, 134, 114, 34, 17, 19, 15
2025/4/4, 128, 67, 32, 9, 8, 10
2025/4/5, 86, 61, 29, 5, , 7
2025/4/6, 62, 68, 8, 17, , 16
2025/4/7, 109, 64, 45, 10, , 8
2025/4/8, 72, 70, 52, 15, 2, 8
2025/4/9, 76, 96, 64, 15, 6, 12
2025/4/10, 87, 87, 61, 20, 2, 12
2025/4/11, 90, 78, 48, 18, , 8
2025/4/12, 78, 81, 52, 17, , 12
2025/4/13, 83, 103, 65, 18, , 10
2025/4/14, 114, 76, 77, 14, , 10
2025/4/15, 86, 91, 80, 18, 6, 12
2025/4/16, 109, 84, 82, 12, 4, 8
2025/4/17, 89, 63, 59, 7, , 8
2025/4/18, 104, 63, 56, 7, , 9
2025/4/19, 85, 67, 56, 10, 4, 11
2025/4/20, 99, 59, 57, 9, 3, 9
2025/4/21, 79, 91, 47, 12, 6, 9
2025/4/22, 93, 76, 47, 18, 8, 10
2025/4/23, 81, 62, 45, 11, 3, 9
2025/4/24, 87, 76, 42, 18, 6, 10
2025/4/25, 107, 79, 57, 26, 8, 12
2025/4/26, 99, 92, 78, 17, 7, 12
2025/4/27, 99, 71, 60, 9, 5, 10
2025/4/28, 79, 64, 45, 8, 4, 8
2025/4/29, 68, 62, 34, 6, 6, 7
2025/4/30, 68, 64, 43, 10, 5, 9
2025/5/1, 71, 55, 42, 8, , 8
2025/5/2, 59, 60, 37, 9, , 8
2025/5/3, 82, 58, 40, 8, , 8
2025/5/4, 67, 42, 40, 7, , 8
2025/5/5, 51, 49, 36, 5, , 7
2025/5/6, 53, 67, 36, 11, , 8
2025/5/7, 72, 66, 40, 14, , 11
2025/5/8, 79, 70, 43, 14, , 10
2025/5/9, 78, 66, 48, 19, , 10
2025/5/10, 71, 68, 50, 6, , 9
2025/5/11, 60, 54, 52, 6, , 9
2025/5/12, 58, 59, 46, 7, , 8
2025/5/13, 61, 63, 43, 7, 3, 8
2025/5/14, 72, 76, 50, 16, 6, 10
2025/5/15, 85, 89, 66, 21, 10, 12
2025/5/16, 98, 79, 48, 13, 2, 10
2025/5/17, 88, 61, 56, 6, 3, 8
2025/5/18, 73, 51, 42, 3, 1, 8
2025/5/19, 55, 58, 48, 7, 6, 8
2025/5/20, 62, 61, 47, 7, 4, 8
2025/5/21, 64, 74, 83, 12, 7, 10
2025/5/22, 186, 89, 32, 19, 12, 6
2025/5/23, 170, 108, 64, 16, 4, 5
2025/5/24, 155, 75, 62, 15, 1, 
2025/5/25, 103, 77, 65, 9, , 
2025/5/26, 108, 45, 59, 9, , 8
2025/5/27, 76, 53, 33, 7, , 7
2025/5/28, 80, 63, 50, 7, , 8
2025/5/29, 72, 31, 16, 7, , 8
2025/5/30, 35, 39, 26, 11, , 8
2025/5/31, 43, 44, 34, 11, , 8
2025/6/1, 56, 36, 47, 8, , 9
2025/6/2, 60, 41, 37, 8, , 9
2025/6/3, 53, 40, 42, 6, , 7
2025/6/4, 47, 48, 58, 9, , 9
2025/6/5, 64, 49, 47, 7, , 8
2025/6/6, 71, 60, 55, 8, , 10
2025/6/7, 83, 59, 63, 6, , 8
2025/6/8, 85, 46, 55, 4, , 8
2025/6/9, 71, 48, 34, 4, , 8
2025/6/10, 64, 42, 90, 9, , 9
2025/6/11, 53, 35, 56, 7, , 8
2025/6/12, 52, 23, 52, 9, 4, 8
2025/6/13, 116, 35, 43, 14, 4, 8
2025/6/14, 66, 22, 17, 11, 2, 8
2025/6/15, 34, 11, 16, 5, 3, 8
2025/6/16, 21, 16, 31, 9, , 8
2025/6/17, 27, 42, 39, 13, , 9
2025/6/18, 51, 46, 30, 16, , 13
2025/6/19, 55, 24, 7, 11, , 4
2025/6/20, 58, 14, 8, 17, 9, 12
2025/6/21, 22, 23, 21, 10, 2, 8
2025/6/22, 31, 15, 19, 4, , 8
2025/6/23, 22, 18, 12, 9, , 9
2025/6/24, 27, 21, 4, 11, 2, 8
2025/6/25, 32, 30, 24, 12, 6, 11
2025/6/26, 54, 40, 29, 12, 14, 8
2025/6/27, 61, 30, 38, 13, , 9
2025/6/28, 48, 20, 25, 9, , 8
2025/6/29, 38, , , , , 
2025/2/20, 86, 71, 18, 24, 8, 14
2025/2/21, 109, 70, 26, 21, 6, 14
2025/2/22, 100, 77, 36, 19, 7, 15
2025/2/23, 106, 57, 28, 21, 5, 12
2025/2/24, 74, 75, 36, 24, 3, 15
2025/2/25, 81, 162, 57, 27, 15, 22
2025/2/26, 145, 77, 34, 15, 5, 12
2025/2/27, 91, 71, 49, 18, 5, 11
2025/2/28, 83, 66, 39, 14, 5, 10
2025/3/1, 80, 61, 39, 12, 4, 9
2025/3/2, 65, 59, 40, 14, 6, 11
2025/3/3, 74, 69, 36, 16, 6, 10
2025/3/4, 83, 110, 32, 21, 7, 11
2025/3/5, 94, 97, 48, 31, 10, 17
2025/3/6, 127, 74, 34, 18, 4, 11
2025/3/7, 91, 84, 32, 21, 8, 13
2025/3/8, 109, 72, 36, 20, 5, 12
2025/3/9, 98, 73, 36, 17, 7, 14
2025/3/10, 96, 76, 49, 21, 3, 11
2025/3/11, 102, 81, 46, 23, 6, 13
2025/3/12, 95, 70, 25, 17, 7, 12
2025/3/13, 80, 62, 32, 12, 2, 10
2025/3/14, 67, 90, 20, 15, , 13
2025/3/15, 94, 75, 33, 18, , 13
2025/3/16, 96, 86, 55, 25, , 18
2025/3/17, 115, 84, 45, 15, , 10
2025/3/18, 98, 65, 39, 12, 6, 10
2025/3/19, 83, 75, 35, 23, 6, 11
2025/3/20, 99, 87, 45, 19, 7, 13
2025/3/21, 105, 72, 45, 16, 6, 11
2025/3/22, 95, 66, 42, 15, 5, 11
2025/3/23, 84, 60, 42, 15, 6, 11
2025/3/24, 80, 76, 49, 19, 6, 12
2025/3/25, 93, 80, 44, 17, 6, 10
2025/3/26, 95, 84, 45, 18, 5, 11
2025/3/27, 98, 83, 37, 16, 7, 10
2025/3/28, 87, 78, 44, 21, 4, 12
2025/3/29, 89, 67, 47, 17, 2, 11
2025/3/30, 98, 62, 56, 17, 1, 11
2025/3/31, 90, 83, 54, 23, 4, 10
2025/4/1, 97, 76, 40, 16, 4, 10
2024/8/1, 41, 25, 30, , 17, 
2024/8/2, 37, 27, 31, , 18, 
2024/8/3, 50, , 29, , 18, 
2024/8/4, 28, , 36, , 17, 
2024/8/5, 49, 97, 36, , 16, 
2024/8/6, 44, 36, 36, , 14, 
2024/8/7, 62, 20, 27, , 17, 
2024/8/8, 39, , , , , 
2024/8/21, 57, 34, 28, , 18, 7
2024/8/22, 67, 20, 33, , 16, 5
2024/8/23, 32, 33, 40, , 18, 5
2024/8/24, 50, 17, 30, , 15, 4
2024/8/25, 33, 29, 26, , 16, 6
2024/8/26, 46, 36, 33, , 16, 5
2024/8/27, 50, 35, 41, , 17, 4
2024/8/28, 48, 27, 37, , 18, 4
2024/8/29, 35, 19, 44, , 15, 4
2024/8/30, 25, 13, 53, , 15, 4
2024/8/31, 20, 13, 35, , 16, 4
2024/9/1, 19, 13, 43, , 17, 4
2024/9/2, 16, 14, 31, , 16, 5
2024/9/3, 34, 25, 35, , 15, 5
2024/9/4, 48, 16, 48, , 17, 4
2024/9/5, 28, 27, 26, , 17, 5
2024/9/6, 40, 16, 22, , 17, 5
2024/4/7, 150, 52, 32, , , 
2024/4/8, 132, 67, 27, , , 
2024/4/9, 149, 71, 31, , , 
2024/4/10, 163, 48, 27, , , 
2024/4/11, 122, 57, 37, , , 
2024/4/12, 139, 57, 35, , , 
2024/4/13, 136, 58, 68, , , 
2024/4/14, 139, 52, 52, , , 
2024/4/15, 138, 45, 56, , , 
2024/4/16, 114, 54, 43, , , 
2024/4/17, 124, 69, 18, , , 
2024/4/18, 141, 55, 40, , , 
2024/4/19, 129, 67, 36, , , 
2024/4/20, 144, 61, 19, , , 
2024/4/21, 141, 38, 32, , , 
2024/4/22, 115, 66, 39, , , 
2024/4/23, 150, 60, 41, , , 
2024/4/24, 142, 67, 43, , , 
2024/4/25, 155, 61, 37, , , 
2024/4/26, 143, 56, 29, , , 
2024/4/27, 146, 65, 28, , , 
2024/4/28, 146, , , , , 
2024/5/1, 83, 56, 45, , , 
2024/5/2, 89, 54, 44, , , 
2024/5/3, 77, 64, 57, , , 
2024/5/4, 102, 69, 53, , , 
2024/5/5, 107, 55, 42, , , 
2024/5/6, 75, 54, 39, , , 
2024/5/7, 60, 62, 31, , , 
2024/5/8, 72, 75, 40, , , 
2024/5/9, 99, 65, 50, , , 
2024/5/10, 96, 80, 47, , , 
2024/5/11, 116, 61, 58, , , 
2024/5/12, 86, 57, 41, , , 
2024/5/13, 92, 50, 36, , , 
2024/5/14, 65, 73, 41, , , 
2024/5/15, 106, 61, 44, , , 
2024/5/16, 86, 57, 36, , , 
2024/5/17, 71, 56, 34, , , 
2024/5/18, 73, 57, 61, , , 
2024/5/19, 93, 47, 60, , , 
2024/5/20, 76, 57, 47, , , 
2024/5/21, 74, 58, 54, , , 
2024/5/22, 79, 56, 41, , , 
2024/5/23, 111, 66, 53, , , 
2024/5/24, 115, 67, 71, , , 
2024/5/25, 116, , , , , 
2024/6/1, 36, 63, 61, , , 
2024/6/2, 36, 56, 56, , , 
2024/6/3, 36, 60, 56, , , 
2024/6/4, 36, 57, 46, , , 
2024/6/5, 36, 58, 69, , , 
2024/6/6, 36, 75, 74, , , 
2024/6/7, 36, 73, 59, , , 
2024/6/8, 36, 46, 71, , , 
2024/6/9, 36, 41, 21, , , 
2024/6/10, 36, , , , , 
2024/6/17, 91, 51, 55, , , 
2024/6/18, 90, 38, 44, , , 
2024/6/19, 64, 25, 42, , , 
2024/6/20, 60, , 16, , , 
2024/6/21, 80, , 19, , , 
2024/6/22, 56, , 25, , , 
2024/1/2, 52, 57, 20, , , 
2024/1/3, 97, 97, 27, , , 
2024/1/4, 145, 67, 24, , , 
2024/1/5, 121, 69, 21, , , 
2024/1/6, 117, 59, 23, , , 
2024/1/7, 103, 69, 16, , , 
2024/1/8, 109, 46, 14, , , 
2024/1/9, 84, 57, 24, , , 
2024/1/10, 105, 77, 19, , , 
2024/1/11, 117, 74, 21, , , 
2024/1/12, 119, 66, 28, , , 
2024/1/13, 116, 89, 26, , , 
2024/1/14, 134, 85, 39, , , 
2024/1/15, 142, 134, 6, , , 
2024/1/16, 173, , , , , 
2024/2/1, 168, 64, 28, , , 
2024/2/2, 137, 49, 24, , , 
2024/2/3, 123, 43, 24, , , 
2024/2/4, 97, 84, 35, , , 
2024/2/5, 158, 93, 29, , , 
2024/2/6, 164, 133, 38, , , 
2024/2/7, 190, 73, 37, , , 
2024/2/8, 142, 77, 32, , , 
2024/2/9, 156, 80, 46, , , 
2024/2/10, 158, 51, 27, , , 
2024/2/11, 116, 49, 27, , , 
2024/2/12, 111, 86, 22, , , 
2024/2/13, 168, 51, 24, , , 
2024/2/14, 115, 42, 12, , , 
2024/2/15, 101, 40, 21, , , 
2024/2/16, 86, 11, 9, , , 
2024/2/17, 27, 16, 25, , , 
2024/2/18, 44, 33, 30, , , 
2024/2/19, 89, 67, 44, , , 
2024/2/20, 156, 122, 41, , , 
2024/2/21, 180, 78, 80, , , 
2024/2/22, 161, 83, 57, , , 
2024/2/23, 153, 90, 63, , , 
2024/2/24, 173, 93, 74, , , 
2024/2/25, 175, 59, 75, , , 
2024/2/26, 148, 58, 67, , , 
2024/2/27, 139, 77, 49, , , 
2024/2/28, 155, 72, 50, , , 
2024/2/29, 159, 94, 35, , , 
2024/3/1, 169, 59, 13, , , 
2024/3/2, 125, 44, 27, , , 
2024/3/3, 101, 48, 32, , , 
2024/3/4, 116, 57, 29, , , 
2024/3/5, 133, 69, 34, , , 
2024/3/6, 143, 57, 38, , , 
2024/3/7, 124, 64, 34, , , 
2024/3/8, 140, 63, 31, , , 
2024/3/9, 143, 74, 35, , , 
2024/3/10, 161, 57, 40, , , 
2024/3/11, 140, 79, 38, , , 
2024/3/12, 161, 59, 36, , , 
2024/3/13, 131, 63, 35, , , 
2024/3/14, 145, 65, 33, , , 
2024/3/15, 149, 64, 29, , , 
2024/3/16, 150, 68, 30, , , 
2024/3/17, 150, 52, 23, , , 
2024/3/18, 131, 44, 29, , , 
2024/3/19, 121, 64, 30, , , 
2024/3/20, 176, 48, 32, , , 
2024/3/21, 115, 64, 27, , , 
2024/3/22, 143, 58, 32, , , 
2024/3/23, 137, 86, 47, , , 
2024/3/24, 168, 33, 32, , , 
2024/3/25, 68, , , , , 
2023/10/2, 76, 43, 26, , , 
2023/10/3, 59, 39, 38, , , 
2023/10/4, 85, 20, 25, , , 
2023/10/5, 55, 35, 28, , , 
2023/10/6, 80, 22, 26, , , 
2023/10/7, 56, 17, 20, , , 
2023/10/8, 40, 11, 29, , , 
2023/10/9, 33, 18, 26, , , 
2023/10/10, 39, 17, 70, , , 
2023/10/11, 36, , 15, , , 
2023/10/17, 66, 31, 34, , , 
2023/10/18, 73, 68, 31, , , 
2023/10/19, 131, 37, 31, , , 
2023/10/20, 77, 33, 32, , , 
2023/10/21, 82, 24, 16, , , 
2023/10/22, 52, 25, 34, , , 
2023/10/23, 49, 32, 45, , , 
2023/10/24, 77, , , , , 
2023/10/26, 144, 60, 65, , , 
2023/10/27, 132, 20, 9, , , 
2023/10/28, 44, , , , , 
2023/11/21, 62, 52, 37, , , 
2023/11/22, 99, 50, 9, , , 
2023/11/23, 89, 39, 13, , , 
2023/11/24, 77, 74, 25, , , 
2023/11/25, 138, 109, 30, , , 
2023/11/26, 164, 100, 8, , , 
2023/11/27, 149, 99, 5, , , 
2023/11/28, 154, 76, 30, , , 
2023/11/29, 124, 76, 20, , , 
2023/11/30, 110, 49, 17, , , 
2023/12/1, 99, 48, 18, , , 
2023/12/2, 103, 82, 26, , , 
2023/12/3, 146, 28, 6, , , 
2023/12/4, 60, 15, 5, , , 
2023/12/5, 37, 16, 15, , , 
2023/12/6, 53, 21, 17, , , 
2023/12/7, 47, 10, 11, , , 
2023/12/8, 32, 38, 21, , , 
2023/12/9, 89, 51, 25, , , 
2023/12/10, 101, 66, 25, , , 
2023/12/11, 132, 33, 17, , , 
2023/12/12, 69, 36, 25, , , 
2023/12/13, 85, 44, 18, , , 
2023/12/14, 92, 69, 19, , , 
2023/12/15, 121, 53, 25, , , 
2023/12/16, 99, 51, 24, , , 
2023/12/17, 89, 47, 30, , , 
2023/12/18, 88, 86, 32, , , 
2023/12/19, 133, 92, 33, , , 
2023/12/20, 124, 79, 50, , , 
2023/12/21, 152, 87, 42, , , 
2023/12/22, 137, 116, 20, , , 
2023/12/23, 146, 113, 29, , , 
2023/12/24, 128, 21, 9, , , 
2023/12/25, 45, 46, 15, , , 
2023/12/26, 83, 23, 21, , , 
2023/12/27, 54, 36, 25, , , 
2023/12/28, 67, 67, 6, , , 
2023/12/29, 110, , , , , 
2023/8/15, 73, 32, 46, , , 
2023/8/16, 60, 27, 38, , , 
2023/8/17, 71, 32, 40, , , 
2023/8/18, 55, 23, 29, , , 
2023/8/19, 42, 15, 26, , , 
2023/8/20, 37, 12, 29, , , 
2023/8/23, 55, 22, 49, , , 
2023/8/25, 67, 25, 27, , , 
2023/8/26, 70, 34, 41, , , 
2023/8/27, 70, 34, 42, , , 
2023/8/28, 59, 25, 38, , , 
2023/8/29, 58, 22, 34, , , 
2023/8/30, 62, 28, 50, , , 
2023/8/31, 70, 33, 89, , , 
2023/9/6, 109, 33, 32, , , 
2023/9/7, 65, 23, 30, , , 
2023/9/8, 39, 18, 31, , , 
2023/9/9, 84, 34, 31, , , 
2023/9/10, 74, 27, 36, , , 
2023/9/11, 78, 33, 33, , , 
2023/9/12, 89, 41, 38, , , 
2023/9/13, 82, 39, 40, , , 
2023/9/14, 78, 37, 39, , , 
2023/9/15, 87, 41, 40, , , 
2023/9/16, 91, 42, 36, , , 
2023/9/17, 55, 21, 35, , , 
2023/9/18, 42, 13, 27, , , 
2023/9/19, 60, 24, 32, , , 
2023/9/20, 67, 26, 37, , , 
2023/9/21, 42, 19, 35, , , 
2023/9/22, 67, 29, 35, , , 
2023/9/23, 80, 35, 36, , , 
2023/9/24, 76, 34, 33, , , 
2023/9/25, 60, 28, 34, , , 
2023/9/26, 33, 20, 9, , , 
2023/9/27, 68, 31, 33, , , 
2023/9/28, 78, 35, 36, , , 
2023/9/29, 29, 21, 11, , , 
2019/7/2, 49, 29, 97, , 4, 4
2019/7/3, 44, 27, 77, , 5, 4
2019/7/4, 47, 41, 99, , 3, 5
2019/7/5, 48, 31, 86, 21, 4, 5
2019/7/6, 42, 39, 79, 20, 5, 4
2019/7/7, 52, 33, 69, 18, 5, 4
2019/7/8, 55, 31, 99, 20, 2, 5
