date, pm25, pm10, o3, no2, so2, co
2024/1/2, 73, 56, , , 6, 
2024/1/3, 83, 72, , , 6, 
2024/1/4, 105, 46, , , 8, 
2024/1/5, 65, 44, , , 10, 
2024/1/6, 57, 42, , , 5, 
2024/1/7, 58, 47, , , 10, 
2024/1/8, 70, 22, , , 9, 
2024/1/9, 42, , , , , 
2024/1/16, 56, 92, , , 13, 
2024/1/17, 125, , , , , 
2024/2/1, 94, 57, , , 12, 
2024/2/2, 80, 49, , , 9, 
2024/2/3, 53, 20, , , 9, 
2024/2/4, 37, 44, , , 11, 
2024/2/5, 93, 49, , , 8, 
2024/2/6, 68, 66, , , 6, 
2024/2/7, 86, 73, , , 13, 
2024/2/8, 95, 59, , , 11, 
2024/2/9, 89, 80, , , 13, 
2024/2/10, 117, , , , 5, 
2023/10/2, 126, 38, , , 10, 
2023/10/3, 60, 45, , , 9, 
2023/10/4, 70, 23, , , 10, 
2023/10/5, 53, 29, , , 7, 
2023/10/6, 46, 34, , , 9, 
2023/10/7, 60, 25, , , 6, 
2023/10/8, 49, 17, , , 3, 
2023/10/9, 30, 21, , , 9, 
2023/10/10, 26, , , , 13, 
2023/10/17, 23, 32, , , 9, 
2023/10/18, 36, , , , , 
2023/10/26, 65, 58, , , 10, 
2023/10/27, 94, 32, , , 11, 
2023/10/28, 54, 28, , , 8, 
2023/10/29, 49, 11, , , 8, 
2023/10/30, 28, , , , , 
2023/11/1, 61, 118, , , 6, 
2023/11/2, 75, 48, , , 5, 
2023/11/3, 75, 58, , , 8, 
2023/11/4, 83, 55, , , 3, 
2023/11/5, 83, 47, , , 1, 
2023/11/6, 71, 76, , , 2, 
2023/11/7, 93, 80, , , 5, 
2023/11/8, 103, 55, , , 10, 
2023/11/9, 68, 40, , , 7, 
2023/11/10, 57, 54, , , 9, 
2023/11/11, 76, 37, , , 9, 
2023/11/12, 61, 37, , , 6, 
2023/11/13, 62, 19, , , 7, 
2023/11/14, 42, , , , , 
2023/11/21, 27, 45, , , 11, 
2023/11/22, 66, 46, , , 7, 
2023/11/23, 63, 31, , , 7, 
2023/11/24, 30, 59, , , 12, 
2023/11/25, 74, 90, , , 8, 
2023/11/26, 118, 55, , , 9, 
2023/11/27, 94, 74, , , 14, 
2023/11/28, 102, 53, , , 7, 
2023/11/29, 88, 58, , , 8, 
2023/11/30, 81, 53, , , 11, 
2023/12/1, 88, 40, , , 5, 
2023/12/2, 63, 68, , , 9, 
2023/12/3, 88, 48, , , 9, 
2023/12/4, 69, 23, , , 8, 
2023/12/5, 60, 26, , , 6, 
2023/12/6, 51, 31, , , 6, 
2023/12/7, 48, 16, , , 9, 
2023/12/8, 44, 45, , , 11, 
2023/12/9, 79, 46, , , 9, 
2023/12/10, 74, 51, , , 7, 
2023/12/11, 88, 34, , , 3, 
2023/12/12, 56, 36, , , 11, 
2023/12/13, 51, 57, , , 9, 
2023/12/14, 92, 60, , , 3, 
2023/12/15, 91, 50, , , 4, 
2023/12/16, 75, 39, , , 3, 
2023/12/17, 61, 36, , , 8, 
2023/12/18, 59, 65, , , 6, 
2023/12/19, 92, , , , , 
2023/12/21, 70, 69, , , 9, 
2023/12/22, 108, 74, , , 6, 
2023/12/23, 106, 79, , , 6, 
2023/12/24, 113, 20, , , 7, 
2023/12/25, 48, 71, , , 16, 
2023/12/26, 131, 25, , , 8, 
2023/12/27, 44, 30, , , 6, 
2023/12/28, 48, 52, , , 11, 
2023/12/29, 79, 46, , , 11, 
2023/12/30, 56, , , , , 
2023/7/2, 32, 30, , , , 
2023/7/3, 35, 30, , , , 
2023/7/4, 48, 35, , , , 
2023/7/5, 59, , , , , 
2023/7/13, 46, 30, , , , 
2023/7/14, 56, , , , , 
2023/7/17, 63, 42, , , , 
2023/7/18, 59, 38, , , , 
2023/7/19, 63, 37, , , , 
2023/7/20, 66, 35, , , , 
2023/7/21, 68, 33, , , , 
2023/7/22, 62, , , , , 
2023/7/24, 62, 27, , , , 
2023/7/25, 49, 26, , , , 
