date, pm25, pm10, o3, no2, so2, co
2025/8/2, 37, , 36, , , 2
2025/8/3, 42, , 44, , , 1
2025/8/4, 35, , 37, , , 2
2025/8/5, 44, , 37, , , 2
2025/8/6, 50, , 30, , , 2
2025/8/7, 51, , 23, , , 2
2025/8/8, 27, , 31, , , 2
2025/8/9, 35, , 36, , , 2
2025/8/10, 49, , 43, , , 2
2025/8/11, 51, , 39, , , 3
2025/8/12, 59, , 43, , , 3
2025/8/13, 57, , 32, , , 2
2025/8/14, 49, , 28, , , 1
2025/8/15, 39, , 29, , , 1
2025/8/16, 39, , 37, , , 2
2025/8/17, 54, , 39, , , 2
2025/8/18, 65, , 36, , , 3
2025/8/19, 66, , 40, , , 2
2025/8/20, 52, , 40, , , 2
2025/8/21, 62, , 34, , , 3
2025/8/22, 69, , 33, , , 2
2025/8/23, 60, , 25, , , 3
2025/8/24, 46, , 25, , , 3
2025/8/25, 44, , 29, , , 2
2025/8/26, 42, , 42, , , 2
2025/8/27, 56, , 30, , , 7
2025/8/28, 45, , 36, , , 5
2025/8/29, 49, , 17, , , 6
2025/8/30, 54, , , , , 
2025/7/2, 14, , 15, , , 1
2025/7/3, 23, , 29, , , 2
2025/7/4, 27, , 39, , , 2
2025/7/5, 41, , 41, , , 1
2025/7/6, 49, , 20, , , 1
2025/7/7, 66, , 42, , , 1
2025/7/8, 47, , 46, , , 2
2025/7/9, 55, , 17, , , 1
2025/7/10, 45, , , , , 1
2025/7/11, 70, , 31, , , 1
2025/7/12, 55, , 29, , , 1
2025/7/13, 44, , 31, , , 2
2025/7/14, 41, , 28, , , 1
2025/7/15, 33, , 36, , , 1
2025/7/16, 32, , 38, , , 2
2025/7/17, 30, , 36, , , 2
2025/7/18, 47, , 32, , , 2
2025/7/19, 41, , 37, , , 2
2025/7/20, 56, , 37, , , 1
2025/7/21, 41, , 35, , , 1
2025/7/22, 42, , 45, , , 2
2025/7/23, 56, , 37, , , 2
2025/7/24, 65, , 38, , , 2
2025/7/25, 50, , 52, , , 1
2025/7/26, 38, , 40, , , 2
2025/7/27, 50, , 35, , , 2
2025/7/28, 44, , 32, , , 1
2025/7/29, 34, , 38, , , 1
2025/7/30, 36, , 37, , , 2
2025/7/31, 40, , 33, , , 4
2025/8/1, 63, , 32, , , 2
2025/4/2, 66, , , , , 
2025/4/3, 66, , , , , 
2025/4/4, 59, , , , , 
2025/4/5, 56, , , , , 
2025/4/6, 54, , , , , 
2025/4/7, 64, , , , , 
2025/4/8, 49, , , , , 
2025/4/9, 54, , , , , 
2025/4/10, 59, , , , , 
2025/4/11, 56, , , , , 
2025/4/12, 50, , , , , 
2025/4/13, 59, , , , , 
2025/4/14, 58, , , , , 
2025/4/15, 85, , , , , 
2025/4/16, 70, , , , , 
2025/4/17, 77, , , , , 
2025/4/18, 75, , , , , 
2025/4/19, 78, , , , , 
2025/4/20, 81, , , , , 
2025/4/21, 72, , , , , 
2025/4/22, 77, , , , , 
2025/4/23, 82, , , , , 
2025/4/24, 65, , , , , 
2025/4/25, 87, , , , , 
2025/4/26, 86, , , , , 
2025/4/27, 83, , , , , 
2025/4/28, 74, , , , , 
2025/4/29, 72, , , , , 
2025/4/30, 77, , , , , 
2025/5/1, 85, , , , , 
2025/5/2, 88, , , , , 
2025/5/3, 86, , , , , 
2025/5/4, 78, , , , , 
2025/5/5, 75, , , , , 
2025/5/6, 68, , , , , 
2025/5/7, 67, , , , , 
2025/5/8, 72, , , , , 
2025/5/9, 78, , , , , 
2025/5/10, 73, , , , , 
2025/5/11, 70, , , , , 
2025/5/12, 58, , , , , 
2025/5/13, 85, , , , , 
2025/5/14, 110, , , , , 
2025/5/15, 93, , , , , 
2025/5/16, 76, , , , , 
2025/5/17, 98, , , , , 
2025/5/18, 103, , , , , 
2025/5/19, 83, , , , , 
2025/5/20, 77, , , , , 
2025/5/21, 83, , , , , 
2025/5/22, 87, , , , , 
2025/5/23, 78, , , , , 
2025/5/24, 72, , , , , 
2025/5/25, 79, , , , , 
2025/5/26, 70, , , , , 
2025/5/27, 62, , , , , 
2025/5/28, 72, , , , , 
2025/5/29, 45, , , , , 
2025/5/30, 32, , , , , 
2025/5/31, 32, , , , , 
2025/6/1, 52, , , , , 
2025/6/2, 58, , 1, , , 
2025/6/3, 58, , 2, , , 
2025/6/4, 34, , 55, , , 27
2025/6/5, 48, , 64, , , 22
2025/6/6, 42, , 48, , , 5
2025/6/7, 68, , 49, , , 4
2025/6/8, 59, , 38, , , 3
2025/6/9, 49, , 26, , , 
2025/6/10, 26, , 43, , , 3
2025/6/11, 49, , 43, , , 3
2025/6/12, 30, , 42, , , 6
2025/6/13, 49, , 29, , , 5
2025/6/14, 38, , 19, , , 4
2025/6/15, 17, , 20, , , 3
2025/6/16, 15, , 20, , , 3
2025/6/17, 21, , 33, , , 2
2025/6/18, 29, , 22, , , 5
2025/6/19, 33, , 25, , , 6
2025/6/20, 26, , 14, , , 4
2025/6/21, 17, , 19, , , 3
2025/6/22, 22, , 19, , , 2
2025/6/23, 25, , 17, , , 3
2025/6/24, 27, , 17, , , 3
2025/6/25, 26, , 27, , , 5
2025/6/26, 46, , 33, , , 3
2025/6/27, 46, , 34, , , 3
2025/6/28, 49, , 40, , , 3
2025/6/29, 40, , 30, , , 2
2025/6/30, 33, , 16, , , 1
2025/7/1, 16, , 15, , , 1
2025/1/3, 86, , 2, , , 11
2025/1/4, 80, , 3, , , 11
2025/1/5, 72, , 3, , , 11
2025/1/6, 67, , 2, , , 12
2025/1/7, 76, , 3, , , 12
2025/1/8, 72, , 2, , , 11
2025/1/9, 69, , 2, , , 9
2025/1/10, 61, , 2, , , 10
2025/1/11, 65, , , , , 7
2025/1/12, 47, , , , , 
2025/1/14, 41, , 1, , , 9
2025/1/15, 53, , 1, , , 10
2025/1/16, 61, , 1, , , 10
2025/1/17, 76, , 2, , , 9
2025/1/18, 74, , 1, , , 9
2025/1/19, 72, , 1, , , 9
2025/1/20, 65, , 1, , , 9
2025/1/21, 62, , 1, , , 8
2025/1/22, 58, , 2, , , 10
2025/1/23, 64, , 2, , , 10
2025/1/24, 61, , 2, , , 10
2025/1/25, 71, , 2, , , 12
2025/1/26, 86, , 2, , , 10
2025/1/27, 67, , 2, , , 11
2025/1/28, 76, , 2, , , 11
2025/1/29, 68, , 1, , , 9
2025/1/30, 63, , 2, , , 12
2025/1/31, 51, , , , , 
2025/2/1, 50, , , , , 
2025/2/2, 64, , , , , 
2025/2/3, 57, , , , , 
