date, pm25, pm10, o3, no2, so2, co
2025/8/21, 44, 27, 113, 2, 2, 2
2025/7/29, 68, 48, 19, , 6, 2
2025/4/8, 59, 25, 43, , 5, 13
2025/4/9, 48, 52, 49, 2, 9, 14
2025/3/5, 46, 164, 33, 14, 6, 14
2025/3/13, 80, 70, 36, 15, 5, 3
2024/7/2, 41, 55, 4, 10, 3, 
2024/7/3, 61, 58, 5, 11, 3, 
2024/7/4, 68, 50, 9, 11, 3, 
2024/7/5, 67, 59, 6, 12, 2, 
2024/7/6, 77, 57, 5, 12, 3, 
2024/7/7, 73, 49, 10, 9, 3, 
2024/7/8, 70, 55, 9, 15, 3, 
2024/7/9, 74, 42, 22, 13, 3, 
2024/7/10, 58, 35, 13, 11, 3, 
2024/7/11, 48, 46, 12, 12, 2, 
2024/7/12, 57, 47, 10, 12, 3, 
2024/7/13, 62, , , , , 
2024/7/16, 75, 60, 24, 11, 6, 
2024/7/17, 74, 48, 22, 14, 4, 
2024/7/18, 68, 39, 17, 13, 3, 
2024/7/19, 59, 56, 21, 14, 5, 
2024/7/20, 70, 66, 21, 11, 5, 
2024/7/21, 75, 37, 22, 8, 7, 
2024/7/22, 57, 48, 20, 13, 11, 
2024/7/23, 56, 53, 26, 12, 11, 
2024/7/24, 60, 29, 19, 11, 3, 
2024/7/25, 39, 38, 19, 19, 4, 
2024/7/26, 60, 51, 24, 20, 7, 
2024/7/27, 63, 49, 29, 13, 10, 
2024/7/28, 62, 37, 22, 10, 5, 
2024/7/29, 47, 47, 20, 11, 6, 
2024/7/30, 60, 51, 21, 11, 6, 
2024/7/31, 59, 74, 25, 12, 7, 
2024/8/1, 102, 79, 20, 12, 13, 
2024/8/2, 103, 64, 21, 12, 13, 
2024/8/3, 80, 52, 24, 12, 8, 
2024/8/4, 73, 49, 27, 9, 5, 
2024/8/5, 82, 50, 20, 11, 7, 
2024/8/6, 53, 50, 23, 12, 6, 11
2024/8/7, 61, 50, 37, 14, 4, 9
2024/8/8, 50, 65, 54, 21, 6, 11
2024/8/9, 90, 49, 16, 13, 5, 13
2024/8/10, 59, , , , , 
2024/8/19, 33, 37, 16, 11, 5, 15
2024/8/20, 50, 45, 27, 16, 7, 16
2024/8/21, 54, 53, 31, 18, 9, 15
