date, pm25, pm10, o3, no2, so2, co
2025/8/2, 45, 31, 32, 6, 11, 5
2025/8/3, 40, 28, 31, 3, 9, 4
2025/8/4, 41, 30, 34, 3, 14, 4
2025/8/5, 76, 29, 30, 3, 17, 4
2025/8/6, 42, 21, 10, 3, 13, 4
2025/8/7, 20, , , , , 
2025/8/10, 9, 36, 33, 3, 17, 4
2025/8/11, 48, 30, 30, 3, 13, 4
2025/8/12, 41, 27, 28, 2, 8, 4
2025/8/13, 66, 26, 36, 3, 7, 3
2025/8/14, 33, 37, 30, 3, 18, 2
2025/8/15, 60, 30, 25, 2, 17, 3
2025/8/16, 52, 33, 34, 3, 13, 3
2025/8/17, 58, 45, 27, 2, 12, 3
2025/8/18, 77, 22, 28, 3, 18, 3
2025/8/19, 45, 26, 35, 3, 15, 3
2025/8/20, 63, 24, 47, 6, 5, 4
2025/8/21, 39, 36, 48, 11, 5, 5
2025/8/22, 45, 29, 42, 7, 9, 4
2025/8/23, 55, 25, 45, 8, 6, 5
2025/8/24, 42, 20, 44, 6, 5, 4
2025/8/25, 38, 26, 44, 8, 11, 5
2025/8/26, 39, 33, 26, 4, 7, 5
2025/8/27, 51, 27, 28, 2, 6, 4
2025/8/28, 48, 27, 31, 4, 9, 4
2025/8/29, 50, 25, 15, 4, 5, 5
2025/8/30, 21, , , , , 
2025/7/2, 27, 29, 17, 4, 8, 14
2025/7/3, 52, 35, 38, 5, 9, 14
2025/7/4, 47, 44, 49, 9, 7, 14
2025/7/5, 81, 48, 24, 5, 10, 14
2025/7/6, 81, 38, 11, 4, 8, 13
2025/7/7, 61, 35, 23, 5, 9, 14
2025/7/8, 54, 31, 21, 4, 7, 10
2025/7/9, 56, 26, 26, 3, 4, 7
2025/7/10, 54, 29, 27, 2, 4, 7
2025/7/11, 54, 30, 30, 3, 8, 7
2025/7/12, 51, 29, 31, 2, 6, 7
2025/7/13, 47, 29, 29, 4, 4, 8
2025/7/14, 51, 29, 28, 3, 7, 8
2025/7/15, 41, 31, 31, 2, 10, 7
2025/7/16, 58, 38, 41, 3, 11, 7
2025/7/17, 45, 50, 30, 3, 11, 8
2025/7/18, 95, 36, 30, 2, 5, 8
2025/7/19, 60, 30, 27, 2, 6, 7
2025/7/20, 41, 31, 36, 2, 7, 7
2025/7/21, 41, 38, 25, 3, 4, 8
2025/7/22, 53, 36, 22, 3, 8, 16
2025/7/23, 54, 29, 32, 2, 12, 4
2025/7/24, 47, 27, 39, 3, 14, 4
2025/7/25, 58, 28, 39, 3, 11, 4
2025/7/26, 55, 27, 27, 3, 11, 5
2025/7/27, 52, 23, 28, 4, 4, 5
2025/7/28, 42, 31, 22, 2, 4, 5
2025/7/29, 40, 33, 26, 2, 8, 4
2025/7/30, 47, 32, 32, 4, 12, 4
2025/7/31, 49, 28, 35, 4, 18, 4
2025/8/1, 43, 28, 28, 4, 13, 5
2025/4/2, 100, 59, 77, 11, 12, 10
2025/4/3, 102, 58, 59, 12, 8, 10
2025/4/4, 80, 52, 54, 8, 13, 9
2025/4/5, 66, 49, 43, 5, 6, 8
2025/4/6, 57, 40, 25, 3, 6, 7
2025/4/7, 22, 32, 50, 11, 7, 8
2025/4/8, 43, 46, 69, 18, 13, 8
2025/4/9, 58, 50, 68, 16, 23, 9
2025/4/10, 72, 58, 67, 19, 14, 9
2025/4/11, 87, 50, 48, 14, 16, 8
2025/4/12, 62, 43, 51, 7, 7, 7
2025/4/13, 57, 37, 46, 6, 17, 7
2025/4/14, 71, 38, 49, 8, 15, 8
2025/4/15, 62, 43, 38, 5, 24, 8
2025/4/16, 59, 44, 42, 4, 23, 8
2025/4/17, 60, 38, 41, 5, 14, 8
2025/4/18, 55, 43, 43, 3, 11, 8
2025/4/19, 70, 47, 35, 3, 25, 9
2025/4/20, 83, 62, 51, 5, 6, 8
2025/4/21, 56, 51, 50, 12, 16, 9
2025/4/22, 72, 38, 27, 4, 17, 9
2025/4/23, 59, 43, 31, 5, 35, 10
2025/4/25, 74, 46, 27, 5, 32, 11
2025/4/26, 77, 48, 28, 5, 25, 12
2025/4/27, 79, 41, 34, 6, 49, 10
2025/4/28, 66, 43, 39, 4, 16, 10
2025/4/29, 60, 40, 26, 7, 10, 12
2025/4/30, 49, 47, 43, 7, 10, 11
2025/5/1, 67, 41, 30, 6, 15, 12
2025/5/2, 67, 41, 34, 7, 6, 13
2025/5/3, 78, 30, 25, 10, 5, 12
2025/5/4, 29, 24, 24, 7, 9, 12
2025/5/5, 38, 34, 32, 5, 12, 12
2025/5/6, 60, 45, 64, 7, 18, 12
2025/5/7, 85, 43, 43, 7, 8, 12
2025/5/8, 57, 29, 40, 5, 12, 12
2025/5/9, 60, 27, 45, 12, 6, 13
2025/5/10, 40, 48, 51, 20, 6, 13
2025/5/11, 60, 46, 64, 17, 7, 13
2025/5/12, 72, 50, 72, 18, 13, 13
2025/5/13, 71, 54, 92, 15, 9, 13
2025/5/14, 79, 53, 66, 12, 14, 13
2025/5/15, 87, 53, 90, 8, 16, 13
2025/5/16, 90, 60, 41, 12, 20, 15
2025/5/17, 103, 49, 35, 7, 9, 14
2025/5/18, 78, 48, 31, 5, 9, 14
2025/5/19, 90, 48, 53, 8, 22, 14
2025/5/20, 83, 47, 27, 7, 10, 14
2025/5/21, 70, 46, 32, 7, 6, 14
2025/5/22, 88, 35, 44, 9, 15, 14
2025/5/23, 49, 38, 32, 5, 10, 14
2025/5/24, 62, 32, 32, 5, 10, 13
2025/5/25, 43, 27, 31, 6, 17, 14
2025/5/26, 49, 49, 52, 11, 11, 15
2025/5/27, 83, 51, 29, 9, 9, 15
2025/5/28, 85, 34, 33, 5, 6, 14
2025/5/29, 57, 37, 38, 8, 9, 14
2025/5/30, 57, 31, 14, 9, 6, 15
2025/5/31, 46, 35, 31, 13, 7, 16
2025/6/1, 60, 34, 35, 7, 8, 14
2025/6/2, 55, 43, 27, 4, 11, 14
2025/6/3, 77, 18, 32, 6, 15, 15
2025/6/4, 49, 19, 26, 4, 7, 16
2025/6/5, 56, 27, 25, 3, 14, 13
2025/6/6, 51, 26, 27, 3, 10, 12
2025/6/7, 41, 31, 28, 4, 7, 13
2025/6/8, 51, 33, 29, 3, 7, 13
2025/6/9, 55, 38, 26, 4, 8, 13
