date, pm25, pm10, o3, no2, so2, co
2025/8/2, 38, 36, 39, 10, 4, 8
2025/8/3, 59, 35, 42, 6, 4, 6
2025/8/4, 47, 37, 46, 5, 4, 6
2025/8/5, 45, 32, 39, 5, 4, 6
2025/8/6, 52, 23, 10, 6, 2, 7
2025/8/7, 45, , , , , 
2025/8/10, 69, 39, 40, 5, 1, 9
2025/8/11, 70, 36, 37, 6, , 8
2025/8/12, 43, 33, 36, 6, 1, 8
2025/8/13, 55, 33, 46, 6, 1, 8
2025/8/14, 58, 44, 40, 6, , 8
2025/8/15, 65, 36, 36, 5, , 8
2025/8/16, 69, 40, 61, 5, 1, 8
2025/8/17, 73, 51, 37, 4, 1, 8
2025/8/19, 47, 39, 40, 5, , 8
2025/8/20, 50, 33, 40, 11, , 8
2025/8/21, 53, 44, 46, 13, , 9
2025/8/22, 68, 33, 50, 9, , 8
2025/8/23, 60, 34, 49, 13, , 10
2025/8/24, 66, 26, 54, 8, , 9
2025/8/25, 62, 34, 65, 13, 1, 10
2025/8/26, 68, 44, 35, 11, , 9
2025/8/27, 71, 36, 39, 5, , 8
2025/8/28, 59, 36, 42, 8, , 8
2025/8/29, 54, 29, 11, 6, , 8
2025/8/30, 59, , , , , 
2025/7/2, 22, 27, 19, 8, 2, 6
2025/7/3, 31, 36, 45, 6, 3, 6
2025/7/4, 65, 46, 77, 13, 3, 8
2025/7/8, 60, 35, 36, 5, 3, 6
2025/7/9, 50, 32, 33, 6, 3, 6
2025/7/10, 37, 34, 47, 5, 3, 6
2025/7/11, 50, 35, 50, 5, 3, 6
2025/7/12, 50, 36, 53, 5, 3, 6
2025/7/13, 55, 39, 45, 5, 3, 6
2025/7/16, 59, 56, 33, 6, 4, 6
2025/7/17, 63, 61, 46, 6, 6, 6
2025/7/18, 93, 41, 42, 5, 4, 6
2025/7/19, 75, 39, 43, 5, 3, 6
2025/7/20, 60, 35, 49, 4, 4, 5
2025/7/21, 60, 41, 45, 6, 4, 6
2025/7/22, 55, 45, 60, 10, 5, 7
2025/7/23, 69, 37, 49, 5, 4, 6
2025/7/24, 60, 35, 65, 7, 5, 6
2025/7/25, 53, 36, 53, 5, 4, 6
2025/7/26, 46, 29, 38, 7, 4, 7
2025/7/27, 59, 26, 32, 5, 3, 6
2025/7/28, 52, 34, 28, 4, 3, 6
2025/7/29, 46, 41, 36, 5, 3, 5
2025/7/30, 52, 40, 41, 9, 5, 6
2025/7/31, 50, 35, 43, 7, 4, 6
2025/8/1, 46, 35, 42, 8, 6, 6
2025/4/2, 80, 57, 78, 13, 5, 7
2025/4/3, 78, 59, 64, 14, , 8
2025/4/4, 72, 52, 77, 10, , 6
2025/4/5, 65, 53, 37, 4, , 4
2025/4/6, 47, 43, 30, 2, , 4
2025/4/7, 24, 38, 44, 12, , 4
2025/4/8, 45, 49, 64, 18, , 6
2025/4/9, 56, 46, 75, 15, , 5
2025/4/10, 52, 59, 61, 18, , 7
2025/4/11, 66, 49, 48, 12, 12, 6
2025/4/12, 48, 46, 51, 11, 13, 6
2025/4/13, 52, 41, 59, 9, 14, 6
2025/4/14, 71, 32, 63, 9, 16, 6
2025/4/15, 59, 29, 40, 6, 15, 6
