date, pm25, pm10, o3, no2, so2, co
2025/8/2, 48, , 33, 4, 8, 9
2025/8/3, 61, , 36, 2, 8, 7
2025/8/4, 57, , 36, 2, 10, 7
2025/8/5, 47, , 35, 2, 10, 7
2025/8/6, 52, , 16, 2, 7, 7
2025/8/7, 39, , , , , 
2025/8/10, 64, 35, 35, 2, 10, 8
2025/8/11, 72, 31, 31, 4, 8, 8
2025/8/12, 57, 29, 31, 3, 9, 8
2025/8/13, 50, 30, 38, 2, 6, 8
2025/8/14, 59, 40, 34, 2, 11, 8
2025/8/15, 68, 34, 39, 2, 8, 7
2025/8/16, 69, 38, 41, 5, 8, 5
2025/8/17, 70, 50, 33, 3, 5, 4
2025/8/18, 71, 26, 33, 5, 10, 5
2025/8/19, 35, 29, 44, 4, 4, 5
2025/8/20, 35, 29, 56, 11, 3, 6
2025/8/21, 39, 41, 58, 15, 3, 7
2025/8/22, 57, 31, 53, 11, 5, 6
2025/8/23, 49, 30, 52, 13, 2, 7
2025/8/24, 50, 24, 53, 9, 1, 7
2025/8/25, 45, 33, 50, 14, 3, 9
2025/8/26, 52, 36, 33, 8, 2, 6
2025/8/27, 60, 31, 35, 6, 2, 6
2025/8/28, 48, 29, 44, 6, 5, 5
2025/8/29, 46, 28, 13, , , 
2025/8/30, 26, , , , , 
2025/7/2, 27, 24, 80, 1, 5, 
2025/7/3, 57, 32, , 1, 5, 
2025/7/4, 69, 43, , 2, 5, 
2025/7/5, 74, 49, , 1, 5, 
2025/7/6, 94, 37, , , 5, 
2025/7/7, 74, 32, , 1, 7, 
2025/7/8, 68, 27, , 1, 6, 
2025/7/9, 59, 27, , 1, 6, 
2025/7/10, 46, 34, , 1, 6, 
2025/7/11, 62, 34, , 1, 7, 
2025/7/12, 67, 36, , 1, 7, 
2025/7/13, 75, 34, , , 6, 
2025/7/14, 75, 30, 18, , 7, 
2025/7/15, 62, 32, 35, , 8, 
2025/7/16, 66, 40, 42, , 9, 
2025/7/17, 74, 56, 35, , 9, 
2025/7/18, 108, 45, 30, , 6, 
2025/7/19, 83, 35, 32, , 6, 
2025/7/20, 66, 36, 39, , 7, 
2025/7/21, 64, 44, 31, , 8, 
2025/7/22, 67, 43, 40, , 11, 
2025/7/23, 75, 34, 38, , 7, 
2025/7/24, 63, 30, 44, , 16, 
2025/7/25, 55, 31, 41, , 7, 
2025/7/26, 54, 27, 34, , 12, 
2025/7/27, 64, 24, 30, , 6, 
2025/7/28, 50, 33, 24, , 6, 
2025/7/29, 56, 38, 31, , 7, 7
2025/7/30, 60, 37, 35, , 9, 7
2025/7/31, 57, 26, 38, , 15, 7
2025/8/1, 48, , 34, 2, 11, 8
2025/4/2, 99, 55, 75, 6, 9, 7
2025/4/3, 88, 57, 66, 6, 7, 7
2025/4/4, 81, 49, 60, 4, 10, 6
2025/4/5, 77, 45, 46, 2, 5, 5
2025/4/6, 56, 40, 29, 1, 5, 5
2025/4/7, 27, 29, 48, 5, 7, 5
2025/4/8, 41, 45, 61, 11, 9, 7
2025/4/9, 67, 42, 67, 8, 15, 7
2025/4/10, 60, 50, 61, 11, 8, 7
2025/4/11, 74, 40, 48, 6, 9, 6
2025/4/12, 54, 42, 49, 6, 7, 6
2025/4/13, 53, 53, 51, 3, 12, 6
2025/4/14, 56, 41, 50, 4, 13, 6
2025/4/15, 62, 45, 42, 3, 22, 6
2025/4/16, 73, 42, 39, 3, 16, 6
2025/4/17, 62, 34, 41, 3, 6, 6
2025/4/18, 60, 39, 49, 3, 10, 6
2025/4/19, 76, 42, 39, 2, 20, 7
2025/4/20, 89, 51, 47, 3, 5, 6
2025/4/21, 70, 65, 47, 7, 10, 7
2025/4/22, 67, 39, 29, 2, 11, 8
2025/4/23, 62, 31, 31, 2, 16, 7
2025/4/24, 69, 29, 31, 2, 12, 6
2025/4/25, 69, 37, 30, 2, 17, 6
2025/4/26, 82, 39, 28, 2, 11, 7
2025/4/27, 84, 30, 38, 2, 31, 6
2025/4/28, 67, 38, 36, 3, 11, 6
2025/4/29, 71, 33, 28, 4, 8, 7
2025/4/30, 61, 37, 42, 4, 7, 6
2025/5/1, 65, 35, 34, 3, 15, 6
2025/5/2, 73, 35, 35, 4, 5, 7
2025/5/3, 79, 21, 28, 4, 5, 6
2025/5/4, 37, 16, 26, 3, 6, 7
2025/5/5, 40, 29, 33, 3, 8, 6
2025/5/6, 64, 41, 62, 4, 9, 7
2025/5/7, 82, 35, 46, 3, 5, 7
2025/5/8, 70, 24, 26, 2, 5, 7
2025/5/9, 61, 26, 36, 9, 5, 12
2025/5/10, 42, 48, 51, 7, 5, 12
2025/5/11, 73, 50, 64, 8, 6, 11
2025/5/12, 81, 51, 71, 12, 9, 10
2025/5/13, 77, 53, 93, 11, 9, 10
2025/5/14, 74, 56, 69, 8, 12, 9
2025/5/15, 88, 57, 84, 5, 12, 9
2025/5/16, 110, 63, 48, 7, 18, 11
2025/5/17, 127, 53, 35, 5, 7, 9
2025/5/18, 117, 43, 34, 3, 7, 8
2025/5/19, 108, 48, 60, 5, 14, 9
2025/5/20, 99, 48, 30, 4, 6, 9
2025/5/21, 94, 42, 29, 4, 5, 9
2025/5/22, 91, 27, 52, 4, 11, 8
2025/5/23, 57, 34, 35, 2, 7, 8
2025/5/24, 77, 34, 40, 3, 8, 7
2025/5/25, 70, 33, 37, 3, 10, 
2025/5/26, 70, 50, 48, 5, 10, 
2025/5/27, 82, 47, 33, 4, 7, 
2025/5/28, 93, 32, 31, 3, 4, 
2025/5/29, 73, 33, 45, 4, 10, 
2025/5/30, 66, 25, 17, 4, 5, 
2025/5/31, 61, 32, 32, 5, 6, 
2025/6/1, 62, 33, 35, 4, 5, 
2025/6/2, 60, 51, 29, 2, 5, 
2025/6/3, 88, 41, 41, 2, 7, 
2025/6/4, 81, 37, 29, 2, 5, 
2025/6/5, 77, 34, 29, 2, 7, 
2025/6/6, 61, 30, 30, 1, 11, 
2025/6/7, 54, 35, 31, 2, 6, 
2025/6/8, 63, 40, 21, 2, 6, 
2025/6/9, 62, 35, 33, 2, 10, 
2025/6/10, 65, 40, 30, 1, 5, 
2025/6/11, 83, 22, 37, 2, 6, 
2025/6/12, 42, 36, 48, 2, 8, 
2025/6/13, 73, 33, 36, 2, 8, 
2025/6/14, 64, 36, 29, 1, 6, 
2025/6/15, 72, 25, 31, 1, 8, 
2025/6/16, 60, 26, 37, 1, 8, 
2025/6/17, 51, 28, 30, 1, 6, 
2025/6/18, 38, 29, 29, 1, 6, 
2025/6/19, 39, 26, 28, 1, 6, 
2025/6/20, 36, 19, 23, 1, 7, 
2025/6/21, 29, 14, 24, , 6, 
2025/6/22, 25, 16, 23, , 5, 
2025/6/23, 31, 26, 25, 1, 5, 
2025/6/24, 40, 23, 25, , 7, 
2025/6/25, 42, 24, 28, 1, 5, 
2025/6/26, 40, 23, 32, 1, 7, 
2025/6/27, 41, 21, 28, 1, 6, 
2025/6/28, 39, 20, 27, , 8, 
2025/6/29, 43, 18, 27, , 12, 
2025/6/30, 31, 13, 21, , 5, 
2025/7/1, 28, 12, 38, 1, 5, 
2025/1/2, 77, 51, 29, 4, 8, 20
2025/1/3, 92, 74, 24, 6, 8, 24
2025/1/4, 123, 52, 28, 3, 6, 21
2025/1/5, 85, 59, 38, 5, 8, 24
2025/1/6, 85, 41, 28, 3, 7, 19
2025/1/7, 33, 34, 34, 4, 9, 19
2025/1/8, 36, 14, 27, 3, 7, 19
2025/1/9, 39, 21, 21, 3, 10, 20
2025/1/10, 54, 23, 25, 3, 6, 19
2025/1/11, 41, 44, 29, 5, 6, 21
2025/1/12, 68, 56, 33, 5, 7, 23
2025/1/13, 70, 48, 35, 5, 11, 21
2025/1/14, 48, 41, 20, 5, 6, 21
2025/1/15, 51, , , , , 
2025/1/20, 57, 33, 33, 2, 7, 22
2025/1/21, 37, 25, 28, 2, 5, 22
2025/1/22, 29, 42, 33, 4, 8, 23
2025/1/23, 70, 57, 35, 6, 7, 25
2025/1/24, 88, 62, 42, 6, 8, 25
2025/1/25, 85, 83, 37, 8, 12, 27
2025/1/26, 104, 62, 49, 5, 10, 29
2025/1/27, 95, 50, 21, 4, 8, 26
2025/1/28, 63, 26, 12, 2, 8, 24
2025/1/29, 43, 42, 24, 4, 10, 26
2025/1/30, 76, 67, 28, 5, 12, 30
2025/1/31, 108, 80, 39, 7, 13, 28
2025/2/1, 102, 93, 37, 7, 16, 30
2025/2/2, 98, 78, 51, 6, 13, 29
2025/2/3, 115, 66, 58, 5, 14, 28
2025/2/4, 99, 49, 27, 3, 10, 26
2025/2/5, 68, 50, 40, 2, 12, 25
2025/2/6, 86, 69, 43, 4, 20, 27
2025/2/7, 94, 65, 40, 3, 21, 26
2025/2/8, 96, 69, 46, 3, 25, 26
2025/2/9, 105, 53, 34, 2, 18, 26
2025/2/10, 86, 51, 22, 2, 15, 25
2025/2/11, 83, 51, 30, 2, 15, 26
2025/2/12, 86, 75, 39, 5, 8, 29
2025/2/13, 102, 36, 17, 2, 6, 24
2025/2/14, 51, 36, 16, 3, 6, 25
2025/2/15, 80, 70, 24, 5, 10, 28
2025/2/16, 117, 68, 40, 4, 14, 29
2025/2/17, 87, 46, 31, 3, 13, 25
2025/2/18, 66, 82, 49, 7, 15, 30
2025/2/19, 122, 58, 19, 3, 8, 26
2025/2/20, 66, 35, 29, 1, 10, 23
2025/2/21, 50, 33, 28, 3, 11, 14
2025/2/22, 76, 28, 21, 2, 7, 3
2025/2/23, 62, 38, 39, 3, 12, 4
2025/2/24, 80, 70, 70, 6, 15, 9
2025/2/25, 115, 73, 53, 5, 14, 9
2025/2/26, 97, 60, 63, 4, 16, 6
2025/2/27, 95, 52, 36, 3, 8, 5
2025/2/28, 63, 47, 33, 4, 7, 5
2025/3/1, 76, 70, 43, 4, 14, 10
2025/3/2, 106, 39, 28, 2, 7, 4
2025/3/3, 62, 48, 33, 2, 6, 5
2025/3/4, 78, 96, 23, 7, 6, 5
2025/3/5, 119, 99, 42, 8, 8, 3
