date, pm25, pm10, o3, no2, so2, co
2025/8/23, 48, 18, 43, 11, 4, 5
2025/8/24, 45, 16, 53, 15, 4, 7
2025/8/25, 34, 11, 58, 10, 4, 5
2025/8/26, 51, 16, 61, 15, 5, 6
2025/8/27, 58, 23, 39, 11, 4, 6
2025/8/28, 49, 22, 39, 7, 4, 5
2025/8/29, 46, 23, 52, 10, 5, 5
2025/8/30, 53, 23, 7, 11, 5, 6
2024/4/2, 97, 65, 45, 5, 5, 22
2024/4/3, 88, 32, 48, 7, 6, 22
2024/4/4, 59, 40, 53, 14, 9, 24
2024/4/5, 72, 42, 50, 17, 8, 24
2024/4/6, 77, 48, 85, 16, 10, 28
2024/4/7, 109, 32, 15, 16, 12, 36
2024/1/2, 131, 31, 17, 15, 5, 20
2024/1/3, 74, 32, 32, 12, 5, 16
2024/1/4, 66, 27, 22, 13, 5, 19
2024/1/5, 66, 31, 34, 13, 4, 15
2024/1/6, 52, 76, 38, 26, 8, 23
2024/1/7, 111, 42, 27, 17, 7, 21
2024/1/8, 71, 55, 32, 18, 7, 20
2024/1/9, 73, 73, 29, 17, 6, 15
2024/1/10, 57, 101, 21, 36, 7, 24
2024/1/11, 115, 86, 27, 37, 7, 27
2024/1/12, 107, 145, 29, 14, 6, 16
2024/1/13, 93, 81, 34, 22, 9, 20
2024/1/14, 81, 79, 42, 22, 8, 22
2024/1/15, 105, 51, 11, 17, 6, 20
2024/1/16, 70, 10, 13, 7, 3, 14
2024/1/17, 38, , , , , 
2024/2/1, 78, 43, 40, 18, 6, 22
2024/2/2, 69, 67, 52, 25, 8, 25
2024/2/3, 110, 51, 33, 12, 4, 18
2024/2/4, 54, 44, 36, 18, 6, 19
2024/2/5, 69, 26, 38, 7, 4, 16
2024/2/6, 62, 31, 40, 17, 6, 20
2024/2/7, 58, 45, 35, 25, 7, 26
2024/2/8, 80, 59, 39, 22, 7, 25
2024/2/9, 91, 49, 60, 21, 8, 22
2024/2/10, 86, 57, 35, 22, 9, 25
2024/2/11, 99, 50, 39, 13, 5, 23
2024/2/12, 102, 31, 34, 10, 5, 19
2024/2/13, 69, 31, 34, 11, 7, 20
2024/2/14, 59, 43, 30, 21, 5, 23
2024/2/15, 80, 57, 10, 30, 5, 28
2024/2/16, 110, 14, 16, 17, 4, 22
2024/2/17, 46, 9, 20, 12, 3, 21
2024/2/18, 34, 24, 27, 9, 4, 20
2024/2/19, 51, 52, 45, 25, 7, 28
2024/2/20, 95, 59, 61, 24, 9, 25
2024/2/21, 109, 62, 61, 26, 7, 26
2024/2/22, 107, 56, 48, 16, 6, 21
2024/2/23, 100, 47, 45, 15, 7, 21
2024/2/24, 72, 35, 44, 15, 7, 22
2024/2/25, 63, 46, 95, 19, 8, 23
2024/2/26, 64, 66, 101, 26, 10, 26
2024/2/27, 102, 66, 54, 26, 7, 22
2024/2/28, 104, 84, 43, 19, 6, 20
2024/2/29, 105, 59, 35, 14, 9, 21
2024/3/1, 84, 66, 45, 25, 8, 25
2024/3/2, 94, , , , , 
2024/3/22, 148, 48, 42, 17, 7, 25
2024/3/23, 85, 27, 44, 9, 6, 24
2024/3/24, 56, 36, 57, 11, 9, 26
2024/3/25, 68, 56, 44, 12, 7, 25
2024/3/26, 114, 43, 47, 10, 5, 23
2024/3/27, 77, 51, 55, 8, 6, 24
2024/3/28, 96, 40, 44, 8, 5, 25
2024/3/29, 82, 35, 57, 12, 7, 25
2024/3/30, 74, 41, 74, 11, 9, 26
2024/3/31, 81, 45, 70, 10, 8, 27
2024/4/1, 86, 68, 52, 26, 14, 32
2023/10/2, 42, 28, 22, 17, 3, 6
2023/10/3, 35, 27, 35, 11, 4, 7
2023/10/4, 47, 25, 39, 9, 3, 7
2023/10/5, 49, 28, 26, 10, 3, 7
2023/10/6, 45, 14, 29, 12, 3, 7
2023/10/7, 36, 14, 35, 10, 3, 7
2023/10/8, 36, 17, 24, 18, 3, 10
2023/10/9, 54, 38, 28, 29, 7, 14
2023/10/10, 90, 37, 26, 31, 5, 16
2023/10/11, 96, 25, 49, 15, 4, 11
2023/10/12, 74, 40, 76, 18, 7, 11
2023/10/13, 68, 50, 64, 17, 5, 10
2023/10/14, 71, 20, 20, 16, 3, 10
2023/10/15, 49, 35, 38, 16, 4, 9
2023/10/16, 57, 32, 43, 15, 4, 9
2023/10/17, 40, 53, 49, 23, 6, 13
2023/10/18, 64, 68, 59, 33, 7, 14
2023/10/19, 84, 64, 46, 34, 6, 12
2023/10/20, 89, 62, 78, 29, 8, 13
2023/10/21, 77, 68, 56, 28, 8, 14
2023/10/22, 88, 33, 39, 9, 5, 9
2023/10/23, 69, 36, 27, 11, 6, 10
2023/10/24, 72, 38, 39, 10, 6, 10
2023/10/25, 82, 32, 28, 8, 4, 10
2023/10/26, 73, 26, 29, 11, 3, 10
2023/10/27, 63, 20, 20, 7, 3, 10
2023/10/28, 48, 20, 30, 8, 3, 10
2023/10/29, 44, 22, 26, 11, 4, 10
2023/10/30, 56, 17, 16, 8, 3, 8
2023/10/31, 25, 20, 19, 13, 3, 9
2023/11/1, 50, 16, 39, 10, 4, 7
2023/11/2, 40, 33, 39, 22, 5, 12
2023/11/3, 66, 42, 39, 22, 4, 14
2023/11/4, 69, 51, 44, 21, 5, 16
2023/11/5, 86, 46, 46, 17, 10, 15
2023/11/6, 83, 50, 50, 23, 6, 15
