date, pm25, pm10, o3, no2, so2, co
2025/8/2, 37, 23, 39, 12, 3, 6
2025/8/3, 42, 22, 45, 8, 4, 5
2025/8/4, 40, 27, 47, 9, 4, 5
2025/8/5, 37, 23, 40, 8, 4, 5
2025/8/6, 42, 23, 6, 10, 3, 5
2025/8/7, 36, , , , , 
2025/8/10, 46, 37, 43, 7, 4, 5
2025/8/11, 55, 46, 48, 12, 3, 7
2025/8/12, 48, 40, 37, 8, 3, 6
2025/8/13, 41, 39, 45, 8, 3, 6
2025/8/14, 45, 45, 39, 10, 4, 6
2025/8/15, 49, 45, 33, 7, 3, 6
2025/8/16, 54, 49, 57, 8, 3, 6
2025/8/17, 56, 48, 41, 10, 5, 7
2025/8/18, 70, 21, 35, 8, 4, 3
2025/8/19, 25, 30, 47, 8, 3, 
2025/8/22, 58, 35, 53, 12, 2, 2
2025/8/23, 59, 25, 55, , , 
2025/8/24, 49, 23, 60, , , 
2025/8/25, 39, 25, 57, 7, , 6
2025/8/26, 53, 35, 51, 12, 1, 10
2025/7/2, 25, 24, 19, 14, 4, 15
2025/7/3, 52, 34, 51, 15, 6, 15
2025/7/4, 67, 43, 78, 17, 3, 16
2025/7/5, 81, 49, 44, 20, 3, 13
2025/7/10, 32, 34, 49, 11, 4, 8
2025/7/11, 53, 34, 45, 8, 3, 9
2025/7/12, 44, 35, 44, 7, 2, 10
2025/7/13, 56, 34, 44, 8, 2, 11
2025/7/14, 58, 32, 41, 6, 2, 8
2025/7/15, 49, 33, 48, 7, 2, 5
2025/7/16, 52, 37, 56, 9, 3, 5
2025/7/17, 53, 52, 57, 10, 4, 6
2025/7/18, 83, 36, 37, 7, 3, 6
2025/7/19, 59, 36, 44, 7, 3, 5
2025/7/20, 49, 29, 56, 6, 3, 6
2025/7/21, 46, 36, 51, 8, 3, 6
2025/7/22, 47, 42, 53, 9, 2, 7
2025/7/23, 53, 24, 60, 8, 2, 6
2025/7/24, 54, 20, 65, 10, 3, 6
2025/7/25, 44, 22, 64, 8, 3, 6
2025/7/26, 38, 29, 35, 9, 2, 7
2025/7/27, 53, 31, 29, 8, 2, 6
2025/7/28, 41, 33, 26, 6, 3, 5
2025/7/29, 37, 37, 33, 7, 2, 5
2025/7/30, 45, 27, 40, 11, 5, 5
2025/7/31, 41, 36, 40, 9, 4, 5
2025/8/1, 39, 22, 41, 9, 4, 5
2025/4/2, 117, 47, 82, 18, 7, 15
2025/4/3, 105, 47, 70, 22, 8, 15
2025/4/4, 94, 49, 70, 19, 8, 15
2025/4/5, 87, 46, 43, 11, 7, 14
2025/4/6, 69, 25, 28, 6, 6, 12
2025/4/7, 36, 29, 44, 13, 6, 12
2025/4/8, 60, 32, 69, 15, 7, 12
2025/4/9, 20, 45, 83, 23, 7, 14
2025/4/10, 58, 45, 69, 23, 8, 13
2025/4/11, 44, 44, 54, 18, 8, 14
2025/4/12, 77, 36, 53, 15, 7, 13
2025/4/13, 64, 36, 69, 14, 7, 13
2025/4/14, 71, 38, 57, 17, 7, 14
2025/4/15, 81, 43, 44, 11, 6, 14
2025/4/16, 92, 31, 44, 6, 6, 13
2025/4/17, 77, 38, 56, 11, 6, 14
2025/4/18, 91, 38, 65, 9, 6, 14
2025/4/19, 97, 42, 43, 6, 6, 14
2025/4/20, 118, 53, 48, 6, 6, 12
2025/4/21, 93, 43, 58, 13, 6, 13
2025/4/22, 76, 36, 29, 7, 6, 14
2025/4/23, 85, 40, 29, 9, 6, 15
2025/4/24, 100, 39, 31, 10, 6, 15
2025/4/25, 93, 39, 26, 6, 6, 15
2025/4/26, 96, 32, 27, 6, 5, 15
2025/4/27, 93, 36, 43, 8, 6, 15
2025/4/28, 87, 38, 40, 7, 6, 15
2025/4/29, 97, 34, 30, 10, 8, 15
2025/4/30, 84, 38, 64, 11, 7, 16
2025/5/1, 82, 40, 40, 9, 9, 16
2025/5/2, 76, 37, 49, 10, 6, 16
2025/5/3, 78, 24, 21, 9, 4, 13
2025/5/4, 40, 11, 25, 8, 2, 7
2025/5/5, 30, 21, 32, 6, 2, 8
2025/5/6, 58, 38, 68, 11, 4, 8
2025/5/7, 79, 39, 47, 11, 3, 8
2025/5/8, 71, 27, 31, 7, 2, 9
2025/5/9, 53, 23, 42, 12, 2, 8
2025/5/10, 44, 26, 47, 12, 3, 7
2025/5/11, 44, 23, 58, 9, 3, 6
2025/5/12, 43, 29, 92, 14, 5, 7
2025/5/13, 50, 43, 105, 24, 8, 10
2025/5/14, 68, 52, 105, 28, 8, 11
2025/5/15, 89, 50, 107, 19, 7, 11
2025/5/16, 104, 51, 75, 21, 6, 13
2025/5/17, 111, 52, 36, 14, 2, 12
2025/5/18, 115, 44, 55, 10, 2, 10
2025/5/19, 108, 47, 84, 14, 4, 11
2025/5/20, 98, 53, 30, 12, 2, 11
2025/5/21, 98, 47, 35, 10, 2, 11
2025/5/22, 96, 29, 64, 12, 5, 10
2025/5/23, 62, 35, 42, 7, 2, 11
2025/5/24, 80, 39, 60, 9, 3, 11
2025/5/25, 89, 33, 51, 7, 3, 10
2025/5/26, 77, 47, 67, 13, 3, 11
2025/5/27, 92, 44, 36, 10, 3, 11
2025/5/28, 101, 36, 32, 6, 2, 11
2025/5/29, 82, 32, 65, 9, 3, 12
2025/5/30, 77, 31, 24, 12, 2, 13
2025/5/31, 85, 25, 35, 11, 2, 12
2025/6/1, 58, 32, 49, 10, 2, 12
2025/6/2, 75, 45, 37, 9, 3, 12
2025/6/3, 69, 46, 59, 7, 3, 12
2025/6/4, 93, 39, 33, 9, 3, 13
2025/6/5, 92, 29, 30, 5, 3, 12
2025/6/6, 65, 29, 32, 5, 3, 12
2025/6/7, 62, 35, 55, 7, 3, 12
2025/6/8, 74, 34, 54, 9, 4, 11
2025/6/9, 65, 38, 52, 10, 4, 10
2025/6/10, 84, 37, 33, 5, 3, 18
2025/6/11, 89, 25, 45, 8, 3, 18
2025/6/12, 48, 31, 69, 9, 3, 18
2025/6/13, 73, 36, 47, 11, 3, 17
2025/6/14, 79, 33, 38, 5, 3, 15
2025/6/15, 81, 27, 33, 4, 3, 15
2025/6/16, 70, 27, 45, 9, 4, 15
2025/6/17, 57, 26, 37, 8, 5, 14
2025/6/18, 42, 28, 38, 8, 4, 14
2025/6/19, 38, 24, 28, 4, 3, 13
2025/6/20, 33, 18, 21, 4, 3, 14
2025/6/21, 24, 17, 21, 3, 3, 13
2025/6/22, 22, 17, 24, 2, 3, 13
2025/6/23, 28, 24, 23, 3, 3, 12
2025/6/24, 38, 24, 26, 5, 3, 13
2025/6/25, 42, 27, 32, 4, 3, 13
2025/6/26, 46, 26, 34, 5, 4, 13
2025/6/27, 46, 24, 32, 4, 3, 13
2025/6/28, 49, 23, 33, 3, 3, 13
2025/6/29, 44, 21, 25, 2, 3, 12
2025/6/30, 34, 17, 18, 5, 3, 13
2025/7/1, 22, 15, 14, 12, 3, 14
2025/1/2, 80, 53, 22, 22, 9, 26
2025/1/3, 125, 57, 23, 23, 7, 27
2025/1/4, 131, 48, 27, 21, 6, 26
2025/1/5, 108, 50, 31, 19, 6, 25
2025/1/6, 88, 39, 26, 11, 7, 21
2025/1/7, 36, 29, 30, 11, 8, 19
2025/1/8, 33, 24, 23, 17, 6, 21
2025/1/9, 53, 33, 11, 20, 7, 23
2025/1/10, 80, 32, 8, 20, 6, 22
2025/1/11, 73, 33, 22, 17, 6, 21
2025/1/12, 59, 48, 28, 20, 7, 24
2025/1/14, 53, 27, 22, 17, 7, 20
2025/1/15, 47, , , , , 
2025/1/21, 58, 28, 16, 14, 6, 21
2025/1/22, 46, 41, 24, 20, 7, 24
2025/1/23, 88, 48, 31, 23, 7, 26
2025/1/24, 78, 40, 39, 18, 7, 23
2025/1/25, 56, 52, 35, 32, 8, 27
2025/1/26, 100, 54, 49, 28, 9, 30
2025/1/27, 112, 53, 10, 25, 8, 28
2025/1/28, 82, 35, 5, 14, 7, 28
2025/1/29, 72, 48, 22, 25, 7, 32
2025/1/30, 106, 69, 25, 26, 10, 32
2025/1/31, 134, 61, 38, 24, 9, 29
2025/2/1, 87, 53, 37, 30, 12, 28
2025/2/2, 52, 63, 70, 28, 10, 30
2025/2/3, 76, 51, 76, 24, 12, 29
2025/2/5, 83, 60, 45, 19, 8, 33
2025/2/6, 106, 69, 69, 23, 14, 34
2025/2/7, 121, 72, 60, 30, 11, 34
2025/2/8, 117, 70, 72, 24, 10, 34
2025/2/9, 119, 67, 41, 19, 24, 33
2025/2/10, 119, 56, 19, 14, 11, 33
2025/2/11, 92, 64, 35, 17, 19, 34
2025/2/12, 113, 67, 42, 23, 10, 33
2025/2/13, 84, 48, 17, 14, 8, 32
2025/2/14, 68, 52, 5, 22, 7, 35
2025/2/15, 120, 93, 25, 31, 8, 38
2025/2/16, 125, 58, 40, 13, 9, 30
2025/2/17, 60, 52, 24, 24, 13, 32
2025/2/18, 71, 90, 45, 45, 13, 24
2025/2/19, 116, 64, 12, 21, 8, 5
2025/2/20, 71, 44, 22, 12, 7, 1
2025/2/21, 61, 49, 19, 20, 7, 3
2025/2/22, 110, 46, 9, 22, 7, 
2025/2/25, 84, 65, 55, 32, 10, 7
2025/2/26, 80, 62, 75, 32, 14, 10
2025/2/27, 110, 68, 35, 23, 10, 9
2025/2/28, 81, 45, 32, 18, 7, 9
2025/3/1, 72, 56, 54, 21, 8, 10
2025/3/2, 71, 44, 34, 14, 7, 9
2025/3/3, 73, 62, 40, 17, 7, 10
2025/3/4, 87, 62, 3, 19, 7, 11
2025/3/5, 121, 95, 36, 7, 8, 6
2025/3/6, 110, 111, 41, 20, 9, 8
2025/3/7, 115, 83, 54, 28, 10, 15
2025/3/8, 96, 66, 44, 21, 9, 13
2025/3/9, 71, 35, 43, 9, 7, 11
2025/3/10, 44, 27, 46, 14, 7, 13
2025/3/11, 30, 50, 87, 28, 11, 15
2025/3/12, 84, 51, 35, 24, 7, 13
2025/3/13, 59, 44, 59, 20, 9, 13
2025/3/14, 61, 54, 43, 20, 7, 9
2025/3/15, 85, 76, 50, 10, 6, 4
2025/3/16, 95, 95, 50, 8, 8, 5
2025/3/17, 78, 81, 44, 14, 10, 8
2025/3/18, 81, 59, 59, 18, 8, 9
2025/3/19, 65, 103, 37, 20, 7, 9
2025/3/20, 127, 71, 39, 6, 6, 7
2025/3/21, 59, 48, 48, 21, 9, 10
2025/3/22, 83, 56, 55, 21, 9, 13
2025/3/23, 79, 55, 63, 18, 8, 14
2025/3/24, 105, 46, 35, 15, 8, 14
2025/3/25, 87, 37, 31, 10, 7, 13
2025/3/26, 69, 34, 26, 11, 6, 15
2025/3/27, 69, 23, 9, 12, 6, 14
2025/3/28, 54, , , , , 
2025/4/1, 85, 48, 41, 11, 6, 15
2024/10/2, 50, 45, 60, 14, 7, 8
2024/10/3, 63, 49, 17, 23, 7, 8
2024/10/4, 76, 48, 37, 14, 5, 9
2024/10/5, 63, 39, 24, 16, 4, 10
2024/10/6, 55, 33, 35, 12, 4, 9
2024/10/7, 27, 38, 23, 20, 4, 11
2024/10/8, 55, 38, 62, 14, 8, 8
2024/10/9, 63, 37, 29, 11, 6, 7
2024/10/10, 64, 40, 39, 13, 8, 8
2024/10/11, 68, 46, 62, 22, 9, 9
2024/10/12, 76, 44, 65, 17, 8, 9
2024/10/13, 73, 40, 61, 16, 7, 8
2024/10/14, 72, 39, 42, 18, 6, 9
2024/10/15, 66, 45, 72, 24, 7, 9
2024/10/16, 71, 43, 32, 18, 6, 9
2024/10/17, 67, 26, 34, 8, 4, 8
