date, pm25, pm10, o3, no2, so2, co
2025/8/2, 54, 24, 51, 11, 4, 5
2025/8/3, 53, 23, 55, 8, 4, 4
2025/8/4, 46, 25, 52, 10, 4, 5
2025/8/5, 50, 21, 44, 9, 5, 5
2025/8/6, 52, 17, 9, 11, 7, 4
2025/8/7, 49, , , , , 
2025/8/10, 42, 27, 50, 7, 10, 5
2025/8/11, 69, 28, 55, 13, 14, 6
2025/8/12, 58, 24, 44, 10, 7, 6
2025/8/13, 55, 21, 47, 8, 2, 5
2025/8/14, 51, 30, 49, 11, 4, 6
2025/8/15, 64, 28, 39, 9, 8, 6
2025/8/16, 66, 26, 37, 10, 8, 6
2025/8/17, 69, 36, 42, 7, 8, 6
2025/8/18, 73, 20, 31, 8, 7, 6
2025/8/19, 42, 22, 43, 9, 6, 6
2025/8/20, 48, 22, 26, 14, 11, 7
2025/8/21, 50, 31, 51, 14, 3, 7
2025/8/22, 55, 27, 55, 11, 3, 7
2025/8/23, 63, 18, 49, 10, 2, 6
2025/8/24, 49, 19, 57, 9, 4, 5
2025/8/25, 48, 19, 48, 10, 5, 6
2025/8/26, 56, 30, 33, 13, 5, 6
2025/8/27, 67, 27, 32, 9, 5, 6
2025/8/28, 60, 28, 51, 12, 8, 6
2025/8/29, 50, 25, 6, 12, 5, 6
2025/8/30, 57, , , , , 
2025/7/2, 26, 23, 16, 8, 11, 16
2025/7/3, 53, 34, 40, 8, 8, 16
2025/7/4, 55, 31, 42, 9, 10, 16
2025/7/5, 47, 31, 39, 9, 10, 16
2025/7/6, 61, 34, 8, 7, 10, 15
2025/7/7, 60, 27, 25, 7, 13, 15
2025/7/8, 61, 24, 27, 6, 9, 15
2025/7/9, 55, 22, 22, 7, 9, 15
2025/7/10, 46, 26, 41, 7, 6, 15
2025/7/11, 49, 31, 42, 8, 5, 10
2025/7/12, 57, 29, 50, 9, 3, 5
2025/7/13, 56, 23, 46, 7, 2, 4
2025/7/14, 52, 22, 49, 8, 2, 4
2025/7/15, 59, 26, 57, 9, 2, 5
2025/7/16, 55, 32, 59, 12, 3, 5
2025/7/17, 60, 48, 63, 13, 5, 5
2025/7/18, 82, 34, 41, 10, 3, 5
2025/7/19, 74, 33, 33, 8, 3, 4
2025/7/20, 70, 19, 62, 5, 3, 3
2025/7/21, 36, 31, 61, 11, 3, 4
2025/7/22, 54, 35, 55, 10, 3, 4
2025/7/23, 59, 27, 69, 9, 2, 4
2025/7/24, 68, 24, 76, 12, 3, 4
2025/7/25, 53, 27, 74, 10, 3, 4
2025/7/26, 53, 24, 38, 12, 2, 5
2025/7/27, 60, 16, 28, 7, 2, 3
2025/7/28, 35, 24, 26, 7, 2, 3
2025/7/29, 51, 27, 36, 9, 2, 4
2025/7/30, 52, 29, 53, 12, 4, 4
2025/7/31, 51, 22, 47, 9, 3, 4
2025/8/1, 53, 24, 46, 11, 4, 5
2025/4/2, 62, 63, 84, 19, 7, 4
2025/4/3, 59, 61, 71, 22, 9, 5
2025/4/4, 53, 61, 75, 18, 9, 2
2025/4/5, 55, 51, 58, 13, 7, 1
2025/4/6, 45, 28, 36, 6, 6, 1
2025/4/7, 19, 36, 47, 14, 8, 3
2025/4/8, 30, 44, 71, 19, 8, 6
2025/4/9, 38, 56, 92, 24, 10, 8
2025/4/10, 48, 63, 80, 29, 11, 9
2025/4/11, 54, 55, 56, 19, 11, 7
2025/4/12, 46, 48, 56, 14, 9, 6
2025/4/13, 39, 49, 84, 16, 11, 7
2025/4/14, 54, 48, 73, 18, 11, 8
2025/4/15, 46, 52, 50, 13, 14, 7
2025/4/16, 49, 38, 46, 9, 7, 7
2025/4/17, 45, 44, 67, 13, 8, 8
2025/4/18, 49, 46, 75, 12, 10, 8
2025/4/19, 54, 47, 49, 7, 9, 8
2025/4/20, 64, 54, 49, 6, 7, 7
2025/4/21, 54, 50, 69, 15, 9, 7
2025/4/22, 45, 40, 30, 7, 8, 8
2025/4/23, 49, 42, 34, 10, 10, 9
2025/4/24, 57, 43, 37, 10, 9, 9
2025/4/25, 53, 43, 29, 7, 7, 8
2025/4/26, 53, 35, 28, 7, 6, 9
2025/4/27, 50, 45, 48, 9, 10, 8
2025/4/28, 51, 47, 43, 9, 8, 8
2025/4/29, 56, 42, 34, 11, 9, 9
2025/4/30, 49, 55, 78, 17, 10, 9
2025/5/1, 58, 170, 3, 19, 14, 2
2025/5/2, 53, , , , , 
2025/5/3, 53, , , , , 
2025/5/10, 44, 36, 40, 15, 8, 12
2025/5/11, 49, 30, 43, 13, 8, 11
2025/5/12, 53, 43, 73, 20, 10, 12
2025/5/13, 58, 54, 86, 26, 19, 14
2025/5/14, 80, 60, 89, 18, 17, 12
2025/5/27, 56, 36, 28, 9, 9, 13
2025/5/28, 72, 25, 24, 8, 8, 13
2025/5/29, 66, 25, 48, 9, 11, 14
2025/5/30, 58, 23, 9, 10, 6, 15
2025/5/31, 58, 27, 27, 11, 9, 14
2025/6/1, 52, 32, 42, 8, 8, 14
2025/6/2, 60, 40, 36, 9, 7, 14
2025/6/3, 72, 43, 43, 10, 7, 15
2025/6/4, 86, 37, 29, 9, 7, 15
2025/6/5, 76, 34, 25, 7, 6, 14
2025/6/6, 66, 26, 25, 6, 10, 14
2025/6/7, 47, 32, 46, 8, 8, 15
2025/6/8, 56, 24, 40, 6, 23, 14
2025/6/9, 55, 34, 41, 9, 17, 15
2025/6/10, 63, 31, 27, 7, 6, 15
2025/6/11, 66, 22, 36, 7, 9, 15
2025/6/12, 52, 37, 54, 9, 8, 16
2025/6/13, 64, 35, 36, 10, 9, 16
2025/6/14, 64, 28, 32, 6, 11, 15
2025/6/15, 60, 20, 26, 4, 9, 15
2025/6/16, 51, 22, 35, 7, 10, 16
2025/6/17, 49, 24, 30, 7, 13, 16
2025/6/18, 44, 28, 30, 8, 14, 16
2025/6/19, 40, 19, 19, 5, 14, 14
2025/6/20, 31, 16, 15, 5, 11, 12
2025/6/21, 29, 11, 16, 4, 7, 12
2025/6/22, 26, 13, 17, 3, 11, 12
2025/6/23, 25, 23, 16, 4, 10, 12
2025/6/24, 42, 20, 18, 5, 9, 13
2025/6/25, 45, 21, 23, 5, 10, 13
2025/6/26, 36, 23, 28, 7, 13, 13
2025/6/27, 41, 20, 27, 7, 11, 14
2025/6/28, 39, 19, 26, 6, 12, 14
2025/6/29, 42, 14, 20, 4, 10, 13
2025/6/30, 33, 16, 14, 6, 14, 14
2025/7/1, 32, 13, 12, 6, 12, 14
2025/1/2, 93, 55, 30, 22, 7, 27
2025/1/3, 122, 73, 24, 24, 7, 32
2025/1/4, 144, 60, 33, 23, 6, 32
2025/1/5, 139, 72, 34, 16, 6, 29
2025/1/6, 102, 34, 23, 13, 6, 23
2025/1/7, 42, 21, 27, 13, 7, 23
2025/1/8, 43, 9, 19, 18, 6, 25
2025/1/9, 45, 31, 6, 22, 6, 30
2025/1/10, 82, 34, 10, 20, 6, 30
2025/1/11, 82, 37, 20, 23, 9, 31
2025/1/12, 99, 53, 26, 21, 10, 34
2025/1/13, 113, 25, 31, 16, 12, 27
2025/1/14, 51, 13, 24, 16, 9, 26
2025/1/15, 48, , , , , 
2025/1/20, 61, 30, 25, 16, 9, 27
2025/1/21, 60, 21, 12, 18, 8, 28
2025/1/22, 79, 48, 21, 28, 12, 33
2025/1/23, 118, 65, 30, 26, 9, 35
2025/1/24, 111, 47, 40, 23, 9, 32
2025/1/25, 80, 88, 35, 45, 9, 41
2025/1/26, 166, 65, 53, 29, 9, 38
2025/1/27, 135, 52, 8, 28, 11, 33
2025/1/28, 104, 32, 1, 17, 8, 34
2025/1/29, 121, 59, 25, 30, 9, 37
2025/1/30, 135, 77, 28, 26, 10, 43
2025/1/31, 148, 75, 41, 29, 10, 37
2025/2/1, 114, 68, 38, 32, 12, 37
2025/2/2, 81, 65, 72, 30, 8, 37
2025/2/3, 109, 61, 77, 33, 9, 37
2025/2/4, 131, 68, 36, 26, 7, 36
2025/2/5, 125, 54, 49, 21, 8, 35
2025/2/6, 125, 89, 70, 31, 10, 40
2025/2/7, 142, 83, 71, 39, 9, 39
2025/2/8, 139, 79, 68, 32, 9, 38
2025/2/9, 141, 65, 54, 25, 16, 35
2025/2/10, 136, 48, 16, 15, 9, 33
2025/2/11, 111, 62, 34, 23, 10, 36
2025/2/12, 138, 80, 46, 27, 9, 38
2025/2/13, 112, 44, 16, 16, 7, 33
2025/2/14, 95, 52, 9, 29, 10, 36
2025/2/15, 157, 108, 29, 36, 10, 40
2025/2/16, 142, 62, 40, 16, 7, 27
2025/2/17, 78, 44, 25, 25, 11, 30
2025/2/18, 89, 98, 35, 37, 10, 27
2025/2/19, 131, 66, 9, 25, 7, 11
2025/2/20, 106, 34, 18, 12, 7, 7
2025/2/26, 41, 95, 83, 39, 17, 20
2025/2/27, 81, 91, 32, 29, 11, 17
2025/2/28, 72, 36, 33, 16, 9, 12
2025/3/1, 46, 60, 60, 21, 8, 16
2025/3/2, 51, 45, 42, 17, 8, 13
2025/3/3, 56, 66, 46, 21, 9, 15
2025/3/4, 76, 152, 33, 20, 6, 12
2025/3/5, 91, 157, 40, 25, 9, 17
2025/3/6, 124, 114, 44, 20, 12, 12
2025/3/7, 89, 91, 40, 31, 14, 19
2025/3/8, 71, 75, 44, 19, 7, 13
2025/3/9, 57, 30, 48, 8, 7, 10
2025/3/10, 27, 37, 49, 16, 8, 12
2025/3/11, 29, 67, 91, 34, 13, 12
2025/3/12, 71, 84, 32, 30, 6, 11
2025/3/13, 61, 61, 59, 26, 6, 7
2025/3/14, 50, 70, 35, 25, 4, 3
2025/3/15, 49, 77, 43, 12, 3, 
2025/3/17, 61, 73, 44, 18, 7, 5
2025/3/18, 65, 69, 59, 27, 11, 7
2025/3/19, 64, 115, 38, 20, 9, 6
2025/3/20, 113, 86, 38, 5, 8, 8
2025/3/21, 58, 57, 52, 21, 12, 14
2025/3/22, 49, 70, 66, 22, 13, 17
2025/3/23, 66, 60, 66, 20, 12, 17
2025/3/24, 67, 56, 41, 17, 10, 17
2025/3/25, 63, 43, 34, 9, 9, 15
2025/3/26, 48, 35, 28, 10, 8, 16
2025/3/27, 49, 31, 12, 12, 7, 16
2025/3/28, 47, , , , , 
2025/3/31, 33, 53, 75, 16, 9, 3
2025/4/1, 55, 51, 55, 11, 7, 3
2024/10/2, 59, 46, 66, 13, 7, 14
2024/10/3, 78, 46, 22, 19, 5, 14
2024/10/4, 98, 47, 48, 12, 6, 15
2024/10/5, 73, 39, 24, 16, 5, 15
2024/10/6, 77, 24, 40, 11, 5, 17
2024/10/7, 48, 48, 31, 19, 5, 19
2024/10/8, 78, 48, 64, 17, 6, 17
2024/10/9, 78, 48, 14, 23, 4, 16
2024/10/10, 90, 43, 44, 12, 9, 15
2024/10/11, 73, 62, 67, 19, 6, 17
2024/10/12, 94, 55, 71, 17, 7, 16
2024/10/13, 91, 40, 59, 16, 6, 16
2024/10/14, 84, 40, 42, 17, 5, 16
2024/10/15, 76, 58, 82, 24, 6, 19
2024/10/16, 91, 70, 33, 24, 7, 19
2024/10/17, 95, 18, 36, 8, 4, 14
2024/10/18, 42, 20, 32, 5, 5, 13
2024/10/19, 50, , , , , 
2024/10/21, 56, 21, 18, 10, 6, 15
2024/10/22, 57, 32, 10, 15, 6, 18
2024/10/23, 49, 48, 39, 14, 4, 19
2024/10/24, 71, 52, 42, 19, 4, 20
2024/10/25, 84, 72, 63, 21, 6, 20
2024/10/26, 108, 53, 34, 17, 6, 18
2024/10/27, 89, 33, 39, 10, 6, 17
2024/10/28, 55, 46, 35, 15, 6, 18
2024/10/29, 53, 45, 36, 15, 6, 18
2024/10/30, 72, 65, 56, 23, 6, 21
2024/10/31, 112, 85, 54, 27, 7, 23
2024/11/1, 135, 48, 24, 12, 5, 17
2024/11/2, 92, 32, 24, 8, 6, 16
2024/11/3, 66, 36, 36, 10, 6, 17
2024/11/4, 74, 68, 46, 23, 7, 23
2024/11/5, 104, 80, 42, 19, 7, 19
2024/11/6, 88, 83, 58, 32, 8, 22
2024/11/7, 106, 87, 62, 27, 6, 23
2024/11/8, 118, 52, 41, 14, 5, 20
2024/11/9, 97, 45, 14, 21, 6, 21
2024/11/10, 82, 50, 11, 13, 4, 19
2024/11/11, 96, , , , , 
2024/11/20, 86, 68, 41, 22, 6, 22
2024/11/21, 75, 54, 37, 24, 8, 22
2024/11/22, 75, 92, 49, 35, 8, 28
2024/11/23, 128, 91, 49, 31, 7, 28
2024/11/24, 140, 71, 53, 28, 9, 27
2024/11/25, 139, 89, 57, 39, 13, 30
2024/11/26, 125, 72, 18, 27, 12, 25
2024/11/27, 109, 105, 47, 47, 16, 35
2024/11/28, 152, 101, 24, 29, 9, 28
2024/11/29, 120, 39, 22, 17, 7, 21
2024/11/30, 53, 57, 25, 28, 8, 24
2024/12/1, 110, 70, 49, 27, 9, 28
2024/12/2, 176, 33, 13, 20, 5, 26
2024/12/3, 81, 11, 18, 20, 4, 24
2024/12/4, 44, 51, 7, 30, 8, 29
2024/12/5, 133, 70, 16, 30, 7, 30
2024/12/6, 142, 10, 16, 14, 5, 24
2024/12/7, 41, 33, 4, 18, 7, 27
2024/12/8, 126, 70, 2, 25, 10, 43
2024/12/9, 151, 65, 25, 25, 9, 33
2024/12/10, 77, 84, 22, 25, 10, 31
2024/12/11, 108, 30, 31, 14, 11, 20
2024/12/12, 42, 55, 24, 28, 7, 26
2024/12/13, 101, 100, 23, 37, 9, 38
2024/12/14, 152, 83, 40, 27, 7, 35
2024/12/15, 138, 56, 22, 19, 6, 31
2024/12/16, 123, 77, 9, 23, 5, 33
2024/12/17, 143, 49, 18, 19, 6, 27
2024/12/18, 99, 53, 21, 16, 5, 29
2024/12/19, 97, 33, 19, 17, 5, 25
2024/12/20, 69, 56, 20, 26, 5, 30
2024/12/21, 115, 29, 21, 16, 5, 25
2024/12/22, 74, 28, 13, 15, 5, 25
2024/12/23, 78, 67, 21, 23, 5, 31
2024/12/24, 103, 79, 28, 28, 7, 35
2024/12/25, 125, 58, 33, 18, 6, 33
2024/12/26, 119, 63, 34, 23, 6, 29
2024/12/27, 109, 77, 36, 28, 6, 31
2024/12/28, 130, 74, 30, 26, 6, 30
2024/12/29, 110, 54, 39, 28, 6, 32
2024/12/30, 90, , , , , 
2024/7/2, 24, 43, 33, 9, 2, 4
2024/7/3, 51, 46, 43, 9, 2, 4
2024/7/4, 61, 54, 104, 13, 2, 5
2024/7/5, 75, 55, 64, 12, 2, 5
2024/7/6, 77, 54, 37, 8, 3, 4
2024/7/7, 89, 50, 50, 10, 4, 4
2024/7/8, 80, 60, 65, 17, 4, 6
2024/7/9, 67, 48, 57, 15, 3, 5
2024/7/10, 69, 34, 24, 12, 3, 4
2024/7/11, 60, 25, 24, 8, 3, 3
2024/7/12, 54, 29, 22, 10, 3, 4
2024/7/13, 36, 42, 32, 9, 3, 4
2024/7/14, 47, 58, 49, 7, 3, 3
2024/7/15, 64, 51, 65, 12, 5, 4
2024/7/16, 87, 63, 68, 14, 6, 4
2024/7/18, 83, 41, 42, 15, 4, 5
2024/7/19, 77, 55, 49, 15, 5, 5
2024/7/20, 80, 59, 49, 10, 4, 3
2024/7/21, 77, 36, 45, 9, 4, 3
2024/7/22, 56, 38, 35, 10, 4, 3
2024/7/23, 65, 34, 43, 11, 4, 3
2024/7/24, 52, 34, 26, 13, 3, 4
2024/7/25, 48, 42, 33, 21, 3, 7
2024/7/26, 58, 48, 39, 23, 4, 8
2024/7/27, 63, 48, 84, 14, 5, 5
2024/7/28, 74, 26, 35, 8, 3, 4
2024/7/29, 49, 39, 39, 11, 4, 4
2024/7/30, 72, 41, 50, 11, 4, 4
2024/7/31, 66, 62, 49, 12, 4, 4
2024/8/1, 96, 69, 41, 11, 4, 4
2024/8/2, 106, 59, 38, 10, 4, 4
2024/8/3, 87, 49, 48, 10, 6, 4
2024/8/4, 69, 37, 46, 8, 5, 3
2024/8/5, 60, 41, 33, 12, 3, 5
2024/8/6, 66, 40, 61, 11, 4, 4
2024/8/7, 67, 61, 93, 16, 5, 9
2024/8/8, 70, 48, 99, 16, 5, 8
2024/8/9, 70, 43, 41, 15, 4, 8
2024/8/10, 72, , , , , 
2024/8/12, 52, 20, 14, 8, 5, 7
2024/8/13, 42, , , , , 
2024/8/19, 43, 33, 31, 10, 5, 10
2024/8/20, 51, 39, 47, 12, 5, 10
2024/8/21, 56, 44, 59, 14, 7, 10
2024/8/22, 57, 48, 57, 13, 6, 10
2024/8/23, 59, 50, 55, 12, 6, 10
2024/8/24, 56, 38, 46, 10, 5, 9
2024/8/25, 63, 38, 34, 6, 4, 9
2024/8/26, 64, 39, 41, 10, 6, 10
2024/8/27, 65, 41, 39, 12, 5, 10
2024/8/28, 66, 37, 42, 10, 4, 10
2024/8/29, 62, 36, 74, 11, 5, 10
2024/8/30, 65, 50, 71, 17, 4, 12
2024/8/31, 61, 36, 36, 13, 4, 11
2024/9/1, 58, 23, 42, 10, 3, 11
2024/9/2, 54, 30, 38, 15, 3, 13
2024/9/3, 49, 33, 61, 16, 3, 13
2024/9/4, 53, 18, 25, 15, 3, 13
2024/9/5, 33, 17, 20, 16, 3, 15
2024/9/6, 41, 29, 27, 21, 3, 16
