date, pm25, pm10, o3, no2, so2, co
2025/8/2, 38, , 37, 10, 3, 6
2025/8/6, 51, 28, 8, 7, 3, 5
2025/8/7, 45, , , , , 
2025/8/10, 72, 35, 39, 5, 4, 6
2025/8/11, 67, 28, 38, 5, 3, 5
2025/8/12, 52, 27, 24, 7, 3, 5
2025/8/13, 53, 27, 43, 8, 3, 5
2025/8/14, 53, 41, 37, 7, 4, 6
2025/8/15, 64, 33, 34, 6, 4, 5
2025/8/16, 65, 37, 52, 6, 4, 6
2025/8/17, 74, 49, 36, 5, 4, 6
2025/8/18, 78, 24, 32, 7, 4, 6
2025/8/19, 40, 34, 38, 7, 3, 6
2025/8/20, 49, 30, 49, 10, 3, 6
2025/8/21, 44, 39, 47, 14, 3, 7
2025/8/22, 53, 30, 53, 11, 3, 7
2025/8/23, 50, 29, 53, 15, 3, 8
2025/8/24, 55, 22, 56, 7, 3, 7
2025/8/25, 50, 32, 58, 13, 3, 8
2025/8/26, 63, 40, 31, 10, 3, 7
2025/8/27, 72, 35, 36, 7, 3, 6
2025/8/28, 64, 38, 39, 10, 4, 7
2025/8/29, 61, 33, 12, 8, 3, 6
2025/8/30, 64, , , , , 
2025/7/2, 26, 16, , , , 
2025/7/3, 44, 27, , , , 
2025/7/4, 62, 40, , , , 
2025/7/5, 66, 48, , , , 
2025/7/6, 85, 34, , , , 
2025/7/7, 78, 26, , , , 
2025/7/8, 59, 24, , , , 
2025/7/9, 49, 24, , , , 
2025/7/10, 41, 34, , , , 1
2025/7/11, 59, 29, , , , 10
2025/7/12, 59, 27, , , , 10
2025/7/13, 59, 24, , , , 4
2025/7/14, 59, 27, 16, 9, 3, 4
2025/7/15, 58, 38, 27, 6, 3, 4
2025/7/16, 63, 36, 31, 6, 3, 4
2025/7/17, 52, 54, 43, 7, 4, 6
2025/7/18, 98, 41, 37, 6, 3, 5
2025/7/19, 77, 33, 39, 6, 3, 5
2025/7/20, 65, 30, 47, 5, 3, 5
2025/7/21, 59, 37, 41, 7, 3, 5
2025/7/22, 61, 42, 51, 13, 3, 6
2025/7/23, 72, 32, 48, 6, 3, 5
2025/7/24, 61, 29, 63, 9, 3, 5
2025/7/25, 54, 30, 55, 7, 3, 4
2025/7/26, 48, 25, 34, 7, 3, 5
2025/7/27, 60, 21, 31, 6, 3, 5
2025/7/28, 49, 29, 26, 5, 3, 4
2025/7/29, 52, 36, 34, 7, 3, 4
2025/7/30, 58, 37, 38, 10, 3, 5
2025/7/31, 53, 29, 40, 9, 3, 5
2025/8/1, 48, 22, 38, 9, 3, 5
2025/4/2, 92, 51, 86, 15, 7, 10
2025/4/3, 80, 52, 58, 16, 7, 11
2025/4/4, 73, 46, 89, 16, 9, 12
2025/4/5, 64, 40, 39, 4, 6, 6
2025/4/6, 44, 19, 23, 3, 6, 6
2025/4/7, 18, 28, 46, 11, 6, 7
2025/4/8, 36, 43, 70, 20, 9, 8
2025/4/9, 54, 40, 77, 18, 15, 8
2025/4/10, 52, 49, 58, 21, 8, 9
2025/4/11, 63, 39, 46, 14, 9, 8
2025/4/12, 53, 37, 49, 12, 8, 8
2025/4/13, 52, 33, 58, 11, 11, 8
2025/4/14, 57, 40, 57, 12, 16, 9
2025/4/15, 66, 36, 38, 8, 11, 8
2025/4/16, 62, 31, 42, 7, 9, 8
2025/4/17, 61, 33, 49, 8, 7, 9
2025/4/18, 63, 34, 56, 8, 10, 9
2025/4/19, 70, 38, 40, 6, 16, 9
2025/4/20, 88, 47, 47, 4, 7, 8
2025/4/21, 64, 41, 49, 13, 9, 9
2025/4/22, 60, 29, 27, 7, 9, 9
2025/4/23, 62, 34, 28, 9, 9, 10
2025/4/24, 77, 30, 29, 9, 9, 10
2025/4/25, 67, 37, 27, 7, 9, 10
2025/4/26, 82, 35, 29, 7, 8, 10
2025/4/27, 81, 29, 38, 6, 17, 9
2025/4/28, 65, 36, 37, 7, 8, 9
2025/4/29, 70, 35, 28, 8, 9, 9
2025/4/30, 62, 34, 46, 11, 8, 9
2025/5/1, 62, 37, 30, 8, 9, 8
2025/5/2, 74, 28, 42, 8, 2, 4
2025/5/3, 70, 15, 25, 7, 2, 3
2025/5/4, 30, 13, 23, 8, 2, 4
2025/5/5, 40, 24, 35, 7, 3, 4
2025/5/6, 59, 37, 82, 10, 4, 4
2025/5/7, 73, 30, 47, 8, 3, 3
2025/5/8, 61, 21, 36, 7, 3, 4
2025/5/9, 54, 21, 45, 10, 3, 3
2025/5/10, 33, 35, 47, 17, 3, 6
2025/5/11, 60, 34, 63, 16, 4, 6
2025/5/12, 60, 39, 96, 22, 6, 5
2025/5/13, 56, 46, 116, 22, 6, 4
2025/5/14, 63, 52, 93, 20, 6, 4
2025/5/15, 80, 50, 93, 16, 9, 2
2025/5/16, 92, 50, 52, 21, 9, 4
2025/5/17, 107, 43, 43, 12, 6, 3
2025/5/18, 103, 43, 43, 10, 5, 2
2025/5/19, 104, 43, 70, 14, 4, 2
2025/5/20, 86, 48, 21, 11, 4, 1
2025/5/21, 87, 42, 19, 14, 2, 2
2025/5/22, 84, 21, 54, 11, 3, 2
2025/5/23, 49, 29, 37, 7, 3, 2
2025/5/24, 66, 33, 48, 9, 3, 3
2025/5/25, 70, 22, 40, 5, 3, 3
2025/5/26, 54, 33, 63, 10, 3, 3
2025/5/27, 67, 40, 34, 11, 3, 3
2025/5/28, 82, 28, 34, 7, 3, 3
2025/5/29, 65, 24, 50, 10, 3, 3
2025/5/30, 56, 20, 16, 12, 3, 5
2025/5/31, 53, 27, 34, 14, 3, 6
2025/6/1, 62, 25, 41, 9, 3, 4
2025/6/2, 55, 29, 34, 7, 3, 3
2025/6/3, 57, 38, 44, 7, 3, 3
2025/6/4, 74, 28, 33, 7, 3, 3
2025/6/5, 67, 23, 29, 5, 3, 3
2025/6/6, 50, 24, 30, 5, 3, 2
2025/6/7, 51, 29, 41, 6, 3, 2
2025/6/8, 53, 31, 37, 6, 2, 2
2025/6/9, 62, 32, 34, 10, 1, 
2025/6/10, 63, 33, 31, 8, 1, 
2025/6/11, 74, 16, 39, 9, 2, 
2025/6/12, 36, 28, 52, 10, 2, 
2025/6/13, 61, 26, 40, 9, 2, 
2025/6/14, 56, 29, 32, 7, 2, 
2025/6/15, 64, 23, 30, 6, 2, 
2025/6/16, 60, 18, 38, 9, 2, 
2025/6/17, 39, 17, 32, 7, 2, 5
2025/6/18, 25, 22, 27, 8, 2, 3
2025/6/19, 31, 22, 22, 7, , 3
2025/6/20, 33, 17, , , , 
2025/6/21, 36, 15, , , , 
2025/6/22, 32, 14, , , , 
2025/6/23, 32, 23, , , , 
2025/6/24, 43, 27, , , , 
2025/6/25, 43, 21, , , , 
2025/6/26, 38, 20, , , , 
2025/6/27, 36, 19, , , , 
2025/6/28, 36, 17, , , , 
2025/6/29, 38, 18, , , , 
2025/6/30, 36, 10, , , , 
2025/7/1, 24, 9, , , , 
2025/1/2, 67, 49, 25, 14, 7, 15
2025/1/3, 87, 70, 21, 19, 7, 19
2025/1/4, 117, 45, 26, 14, 6, 17
2025/1/5, 84, 55, 30, 14, 6, 16
2025/1/6, 78, 32, 23, 8, 6, 11
2025/1/7, 27, 28, 30, 10, 8, 11
2025/1/8, 29, 17, 23, 10, 5, 11
2025/1/9, 38, 21, 15, 14, 6, 13
2025/1/10, 55, 24, 18, 10, 5, 12
2025/1/11, 42, 44, 26, 15, 6, 14
2025/1/12, 67, 53, 27, 16, 6, 16
2025/1/13, 83, 32, 33, 12, 8, 12
2025/1/14, 35, 57, 18, 21, 7, 14
2025/1/15, 66, , , , , 
2025/1/21, 37, 18, 24, 8, 5, 12
2025/1/22, 26, 49, 26, 16, 8, 16
2025/1/23, 73, 41, 32, 19, 6, 18
2025/1/24, 50, 58, 37, 19, 6, 16
2025/1/25, 64, 78, 36, 28, 9, 27
2025/1/26, 112, 53, 48, 18, 8, 19
2025/1/27, 86, 43, 18, 13, 6, 16
2025/1/28, 55, 27, 6, 10, 6, 17
2025/1/29, 53, 55, 21, 22, 8, 22
2025/1/30, 98, 59, 28, 18, 8, 22
2025/1/31, 92, 74, 37, 24, 8, 20
2025/2/1, 75, 112, 30, 29, 10, 21
2025/2/2, 153, 94, 65, 24, 9, 21
2025/2/3, 98, 70, 64, 23, 11, 21
2025/2/4, 99, 66, 27, 12, 7, 17
2025/2/5, 76, 42, 42, 14, 9, 19
2025/2/6, 81, 55, 52, 19, 15, 22
2025/2/7, 91, 71, 51, 16, 13, 21
2025/2/8, 106, 73, 51, 14, 17, 21
2025/2/9, 112, 69, 37, 10, 19, 20
2025/2/10, 102, 59, 20, 11, 12, 20
2025/2/11, 82, 48, 35, 13, 14, 21
2025/2/12, 90, 59, 41, 22, 8, 25
2025/2/13, 87, 47, 12, 9, 6, 19
2025/2/14, 47, 31, 11, 14, 6, 20
2025/2/15, 100, 81, 26, 28, 8, 26
2025/2/16, 115, 64, 41, 17, 8, 23
2025/2/17, 71, 38, 31, 14, 12, 20
2025/2/18, 57, 82, 51, 31, 10, 27
2025/2/19, 102, 54, 14, 13, 8, 20
2025/2/20, 61, 29, 23, 9, 9, 11
2025/2/21, 46, 35, 22, 15, 7, 5
2025/2/22, 81, 24, 17, 13, 6, 5
2025/2/25, 64, 70, 56, 29, 9, 11
2025/2/26, 88, 58, 54, 20, 10, 7
2025/2/27, 83, 53, 36, 13, 7, 6
2025/2/28, 62, 39, 33, 15, 6, 6
2025/3/1, 66, 66, 49, 20, 9, 10
2025/3/2, 80, 30, 31, 10, 6, 6
2025/3/3, 67, 44, 37, 11, 6, 6
2025/3/4, 80, 62, 32, 12, 6, 6
2025/3/5, 93, 117, 41, 15, 10, 6
2025/3/6, 98, 111, 39, 12, 8, 6
2025/3/7, 102, 94, 57, 23, 7, 10
2025/3/8, 96, 89, 38, 15, 7, 10
2025/3/9, 75, 21, 39, 6, 6, 5
2025/3/10, 33, 32, 46, 14, 7, 7
2025/3/11, 33, 47, 81, 21, 10, 7
2025/3/12, 76, 66, 34, 16, 7, 7
2025/3/13, 49, 51, 59, 19, 8, 9
2025/3/14, 58, 45, 40, 17, 6, 9
2025/3/15, 58, 83, 43, 13, 7, 6
2025/3/16, 105, 73, 47, 6, 7, 4
2025/3/17, 66, 64, 41, 9, 8, 5
2025/3/18, 68, 50, 52, 16, 8, 7
2025/3/19, 60, 133, 39, 13, 6, 6
2025/3/20, 135, 75, 37, 8, 6, 5
2025/3/21, 68, 46, 51, 14, 7, 7
2025/3/22, 56, 47, 45, 13, 9, 8
2025/3/23, 63, 46, 57, 11, 6, 9
2025/3/24, 82, 42, 33, 13, 6, 9
2025/3/25, 73, 36, 32, 10, 7, 7
2025/3/26, 62, 26, 24, 9, 6, 8
2025/3/27, 61, 15, 10, 10, 6, 8
2025/3/28, 45, , , , , 
