date, pm25, pm10, o3, no2, so2, co
2025/8/2, 41, 34, 36, 14, 6, 4
2025/8/3, 46, 34, 42, 11, 5, 3
2025/8/4, 55, 38, 42, 14, 6, 5
2025/8/5, 46, 40, 36, 13, 7, 4
2025/8/6, 51, 28, 8, 10, 8, 3
2025/8/7, 47, , , , , 
2025/8/10, 51, 38, 4, 11, 8, 3
2025/8/11, 63, 41, 4, 15, 5, 6
2025/8/12, 59, 37, 4, 13, 6, 4
2025/8/13, 51, 35, 4, 13, 6, 4
2025/8/14, 47, 48, 5, 13, 8, 4
2025/8/15, 65, 39, 14, 12, 8, 5
2025/8/16, 62, 34, 55, 11, 5, 5
2025/8/17, 72, 45, 33, 9, 5, 4
2025/8/18, 73, 24, 29, 11, 6, 4
2025/8/19, 39, 30, 31, 13, 5, 4
2025/8/20, 42, 24, 37, 17, 4, 5
2025/8/21, 41, 37, 41, 22, 4, 6
2025/8/22, 46, 28, 42, 19, 4, 5
2025/8/23, 44, 27, 60, 22, 4, 6
2025/8/24, 49, 17, 58, 10, 3, 3
2025/8/25, 44, 34, 50, 19, 5, 4
2025/8/26, 51, 42, 31, 15, 5, 4
2025/8/27, 61, 36, 30, 11, 4, 3
2025/8/28, 53, 35, 36, 14, 6, 4
2025/8/29, 48, 32, 9, 11, 5, 2
2025/8/30, 55, , , , , 
2025/7/2, 34, 27, 15, 12, 2, 8
2025/7/3, 43, 40, 42, 12, 4, 9
2025/7/4, 65, 46, 57, 19, 4, 10
2025/7/5, 72, 56, 49, 19, 5, 10
2025/7/6, 92, 39, 7, 8, 6, 6
2025/7/7, 73, 38, 28, 10, 4, 7
2025/7/8, 60, 35, 29, 11, 3, 7
2025/7/9, 55, 34, 26, 11, 4, 6
2025/7/10, 43, 38, 35, 12, 4, 7
2025/7/11, 59, 39, 42, 12, 4, 6
2025/7/12, 62, 36, 43, 11, 5, 6
2025/7/13, 65, 33, 42, 10, 4, 6
2025/7/14, 60, 37, 34, 11, 5, 6
2025/7/15, 55, 38, 42, 12, 6, 7
2025/7/16, 68, 43, 49, 13, 6, 7
2025/7/17, 59, 56, 44, 14, 7, 7
2025/7/18, 96, 44, 35, 11, 5, 6
2025/7/19, 73, 38, 37, 11, 4, 6
2025/7/20, 58, 35, 49, 9, 5, 6
2025/7/21, 54, 44, 19, 11, 5, 5
2025/7/22, 71, 42, 50, 17, 4, 5
2025/7/23, 59, 39, 47, 12, 5, 5
2025/7/24, 61, 36, 64, 13, 7, 5
2025/7/25, 49, 36, 50, 13, 4, 5
2025/7/26, 51, 32, 36, 13, 5, 5
2025/7/27, 41, 31, 29, 10, 4, 4
2025/7/28, 55, 36, 23, 10, 4, 4
2025/7/29, 55, 40, 30, 12, 4, 4
2025/7/30, 53, 38, 34, 17, 6, 5
2025/7/31, 54, 33, 40, 15, 7, 4
2025/8/1, 48, 33, 33, 14, 7, 4
2025/4/2, 109, 62, 80, 30, 5, 7
2025/4/3, 94, 62, 53, 32, 5, 6
2025/4/4, 79, 58, 66, 29, 5, 5
2025/4/5, 81, 55, 30, 18, 5, 4
2025/4/6, 48, 39, 21, 7, 5, 1
2025/4/7, 18, 38, 38, 27, 5, 3
2025/4/8, 45, 54, 58, 41, 6, 4
2025/4/9, 63, 52, 71, 39, 6, 4
2025/4/10, 58, 57, 48, 44, 6, 6
2025/4/11, 70, 52, 45, 31, 6, 5
2025/4/12, 58, 50, 46, 26, 5, 5
2025/4/13, 49, 43, 55, 23, 5, 4
2025/4/14, 60, 47, 50, 27, 5, 5
2025/4/15, 60, 48, 36, 21, 6, 5
2025/4/16, 66, 42, 37, 16, 5, 5
2025/4/17, 59, 44, 51, 20, 5, 5
2025/4/18, 62, 47, 56, 19, 5, 4
2025/4/19, 72, 48, 39, 15, 5, 5
2025/4/20, 95, 63, 42, 12, 5, 3
2025/4/21, 51, 52, 46, 29, 5, 5
2025/4/22, 66, 41, 25, 16, 5, 4
2025/4/23, 72, 45, 24, 20, 5, 6
2025/4/24, 86, 43, 25, 21, 5, 6
2025/4/25, 71, 46, 22, 18, 5, 6
2025/4/26, 86, 41, 26, 17, 5, 6
2025/4/27, 76, 50, 23, 15, 6, 7
2025/4/28, 13, 48, 32, 18, 6, 8
2025/4/29, 62, 43, 24, 20, 6, 7
2025/4/30, 64, 47, 45, 23, 6, 7
2025/5/1, 64, 46, 31, 17, 6, 6
2025/5/2, 72, 43, 39, 18, 4, 6
2025/5/3, 72, 32, 19, 14, 2, 3
2025/5/4, 28, 21, 24, 13, 2, 2
2025/5/5, 45, 31, 36, 12, 4, 3
2025/5/6, 66, 48, 70, 16, 4, 4
2025/5/7, 81, 44, 42, 15, 3, 2
2025/5/8, 67, 31, 30, 12, 3, 2
2025/5/9, 62, 31, 39, 18, 2, 3
2025/5/10, 35, 40, 38, 24, 4, 4
2025/5/11, 48, 32, 56, 17, 4, 2
2025/5/12, 47, 48, 89, 29, 6, 4
2025/5/13, 59, 58, 109, 33, 8, 6
2025/5/14, 86, 63, 113, 31, 8, 6
2025/5/15, 85, 57, 98, 23, 9, 4
2025/5/16, 90, 53, 55, 27, 10, 5
2025/5/17, 102, 53, 42, 17, 5, 4
2025/5/18, 105, 46, 48, 13, 6, 3
2025/5/19, 91, 52, 68, 19, 8, 4
2025/5/20, 78, 53, 25, 17, 7, 5
2025/5/21, 92, 50, 31, 17, 4, 4
2025/5/22, 86, 35, 56, 19, 7, 3
2025/5/23, 61, 33, 38, 12, 3, 3
2025/5/24, 68, 34, 55, 11, 5, 3
2025/5/25, 70, 29, 44, 9, 4, 2
2025/5/26, 51, 53, 57, 17, 4, 3
2025/5/27, 68, 39, 33, 16, 4, 3
2025/5/28, 89, 57, 30, 13, 3, 4
2025/5/29, 72, 38, 49, 16, 5, 3
2025/5/30, 68, 35, 10, 16, 3, 5
2025/5/31, 62, 37, 31, 18, 3, 5
2025/6/1, 60, 39, 43, 14, 4, 3
2025/6/2, 53, 51, 37, 11, 4, 3
2025/6/3, 91, 47, 36, 13, 2, 3
2025/6/4, 87, 43, 32, 12, 2, 3
2025/6/5, 77, 38, 25, 10, 2, 2
2025/6/6, 57, 35, 27, 10, 3, 2
2025/6/7, 48, 40, 46, 11, 3, 1
2025/6/8, 59, 35, 40, 10, 5, 1
2025/6/9, 57, 44, 40, 12, 5, 2
2025/6/10, 65, 43, 30, 10, 2, 2
2025/6/11, 79, 30, 38, 13, 3, 2
2025/6/12, 54, 42, 58, 14, 3, 3
2025/6/13, 73, 41, 40, 15, 5, 2
2025/6/14, 64, 40, 33, 11, 3, 1
2025/6/15, 70, 30, 31, 9, 3, 1
2025/6/16, 60, 31, 37, 13, 5, 2
2025/6/17, 47, 35, 31, 12, 4, 1
2025/6/18, 43, 34, 29, 12, 4, 1
2025/6/19, 42, 30, 24, 9, 3, 4
2025/6/20, 44, 23, 19, 8, 3, 7
2025/6/21, 31, 19, 19, 7, 2, 7
2025/6/22, 27, 20, 21, 4, 2, 6
2025/6/23, 30, 30, 19, 9, 2, 6
2025/6/24, 40, 29, 21, 9, 3, 7
2025/6/25, 50, 30, 26, 11, 3, 6
2025/6/26, 39, 30, 29, 13, 4, 6
2025/6/27, 40, 27, 26, 12, 4, 7
2025/6/28, 46, 29, 28, 9, 4, 7
2025/6/29, 40, 22, 25, 7, 6, 6
2025/6/30, 40, 19, 16, 9, 3, 7
2025/7/1, 31, 17, 11, 13, 2, 8
2025/1/2, 54, 54, 20, 29, 5, 12
2025/1/3, 82, 75, 18, 35, 5, 15
2025/1/4, 88, 51, 19, 31, 5, 13
2025/1/5, 82, 58, 26, 29, 5, 15
2025/1/6, 81, 27, 20, 21, 4, 8
2025/1/7, 30, 19, 22, 27, 5, 9
2025/1/8, 25, 15, 17, 28, 5, 11
2025/1/9, 28, 23, 10, 27, 5, 13
2025/1/10, 56, 42, 8, 27, 5, 11
2025/1/11, 35, 36, 22, 29, 5, 9
2025/1/12, 54, 49, 20, 30, 5, 13
2025/1/13, 67, 42, 26, 32, 5, 9
2025/1/14, 31, 37, 14, 36, 5, 9
2025/1/15, 42, , , , , 
2025/1/20, 31, 32, 23, 25, 5, 9
2025/1/21, 25, 36, 14, 24, 5, 9
2025/1/22, 35, 46, 19, 36, 5, 11
