date, pm25, pm10, o3, no2, so2, co
2025/4/2, 61, 43, 57, 12, 3, 4
2025/4/3, 62, 49, 51, 13, 3, 4
2025/4/4, 79, 36, 48, 13, 3, 5
2025/4/5, 53, 39, 36, 14, 2, 4
2025/4/6, 62, 39, 41, 14, 3, 5
2025/4/7, 61, 36, 19, 11, 2, 5
2025/4/8, 54, 38, 31, 10, 3, 4
2025/4/9, 63, 49, 50, 13, 4, 4
2025/4/10, 63, 80, 66, 13, 4, 4
2025/4/11, 67, 72, 74, 14, 4, 6
2025/4/12, 105, 70, 75, 12, 4, 6
2025/4/13, 107, 62, 72, 11, , 6
2025/4/14, 106, 63, 65, 13, , 7
2025/4/15, 100, 74, 73, 16, 40, 8
2025/4/16, 101, 69, 73, 14, , 7
2025/4/17, 103, 61, 69, 13, , 7
2025/4/18, 96, 74, 62, 11, , 11
2025/4/19, 121, 65, 61, 11, , 8
2025/4/20, 112, 66, 45, 12, , 8
2025/4/21, 111, 53, 41, 12, , 6
2025/4/22, 82, 52, 49, 11, , 5
2025/4/23, 78, 52, 49, 12, 1, 5
2025/4/24, 79, 55, 46, 13, 1, 6
2025/4/25, 85, 60, 49, 13, 1, 6
2025/4/26, 95, 48, 57, 13, , 5
2025/4/27, 74, 46, 66, 11, , 5
2025/4/28, 63, 41, 58, 12, , 4
2025/4/29, 56, 51, 47, 11, , 5
2025/4/30, 77, 53, 45, 12, 1, 5
2025/5/1, 78, , 59, 11, 2, 4
2025/5/2, 68, , 53, 11, 2, 4
2025/5/10, 77, , 55, 3, 52, 6
2025/5/11, 58, , 38, 4, , 6
2025/5/12, 54, , 59, 6, , 4
2025/5/13, 44, , 58, 5, , 5
2025/5/14, 55, , 65, 5, , 5
2025/5/26, 30, 13, 38, 8, 1, 4
2025/2/26, 51, 33, 57, 12, 3, 3
2025/2/27, 50, 33, 41, 11, 1, 4
2025/2/28, 56, 44, 54, 10, 1, 3
2025/3/1, 67, 41, 61, 11, 1, 4
2025/3/2, 62, 37, 57, 13, 1, 4
2025/3/3, 59, 40, 53, 11, 1, 3
2025/3/4, 58, 39, 52, 13, 1, 4
2025/3/5, 56, 44, 44, 13, 2, 4
2025/3/6, 61, 49, 67, 14, 3, 4
2025/3/7, 61, 35, 42, 13, 2, 4
2025/3/8, 54, 35, 42, 11, 3, 3
2025/3/9, 48, 36, 56, 11, 2, 3
2025/3/10, 50, 35, 50, 12, 2, 3
2025/3/11, 47, 35, 40, 11, 2, 3
2025/3/12, 51, 42, 42, 11, 2, 3
2025/3/13, 56, 39, 58, 14, 2, 4
2025/3/14, 51, 39, 56, 11, 2, 3
2025/3/15, 46, 29, 42, 12, 2, 3
2025/3/16, 36, 34, 37, 10, 2, 3
2025/3/17, 45, 63, 48, 11, 2, 3
2025/3/18, 79, 58, 82, 11, 4, 4
2025/3/19, 70, 51, 68, 14, 3, 4
2025/3/20, 67, 72, 64, 14, 3, 4
2025/3/21, 78, 43, 55, 11, 2, 3
2025/3/22, 50, 51, 53, 10, 2, 3
2025/3/23, 65, 47, 47, 15, 2, 4
2025/3/24, 60, 44, 56, 10, 2, 3
2025/3/25, 56, 48, 42, 16, 2, 4
2025/3/26, 73, 41, 52, 13, 3, 4
2025/3/27, 63, 45, 41, 9, 2, 3
2025/3/28, 72, , 17, 13, 2, 4
2025/4/1, 62, 45, 57, 12, 3, 4
2024/10/2, 50, 18, , 10, , 2
2024/10/3, 33, 15, , 8, , 
2024/10/4, 30, 13, , 12, , 2
2024/10/5, 70, 14, , 10, , 1
2024/10/6, 77, 10, , 6, , 
2024/10/7, 72, 13, , 10, , 2
2024/10/8, 11, , , 11, , 1
2024/10/24, 73, 32, 46, 8, 1, 2
2024/10/25, 52, 39, 55, 10, 2, 2
2024/10/26, 60, 45, 67, 10, 1, 4
2024/10/27, 65, 28, 52, 5, 1, 1
2024/10/28, 49, 40, 47, 8, 3, 2
2024/10/29, 71, 34, 53, 3, 2, 1
2024/10/30, 57, , , , , 
2024/11/5, 75, 41, 44, 8, , 2
2024/11/6, 74, 39, 44, 8, , 1
2024/11/7, 67, 39, 40, 8, , 2
2024/11/8, 70, 44, 48, 10, , 2
2024/11/9, 82, 37, 51, 8, , 1
2024/11/10, 60, 35, 61, 6, , 1
2024/11/11, 57, 39, 54, 10, , 2
2024/11/12, 49, 32, 47, 7, , 1
2024/11/13, 46, 42, 61, 13, 1, 2
2024/11/14, 58, 42, 65, 13, , 2
2024/11/15, 48, 40, 57, 10, , 1
2024/11/16, 54, 39, 69, 11, 1, 2
2024/11/17, 57, 35, 71, 7, , 1
2024/11/18, 50, 35, 51, 7, , 1
2024/11/19, 55, 36, 45, 8, , 1
2024/11/20, 56, 30, 45, 8, , 1
2024/11/21, 55, 28, 57, 11, , 1
2024/11/22, 48, 33, 53, 10, 1, 1
2024/11/23, 45, 34, 68, 10, 1, 1
2024/11/24, 51, 32, 77, 8, 1, 1
2024/11/25, 47, 33, 75, 13, , 2
2024/11/26, 48, 33, 76, 13, , 2
2024/11/27, 45, 41, 78, 14, 1, 3
2024/11/28, 48, 41, 90, 15, , 4
2024/11/29, 55, 28, 62, 12, , 2
2024/11/30, 42, , 64, 11, , 1
2024/12/1, 65, , 75, 11, 1, 1
2024/12/2, 56, , 63, 10, 1, 2
2024/12/3, 52, , 79, 14, 2, 3
2024/12/4, 70, , 64, 10, , 2
2024/12/5, 54, , 74, 13, 1, 2
2024/12/6, 56, , 74, 17, 1, 3
2024/12/7, 62, , 73, 11, , 2
2024/12/8, 57, , 55, 7, , 1
2024/12/9, 33, , 80, 13, 2, 3
2024/12/10, 58, , 77, 17, 2, 4
2024/12/11, 66, , 49, 11, 1, 3
2024/12/12, 47, , 40, 8, , 2
2024/12/13, 37, , 64, 18, 1, 5
2024/12/14, 73, , 58, 12, 1, 3
2024/12/15, 56, , 57, 11, 1, 3
2024/12/16, 53, , 51, 16, 1, 3
2024/12/17, 56, , 52, 13, , 3
2024/12/18, 57, , 50, 13, , 3
2024/12/19, 51, , 45, 14, , 3
2024/12/20, 47, 81, 44, 14, , 3
2024/12/21, 61, , 46, 16, , 4
2024/12/22, 71, , 38, 13, , 3
2024/12/23, 53, , 32, 19, , 6
2024/12/24, 65, , 41, 20, , 6
2024/12/25, 67, , 49, 7, , 2
2024/12/26, 62, , 38, 9, , 2
2024/12/27, 44, , 42, 10, , 2
2024/12/28, 31, , 40, 11, , 2
2024/7/2, 60, 13, 21, 8, 2, 2
2024/7/3, 41, 12, 23, 8, 2, 2
2024/7/4, 27, 12, 25, 7, 2, 1
2024/7/5, 54, 28, 33, 8, 2, 2
2024/7/6, 51, 23, 35, 8, 2, 2
2024/7/7, 52, 27, 29, 11, 2, 3
2024/7/8, 77, 21, 31, 9, 2, 3
2024/7/9, 66, 21, 30, 8, 2, 2
2024/7/10, 68, 9, 21, 7, 2, 2
2024/7/11, 57, 14, 18, 10, 2, 4
2024/7/12, 37, 15, 24, 11, 2, 3
2024/7/13, 49, 40, 24, 8, 2, 1
2024/7/14, 60, 55, 29, 7, 2, 1
2024/7/15, 63, , 39, 9, 2, 2
2024/7/16, 39, 14, 37, 12, 2, 3
2024/7/17, 22, 9, 36, 10, 1, 3
2024/7/18, 17, 10, 42, 8, 1, 3
2024/7/20, 5, 18, 42, 10, 2, 4
2024/7/21, 21, 19, 38, 8, 2, 3
2024/7/24, 168, 15, 32, 10, 2, 3
2024/7/25, 34, 12, 36, 9, 1, 3
2024/7/26, 76, 11, 36, 9, 1, 3
2024/7/27, 5, 10, 39, 10, 2, 3
2024/7/29, 93, 13, 20, 7, 2, 2
2024/7/30, 22, 14, , 9, 2, 3
2024/7/31, 19, 29, , 8, 2, 3
2024/8/1, 24, 18, , 8, 2, 2
2024/8/2, 5, 13, , 8, 2, 2
2024/8/3, 9, 9, , 6, 2, 2
2024/8/5, 5, 9, 25, 10, 1, 3
2024/8/6, 36, , 32, 7, 1, 3
2024/8/7, 48, 19, 39, 8, 1, 3
2024/8/8, 65, 24, 41, 10, 1, 3
2024/8/9, 81, 14, 39, 9, 1, 3
2024/8/10, 46, 13, 47, 7, 1, 2
2024/8/11, 55, 12, 26, 12, 1, 4
2024/8/12, 69, 11, 30, 8, 1, 3
2024/8/13, 57, 11, 37, 9, 1, 3
2024/8/14, 39, 19, 31, 7, 1, 2
2024/8/15, 37, 13, 33, 10, 1, 3
2024/8/16, 55, 8, 27, 7, 1, 3
2024/8/17, 37, 9, 34, 5, 1, 2
2024/8/18, 45, 9, 42, 8, 1, 3
2024/8/19, 40, 9, 30, 9, 1, 2
2024/8/20, 38, 7, 40, 6, 1, 2
2024/8/21, 39, 16, 42, 9, 1, 3
2024/8/22, 16, 16, 48, 7, 1, 2
2024/8/23, 41, 12, 36, 9, 1, 3
2024/8/24, 43, 16, 35, 10, 1, 4
2024/8/25, 46, 15, 38, 7, 1, 2
2024/8/26, 43, 10, 42, 9, 1, 3
2024/8/27, 56, 10, 46, 9, 2, 3
2024/8/28, 61, 6, 33, 8, 2, 3
2024/8/29, 38, 11, 40, 8, 2, 3
2024/8/30, 48, 11, 44, 8, 2, 3
2024/8/31, 59, 12, 38, 9, 3, 3
2024/9/1, 59, 9, 32, 6, 2, 2
2024/9/2, 52, 13, 34, 9, 2, 3
2024/9/3, 52, 9, 35, 6, 2, 2
2024/9/4, 37, , 37, 7, 3, 1
2024/9/5, 48, 16, 31, 10, 3, 3
2024/9/6, 61, 15, 36, 8, 3, 2
2024/9/7, 53, 14, 32, 11, 3, 3
2024/9/8, 43, 10, 37, 5, 3, 1
2024/9/9, 53, 14, 33, 9, 3, 2
2024/9/10, 47, 7, 35, 9, 3, 2
2024/9/11, 63, 9, 25, 7, 3, 2
2024/9/12, 59, 9, 24, 7, 4, 2
2024/9/13, 51, 13, 28, 8, 5, 1
2024/9/14, 54, 19, 43, 9, 4, 2
2024/9/15, 61, 15, 30, 6, , 1
2024/9/16, 73, 15, 36, 6, , 1
2024/9/17, 73, 11, 40, 8, , 1
2024/9/18, 69, 9, 40, 9, , 2
2024/9/19, 70, 7, 40, 7, , 1
2024/9/20, 41, 12, 37, 8, , 2
2024/9/21, 55, 18, 34, 9, , 1
2024/9/22, 45, 13, 32, 8, , 1
2024/9/23, 62, 15, 30, 9, , 2
2024/9/24, 38, 12, 16, 12, , 3
2024/9/25, 63, 11, 18, 11, , 3
2024/9/26, 55, , 12, 12, , 3
2024/9/27, 58, , 11, 12, , 3
2024/9/28, 59, 9, 9, 8, , 1
2024/9/29, 42, 14, , 11, , 2
2024/9/30, 46, 11, , 10, , 2
2024/10/1, 45, 13, , 9, , 1
2024/4/2, 70, 46, 57, , 2, 4
2024/4/3, 69, 43, , , 1, 5
2024/4/4, 72, 34, , , 1, 3
2024/4/5, 43, 33, , , 1, 3
2024/4/6, 49, 34, , , 1, 3
2024/4/7, 51, 41, , , 2, 3
2024/4/8, 67, 44, , , 1, 4
2024/4/9, 67, 57, , , 1, 3
2024/4/10, 95, 38, , , 1, 3
2024/4/11, 54, 48, , , 1, 3
2024/4/12, 64, 78, , , 2, 4
2024/4/13, 78, 64, , , 2, 3
2024/4/14, 76, 57, , , 2, 4
2024/4/15, 74, 84, , , 2, 11
2024/4/16, 141, 81, , , 2, 11
2024/4/17, 130, 71, 31, , 2, 9
2024/4/18, 117, 63, 50, , 2, 9
2024/4/19, 117, 70, 60, , 2, 6
2024/4/20, 107, 65, 60, , 2, 4
2024/4/21, 89, 54, 67, , 2, 3
2024/4/22, 78, 47, 51, , 2, 2
2024/4/23, 65, 40, 53, , 2, 3
2024/4/24, 64, 46, 65, , 2, 3
2024/4/25, 74, 56, 60, , 1, 4
2024/4/26, 101, 62, 66, , 2, 5
2024/4/27, 106, 54, 58, , 2, 3
2024/4/28, 87, 46, 53, , 2, 3
2024/4/29, 74, 46, 62, , 1, 4
2024/4/30, 78, 50, 49, , 1, 4
2024/5/1, 81, 48, 46, , 1, 4
2024/5/2, 82, 53, 49, , 1, 5
2024/5/3, 92, 59, 58, , 1, 5
2024/5/4, 99, 61, 53, , 1, 4
2024/5/5, 78, 55, 58, , 1, 4
2024/5/6, 81, 50, 63, , , 4
2024/5/7, 73, 52, 78, , 1, 4
2024/5/8, 79, 57, 72, , 1, 4
2024/5/9, 87, 69, 82, , 3, 5
2024/5/10, 131, 54, 62, , 1, 3
2024/5/11, 85, 46, 61, , , 2
2024/5/12, 72, 69, 63, , 1, 5
2024/5/13, 132, 75, 73, , 1, 6
2024/5/14, 144, 78, 72, , 1, 6
2024/5/15, 138, 68, 55, , 1, 4
2024/5/16, 121, 56, 63, , , 3
2024/5/17, 107, 52, 59, , 1, 3
2024/5/18, 90, 42, 62, , 1, 1
2024/5/19, 64, 65, 68, , 1, 3
2024/5/20, 85, 44, 64, , , 2
2024/5/21, 68, 41, 65, , 1, 2
2024/5/22, 72, 50, 63, , , 2
2024/5/23, 72, 53, 63, , 1, 2
2024/5/24, 74, 51, 74, , 1, 3
2024/5/25, 84, 30, 68, , , 3
2024/5/26, 62, 42, 66, , 1, 3
2024/5/27, 72, 26, 61, , 2, 3
2024/5/28, 40, 51, 58, , , 3
2024/5/29, 67, 51, 61, , 1, 3
2024/5/30, 82, 53, 72, , 1, 4
2024/5/31, 89, 43, 81, , 2, 5
2024/6/1, 74, 47, 60, , 1, 3
2024/6/2, 79, 39, 57, , , 3
2024/6/3, 60, 43, 52, , , 4
2024/6/4, 69, 50, 39, , 1, 4
2024/6/5, 77, 55, 65, 9, 2, 5
2024/6/6, 85, 60, 79, 11, 3, 5
2024/6/7, 98, 60, 70, 8, 2, 5
2024/6/8, 108, 52, 53, 8, 2, 4
2024/6/9, 93, 46, 49, 9, 2, 4
2024/6/10, 93, 37, 71, 8, 2, 4
2024/6/11, 76, 42, 76, 10, 2, 4
2024/6/12, 75, 42, 57, 8, 2, 3
2024/6/13, 59, 38, 56, 6, 2, 3
2024/6/14, 70, 21, 51, 10, 2, 3
2024/6/15, 76, 26, 58, 10, 2, 3
2024/6/16, 59, 24, 56, 7, 2, 3
2024/6/17, 51, 32, 48, 8, 2, 3
2024/6/18, 51, 33, 45, 10, 2, 3
2024/6/19, 60, 28, 44, 9, 2, 3
2024/6/20, 61, 17, 38, 9, 2, 3
2024/6/21, 77, 15, 34, 11, 2, 4
2024/6/22, 69, 13, 37, 10, 2, 3
2024/6/23, 40, 11, 18, 7, 2, 3
2024/6/24, 31, 15, 15, 10, 2, 4
2024/6/25, 56, 14, 23, 10, 2, 3
2024/6/26, 35, 19, 19, 11, 2, 4
2024/6/27, 48, 16, 28, 10, 2, 3
2024/6/28, 44, 12, 28, 10, 2, 3
2024/6/29, 40, 10, 32, 8, 2, 2
2024/6/30, 45, 11, 30, 10, 2, 3
2024/7/1, 54, 9, 12, 9, 2, 3
2024/1/10, 54, 39, 30, , , 4
2024/1/11, 30, 25, 25, , , 3
2024/1/12, 39, 28, 36, , , 3
2024/1/13, 42, 29, 43, , , 3
2024/1/14, 40, 29, 43, , , 3
2024/1/15, 31, 23, 37, , , 2
2024/1/16, 35, 28, 50, , , 3
2024/1/17, 39, 30, 20, , , 3
2024/2/1, 53, 46, 53, 17, 6, 5
2024/2/2, 58, 45, 48, 7, 5, 5
2024/2/3, 33, 25, 35, , 5, 2
2024/2/4, 19, 21, 32, , 5, 2
2024/2/5, 33, 24, 48, , 5, 2
2024/2/6, 35, 35, 60, , 7, 3
2024/2/7, 41, 41, 62, 10, 5, 4
2024/2/8, 60, 52, 80, 16, 6, 4
2024/2/9, 67, 52, 77, 15, 7, 5
2024/2/10, 64, 48, 73, 10, 6, 4
2024/2/11, 55, 39, 54, 7, 5, 3
