date, pm25, pm10, o3, no2, so2, co
2025/8/2, 10, 37, 30, , 1, 12
2025/8/8, 42, 21, 37, , 1, 12
2025/8/9, 29, 30, 46, , 1, 12
2025/8/10, 38, 14, 46, , 1, 10
2025/8/11, 15, 19, 37, , 1, 11
2025/8/12, 20, 18, 36, , 1, 11
2025/8/13, 30, 22, 36, , 1, 12
2025/8/14, 27, 10, 36, , 1, 10
2025/8/15, 11, 12, 36, , 1, 12
2025/8/16, 13, 24, 36, , 2, 11
2025/8/17, 21, , , , , 
2025/8/21, 31, 19, , , , 
2025/8/22, 31, 11, 34, , 1, 11
2025/8/23, 17, 8, 31, , 1, 11
2025/8/27, 9, 16, 33, , 1, 11
2025/8/28, 5, 25, 17, , 1, 10
2025/7/3, 18, 14, 41, , 1, 10
2025/7/4, 11, 7, 49, , 1, 11
2025/7/5, 27, 11, 58, , 1, 11
2025/7/6, 39, 32, 22, , 1, 11
2025/7/7, 55, 5, 41, , 3, 11
2025/7/8, 15, 7, 47, , 1, 10
2025/7/9, 32, , 59, , 1, 11
2025/7/10, 20, , 29, , 1, 11
2025/7/11, 38, , 41, , 1, 11
2025/7/12, 40, , 37, , 2, 12
2025/7/13, 28, , 43, , 1, 11
2025/7/14, 17, , 46, , , 11
2025/7/15, 17, , 35, , 1, 11
2025/7/16, 9, , 45, , 1, 10
2025/7/17, 31, , 46, , 1, 11
2025/7/18, 36, , 52, , 1, 11
2025/7/19, 46, , 58, , 1, 11
2025/7/20, 43, , 41, , 2, 12
2025/7/21, 19, , 45, , 1, 11
2025/7/22, 35, , 52, , 1, 11
2025/7/23, 34, , 69, , 1, 11
2025/7/24, 28, , 64, , 2, 11
2025/7/25, 18, , 63, , 1, 11
2025/7/26, 12, , 39, , 1, 10
2025/7/27, 21, , 40, , 1, 11
2025/7/28, 10, , 47, , 1, 10
2025/7/29, 14, 25, 43, , 1, 11
2025/7/30, 21, 19, 35, , 1, 11
2025/7/31, 14, 20, 51, , 1, 11
2025/8/1, 23, 17, 40, , 1, 11
2025/4/2, 67, 50, 70, , 3, 10
2025/4/3, 58, 42, 63, , 3, 9
2025/4/4, 48, 42, 57, , 2, 9
2025/4/5, 52, 40, 43, , 2, 10
2025/4/6, 50, 36, 44, , 2, 9
2025/4/7, 50, 34, 51, , 1, 9
2025/4/8, 34, 33, 39, , 1, 9
2025/4/9, 41, 65, 89, , 2, 12
2025/4/10, 72, 107, 113, , 2, 10
2025/4/11, 77, 96, 83, , 1, 10
2025/4/12, 77, 78, 83, , 1, 10
2025/4/13, 74, 68, 104, , 1, 12
2025/4/14, 99, 74, 90, , 1, 14
2025/4/15, 110, 79, 96, , 1, 12
2025/4/16, 108, 71, 92, , 1, 12
2025/4/17, 94, 69, 83, , 2, 12
2025/4/18, 95, 65, 82, , 4, 13
2025/4/19, 100, 60, 74, , 2, 13
2025/4/20, 87, 52, 64, , 1, 11
2025/4/21, 75, 60, 65, , 1, 12
2025/4/22, 80, 61, 69, , 1, 11
2025/4/23, 79, 56, 60, , 1, 11
2025/4/24, 76, 59, 58, , 2, 12
2025/4/25, 89, 91, 62, , 1, 11
2025/4/26, 93, 53, 78, , 2, 11
2025/4/27, 73, 55, 93, , 2, 11
2025/4/28, 67, 57, 78, , 2, 12
2025/4/29, 67, 59, 58, , 1, 12
2025/4/30, 70, 56, 74, , 1, 11
2025/5/1, 77, 55, 74, , 3, 11
2025/5/2, 71, 54, 70, , 2, 12
2025/5/3, 75, 46, 59, , 1, 11
2025/5/4, 59, 41, 50, , 1, 11
2025/5/5, 56, 39, 54, , 1, 11
2025/5/6, 53, 46, 53, , 2, 12
2025/5/7, 60, 44, 53, , 2, 12
2025/5/8, 57, 62, 64, , 3, 13
