date, pm25, o3, no2, so2, co
2025/8/7, 29, 33, , , 5
2025/8/8, 24, 32, , 1, 5
2025/8/9, 33, 35, , 1, 5
2025/8/10, 47, 41, , 1, 5
2025/8/11, 23, 34, , 1, 5
2025/8/12, 30, 40, , 1, 5
2025/8/13, 31, 33, , 1, 5
2025/8/14, 25, 33, , 1, 5
2025/8/15, 15, 31, , 1, 5
2025/8/16, 18, 35, , 1, 5
2025/8/17, 31, 32, , 1, 5
2025/8/18, 44, 45, , 1, 5
2025/8/19, 34, 44, , 1, 5
2025/8/20, 39, 49, , 1, 5
2025/8/21, 37, 37, , 1, 5
2025/8/22, 36, 38, , 1, 5
2025/8/23, 18, 34, , 1, 5
2025/8/24, 19, 27, , 1, 5
2025/8/25, 23, 31, , 1, 5
2025/8/26, 28, 29, , 1, 5
2025/8/27, 43, 37, , 1, 6
2025/8/28, 25, 34, , 1, 6
2025/8/29, 40, 1, , 1, 7
2025/7/4, 12, 39, , 2, 3
2025/7/5, 27, 44, , 3, 3
2025/7/6, 47, 14, , 3, 4
2025/7/7, 59, 31, , 3, 5
2025/7/8, 19, 39, , 2, 3
2025/7/9, 15, 46, , 2, 4
2025/7/11, 28, 41, , 2, 4
2025/7/12, 31, 37, , 2, 4
2025/7/13, 18, 44, , 2, 4
2025/7/14, 15, 35, , 2, 4
2025/7/15, 23, 33, , 2, 4
2025/7/16, 12, 43, , 2, 3
2025/7/17, 16, 44, , 3, 4
2025/7/18, 28, 38, , 3, 5
2025/7/19, 36, 46, , 3, 5
2025/7/20, 28, 45, , 3, 4
2025/7/21, 14, 43, , 3, 4
2025/7/22, 42, 46, , 3, 5
2025/7/23, 48, 59, , 3, 5
2025/7/24, 37, 62, , 3, 5
2025/7/25, 5, 50, , 3, 4
2025/7/26, 5, 39, , 3, 4
2025/7/27, 30, 40, , 3, 4
2025/7/28, 23, 42, , 3, 4
2025/7/29, 13, 43, , 3, 4
2025/4/4, 60, 21, , 1, 6
2025/4/5, 53, 20, , 2, 6
