date, pm25, pm10, o3, no2, so2, co
2025/8/9, 75, 31, 42, 16, 1, 12
2025/8/10, 92, 39, 48, 17, 1, 13
2025/8/11, 66, 18, 36, 9, 1, 12
2025/8/12, 81, 25, 44, 10, 1, 14
2025/8/13, 87, 34, 40, 10, 1, 14
2025/8/14, 98, 36, 33, 15, 1, 14
2025/8/15, 82, 32, 37, 27, 1, 14
2025/8/16, 68, 18, 26, 21, 1, 13
2025/8/17, 82, 30, 34, 15, 1, 13
2025/8/18, 84, 27, 45, 16, 1, 12
2025/8/19, 74, 21, 34, 14, 1, 12
2025/8/20, 77, 22, 51, 12, 1, 13
2025/8/21, 73, 22, 44, 14, 1, 13
2025/8/22, 76, 18, 30, 10, 1, 14
2025/8/23, 79, 22, 43, 26, 1, 15
2025/8/24, 65, 14, 34, 31, 1, 14
2025/8/25, 73, 16, 36, 21, , 13
2025/8/26, 96, 35, 42, 29, 1, 15
2025/8/27, 83, 27, 39, 9, 1, 14
2025/8/28, 74, 27, 22, 19, 1, 15
2025/8/29, 73, 29, 9, 14, 1, 15
2025/7/2, 97, 21, 27, 19, 1, 12
2025/7/3, 124, 31, 48, 21, 1, 12
2025/7/4, 116, 40, 62, 22, 1, 12
2025/7/5, 108, 42, 54, 16, 1, 11
2025/7/6, 116, 43, 18, 26, 1, 12
2025/7/9, 151, 25, 20, 19, 1, 11
2025/7/10, 116, 34, 38, 18, 1, 11
2025/7/12, 127, 23, 35, 20, 1, 12
2025/7/13, 137, 18, 40, 19, 1, 12
2025/7/14, 146, 19, 34, 18, 1, 10
2025/7/15, 154, 25, 46, 21, 1, 12
2025/7/16, 158, 33, 54, 18, 1, 11
2025/7/17, 90, 55, 40, 23, 1, 11
2025/7/18, 113, 47, 36, 18, 1, 11
2025/7/19, 137, 32, 35, 16, 1, 11
2025/7/20, 145, 33, 26, 13, 1, 11
2025/7/21, 134, 46, 37, 13, 1, 11
2025/7/22, 116, 39, 49, 14, 1, 12
2025/7/23, 132, 36, 44, 16, 1, 11
2025/7/24, 153, 27, 39, 16, 1, 11
2025/4/2, 121, 50, 45, 2, 3, 9
2025/4/3, 106, 58, 40, 2, 2, 8
2025/4/4, 82, 56, 31, 2, 1, 8
2025/4/5, 72, 58, 33, 2, 2, 8
2025/4/6, 85, 59, 11, 3, 1, 9
2025/4/7, 111, 46, 27, 1, 1, 7
2025/4/8, 57, 42, 29, 8, 1, 7
2025/4/9, 62, 58, 53, 9, 1, 7
2025/4/10, 76, 68, 45, 3, 1, 10
2025/4/11, 85, 53, 44, 2, 2, 9
2025/4/12, 67, 102, 51, 1, 1, 10
2025/4/13, 81, 39, 55, , 1, 11
2025/4/14, 74, 54, 61, , 2, 13
2025/4/15, 80, 70, 52, , 2, 16
