date, pm25, pm10, o3, no2, so2, co
2025/8/2, 49, 23, 35, , , 3
2025/8/3, 60, 15, 42, , , 3
2025/8/4, 51, 15, 33, , , 2
2025/8/5, 50, 17, 38, , , 2
2025/8/6, 53, 13, 22, , , 3
2025/8/9, 30, 23, 44, , , 3
2025/8/26, 55, 19, 33, , , 2
2025/8/27, 42, 11, 31, , , 3
2025/8/28, 26, 17, 12, , , 2
2025/8/29, 36, , , , , 
2025/7/2, 49, 19, 32, , , 4
2025/7/3, 61, 23, 39, , , 3
2025/7/4, 64, 32, 74, , , 3
2025/7/5, 72, 37, 63, , , 4
2025/7/6, 83, 35, 25, , , 3
2025/7/7, 89, 26, 42, , , 4
2025/7/8, 71, 20, 30, , , 2
2025/7/9, 58, 26, 25, , , 3
2025/7/10, 66, 34, 46, , , 4
2025/7/11, 75, 15, 16, , , 3
2025/7/12, 49, 20, 43, , , 6
2025/7/13, 66, 17, 49, , , 5
2025/7/14, 65, 24, 44, , , 4
2025/7/15, 74, 18, 53, , , 3
2025/7/16, 59, 21, , , , 3
2025/7/17, 67, 37, , , , 3
2025/7/18, 89, 33, 44, , , 3
2025/7/19, 80, 21, 37, , , 2
2025/7/20, 58, 22, 33, , , 2
2025/7/21, 60, 36, 45, , , 3
2025/7/22, 74, 21, 47, , , 2
2025/7/23, 57, 18, 39, , , 2
2025/7/24, 55, 16, 53, , , 3
2025/7/25, 54, 18, 44, , , 2
2025/7/26, 58, 18, 34, , , 2
2025/7/27, 59, 13, 25, , , 2
2025/7/28, 46, 19, 30, , , 2
2025/7/29, 53, 19, 36, , , 2
2025/7/30, 56, 14, 38, , , 2
2025/7/31, 49, 12, 33, , , 3
2025/8/1, 51, 14, 29, , , 2
2025/4/2, 81, 44, , , , 5
2025/4/3, 90, 51, , , , 5
2025/4/4, 77, 46, , , , 4
2025/4/5, 72, 44, , , , 3
2025/4/6, 69, 41, , , , 4
2025/4/7, 69, 35, , , , 3
2025/4/8, 59, , , , , 
2025/4/14, 58, 25, 54, , , 3
2025/4/15, 51, 42, 57, , , 4
2025/4/16, 63, 36, 74, , , 3
2025/4/17, 67, 48, 90, , , 6
2025/4/18, 86, 51, 89, , , 6
2025/4/19, 103, 50, 80, , , 6
2025/4/20, 101, 46, 68, , , 5
2025/4/21, 94, 40, 92, , , 5
2025/4/22, 99, , , , , 
2025/5/1, 89, 27, 65, , , 4
2025/5/2, 78, 37, 72, , , 5
2025/5/3, 91, , 70, , , 4
2025/5/4, 103, , 58, , , 4
2025/5/5, 92, 43, 61, , , 3
2025/5/6, 82, 41, 58, , , 4
2025/5/7, 88, 35, 57, , , 4
2025/5/8, 85, 36, 71, , , 4
2025/5/9, 86, 34, 49, , , 4
2025/5/10, 82, 14, 31, , , 4
2025/5/11, 53, 14, 47, , , 3
2025/5/12, 59, 20, 62, , , 3
2025/5/13, 59, 31, 71, , , 5
2025/5/14, 74, 32, 61, , , 5
2025/5/15, 74, 19, 37, , , 2
2025/5/16, 57, 31, 80, , , 5
2025/5/17, 82, 36, 69, , , 7
2025/5/18, 91, 40, 70, , , 6
2025/5/19, 98, 38, 79, , , 5
2025/5/20, 94, 34, 66, , , 4
2025/5/21, 88, 38, 57, , , 4
2025/5/22, 94, 34, 40, , , 3
2025/5/23, 94, 31, 55, , , 4
2025/5/24, 87, 26, 70, , , 4
2025/5/25, 85, 11, 51, , , 4
2025/5/26, 59, 10, 48, , , 3
2025/5/27, 57, 16, 54, , , 3
2025/5/28, 68, 11, 33, , , 4
2025/5/29, 58, 10, 33, , , 3
2025/6/3, 66, 18, 62, , , 4
2025/6/4, 66, 20, 41, , , 4
2025/6/5, 65, 21, 40, , , 2
2025/6/6, 65, 16, 34, , , 2
2025/6/7, 57, 19, 54, , , 2
2025/6/8, 56, 24, 54, , , 2
2025/6/9, 71, 23, 57, , , 3
2025/6/10, 81, 27, 53, , , 2
2025/6/11, 83, 27, 45, , , 3
2025/6/12, 77, 16, 44, , , 3
2025/6/13, 65, 13, 33, , , 2
2025/6/14, 57, 8, 22, , , 2
2025/6/15, 46, 5, 19, , , 3
2025/6/16, 41, 11, 26, , , 4
2025/6/17, 61, 12, 28, , , 4
2025/6/18, 57, 9, 17, , , 3
2025/6/19, 44, 6, 17, , , 3
2025/6/20, 39, 6, 17, , , 2
2025/6/21, 41, 11, 18, , , 3
2025/6/22, 48, 7, 13, , , 3
2025/6/23, 49, 7, 16, , , 3
2025/6/24, 47, 16, 19, , , 3
2025/6/25, 60, 10, 21, , , 3
2025/6/26, 45, 11, 24, , , 3
2025/6/27, 48, 11, 23, , , 2
2025/6/28, 46, 9, 24, , , 1
2025/6/29, 34, 4, 18, , , 2
2025/6/30, 41, 7, 17, , , 4
2025/7/1, 47, 7, 28, , , 4
2025/1/3, 65, 24, 27, , , 
2025/1/4, 61, 23, 38, , , 
2025/1/5, 43, 22, 8, , , 
2025/1/6, 53, 22, , , , 
2025/1/19, 84, 46, 50, , , 
2025/1/20, 70, 33, 41, , , 
2025/1/21, 54, 27, 42, , , 
2025/1/22, 64, 34, 40, , , 
2025/1/23, 54, 29, 58, , , 
2025/1/24, 70, 38, 34, , , 
2025/1/25, 46, 23, 49, , , 
2025/1/26, 49, 11, 45, , , 
2025/1/27, 58, , 43, , , 
2025/1/28, 55, , 57, , , 
2025/1/29, 61, 54, 58, , , 
2025/1/30, 74, 48, 43, , , 
2025/1/31, 67, 40, 36, , , 
2025/2/1, 58, 30, 41, , , 
2025/2/2, 44, 19, 35, , , 
2025/2/3, 57, 20, 40, , , 
2025/2/4, 48, 10, 40, , , 
2025/2/5, 52, 17, 52, , , 
2025/2/6, 67, 25, 47, , , 
2025/2/7, 63, 26, 45, , , 
2025/2/8, 54, 22, 61, , , 
2025/2/9, 62, 29, 58, , , 
2025/2/10, 55, 24, 64, , , 
2025/2/11, 50, 28, 68, , , 
2025/2/12, 68, 40, 46, , , 
2025/2/13, 77, 42, 45, , , 
2025/2/14, 69, 34, 52, , , 
2025/2/15, 60, 24, 57, , , 
2025/2/16, 66, 33, 48, , , 
2025/2/17, 80, 35, , , , 
2025/2/26, 34, 18, 83, , , 
2025/2/27, 63, 33, 69, , , 
2025/2/28, 76, 39, 76, , , 
2025/3/1, 78, 35, 59, , , 
2025/3/2, 81, 41, 59, , , 
2025/3/3, 61, 29, 60, , , 
2025/3/4, 71, 36, 61, , , 
2025/3/5, 80, 45, 63, , , 
2025/3/6, 85, 50, 63, , , 
2025/3/7, 88, 62, 64, , , 
2025/3/8, 78, 47, 68, , , 
2025/3/9, 81, 45, 57, , , 
2025/3/10, 73, 41, 57, , , 
2025/3/11, 87, 46, 68, , , 
2025/3/12, 74, 45, 69, , , 
2025/3/13, 82, 47, 59, , , 
2025/3/14, 74, 47, 57, , , 
2025/3/15, 79, 52, 49, , , 
2025/3/16, 68, 43, 58, , , 
2025/3/17, 69, 35, 57, , , 
2025/3/18, 71, 39, 75, , , 
2025/3/19, 74, 47, 62, , , 7
2025/3/20, 78, 47, 41, , , 4
2025/3/21, 78, 47, 60, , , 5
2025/3/22, 73, 38, 20, , , 4
2025/3/23, 59, 20, , , , 
2025/3/25, 80, 47, , , , 4
2025/3/26, 89, 34, , , , 5
2025/3/27, 86, 33, , , , 3
2025/3/28, 84, 36, , , , 4
2025/3/29, 77, 41, , , , 4
2025/3/30, 75, 41, , , , 4
2025/3/31, 72, 35, , , , 5
2025/4/1, 77, 40, , , , 5
2024/10/2, 33, 15, 30, , , 
2024/10/3, 27, 16, 32, , , 
2024/10/10, 51, 19, 39, , , 
2024/10/11, 34, 21, 42, , , 4
2024/10/12, 43, 21, 42, , , 2
2024/10/13, 49, 16, 35, , , 1
2024/10/14, 51, 21, 36, , , 7
2024/10/15, 53, 22, 38, , , 2
2024/10/16, 53, 26, 39, , , 4
2024/10/17, 48, 16, 35, , , 3
2024/10/18, 41, 15, 33, , , 2
2024/10/19, 35, 13, 33, , , 2
2024/10/20, 28, 10, 30, , , 2
2024/10/21, 26, 4, 20, , , 3
2024/10/22, 33, 12, 30, , , 4
2024/10/23, 43, 13, 30, , , 4
2024/10/24, 38, 12, 40, , , 1
2024/10/25, 38, 24, 37, , , 3
2024/10/26, 55, 20, 24, , , 2
2024/10/27, 38, 13, 26, , , 2
2024/10/28, 42, 14, 34, , , 1
2024/10/29, 48, , , , , 
2024/11/7, 77, 27, 36, , , 4
2024/11/8, 71, 33, 28, , , 3
2024/11/9, 56, 25, 31, , , 4
2024/11/10, 52, 21, 33, , , 4
2024/11/11, 51, 22, 28, , , 3
2024/11/12, 46, 28, 48, , , 3
2024/11/13, 51, 28, 35, , , 4
2024/11/14, 50, 23, 30, , , 4
2024/11/15, 55, 27, 43, , , 5
2024/11/16, 56, 40, 64, , , 7
2024/11/17, 73, 39, 58, , , 4
2024/11/18, 81, 39, 54, , , 11
2024/11/19, 76, 36, 39, , , 6
2024/11/20, 77, 24, 34, , , 4
2024/11/21, 65, 11, 37, , , 3
2024/11/22, 35, 17, 38, , , 3
2024/11/23, 43, 24, 45, , , 3
2024/11/24, 51, 23, 39, , , 4
2024/11/25, 49, 25, 38, , , 3
2024/11/26, 44, 23, 37, , , 3
2024/11/27, 39, 35, 44, , , 6
2024/11/28, 54, 27, 36, , , 6
2024/11/29, 48, 31, 41, , , 5
2024/11/30, 57, 23, 31, , , 5
2024/12/1, 58, 21, 27, , , 3
2024/12/2, 47, 26, 34, , , 3
2024/12/3, 53, 26, 26, , , 6
2024/12/4, 59, 31, 38, , , 4
2024/12/5, 57, 37, 47, , , 5
2024/12/6, 66, 27, 33, , , 4
2024/12/7, 61, 37, 43, , , 3
2024/12/8, 70, 35, 44, , , 4
2024/12/9, 62, 35, , , , 5
2024/12/11, 80, 27, 35, , , 2
2024/12/12, 64, , , , , 
2024/12/15, 68, , , , , 
2024/12/16, 60, 19, , , , 
2024/12/17, 52, 19, , , , 
2024/12/18, 50, 16, , , , 
2024/12/19, 45, 15, , , , 
2024/12/20, 43, 16, , , , 
2024/12/21, 42, 15, , , , 
2024/12/22, 43, 12, , , , 
2024/12/23, 44, 21, , , , 
2024/12/24, 56, 39, , , , 
2024/12/25, 74, 43, , , , 
2024/12/26, 75, 35, , , , 
2024/12/27, 76, 36, , , , 
2024/12/28, 68, 51, , , , 
2024/12/29, 86, 30, , , , 
2024/12/30, 81, , , , , 
2024/8/2, 46, 22, 28, , , 
2024/8/3, 33, 16, 31, , , 
2024/8/4, 26, 11, 33, , , 
2024/8/5, 38, 13, 40, , , 
2024/8/6, 49, 16, 50, , , 
2024/8/7, 46, 16, 43, , , 
2024/8/8, 55, 19, 39, , , 
2024/8/9, 55, 17, 37, , , 
2024/8/10, 54, 20, 33, , , 
2024/8/11, 47, 15, 34, , , 
2024/8/12, 37, 6, 25, , , 
2024/8/13, 39, 7, 27, , , 
2024/8/14, 40, 12, 35, , , 
2024/8/15, 42, 14, 37, , , 
2024/8/16, 26, 10, 27, , , 
2024/8/17, 40, 12, 37, , , 
2024/8/18, 40, 12, 42, , , 
2024/8/19, 37, 12, 38, , , 
2024/8/20, 33, 12, 35, , , 
2024/8/21, 37, 11, 31, , , 
2024/8/22, 36, 13, 30, , , 
2024/8/23, 43, 15, 28, , , 
2024/8/24, 39, 14, 36, , , 
2024/8/25, 53, 22, 53, , , 
2024/8/26, 50, 17, 32, , , 
2024/8/27, 38, 13, 29, , , 
2024/8/28, 31, 10, 30, , , 
2024/8/29, 40, 14, 42, , , 
2024/8/30, 45, 14, 41, , , 
2024/8/31, 34, 11, 39, , , 
2024/9/1, 48, 13, 19, , , 
2024/9/4, 49, 16, 24, , , 
2024/9/5, 55, 18, 38, , , 
