date, pm25, o3, no2, so2, co
2025/8/2, 65, 5, , , 29
2025/8/3, 65, 6, , , 29
2025/8/4, 65, 5, , , 30
2025/8/7, 67, 67, 7, 24, 39
2025/8/8, 48, 11, 3, 1, 29
2025/8/9, 48, 15, 5, 1, 44
2025/8/10, 35, 10, 4, , 38
2025/8/11, 38, 7, 6, , 26
2025/8/12, 48, 15, 5, , 20
2025/8/13, 43, 10, 6, 1, 15
2025/8/14, 42, 8, 5, , 27
2025/8/15, 47, 11, 9, , 27
2025/8/16, 51, 13, 15, , 15
2025/8/17, 44, 10, 12, , 8
2025/8/18, 43, 16, 15, , 9
2025/8/19, 50, 19, 24, , 1
2025/8/20, 43, 18, 29, , 
2025/8/21, 42, 13, 41, , 11
2025/8/22, 51, 9, 5, , 
2025/8/23, 40, 10, 5, , 
2025/8/24, 56, 10, 3, , 
2025/8/25, 51, 14, 4, , 
2025/8/26, 44, 12, 5, , 
2025/8/27, 36, 12, 4, , 
2025/8/28, 56, , , , 
2025/7/2, 61, 3, , , 29
2025/7/3, 74, 6, , , 29
2025/7/4, 65, 6, , , 29
2025/7/5, 67, 2, , , 29
2025/7/6, 51, 4, , , 29
2025/7/7, 52, 3, , , 29
2025/7/8, 60, 6, , , 29
2025/7/9, 43, 5, , , 30
2025/7/10, 52, 7, , , 30
2025/7/11, 48, 5, , , 29
2025/7/12, 59, 5, , , 30
2025/7/13, 67, 4, , , 30
2025/7/14, 60, 4, , , 31
2025/7/15, 107, 3, , , 31
2025/7/16, 102, 4, , , 31
2025/7/17, 126, 4, , , 30
2025/7/18, 96, 5, , , 31
2025/7/19, 57, 2, , , 30
2025/7/20, 90, 3, , , 30
2025/7/21, 114, 4, , , 30
2025/7/22, 70, 5, , , 30
2025/7/23, 52, 6, , , 30
2025/7/24, 38, 6, , , 30
2025/7/25, 47, 7, , , 29
2025/7/26, 37, 5, , , 30
2025/7/27, 50, 5, , , 29
2025/7/28, 72, 9, , , 29
2025/7/29, 67, 6, , , 30
2025/7/30, 58, 6, , , 31
2025/7/31, 45, 5, , , 30
2025/8/1, 44, 6, , , 29
2025/4/2, 53, 7, , , 25
2025/4/3, 63, 6, , , 25
2025/4/4, 57, 7, , , 25
2025/4/5, 60, 6, , , 26
2025/4/6, 72, 9, , , 26
2025/4/7, 60, 11, , , 26
2025/4/8, 43, 16, , , 25
2025/4/9, 29, 18, , , 25
2025/4/10, 27, 18, , , 25
2025/4/11, 32, 16, , , 26
2025/4/12, 36, 9, , , 26
2025/4/13, 32, 19, , , 25
2025/4/14, 35, 17, , , 25
2025/4/15, 41, 16, , , 26
2025/4/16, 47, 14, , , 26
2025/4/17, 49, , , , 26
2025/4/18, 36, , , , 
2025/4/20, 50, , , , 26
2025/4/21, 41, , , , 27
2025/4/22, 97, , , , 26
2025/4/23, 68, , , , 26
2025/4/24, 45, , , , 26
2025/4/25, 58, , , , 26
2025/4/26, 51, , , , 27
2025/4/27, 48, , , , 27
2025/4/28, 62, , , , 27
2025/4/29, 57, 10, , , 27
2025/4/30, 56, 12, , , 28
2025/5/1, 97, 12, , , 27
2025/5/2, 97, 10, , , 27
2025/5/3, 68, 4, , , 27
2025/5/4, 77, 8, , , 28
2025/5/5, 56, 9, , , 29
2025/5/6, 81, 24, , , 28
2025/5/7, 67, 10, , , 28
2025/5/8, 74, 7, , , 28
2025/5/9, 73, 6, , , 27
2025/5/10, 55, 10, , , 28
2025/5/11, 43, 17, , , 27
2025/5/12, 37, 20, , , 27
2025/5/13, 38, 18, , , 27
2025/5/14, 38, 5, , , 27
2025/5/15, 52, 6, , , 27
2025/5/16, 46, 7, , , 27
2025/5/17, 48, 7, , , 27
2025/5/18, 40, 6, , , 27
2025/5/19, 40, 6, , , 27
2025/5/20, 50, 7, , , 27
2025/5/21, 52, 5, , , 27
2025/5/22, 52, 6, , , 29
2025/5/23, 61, 4, , , 27
2025/5/24, 57, 5, , , 29
2025/5/25, 55, 7, , , 28
2025/5/26, 67, 5, , , 29
2025/5/27, 67, 5, , , 28
2025/5/28, 55, 4, , , 29
2025/5/29, 65, 4, , , 29
2025/5/30, 101, 7, , , 29
2025/5/31, 83, 9, , , 29
2025/6/1, 57, 7, , , 29
2025/6/2, 48, 4, , , 29
2025/6/3, 56, 4, , , 30
2025/6/4, 61, 4, , , 30
2025/6/5, 73, 4, , , 30
2025/6/6, 71, 8, , , 29
2025/6/7, 57, 7, , , 29
2025/6/8, 57, 7, , , 29
2025/6/9, 44, 6, , , 29
2025/6/10, 47, 6, , , 29
2025/6/11, 39, 6, , , 29
2025/6/12, 65, 4, , , 29
2025/6/13, 68, 4, , , 29
2025/6/14, 70, 4, , , 29
2025/6/15, 58, 6, , , 29
2025/6/16, 70, 4, , , 29
2025/6/17, 63, 4, , , 29
2025/6/18, 56, 5, , , 29
2025/6/19, 68, 2, , , 32
2025/6/20, 65, 6, , , 30
2025/6/21, 75, 4, , , 30
2025/6/22, 65, 5, , , 30
2025/6/23, 55, 5, , , 29
2025/6/24, 43, 2, , , 29
2025/6/25, 35, , , , 
2025/7/1, 59, 4, , , 30
2025/1/2, 40, 10, 4, , 22
2025/1/3, 30, 11, 5, , 22
2025/1/4, 30, 11, 4, , 22
2025/1/5, 27, 12, 4, , 22
2025/1/6, 41, 10, 4, , 23
2025/1/7, 41, 10, 4, , 22
2025/1/8, 27, 10, 5, , 23
2025/1/9, 26, 10, 5, , 22
2025/1/10, 36, 9, 4, , 22
2025/1/11, 14, 7, 5, , 23
2025/1/12, 23, 6, 4, , 23
2025/1/13, 39, 7, 4, , 23
2025/1/14, 55, 5, 4, , 23
2025/1/15, 41, 6, 4, , 23
2025/1/16, 44, 6, 4, , 23
2025/1/17, 57, 15, 4, , 24
2025/1/18, 35, 4, 4, , 24
2025/1/19, 53, 12, 3, , 23
2025/1/20, 40, 10, 3, , 23
2025/1/21, 38, 11, 3, , 23
2025/1/22, 33, 13, 3, , 22
2025/1/23, 23, 12, 5, , 23
2025/1/24, 26, 8, 4, , 24
2025/1/25, 17, 14, 4, , 22
2025/1/26, 28, 13, 4, , 23
2025/1/27, 33, 9, 4, , 24
2025/1/28, 48, 8, 4, , 24
2025/1/29, 47, 8, 4, , 23
2025/1/30, 47, 7, 4, , 23
2025/1/31, 46, 5, 3, , 24
2025/2/1, 41, , , , 
2025/2/3, 65, 9, 3, , 24
2025/2/4, 55, 9, 3, , 23
2025/2/5, 52, 9, 4, , 23
2025/2/6, 45, 8, 4, , 23
2025/2/7, 44, 12, 4, , 24
2025/2/8, 37, , , , 
2025/2/11, 45, 8, 2, , 24
2025/2/12, 47, 5, 2, , 23
2025/2/13, 44, 5, 2, , 24
2025/2/14, 48, 6, 2, , 24
2025/2/15, 46, 5, 1, , 24
2025/2/16, 53, 6, 1, , 24
2025/2/17, 58, 7, 2, , 24
2025/2/18, 33, 6, 2, , 24
2025/2/19, 31, 8, 1, , 24
2025/2/20, 44, 9, 2, , 24
2025/2/21, 42, 8, 2, , 25
