date, pm25,estado,fuente_archivo
2025/8/2,35,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/3,34,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/4,40,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/5,36,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/6,23,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/7,28,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/8,20,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/9,35,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/10,45,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/11,45,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/12,52,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/13,56,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/14,52,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/24,35,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/25,34,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/26,42,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/27,46,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/28,45,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/29,35,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/30,25,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/2,12,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/3,18,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/4,45,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/5,57,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/6,38,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/8,49,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/9,51,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/11,48,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/12,29,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/13,26,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/14,41,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/15,37,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/16,53,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/17,42,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/18,42,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/19,42,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/20,58,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/21,41,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/22,49,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/23,58,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/24,48,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/25,28,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/26,24,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/27,39,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/28,24,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/29,20,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/30,24,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/7/31,27,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/8/1,43,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/4/2,66,guanajuato,abasolo-presidencia municipal-air-quality.csv
2025/4/3,59,guanajuato,abasolo-presidencia municipal-air-quality.csv
