date, pm10, o3,estado,fuente_archivo
2025/8/2, 22, 33,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/3, 20, 41,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/4, 31, 34,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/5, 34, 30,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/6, 34, 25,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/7, 34, 28,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/8, 22, 39,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/9, 24, 45,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/10, 18, 42,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/11, 35, 29,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/12, 50, 45,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/13, 41, 41,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/14, 38, 36,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/15, 24, 39,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/16, 19, ,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/24, 26, 36,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/25, 21, 31,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/26, 22, 29,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/27, 17, ,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/2, 14, 26,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/3, 18, 36,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/4, 23, 44,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/5, 27, 62,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/6, 45, 35,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/7, 27, 46,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/8, 22, 38,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/9, 25, ,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/11, 27, 20,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/12, 13, 23,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/13, 14, 36,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/14, 20, 34,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/15, 19, 37,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/16, 17, 38,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/17, 17, 33,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/18, 23, 29,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/19, 22, 34,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/20, 19, 37,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/21, 15, 41,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/22, 22, 41,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/23, 37, 56,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/24, 23, 40,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/25, 24, 41,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/26, 28, 38,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/27, 24, 26,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/28, 22, 27,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/29, 23, 28,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/30, 28, 40,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/7/31, 23, 39,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/8/1, 26, 29,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/2, 54, 40,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/3, 48, 34,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/4, 37, 32,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/5, 37, 27,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/6, 44, 35,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/7, 29, 34,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/8, 37, 40,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/9, 41, 38,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/10, 44, 41,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/11, 46, 34,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/12, 38, 38,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/13, 39, 36,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/14, 32, 34,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/15, 42, 35,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/16, 45, 38,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/17, 40, 41,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/18, 49, 20,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/19, 50, 39,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/20, 40, 34,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/21, 42, 37,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
2025/4/22, 45, 30,guanajuato,purisima-del rincon purisima del rincon-air-quality.csv
