date, pm25, pm10,estado,fuente_archivo
2025/8/2, 35, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/9, 54, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/10, 53, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/11, 53, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/12, 48, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/13, 55, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/14, 43, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/15, 52, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/16, 52, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/18, 53, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/19, 47, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/20, 33, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/21, 42, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/22, 44, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/23, 55, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/24, 35, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/25, 49, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/26, 51, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/27, 42, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/28, 47, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/2, 16, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/3, 45, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/4, 51, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/5, 48, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/6, 51, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/7, 50, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/8, 42, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/9, 54, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/11, 59, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/12, 39, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/13, 46, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/14, 50, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/15, 46, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/16, 47, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/17, 41, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/18, 61, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/19, 60, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/20, 49, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/21, 34, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/22, 49, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/23, 53, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/24, 44, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/25, 28, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/26, 30, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/27, 44, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/28, 31, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/29, 26, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/30, 33, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/7/31, 36, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/8/1, 38, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/2, 60, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/3, 63, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/4, 50, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/5, 58, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/6, 52, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/7, 52, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/8, 54, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/9, 53, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/10, 58, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/11, 42, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/12, 45, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/13, 49, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/14, 50, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/15, 42, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/16, 52, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/17, 63, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/18, 58, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/19, 63, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/20, 74, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/21, 67, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/22, 73, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/23, 74, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/24, 69, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/25, 74, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/26, 65, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/27, 87, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/28, 71, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/29, 71, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/4/30, 90, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/5/1, 90, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/5/3, 75, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/5/4, 50, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/5/5, 79, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/5/6, 74, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/5/7, 65, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
2025/5/8, 59, ,Guanajuato,san-miguel de allende presidencia municipal-air-quality.csv
