date, pm10, o3,estado,fuente_archivo
2025/8/2, 22, 33,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/3, 20, 41,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/4, 31, 34,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/5, 34, 30,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/6, 34, 25,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/7, 34, 28,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/8, 22, 39,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/9, 24, 45,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/10, 18, 42,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/11, 35, 29,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/12, 50, 45,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/13, 41, 41,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/14, 38, 36,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/15, 24, 39,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/16, 19, ,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/24, 26, 36,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/25, 21, 31,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/26, 22, 29,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/8/27, 17, ,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/2, 14, 26,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/3, 18, 36,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/4, 23, 44,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/5, 27, 62,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/6, 45, 35,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/7, 27, 46,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/8, 22, 38,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/9, 25, ,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/11, 27, 20,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/12, 13, 23,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/13, 14, 36,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/14, 20, 34,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/15, 19, 37,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/16, 17, 38,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/17, 17, 33,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/18, 23, 29,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/19, 22, 34,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/20, 19, 37,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/21, 15, 41,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/22, 22, 41,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/23, 37, 56,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/24, 23, 40,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/25, 24, 41,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/26, 28, 38,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/27, 24, 26,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/28, 22, 27,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
2025/7/29, 23, 28,Guanajuato,purísima-del rincón purísima del rincón-air-quality.csv
